step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake
250000,1,667,27.49,0.21,2.97,0.79,13.06,0.03,1.06,0.021,0.130,266508.4,511841.7,25,54,3.56,1.07,1.05,62.3448,2308.37,3099.7,30.0581,5.0956,5461,4.3546,99,28.2935,223102.4
250000,2,326,22.45,0.27,0.64,2.29,17.60,0.00,1.07,0.000,0.076,111834.2,162730.5,5,27,4.20,1.02,1.11,22.1959,904.21,202.8,51.4037,7.1713,5461,4.3546,95,4.9406,41427.9
260000,0,1113,28.34,0.23,5.20,0.28,9.46,0.00,1.07,0.000,0.195,304739.2,580769.1,12,66,3.28,1.04,1.09,68.3182,3576.98,85668.2,0.0000,4.2225,5462,4.6184,128,35.6548,271887.1
260000,1,846,28.40,0.37,4.60,0.45,10.34,0.00,1.10,0.005,0.151,231224.4,409436.5,16,69,3.44,1.08,1.13,46.8211,2161.72,7559.1,7.6514,5.1867,5461,4.6175,131,23.7253,184145.5
260000,2,282,25.26,0.79,1.51,2.39,16.26,0.00,1.20,0.004,0.067,101069.3,142943.3,8,37,4.14,1.05,1.28,20.2890,726.88,195.5,22.2391,6.6381,5461,4.6175,86,4.2793,35696.6
270000,0,1412,28.15,0.23,3.49,0.25,10.58,0.00,1.08,0.001,0.236,572192.2,1022651.1,42,49,3.18,1.09,1.06,134.8549,6021.48,75585.3,0.9827,2.8206,5462,4.4295,71,80.8418,579718.8
270000,1,578,27.38,0.52,3.36,1.01,12.55,0.01,1.11,0.005,0.114,259012.5,458986.3,28,48,3.63,1.06,1.17,57.3498,1690.43,3746.5,32.4060,5.5570,5461,4.4287,118,27.5695,209768.5
270000,2,270,24.58,0.64,1.27,1.96,16.90,0.00,1.12,0.004,0.064,110194.2,153739.9,10,31,4.03,1.02,1.17,21.4342,895.98,178.1,50.3992,7.2171,5461,4.4287,125,4.7390,39422.6
280000,0,1124,28.35,0.12,4.96,0.25,9.56,0.01,1.04,0.006,0.192,305995.6,587324.8,14,65,3.11,1.05,1.04,69.5206,2997.04,86653.8,0.0000,4.1955,5462,4.4363,158,35.6255,274322.0
280000,1,927,27.44,0.24,4.65,0.40,10.11,0.00,1.08,0.001,0.163,222555.0,373498.1,16,74,3.22,1.04,1.09,43.1980,2361.79,8161.6,8.3765,5.3401,5461,4.4355,131,22.7961,173746.0
280000,2,301,24.27,0.43,1.65,1.58,15.59,0.00,1.09,0.000,0.066,98023.4,131615.1,10,30,3.86,1.02,1.14,19.0552,847.99,227.3,22.7559,6.5321,5461,4.4355,125,4.1271,33720.3
290000,0,1272,29.49,0.19,3.97,0.24,10.93,0.01,1.06,0.005,0.224,560449.4,940646.4,39,69,3.30,1.07,1.04,125.2033,5412.05,75399.0,0.9334,3.0181,5462,4.3664,84,81.0820,560620.7
290000,1,703,26.55,0.13,3.14,0.83,11.84,0.00,1.03,0.001,0.127,271260.6,516708.8,29,61,3.23,1.02,1.05,63.4070,2367.29,3398.4,30.0154,4.9055,5461,4.3656,131,29.0657,229778.8
290000,2,289,23.29,0.37,1.38,2.28,15.47,0.00,1.09,0.000,0.065,108869.7,152996.8,10,38,3.83,1.03,1.14,20.7921,887.88,235.9,51.6908,7.1469,5461,4.3656,102,4.6564,38617.3
300000,0,1122,29.41,0.08,5.18,0.21,9.85,0.00,1.03,0.002,0.197,295507.8,535396.1,17,65,3.15,1.03,1.02,62.8639,2975.38,85868.0,0.0000,4.5269,5462,4.5630,125,34.5286,258229.7
300000,1,881,27.04,0.09,4.52,0.49,10.04,0.00,1.02,0.000,0.152,231777.4,400372.6,16,84,3.20,1.02,1.03,45.1966,2425.64,8323.1,7.9180,5.1983,5461,4.5621,155,24.3337,184347.9
