step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share
400000,220,4.425,0.166,10.21,11700,7568,71,4056,13,201,408830.8,12970.2,0.000,0.517,0.000,0.009,0.474,15445,60.27,4.63,37.87,9.99,4.76,9.52,0.00,0.00,17.64,4.39,4.25,8.37,0.075,0.151,34,0.418,0.845,0.127,0.000,0.027,2735,1932,2,0.818,0.000
410000,213,4.292,0.166,10.38,11416,8075,78,3255,15,153,408555.3,10094.6,0.000,0.528,0.000,0.009,0.463,15754,59.43,3.06,37.70,9.17,4.40,8.51,0.00,0.00,17.32,5.78,4.38,8.48,0.069,0.133,26,0.620,0.836,0.150,0.000,0.014,2804,2053,2,0.798,0.000
420000,231,3.977,0.151,10.75,12541,8011,82,4379,51,128,408727.6,12045.9,0.000,0.507,0.000,0.010,0.483,14289,54.17,17.13,31.11,14.53,5.98,9.40,0.17,2.05,16.91,5.95,5.96,9.36,0.093,0.147,40,0.424,0.749,0.234,0.000,0.017,3202,2316,2,0.589,0.126
430000,275,3.663,0.147,10.40,16172,7854,64,8037,173,269,408955.7,18669.0,0.000,0.516,0.001,0.010,0.473,10751,46.59,20.36,25.30,17.94,4.39,8.53,0.00,0.00,16.89,4.52,4.13,8.06,0.071,0.134,49,0.298,0.793,0.178,0.000,0.029,4585,3319,2,0.498,0.309
440000,228,4.434,0.174,10.32,12456,7896,81,4493,33,140,408370.2,12799.0,0.000,0.526,0.000,0.010,0.464,14438,59.24,3.79,37.95,9.00,3.90,8.04,0.01,0.13,17.37,4.55,3.84,8.01,0.062,0.127,38,0.452,0.860,0.118,0.000,0.022,3093,2195,2,0.816,0.000
450000,207,4.656,0.163,10.66,11736,6751,70,4928,8,241,410137.1,16447.1,0.000,0.529,0.000,0.008,0.463,15158,63.08,3.32,37.09,10.25,7.13,9.92,0.00,0.00,18.86,2.83,7.13,9.92,0.111,0.155,29,0.338,0.783,0.203,0.000,0.014,2479,1574,2,0.570,0.092
460000,218,4.269,0.160,10.36,9390,6386,66,2922,5,163,410156.7,9143.7,0.000,0.619,0.000,0.008,0.373,19708,62.92,2.14,38.11,9.09,5.30,9.03,0.00,0.00,19.51,3.12,5.28,9.00,0.083,0.141,39,0.243,0.835,0.165,0.000,0.000,2058,1008,2,0.748,0.000
470000,250,3.948,0.137,9.82,12159,7243,62,4769,53,125,409972.3,11778.7,0.000,0.607,0.000,0.008,0.385,15930,48.93,22.82,24.66,16.99,7.26,9.82,0.00,0.00,17.00,5.02,7.05,9.88,0.119,0.157,37,0.328,0.688,0.288,0.000,0.024,3111,2054,3,0.388,0.264
480000,234,4.072,0.150,10.22,12358,7514,70,4724,66,163,409947.2,12113.3,0.000,0.598,0.000,0.007,0.395,15207,55.35,13.86,31.02,16.20,4.95,8.64,0.35,2.09,19.03,4.30,4.19,8.28,0.083,0.141,55,0.346,0.842,0.137,0.000,0.021,3082,2066,2,0.791,0.000
490000,213,4.494,0.160,10.45,12099,7709,55,4340,16,207,410000.2,13196.4,0.000,0.612,0.000,0.008,0.380,15481,60.98,2.35,37.75,8.68,4.96,8.74,0.00,0.07,18.27,3.40,4.96,8.74,0.078,0.137,33,0.329,0.826,0.174,0.000,0.000,2736,1607,2,0.770,0.000
500000,216,4.265,0.149,10.63,11545,7692,63,3775,12,194,410145.8,11463.0,0.000,0.609,0.000,0.008,0.383,15900,61.50,3.28,36.22,9.70,6.62,9.69,0.00,0.00,18.66,2.73,6.57,9.70,0.104,0.152,33,0.417,0.764,0.222,0.000,0.014,2756,1536,2,0.690,0.000
510000,226,4.256,0.138,10.51,11966,7254,69,4594,39,178,410104.8,12411.2,0.000,0.597,0.000,0.009,0.394,15442,61.61,2.37,36.98,8.95,5.89,9.40,0.00,0.00,18.73,2.59,5.89,9.40,0.092,0.147,33,0.323,0.810,0.186,0.000,0.004,2788,1623,2,0.717,0.000
520000,219,4.473,0.152,10.46,11561,7903,55,3602,8,184,409702.1,11137.6,0.000,0.544,0.000,0.008,0.447,16284,60.69,2.68,37.90,8.62,4.71,8.70,0.00,0.00,18.08,3.02,4.61,8.63,0.074,0.136,31,0.215,0.826,0.160,0.000,0.014,2681,1460,2,0.785,0.000
530000,216,4.626,0.167,10.67,11941,8177,56,3698,13,139,409220.6,11151.8,0.000,0.504,0.000,0.008,0.487,15372,59.85,4.47,38.05,9.81,4.76,8.64,0.02,0.34,17.02,3.00,4.57,8.58,0.077,0.137,41,0.213,0.824,0.162,0.000,0.014,2840,1675,3,0.667,0.000
540000,217,4.237,0.156,10.49,14060,7725,65,6193,76,349,409866.6,13662.5,0.000,0.488,0.000,0.010,0.502,14039,58.28,7.09,37.55,9.92,3.77,8.06,0.04,0.21,16.92,2.83,3.50,7.74,0.063,0.141,38,0.212,0.857,0.111,0.000,0.032,3552,2103,2,0.687,0.152
550000,222,4.392,0.153,10.53,14785,7814,76,6809,81,298,409836.1,15529.4,0.000,0.509,0.001,0.012,0.478,12682,60.22,3.48,37.82,8.60,4.95,8.88,0.00,0.00,17.45,2.73,4.95,8.88,0.077,0.139,36,0.234,0.824,0.171,0.000,0.005,3857,2213,2,0.721,0.045
560000,211,4.388,0.162,10.58,11830,8103,78,3641,19,136,409623.9,10350.9,0.000,0.504,0.000,0.010,0.486,15960,60.22,4.24,36.26,10.09,6.30,9.53,0.01,0.10,17.65,3.47,5.98,9.27,0.100,0.151,43,0.261,0.810,0.171,0.000,0.019,2799,1754,2,0.730,0.000
570000,229,4.321,0.152,10.35,11819,7944,83,3765,9,178,409494.8,10960.1,0.000,0.545,0.000,0.011,0.445,16176,59.12,3.84,38.42,8.19,3.78,8.23,0.00,0.00,16.92,2.96,3.59,7.78,0.060,0.130,39,0.380,0.886,0.105,0.000,0.009,2838,1907,2,0.834,0.000
580000,220,4.208,0.158,10.36,10987,7734,95,3166,1,134,409782.0,9732.0,0.000,0.598,0.000,0.009,0.393,17030,60.15,2.62,38.38,7.74,4.16,8.21,0.00,0.00,17.61,2.46,4.12,8.13,0.065,0.129,41,0.223,0.864,0.127,0.000,0.009,2489,1722,2,0.814,0.000
590000,223,4.257,0.155,10.40,12029,7756,74,4158,38,188,409995.2,11081.5,0.000,0.548,0.000,0.011,0.441,15887,59.76,4.13,37.05,10.29,4.39,8.40,0.00,0.00,18.32,4.59,4.26,8.31,0.069,0.132,42,0.238,0.874,0.126,0.000,0.000,2881,1992,2,0.803,0.000
600000,212,4.416,0.151,10.28,11330,8097,91,3151,2,103,410256.3,9664.7,0.000,0.530,0.000,0.010,0.460,16006,60.61,2.50,38.97,7.93,3.66,7.84,0.00,0.00,17.98,2.37,3.60,7.72,0.058,0.124,42,0.203,0.877,0.108,0.000,0.014,2649,1617,2,0.840,0.000
610000,222,4.818,0.143,10.46,11923,8541,96,3272,4,131,410849.7,9999.5,0.000,0.484,0.000,0.012,0.504,15556,60.69,3.09,37.45,8.69,5.25,9.13,0.00,0.00,17.99,2.25,5.05,8.90,0.082,0.144,35,0.356,0.842,0.153,0.000,0.005,2869,1573,2,0.608,0.153
620000,214,4.455,0.151,10.53,11457,8374,90,2992,9,109,410402.6,9091.1,0.000,0.463,0.000,0.012,0.525,16860,60.80,3.18,37.94,8.85,4.61,8.69,0.11,1.15,18.14,3.17,4.61,8.69,0.072,0.136,33,0.313,0.836,0.150,0.000,0.014,2658,1578,2,0.776,0.000
630000,212,4.503,0.162,10.48,11850,8379,98,3367,8,116,410444.7,9892.0,0.000,0.477,0.000,0.013,0.511,16005,60.53,2.66,38.51,7.87,4.07,8.30,0.00,0.07,17.94,2.18,4.06,8.28,0.064,0.130,37,0.453,0.854,0.118,0.000,0.028,2725,1636,2,0.807,0.000
640000,224,4.227,0.151,10.38,11716,8503,85,3116,0,97,410626.2,9976.6,0.000,0.459,0.000,0.012,0.529,16240,59.95,3.50,39.68,7.05,2.58,7.01,0.01,0.13,17.68,3.55,2.48,6.74,0.040,0.109,41,0.402,0.893,0.098,0.000,0.009,2686,1791,2,0.857,0.022
650000,221,4.508,0.151,10.57,12882,7992,75,4779,39,203,410392.9,12249.1,0.000,0.462,0.000,0.016,0.522,13925,59.67,3.49,39.81,7.24,3.08,7.39,0.00,0.00,16.78,3.00,3.07,7.37,0.048,0.116,42,0.213,0.896,0.090,0.000,0.014,3111,1951,3,0.801,0.000
660000,222,4.557,0.137,10.66,13180,8439,96,4617,27,125,410462.8,11255.1,0.000,0.478,0.000,0.014,0.507,13710,58.68,3.22,40.05,7.05,2.69,7.09,0.00,0.00,15.93,2.88,2.61,6.87,0.042,0.111,35,0.270,0.896,0.104,0.000,0.000,3571,2509,2,0.874,0.000
670000,232,4.076,0.136,11.10,12923,8466,105,4297,45,112,409869.1,10819.7,0.000,0.494,0.000,0.017,0.489,13528,56.95,10.49,34.24,12.38,5.81,9.43,0.01,0.09,16.88,3.43,5.79,9.39,0.091,0.147,40,0.272,0.784,0.211,0.000,0.004,3295,2354,2,0.659,0.065
680000,225,4.591,0.147,11.08,12637,8072,69,4464,39,145,410006.5,12084.8,0.000,0.498,0.000,0.013,0.488,13681,60.36,3.84,36.12,9.08,6.85,9.88,0.00,0.00,17.39,3.38,6.85,9.88,0.107,0.154,37,0.244,0.778,0.196,0.000,0.027,3147,2360,2,0.680,0.000
690000,239,4.104,0.146,10.95,10664,7496,74,3079,1,149,409914.0,10046.5,0.000,0.504,0.000,0.012,0.484,16721,59.41,3.66,38.28,8.09,4.19,8.35,0.05,0.65,16.89,3.10,4.19,8.35,0.065,0.131,48,0.201,0.858,0.130,0.000,0.013,2307,1450,2,0.799,0.000
700000,221,4.250,0.156,10.90,11511,8063,95,3355,16,125,409644.7,9665.7,0.000,0.511,0.000,0.014,0.475,15034,59.74,3.20,37.43,8.88,5.08,9.07,0.08,1.21,17.15,3.58,4.98,8.88,0.079,0.142,39,0.335,0.842,0.145,0.000,0.014,2714,1756,2,0.765,0.000
710000,220,4.285,0.144,10.93,11499,8216,103,3170,11,102,409962.2,9576.5,0.000,0.512,0.000,0.015,0.473,15546,60.34,2.89,37.63,9.02,5.44,9.20,0.02,0.34,17.25,2.74,5.44,9.20,0.085,0.144,41,0.259,0.845,0.141,0.000,0.014,2782,1551,2,0.741,0.000
720000,222,4.315,0.149,11.08,11921,7983,95,3810,31,99,410068.2,10142.4,0.000,0.515,0.000,0.018,0.467,15303,59.35,7.65,33.75,11.22,7.85,10.16,0.00,0.00,17.75,2.65,7.85,10.16,0.123,0.159,28,0.374,0.721,0.270,0.000,0.009,2925,1758,2,0.595,0.032
730000,235,4.260,0.136,10.56,11822,8502,85,3205,17,101,409773.0,9335.4,0.000,0.507,0.000,0.013,0.480,15284,58.91,6.52,37.24,9.97,4.08,8.42,0.01,0.13,17.58,3.53,3.93,8.17,0.064,0.133,48,0.200,0.864,0.123,0.000,0.013,2843,1837,2,0.809,0.000
740000,222,4.511,0.141,10.98,13915,8554,85,5210,79,157,409620.2,12160.0,0.000,0.515,0.000,0.016,0.469,12743,59.99,3.13,37.50,9.05,4.62,8.68,0.01,0.09,17.86,5.18,4.61,8.67,0.072,0.136,36,0.216,0.856,0.144,0.000,0.000,3773,2629,2,0.779,0.000
750000,231,4.424,0.144,10.82,12669,8812,76,3753,19,108,409239.8,10276.3,0.000,0.527,0.000,0.011,0.462,14142,58.99,3.23,39.04,7.90,3.29,7.61,0.09,1.31,16.57,3.23,3.29,7.61,0.051,0.119,44,0.238,0.892,0.108,0.000,0.000,3126,1915,2,0.844,0.000
760000,223,4.506,0.149,10.91,14984,8139,86,6610,157,219,409267.5,13595.0,0.001,0.513,0.001,0.014,0.471,11893,58.91,2.83,39.29,6.85,2.91,7.22,0.00,0.00,16.71,3.01,2.88,7.14,0.046,0.113,35,0.260,0.883,0.108,0.000,0.009,4264,2557,2,0.865,0.000
770000,212,4.672,0.145,11.00,12265,8716,108,3426,26,116,409965.3,9601.5,0.000,0.510,0.000,0.014,0.477,15437,60.19,3.64,35.96,9.12,6.74,9.80,0.00,0.00,17.50,3.86,6.74,9.80,0.105,0.153,32,0.321,0.774,0.208,0.000,0.019,3029,1546,2,0.679,0.000
780000,237,4.085,0.142,10.70,13918,8548,91,5170,84,116,409677.4,12080.7,0.000,0.478,0.001,0.012,0.509,12682,58.46,3.23,39.11,7.67,3.10,7.44,0.03,0.45,16.22,3.91,3.10,7.44,0.048,0.116,32,0.224,0.878,0.114,0.000,0.008,3790,2303,1,0.148,0.852
790000,220,4.409,0.152,11.04,11923,8731,105,3093,11,102,409492.2,9272.2,0.000,0.526,0.000,0.011,0.463,15334,58.66,3.57,38.40,8.33,3.64,7.93,0.09,1.28,16.53,4.19,3.64,7.93,0.057,0.124,37,0.291,0.886,0.114,0.000,0.000,2699,1566,2,0.827,0.000
800000,209,4.363,0.146,11.15,16173,7801,82,8178,123,226,409424.7,16677.9,0.001,0.514,0.001,0.020,0.464,11475,60.51,2.92,35.23,9.42,7.65,10.09,0.00,0.07,17.62,2.58,7.65,10.09,0.120,0.158,17,0.364,0.722,0.273,0.000,0.005,4478,2703,2,0.402,0.230
810000,218,4.457,0.154,11.10,11971,7739,61,4158,4,173,410138.8,13237.6,0.000,0.522,0.000,0.010,0.467,14745,60.59,8.34,36.34,12.42,6.08,9.49,0.00,0.00,18.17,3.01,6.05,9.49,0.096,0.149,43,0.284,0.817,0.170,0.000,0.014,2632,1356,2,0.688,0.023
820000,219,4.514,0.147,10.88,10624,7652,72,2890,9,152,410316.2,8795.6,0.000,0.526,0.000,0.011,0.464,17067,61.69,3.16,39.00,9.27,4.79,8.81,0.00,0.00,17.90,3.04,4.79,8.81,0.075,0.138,45,0.228,0.845,0.132,0.000,0.023,2391,1079,2,0.429,0.342
830000,226,4.291,0.142,10.63,11171,7633,75,3453,3,128,410423.3,11110.1,0.000,0.490,0.000,0.010,0.500,16645,61.09,6.25,37.96,10.61,4.86,8.78,0.00,0.00,18.27,3.33,4.67,8.50,0.079,0.142,47,0.195,0.827,0.150,0.000,0.022,2452,1141,2,0.442,0.345
840000,212,4.411,0.144,10.77,11698,8091,75,3505,41,132,410230.8,9236.2,0.000,0.490,0.000,0.015,0.495,16526,62.42,2.33,39.86,8.58,3.87,8.16,0.14,1.86,18.55,3.19,3.86,8.14,0.061,0.127,48,0.193,0.854,0.127,0.000,0.019,2844,1385,4,0.769,0.000
850000,221,4.414,0.147,10.82,12636,8589,81,3917,40,118,409280.6,9938.2,0.000,0.514,0.000,0.014,0.471,14765,60.38,3.44,38.55,8.94,4.12,8.31,0.00,0.00,17.71,3.96,4.03,8.24,0.065,0.133,43,0.222,0.855,0.131,0.000,0.014,3047,1897,2,0.810,0.000
