step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share
210000,210,4.262,0.155,8.71,30393,6299,40,23476,597,311,409490.8,39683.8,0.012,0.047,0.399,0.001,0.542,6725,62.53,4.89,41.02,8.67,1.99,5.30,0.71,3.78,18.80,2.57,1.97,5.28,0.031,0.083,40,0.205,0.805,0.195,0.000,0.000,10545,8017,2,0.710,0.000
220000,309,3.294,0.160,10.32,33884,6819,18,26066,882,409,409824.6,43207.4,0.018,0.038,0.404,0.001,0.539,4665,42.94,23.58,23.52,20.17,2.79,6.72,0.24,1.78,16.40,5.21,2.71,6.44,0.047,0.118,80,0.129,0.696,0.275,0.000,0.029,13188,10199,2,0.411,0.239
230000,238,3.930,0.166,8.53,38325,8356,20,29218,802,494,409913.0,48635.1,0.019,0.039,0.455,0.033,0.454,5562,57.00,16.16,37.43,14.38,2.39,5.46,0.12,1.44,17.06,3.66,2.39,5.45,0.037,0.085,47,0.319,0.735,0.256,0.000,0.008,17022,13950,2,0.647,0.256
240000,279,3.375,0.183,10.75,31932,7292,47,23845,707,596,409754.0,39040.9,0.014,0.055,0.454,0.034,0.443,5420,42.10,25.43,20.89,18.91,5.81,9.54,0.08,0.89,15.32,4.49,5.60,9.50,0.096,0.154,59,0.244,0.756,0.222,0.000,0.022,13132,10072,2,0.312,0.437
250000,270,3.874,0.217,10.47,57191,7325,3,48655,1217,2824,409526.8,74094.0,0.028,0.034,0.541,0.004,0.392,2585,55.80,19.14,31.75,16.28,7.76,9.66,0.12,0.97,16.17,3.81,7.51,9.54,0.126,0.154,54,0.281,0.604,0.367,0.000,0.030,25751,19644,3,0.556,0.074
260000,357,2.665,0.145,8.58,50170,6714,12,42144,1213,2160,410018.4,68906.9,0.004,0.038,0.505,0.016,0.437,4598,31.13,25.86,11.48,15.07,6.85,10.59,0.27,1.48,12.53,5.38,6.15,9.84,0.121,0.186,82,0.275,0.675,0.258,0.000,0.067,19237,15107,3,0.627,0.000
270000,257,3.712,0.161,9.19,39884,6819,19,32433,713,1408,410715.1,49745.6,0.010,0.055,0.371,0.007,0.557,5501,48.24,23.16,23.24,18.06,7.50,10.52,0.78,3.25,16.72,4.70,7.30,10.33,0.118,0.165,50,0.327,0.704,0.280,0.000,0.016,16835,13684,2,0.665,0.000
280000,388,2.697,0.147,9.53,41435,6830,14,33537,923,464,410184.1,53500.1,0.033,0.032,0.409,0.002,0.523,4750,28.59,24.30,8.65,12.70,6.25,10.11,1.03,3.38,12.66,4.16,6.07,9.79,0.098,0.158,82,0.268,0.716,0.245,0.000,0.039,17402,13770,3,0.691,0.000
290000,219,4.398,0.247,7.51,46423,8362,0,37543,687,1406,407662.6,68459.4,0.013,0.045,0.592,0.003,0.347,4672,61.80,5.18,37.80,8.31,4.75,7.37,0.21,2.20,19.03,3.46,4.64,7.30,0.075,0.115,48,0.174,0.813,0.178,0.000,0.009,20089,16738,2,0.731,0.000
300000,243,4.119,0.181,7.38,21844,7269,4,14215,332,790,408848.6,34017.8,0.009,0.084,0.399,0.009,0.499,12751,55.62,17.41,31.57,16.47,5.09,10.62,0.02,0.18,18.93,3.91,3.37,6.80,0.080,0.166,38,0.140,0.778,0.189,0.000,0.033,7217,5500,2,0.753,0.058
310000,222,4.266,0.174,8.89,19204,8349,6,10684,186,541,409899.7,20710.6,0.010,0.060,0.479,0.008,0.443,13315,61.14,8.08,35.65,7.61,3.41,5.91,0.10,0.66,21.98,4.93,3.19,5.41,0.054,0.096,70,0.099,0.820,0.176,0.000,0.005,6394,4894,1,0.982,0.018
320000,240,3.963,0.174,9.82,12253,8105,5,4120,5,269,410011.3,11034.4,0.011,0.023,0.484,0.004,0.478,16274,55.53,12.61,33.41,10.73,2.75,5.95,0.64,0.97,18.74,3.73,2.73,5.91,0.043,0.093,78,0.146,0.837,0.154,0.000,0.008,2845,1939,1,0.725,0.275
330000,262,3.747,0.178,9.30,24557,8575,7,15592,361,823,409659.9,26294.9,0.014,0.019,0.473,0.013,0.482,7430,49.72,15.44,28.84,12.18,3.34,6.23,0.60,1.66,16.94,5.01,3.09,5.79,0.061,0.115,89,0.126,0.737,0.244,0.000,0.019,9035,6835,2,0.775,0.000
340000,244,4.067,0.195,9.55,19885,8581,10,11237,75,441,407797.3,22852.8,0.021,0.025,0.262,0.003,0.689,10162,52.96,8.87,30.76,9.90,3.82,7.57,0.30,1.57,18.08,6.58,3.57,6.63,0.061,0.118,74,0.180,0.775,0.201,0.000,0.025,5800,4217,1,0.832,0.168
350000,242,3.847,0.173,10.99,20309,8770,21,11444,76,592,409662.2,22561.4,0.024,0.013,0.251,0.000,0.711,7950,54.12,7.82,35.62,5.67,1.37,3.04,0.26,1.00,16.86,3.46,1.35,2.92,0.024,0.050,95,0.145,0.880,0.120,0.000,0.000,6359,4622,1,1.000,0.000
360000,259,3.852,0.171,11.44,16087,8215,20,7765,70,413,410111.9,15652.7,0.004,0.019,0.303,0.001,0.673,8861,50.24,13.48,31.16,9.20,3.44,6.11,0.35,1.79,15.29,4.42,3.17,5.59,0.059,0.100,101,0.085,0.718,0.263,0.000,0.019,4573,2795,1,0.915,0.085
