step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,long_share,wide_share,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side
210000,5513,1.588,0.248,8.96,143229,96167,7989,4,39087,421,2206794.0,67.2,0.037,0.445,0.136,0.382,388,4.74,3.35,0.02,0.55,0.09,0.89,0.02,0.35,4.61,3.08,0.00,0.09,0.009,0.063,250,0.276,0.990,0.000,0.000,0.010,828309,809138,12,0.768,0.157,0.011,683500,0.091,1.264,0.029,333.34,261441,250,0.160,0.000,0.000,18895491,1.01,21.26,0.000,0.002,0.000,3,4,6,63,8300,0.127,320.41,0.0087,0.004,143,0.867,0.000,0.730,0.827,1.51,0.008,0.495,0.00,0.001,1.01,1.01,1.01
220000,5641,1.590,0.253,9.09,144265,97968,8156,12,38001,363,2176049.8,52.0,0.033,0.453,0.139,0.375,383,4.49,2.72,0.02,0.44,0.09,1.01,0.03,0.48,4.35,2.20,0.00,0.12,0.009,0.063,253,0.296,0.988,0.000,0.000,0.012,820290,800615,10,0.774,0.061,0.013,862451,0.096,1.273,0.029,334.87,266190,943,0.143,0.000,0.000,19399298,1.01,21.64,0.000,0.001,0.000,3,4,6,64,8380,0.128,318.88,0.0089,0.006,144,0.872,0.000,0.740,0.824,1.49,0.008,0.474,0.00,0.001,1.00,1.01,1.01
230000,5404,1.614,0.245,9.01,140234,93483,8431,5,38552,230,2176025.8,38.5,0.033,0.436,0.134,0.397,384,4.58,2.53,0.03,0.54,0.08,0.75,0.03,0.30,4.45,2.07,0.00,0.00,0.008,0.062,275,0.262,0.987,0.000,0.000,0.013,804450,782679,9,0.740,0.108,0.012,757308,0.092,1.250,0.028,329.77,262021,986,0.167,0.000,0.000,18554409,1.01,21.53,0.000,0.001,0.000,3,4,7,64,7888,0.120,323.98,0.0090,0.010,125,0.873,0.000,0.761,0.826,1.46,0.009,0.447,0.00,0.001,1.01,1.01,1.01
240000,5359,1.616,0.257,9.31,136899,90651,8434,12,37847,253,2191747.0,38.9,0.039,0.438,0.133,0.390,386,4.75,2.95,0.01,0.21,0.08,0.93,0.06,0.42,4.59,2.55,0.00,0.02,0.007,0.055,297,0.319,0.988,0.000,0.000,0.011,805841,785078,12,0.801,0.065,0.035,922881,0.093,1.285,0.030,327.07,260346,318,0.154,0.250,0.000,18221428,1.00,21.38,0.000,0.001,0.001,3,4,7,64,8219,0.125,326.69,0.0089,0.014,115,0.875,0.000,0.765,0.830,1.53,0.007,0.524,0.00,0.002,1.00,1.00,1.01
250000,5543,1.623,0.247,9.52,139716,92209,8136,4,39183,231,2184355.2,27.1,0.028,0.458,0.130,0.385,353,4.59,3.48,0.03,0.54,0.05,0.80,0.05,0.46,4.45,3.10,0.00,0.06,0.005,0.045,284,0.270,0.989,0.000,0.000,0.011,803922,783004,13,0.701,0.089,0.027,1784814,0.133,1.252,0.029,329.42,261945,125,0.117,0.000,0.000,19091598,1.01,21.61,0.000,0.001,0.000,3,4,6,64,8098,0.124,324.34,0.0088,0.007,120,0.875,0.000,0.756,0.827,1.46,0.008,0.449,0.00,0.001,1.01,1.01,1.02
260000,5648,1.609,0.251,9.57,140121,92184,8474,10,39348,245,2160960.5,38.1,0.030,0.460,0.121,0.389,371,4.50,2.64,0.01,0.22,0.08,1.21,0.03,0.41,4.38,2.14,0.00,0.10,0.006,0.054,283,0.262,0.991,0.000,0.000,0.009,795274,776104,12,0.762,0.044,0.011,902782,0.124,1.264,0.029,329.20,270870,984,0.155,0.000,0.000,19682706,1.01,21.67,0.000,0.000,0.000,3,4,6,60,8292,0.127,324.56,0.0087,0.004,137,0.885,0.000,0.770,0.824,1.47,0.012,0.456,0.00,0.002,1.00,1.01,1.01
270000,5294,1.596,0.264,9.52,138403,91245,8475,1,39036,382,2176505.2,34.9,0.027,0.426,0.141,0.406,375,4.45,2.44,0.03,0.86,0.07,0.80,0.02,0.29,4.33,2.02,0.00,0.03,0.007,0.063,220,0.293,0.989,0.000,0.000,0.010,812560,794227,13,0.774,0.016,0.007,571347,0.116,1.317,0.031,325.93,274013,13,0.091,1.000,0.000,17777862,1.01,21.71,0.000,0.000,0.000,3,4,6,64,7742,0.118,327.83,0.0095,0.009,123,0.873,0.000,0.782,0.830,1.46,0.014,0.448,0.00,0.001,1.01,1.01,1.02
280000,5511,1.583,0.263,9.61,140759,93110,8285,22,39125,267,2167099.8,56.6,0.028,0.389,0.157,0.426,376,4.47,2.52,0.01,0.31,0.08,0.82,0.02,0.24,4.36,2.29,0.00,0.00,0.009,0.068,264,0.295,0.988,0.000,0.000,0.012,817056,801570,12,0.740,0.028,0.009,745262,0.090,1.304,0.031,326.77,267242,1136,0.212,0.045,0.000,15919283,1.01,21.73,0.000,0.000,0.000,3,4,6,53,8155,0.124,326.99,0.0090,0.009,166,0.860,0.000,0.787,0.828,1.48,0.007,0.472,0.00,0.000,1.00,1.00,1.01
290000,5550,1.596,0.250,9.86,141311,92560,8092,3,40617,153,2176136.5,18.7,0.028,0.381,0.185,0.405,366,4.34,2.13,0.02,0.28,0.06,0.87,0.02,0.33,4.24,1.67,0.00,0.00,0.005,0.049,241,0.286,0.991,0.000,0.000,0.009,795891,781198,9,0.752,0.036,0.005,480680,0.114,1.262,0.029,325.42,273580,344,0.122,0.333,0.000,15439631,1.01,21.87,0.000,0.000,0.000,3,4,6,63,8022,0.122,328.34,0.0092,0.018,105,0.853,0.000,0.780,0.823,1.45,0.005,0.440,0.00,0.001,1.00,1.01,1.01
300000,5425,1.623,0.257,9.67,147111,95720,8517,4,42995,191,2201623.0,36.8,0.023,0.380,0.180,0.417,336,4.60,2.87,0.02,0.46,0.07,0.88,0.04,0.63,4.47,2.47,0.00,0.00,0.008,0.063,289,0.267,0.989,0.000,0.000,0.011,818833,803345,13,0.727,0.023,0.015,564335,0.123,1.295,0.030,329.79,277651,609,0.192,0.000,0.000,15477882,1.01,21.56,0.000,0.000,0.000,3,4,7,60,7855,0.120,323.96,0.0091,0.009,105,0.857,0.000,0.782,0.821,1.45,0.008,0.438,0.00,0.001,1.00,1.01,1.02
