step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage
100000,6,6,0,0,0,6,0,1.00,20,0.000,2646,1.80,209.83,0.00,80
100000,13,13,0,0,0,13,0,1.00,12,0.000,2635,3.17,210.79,0.00,12
100000,3,3,0,0,0,3,0,1.00,24,0.000,2634,1.24,154.79,0.00,80
100000,9,9,0,0,0,9,0,1.00,12,0.000,2632,1.36,182.74,0.00,131
100000,10,10,0,0,0,10,0,1.00,16,0.000,2631,1.98,244.92,0.00,55
100000,5,5,0,0,0,5,0,1.00,22,0.000,2625,1.35,142.79,0.00,49
100000,4,4,0,0,0,4,0,1.00,22,0.000,2623,1.92,200.35,0.00,80
100000,4,4,0,0,0,4,0,1.00,22,0.000,2618,1.85,208.31,0.00,80
100000,6,6,0,0,0,6,0,1.00,20,0.000,2615,2.32,160.34,0.00,55
100000,5,5,0,0,1,4,0,1.00,20,0.000,2615,1.65,191.83,0.00,131
100000,6,6,0,0,0,6,0,1.00,20,0.000,2611,1.69,207.37,0.00,131
100000,4,4,0,0,0,4,0,1.00,22,0.000,2611,0.66,200.50,0.00,131
100000,5,5,0,0,0,5,0,1.00,22,0.000,2607,1.89,136.55,0.00,49
100000,6,6,0,0,0,6,0,1.00,20,0.000,2607,1.90,166.74,0.00,55
100000,4,4,0,0,0,4,0,1.00,22,0.000,2604,2.09,206.99,0.00,131
100000,15,15,0,0,0,15,0,1.00,8,0.000,2603,1.84,228.55,0.00,131
100000,6,6,0,0,0,6,0,1.00,20,0.000,2603,1.62,175.81,0.00,80
100000,6,6,0,0,1,5,0,1.00,20,0.000,2602,1.94,213.67,0.00,55
100000,4,4,0,0,0,4,0,1.00,22,0.000,2600,2.07,202.02,0.00,131
100000,10,10,0,0,0,10,0,1.00,12,0.000,2598,1.64,235.29,0.00,131
100000,6,6,0,0,1,5,0,1.00,20,0.000,2593,1.72,211.47,0.00,55
100000,3,3,0,0,0,3,0,1.00,24,0.000,2589,0.86,127.61,0.00,223
100000,6,6,0,0,0,6,0,1.00,20,0.000,2578,1.36,230.47,0.00,131
100000,4,4,0,0,0,4,0,1.00,22,0.000,2578,1.98,181.19,0.00,55
100000,3,3,0,0,0,3,0,1.00,24,0.000,2577,2.02,136.02,0.00,80
100000,6,6,0,0,0,6,0,1.00,18,0.000,2576,1.90,174.71,0.00,80
100000,9,9,0,0,0,9,0,1.00,12,0.000,2576,2.34,159.87,0.00,131
100000,3,3,0,0,0,3,0,1.00,24,0.000,2575,0.54,132.52,0.00,223
100000,3,3,0,0,0,3,0,1.00,24,0.000,2575,0.06,137.89,0.00,80
100000,5,5,0,0,0,5,0,1.00,22,0.000,2573,2.10,199.02,0.00,179
100000,5,5,0,0,0,5,0,1.00,22,0.000,2573,1.95,166.02,0.00,55
100000,6,6,0,0,0,6,0,1.00,20,0.000,2571,2.06,150.70,0.00,223
100000,14,14,0,0,4,10,0,1.00,10,0.000,2570,2.83,201.02,0.00,55
100000,6,6,0,0,0,6,0,1.00,20,0.000,2568,2.21,197.69,0.00,80
100000,6,6,0,0,0,6,0,1.00,20,0.000,2566,2.12,138.49,0.00,55
100000,5,5,0,0,0,5,0,1.00,22,0.000,2564,1.34,150.62,0.00,55
100000,3,3,0,0,0,3,0,1.00,24,0.000,2564,2.10,148.17,0.00,223
100000,6,6,0,0,1,5,0,1.00,20,0.000,2562,1.54,233.80,0.00,55
100000,3,3,0,0,0,3,0,1.00,24,0.000,2561,1.93,147.36,0.00,80
100000,4,4,0,0,0,4,0,1.00,22,0.000,2558,1.18,129.73,0.00,51
100000,3,3,0,0,0,3,0,1.00,24,0.000,2556,2.02,140.42,0.00,223
100000,6,6,0,0,0,6,0,1.00,20,0.000,2555,1.51,145.83,0.00,49
100000,6,6,0,0,1,5,0,1.00,20,0.000,2554,1.83,221.78,0.00,55
100000,15,15,0,0,0,15,0,1.00,8,0.000,2553,1.81,229.30,0.00,131
100000,6,6,0,0,1,5,0,1.00,20,0.000,2550,2.06,224.62,0.00,55
100000,2,2,0,0,0,2,0,1.00,26,0.000,2548,0.62,97.96,0.00,131
100000,3,3,0,0,0,3,0,1.00,24,0.000,2547,1.18,147.41,0.00,80
100000,4,4,0,0,0,4,0,1.00,22,0.000,2544,1.17,194.78,0.00,131
100000,6,6,0,0,0,6,0,1.00,20,0.000,2541,1.86,159.48,0.00,55
100000,6,6,0,0,1,5,0,1.00,20,0.000,2541,1.71,199.98,0.00,55
100000,5,5,0,0,0,5,0,1.00,22,0.000,2541,1.86,129.34,0.00,49
100000,5,5,0,0,0,5,0,1.00,22,0.000,2539,2.06,147.41,0.00,55
100000,4,4,0,0,0,4,0,1.00,22,0.000,2538,1.68,124.26,0.00,154
100000,5,5,0,0,0,5,0,1.00,20,0.000,2536,1.66,134.99,0.00,131
100000,4,4,0,0,0,4,0,1.00,22,0.000,2531,1.36,200.19,0.00,80
100000,11,11,0,0,0,11,0,1.00,10,0.000,2531,2.29,207.21,0.00,131
100000,6,6,0,0,0,6,0,1.00,20,0.000,2530,2.16,163.07,0.00,55
100000,3,3,0,0,0,3,0,1.00,24,0.000,2528,1.42,138.41,0.00,223
100000,3,3,0,0,0,3,0,1.00,24,0.000,2528,1.69,143.91,0.00,131
100000,6,6,0,0,0,6,0,1.00,20,0.000,2526,1.90,171.33,0.00,131
100000,5,5,0,0,0,5,0,1.00,22,0.000,2526,1.53,175.45,0.00,55
100000,6,6,0,0,0,6,0,1.00,20,0.000,2523,1.35,158.58,0.00,80
100000,6,6,0,0,0,6,0,1.00,20,0.000,2521,1.55,139.41,0.00,80
100000,5,5,0,0,0,5,0,1.00,22,0.000,2520,1.82,142.92,0.00,49
100000,3,3,0,0,0,3,0,1.00,24,0.000,2518,1.35,140.40,0.00,80
100000,3,3,0,0,0,3,0,1.00,24,0.000,2517,1.72,147.94,0.00,80
100000,3,3,0,0,0,3,0,1.00,24,0.000,2517,1.26,120.89,0.00,154
100000,6,6,0,0,0,6,0,1.00,20,0.000,2516,0.86,152.57,0.00,55
100000,3,3,0,0,0,3,0,1.00,24,0.000,2515,1.66,119.76,0.00,80
100000,6,6,0,0,2,4,0,1.00,20,0.000,2511,1.22,199.22,0.00,55
100000,3,3,0,0,0,3,0,1.00,24,0.000,2509,1.42,136.52,0.00,223
100000,6,6,0,0,0,6,0,1.00,20,0.000,2506,1.66,159.97,0.00,55
100000,4,4,0,0,0,4,0,1.00,22,0.000,2504,1.44,175.02,0.00,80
100000,3,3,0,0,0,3,0,1.00,24,0.000,2503,2.11,139.43,0.00,80
100000,10,10,0,0,0,10,0,1.00,16,0.000,2500,2.33,237.16,0.00,55
100000,5,5,0,0,0,5,0,1.00,20,0.000,2496,2.47,200.89,0.00,80
100000,6,6,0,0,0,6,0,1.00,20,0.000,2495,1.42,165.59,0.00,55
100000,4,4,0,0,0,4,0,1.00,22,0.000,2491,2.23,145.72,0.00,80
100000,10,10,4,0,0,6,0,2.56,14,0.000,2483,1.92,178.18,0.00,223
100000,4,4,0,0,0,4,0,1.00,22,0.000,2482,2.30,171.38,0.00,131
100000,3,3,0,0,0,3,0,1.00,24,0.000,2477,1.72,124.53,0.00,206
100000,4,4,1,0,0,3,0,1.60,22,0.000,2475,1.32,140.68,0.00,223
100000,4,4,0,0,0,4,0,1.00,22,0.000,2473,1.75,147.59,0.00,80
100000,3,3,0,0,0,3,0,1.00,24,0.000,2469,1.55,139.16,0.00,223
100000,2,2,0,0,0,2,0,1.00,26,0.000,2468,1.96,96.77,0.00,55
100000,3,3,0,0,0,3,0,1.00,24,0.000,2466,1.22,147.90,0.00,12
100000,20,20,0,0,0,20,0,1.00,6,0.000,2464,2.86,224.93,0.00,131
100000,2,2,0,0,0,2,0,1.00,26,0.000,2458,1.00,97.56,0.00,55
100000,8,8,0,0,0,8,0,1.00,18,0.000,2456,1.70,148.59,0.00,49
100000,3,3,0,0,0,3,0,1.00,24,0.000,2451,1.09,139.77,0.00,214
100000,4,4,0,0,0,4,0,1.00,22,0.000,2447,1.42,137.30,0.00,216
100000,4,4,0,0,0,4,0,1.00,22,0.000,2445,2.10,121.53,0.00,51
100000,5,5,0,0,0,5,0,1.00,22,0.000,2440,1.68,125.82,0.00,49
100000,5,5,0,0,0,5,0,1.00,22,0.000,2440,1.27,153.57,0.00,179
100000,2,2,0,0,0,2,0,1.00,26,0.000,2437,1.26,92.43,0.00,80
100000,5,5,0,0,0,5,0,1.00,22,0.000,2437,2.38,131.05,0.00,49
100000,3,3,0,0,0,3,0,1.00,24,0.000,2433,1.37,134.44,0.00,80
100000,2,2,0,0,0,2,0,1.00,26,0.000,2431,1.25,95.98,0.00,55
100000,3,3,0,0,0,3,0,1.00,24,0.000,2430,1.88,141.89,0.00,223
100000,3,3,0,0,0,3,0,1.00,24,0.000,2428,1.24,138.59,0.00,223
100000,10,10,0,0,0,10,0,1.00,12,0.000,2428,2.42,216.13,0.00,131
100000,3,3,0,0,0,3,0,1.00,24,0.000,2420,1.38,143.88,0.00,131
100000,4,4,0,0,0,4,0,1.00,22,0.000,2416,1.50,179.43,0.00,131
100000,6,6,0,0,1,5,0,1.00,20,0.000,2415,1.73,169.61,0.00,55
100000,6,6,0,0,0,6,0,1.00,20,0.000,2414,1.79,155.54,0.00,55
100000,3,3,0,0,0,3,0,1.00,24,0.000,2413,1.08,144.12,0.00,80
100000,3,3,0,0,0,3,0,1.00,24,0.000,2401,2.24,141.47,0.00,80
100000,4,5,0,0,0,4,0,1.00,22,0.000,2401,1.64,159.65,0.00,179
100000,8,8,0,0,0,8,0,1.00,18,0.000,2401,2.00,158.81,0.00,49
100000,3,3,0,0,0,3,0,1.00,24,0.000,2396,1.64,143.76,0.00,214
100000,3,3,0,0,0,3,0,1.00,24,0.000,2395,1.49,138.96,0.00,80
100000,4,4,0,0,0,4,0,1.00,22,0.000,2394,1.47,154.86,0.00,131
100000,3,3,0,0,0,3,0,1.00,24,0.000,2385,2.20,137.93,0.00,223
100000,10,10,0,0,0,10,0,1.00,16,0.000,2382,1.89,152.68,0.00,80
