step,cause,age,size,mass,n,worn
10000,hunger,50,32,44,63,0
10000,hunger,50,32,48,66,0
10000,hunger,50,32,52,46,0
10000,hunger,50,32,56,60,0
10000,hunger,50,32,60,100,0
10000,hunger,50,32,64,72,0
10000,hunger,50,32,68,16,1
10000,hunger,50,32,76,2,0
10000,hunger,50,32,84,1,0
10000,hunger,50,32,96,1,0
10000,hunger,50,32,100,1,0
10000,hunger,50,32,120,3,0
10000,hunger,50,36,12,1,0
10000,hunger,50,36,20,6,0
10000,hunger,50,36,24,18,0
10000,hunger,50,36,28,55,0
10000,hunger,50,36,32,144,1
10000,hunger,50,36,36,211,1
10000,hunger,50,36,40,180,3
10000,hunger,50,36,44,80,0
10000,hunger,50,36,48,88,0
10000,hunger,50,36,52,108,0
10000,hunger,50,36,56,95,0
10000,hunger,50,36,60,122,0
10000,hunger,50,36,64,159,0
10000,hunger,50,36,68,346,1
10000,hunger,50,36,72,22,0
10000,hunger,50,36,76,5,0
10000,hunger,50,36,80,7,0
10000,hunger,50,36,84,5,0
10000,hunger,50,36,88,1,0
10000,hunger,50,36,92,2,0
10000,hunger,50,36,96,1,0
10000,hunger,50,36,100,2,0
10000,hunger,50,36,104,1,0
10000,hunger,50,36,108,1,0
10000,hunger,50,36,128,2,0
10000,hunger,50,36,136,1,0
10000,hunger,50,36,140,1,0
10000,hunger,50,40,20,2,0
10000,hunger,50,40,24,2,0
10000,hunger,50,40,28,4,0
10000,hunger,50,40,32,7,0
10000,hunger,50,40,36,20,0
10000,hunger,50,40,40,30,0
10000,hunger,50,40,44,29,0
10000,hunger,50,40,48,68,0
10000,hunger,50,40,52,25,0
10000,hunger,50,40,56,10,0
10000,hunger,50,40,60,14,0
10000,hunger,50,40,64,4,0
10000,hunger,50,40,68,6,0
10000,hunger,50,40,72,14,0
10000,hunger,50,40,76,22,0
10000,hunger,50,40,80,11,0
10000,hunger,50,40,84,5,0
10000,hunger,50,40,92,1,0
10000,hunger,50,40,96,2,0
10000,hunger,50,40,136,1,0
10000,hunger,50,44,24,2,0
10000,hunger,50,44,28,1,0
10000,hunger,50,44,32,9,0
10000,hunger,50,44,36,13,0
10000,hunger,50,44,40,19,1
10000,hunger,50,44,44,26,0
10000,hunger,50,44,48,28,1
10000,hunger,50,44,52,27,0
10000,hunger,50,44,56,39,1
10000,hunger,50,44,60,32,0
10000,hunger,50,44,64,18,0
10000,hunger,50,44,68,10,0
10000,hunger,50,44,72,5,0
10000,hunger,50,44,76,6,0
10000,hunger,50,44,80,15,0
