step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall
12000,1036,474,1962,2441,1613,479,0,2018,47,0,13632,111757,10165.518,1280.395,0.2501,427.963,0.061,0.775,0.124,0.040,0.398,0.373,102,0.1272,0.5653,0.141,32.4,61.3,93.4,53.97,0.95,19.87,1.89,31.27,7.63,1.093,0.340,0.066,0.068,13.913,0.468,0.0037,290,960,264,381,30,4,0.421,575,44,106,886,337,454,245,13.24,46.76,20567,23.0234,66927,37595,274778,92.1,-0.0,740166,9.412,2634796.300,1.03e-14,0.00023,31.67,821,2.153,1.092,1.059,0.003,2.154
13000,1192,643,2804,3257,2002,453,0,2586,60,2,23089,126826,14097.732,1929.406,0.2482,496.714,0.046,0.758,0.165,0.031,0.354,0.388,93,0.1604,0.5495,0.128,30.6,62.0,76.4,55.05,0.50,22.50,1.18,30.88,7.74,1.052,0.391,0.033,0.033,13.391,0.570,0.0036,256,825,276,232,42,5,0.628,710,106,125,961,362,424,406,16.14,49.37,19252,23.0171,66964,38574,259331,96.9,-0.0,756544,12.888,2634796.300,7.42e-15,0.00024,10.33,1153,2.513,1.102,1.407,0.004,2.513
14000,562,356,1396,1855,1239,459,0,2005,19,2,7345,71914,8763.012,1032.186,0.2968,487.113,0.076,0.772,0.115,0.037,0.346,0.399,44,0.2394,0.5458,0.164,30.9,63.1,84.4,54.61,0.65,20.45,1.65,31.87,7.69,1.080,0.351,0.052,0.053,15.983,0.557,0.0039,361,1229,311,93,48,6,0.553,336,56,57,449,217,175,170,17.49,60.46,19383,18.3288,66997,38715,247603,55.4,-0.0,770282,10.136,2634796.300,1.94e-15,0.00020,33.24,656,2.088,1.093,0.993,0.002,2.088
15000,974,403,1838,2111,1251,273,0,1393,32,1,10473,85458,9159.590,880.002,0.2357,262.797,0.028,0.809,0.140,0.023,0.385,0.374,32,0.1179,0.5630,0.152,30.9,63.7,74.0,55.33,0.27,22.84,1.43,30.79,7.68,1.076,0.386,0.013,0.015,13.582,0.445,0.0032,256,1090,278,141,47,6,0.704,514,3,93,878,120,432,422,16.21,54.73,19701,19.5412,66996,38990,240005,66.9,-0.0,776076,7.188,2634796.300,1.84e-14,0.00066,23.67,722,1.941,1.066,0.872,0.003,1.941
16000,685,401,1789,2524,1850,734,1,2030,47,1,11909,86825,9740.654,1278.524,0.2449,549.414,0.048,0.755,0.162,0.034,0.368,0.376,34,0.2074,0.5567,0.155,28.2,58.2,71.4,50.03,0.53,21.08,1.76,26.65,7.53,1.093,0.385,0.026,0.023,14.525,0.530,0.0037,303,870,229,100,27,6,0.545,423,10,119,556,116,444,125,13.29,52.58,17006,16.0058,66909,40443,232985,68.3,-0.0,787018,10.055,2634796.300,1.24e-15,0.00007,15.34,854,2.173,1.120,1.051,0.002,2.173
17000,799,316,1394,1707,1071,313,0,1257,22,1,8547,63396,7291.353,869.665,0.2647,304.000,0.031,0.815,0.129,0.025,0.397,0.360,31,0.1250,0.5639,0.131,28.5,63.7,71.2,52.77,0.25,23.21,1.53,27.79,7.49,1.082,0.403,0.014,0.011,13.702,0.432,0.0034,303,1118,241,124,104,5,0.666,414,17,79,703,145,421,233,15.17,59.97,19677,19.0836,66990,39908,224940,64.0,-0.0,791876,6.342,2634796.300,3.89e-15,0.00033,36.12,601,1.896,1.141,0.753,0.002,1.897
18000,1018,566,2469,3214,2150,744,1,2182,65,3,17110,123897,12697.105,1660.900,0.2549,570.673,0.033,0.772,0.171,0.024,0.381,0.360,64,0.1720,0.5632,0.132,29.9,60.9,69.1,52.15,0.48,22.86,2.26,26.55,7.51,1.074,0.407,0.027,0.028,14.624,0.574,0.0034,265,716,200,211,16,5,0.636,566,88,243,687,208,460,350,13.54,52.77,18639,21.2345,66965,39622,215581,93.5,-0.0,801280,10.833,2634796.300,2.83e-15,0.00034,9.52,1167,2.388,1.097,1.287,0.003,2.388
19000,1054,481,1986,2461,1589,475,0,1911,39,0,12125,97762,10434.695,1263.034,0.2684,449.311,0.033,0.765,0.170,0.032,0.379,0.380,26,0.1349,0.5671,0.154,27.2,48.4,69.1,46.23,0.52,19.12,2.90,23.70,7.20,1.102,0.369,0.045,0.046,13.044,0.450,0.0033,321,1050,281,116,53,4,0.459,629,409,169,476,151,466,437,14.44,57.41,19446,20.7780,66925,38389,206628,68.2,-0.0,809675,9.937,2634796.300,1.13e-14,0.00024,24.64,859,2.283,1.103,1.176,0.004,2.284
20000,843,451,1805,2219,1308,413,1,1982,33,1,11087,132491,10381.249,1147.873,0.2755,384.368,0.047,0.782,0.133,0.038,0.402,0.368,51,0.1757,0.5921,0.148,29.6,62.3,70.0,51.99,0.24,24.36,1.57,25.82,7.39,1.078,0.426,0.026,0.027,16.010,0.482,0.0033,304,1034,315,208,41,3,0.638,452,194,104,545,158,330,355,17.13,64.64,18815,19.2220,66926,36536,200119,46.5,-0.0,816997,9.945,2634796.300,3.15e-14,0.00000,20.54,800,2.325,1.116,1.207,0.002,2.327
21000,766,468,1753,2162,1381,408,1,1790,39,1,10564,98898,9432.498,1123.103,0.2843,372.260,0.043,0.774,0.152,0.031,0.357,0.387,49,0.1929,0.5829,0.153,25.9,54.5,69.3,47.92,0.27,20.40,1.38,25.87,7.22,1.093,0.374,0.026,0.025,15.170,0.576,0.0032,275,1095,321,122,58,3,0.424,419,20,44,702,205,371,190,15.66,63.66,17839,17.6349,66804,36549,195386,69.6,-0.0,823397,9.382,2634796.300,1.84e-14,0.00030,8.53,730,2.098,1.077,1.020,0.002,2.098
22000,1075,508,1810,2770,2004,958,2,1441,57,3,12720,104790,9479.270,1444.656,0.2800,554.157,0.054,0.766,0.149,0.030,0.409,0.363,80,0.1068,0.5816,0.139,31.6,61.6,71.1,50.07,0.37,22.68,2.08,24.94,7.37,1.150,0.378,0.019,0.020,13.851,0.447,0.0030,284,1197,310,106,80,3,0.417,536,6,39,1030,205,583,287,10.15,51.29,18231,19.1091,66799,36392,189840,138.7,-0.0,827179,7.450,2634796.300,1.59e-15,0.00337,31.86,852,2.087,1.129,0.955,0.003,2.087
23000,882,509,2162,3549,2566,1379,8,2292,63,0,18636,131076,12401.705,2202.772,0.2645,970.685,0.072,0.702,0.199,0.027,0.393,0.350,79,0.1882,0.5579,0.151,32.1,65.8,72.2,53.15,0.37,25.84,1.36,25.58,7.52,1.106,0.436,0.040,0.039,16.529,0.517,0.0034,324,864,329,218,35,3,0.608,486,14,104,764,198,460,224,13.64,65.27,16343,18.8931,66881,37266,183186,62.9,-0.0,835993,11.592,2634796.300,6.01e-15,0.00049,11.13,1045,2.319,1.065,1.252,0.002,2.319
24000,749,417,1451,1689,932,238,0,1547,36,1,10832,82963,8838.922,1031.371,0.2707,298.258,0.029,0.791,0.154,0.026,0.357,0.365,59,0.1942,0.5546,0.145,33.7,63.6,69.3,51.72,0.29,23.95,0.88,26.60,7.47,1.106,0.414,0.020,0.017,16.412,0.509,0.0031,333,1128,394,169,86,3,0.487,411,64,92,593,227,304,218,16.75,77.45,18609,19.6948,66960,38376,175993,57.3,-0.0,841513,8.880,2634796.300,1.17e-14,0.00043,20.30,580,1.955,1.070,0.883,0.002,1.955
25000,1154,495,1967,2237,1239,270,0,1523,37,2,10587,94558,10455.330,946.870,0.2365,320.883,0.025,0.777,0.163,0.034,0.380,0.357,30,0.1226,0.5554,0.116,35.5,65.8,71.6,52.60,0.25,25.51,0.55,26.29,7.48,1.119,0.427,0.023,0.023,14.221,0.412,0.0030,281,1105,476,105,104,3,0.475,575,60,98,996,461,351,342,14.25,67.82,20738,22.7520,67109,38017,171080,78.2,-0.0,842657,8.424,2634796.300,8.48e-15,0.00033,32.07,747,1.910,1.037,0.869,0.004,1.910
26000,722,471,2004,3227,2407,1222,1,2389,45,2,15657,97653,11792.411,1894.981,0.2420,947.718,0.035,0.690,0.244,0.031,0.374,0.356,121,0.2335,0.5434,0.124,35.2,65.8,72.1,53.69,0.33,25.85,0.36,27.15,7.58,1.099,0.431,0.015,0.018,15.521,0.596,0.0036,333,932,457,144,177,3,0.446,411,99,130,493,255,252,215,14.00,64.47,16621,16.7696,67050,39026,167598,70.2,-0.0,852135,12.448,2634796.300,1.38e-14,0.00086,11.77,1242,2.289,1.114,1.173,0.002,2.289
27000,578,249,950,1163,686,213,0,1081,9,4,4813,51423,5658.513,536.469,0.2590,224.823,0.022,0.801,0.142,0.036,0.398,0.358,19,0.1471,0.5551,0.135,35.2,60.5,70.0,50.22,0.22,22.52,0.54,26.94,7.29,1.111,0.391,0.016,0.014,14.434,0.453,0.0033,402,1582,331,52,59,5,0.398,300,8,62,508,52,364,162,17.34,81.85,18103,15.7347,67019,39298,164894,38.4,-0.0,854061,5.953,2634796.300,2.54e-14,0.00160,35.39,374,1.645,1.123,0.521,0.001,1.645
28000,802,413,1761,2386,1584,624,1,1505,31,1,9508,86150,9519.078,988.444,0.2115,485.708,0.022,0.741,0.206,0.031,0.384,0.365,22,0.1486,0.5561,0.142,35.2,65.8,70.6,54.17,0.25,24.90,0.42,28.61,7.55,1.095,0.414,0.022,0.024,15.007,0.480,0.0032,279,818,334,104,55,5,0.621,399,9,80,713,112,426,264,14.21,56.96,17118,17.3677,66991,39824,163565,65.3,-0.0,855274,7.771,2634796.300,8.84e-16,0.00020,20.43,815,1.917,1.119,0.797,0.002,1.917
29000,792,367,1661,1991,1243,328,2,1648,22,1,7587,80598,9248.314,803.603,0.2555,319.014,0.029,0.747,0.197,0.028,0.380,0.357,25,0.1669,0.5493,0.152,32.3,63.7,71.3,50.64,0.64,23.57,1.07,25.36,7.35,1.109,0.403,0.044,0.047,14.445,0.485,0.0033,323,992,276,86,36,5,0.294,415,23,189,580,158,426,208,15.10,65.98,16243,16.6599,66919,40674,160290,67.9,-0.0,859664,8.857,2634796.300,1.06e-15,0.00073,15.85,645,1.971,1.129,0.840,0.002,1.971
30000,964,490,1600,2148,1313,547,1,1401,26,1,7907,71694,9737.630,920.373,0.2571,412.192,0.020,0.747,0.210,0.023,0.401,0.339,71,0.1302,0.5477,0.156,33.1,67.5,71.3,53.15,0.28,25.92,1.22,25.74,7.50,1.099,0.432,0.017,0.015,15.446,0.500,0.0030,311,1002,305,74,62,5,0.656,444,52,215,697,214,377,373,13.09,57.95,17166,19.1367,66989,39088,156067,84.3,-0.0,861895,8.060,2634796.300,1.24e-15,0.00016,32.73,694,1.925,1.069,0.854,0.002,1.928
31000,1073,480,1885,2298,1378,412,1,1741,33,2,10322,113689,10373.173,1044.533,0.2589,376.378,0.015,0.790,0.173,0.022,0.408,0.340,49,0.1414,0.5696,0.136,30.7,58.7,70.9,50.18,0.23,23.88,2.05,24.02,7.29,1.089,0.419,0.017,0.014,14.205,0.473,0.0031,311,959,323,130,41,5,0.547,544,437,184,452,150,397,526,14.63,66.94,18227,20.4807,66895,38079,152567,117.8,-0.0,864215,9.546,2634796.300,2.09e-14,0.00024,7.71,714,2.195,1.093,1.099,0.003,2.195
32000,756,446,1680,2119,1286,437,2,1966,31,0,10237,110229,10300.023,1179.245,0.2738,478.600,0.017,0.761,0.196,0.025,0.382,0.356,60,0.2153,0.5688,0.126,30.8,63.2,71.3,50.80,0.13,26.27,1.85,22.55,7.36,1.098,0.453,0.009,0.009,17.155,0.532,0.0033,328,978,364,144,71,4,0.608,409,151,130,475,175,362,219,15.61,71.98,16706,17.4294,66810,36840,150211,48.0,-0.0,869069,10.514,2634796.300,2.21e-14,0.00082,26.07,683,2.379,1.138,1.239,0.002,2.379
33000,754,370,1326,1512,762,184,2,1311,15,2,4476,50133,8214.143,569.931,0.2962,238.538,0.015,0.781,0.182,0.022,0.323,0.377,46,0.1869,0.5583,0.146,32.5,66.0,70.6,52.58,0.14,26.19,1.43,24.82,7.44,1.101,0.442,0.005,0.005,15.345,0.509,0.0030,342,1258,366,36,79,3,0.682,369,17,53,684,175,323,256,18.46,88.27,16167,15.8836,66787,35998,148455,42.3,0.0,871678,8.097,2634796.300,1.03e-14,0.00110,17.88,509,1.909,1.099,0.808,0.002,1.909
34000,1038,364,1769,3167,2504,1377,21,1468,14,3,5409,94155,8987.285,1096.778,0.3004,690.569,0.029,0.773,0.162,0.037,0.383,0.372,25,0.1226,0.5937,0.170,19.2,40.7,69.1,40.63,0.26,15.09,1.57,23.71,7.06,1.092,0.285,0.005,0.003,12.233,0.461,0.0029,303,1122,388,70,94,3,0.684,434,4,66,968,261,558,219,15.44,73.20,15556,16.4538,66720,36985,146100,141.8,-0.0,874165,7.776,2634796.300,3.53e-15,0.00168,10.03,958,2.001,1.067,0.931,0.002,2.001
35000,992,423,1672,2902,2125,1220,10,1706,11,1,6228,102072,10120.980,1222.828,0.2952,763.147,0.025,0.730,0.195,0.051,0.368,0.382,29,0.1359,0.5821,0.164,34.6,64.1,71.3,53.91,0.25,25.65,1.21,26.81,7.50,1.088,0.427,0.011,0.011,15.210,0.425,0.0032,332,846,363,90,54,3,0.694,475,10,66,916,218,400,374,15.74,73.43,16329,18.8174,66855,37189,142689,51.4,-0.0,876008,8.765,2634796.300,1.33e-14,0.00045,33.64,852,2.022,1.014,1.005,0.003,2.022
36000,713,457,1672,1936,1153,264,0,1929,21,1,8510,99731,9847.491,910.324,0.2669,342.390,0.022,0.771,0.182,0.025,0.358,0.376,52,0.2234,0.5640,0.134,32.1,63.5,70.1,52.53,0.20,26.10,1.02,25.21,7.43,1.084,0.448,0.007,0.007,16.708,0.544,0.0034,293,953,416,107,99,2,0.659,379,49,152,512,192,311,210,15.77,71.06,16900,18.5455,66937,38073,138567,51.7,-0.0,880574,10.335,2634796.300,1.15e-14,0.00015,11.63,619,2.144,1.087,1.056,0.001,2.144
37000,785,380,1354,1648,922,291,3,1271,9,2,4370,48285,8675.612,549.074,0.2449,281.504,0.025,0.746,0.207,0.022,0.348,0.367,27,0.1579,0.5510,0.146,34.9,68.0,71.1,56.78,0.19,29.49,0.72,26.37,7.64,1.076,0.474,0.017,0.017,17.422,0.475,0.0030,332,1292,350,25,59,2,0.762,360,106,106,573,295,224,266,18.02,77.19,18540,19.2458,66953,38742,136063,47.3,-0.0,880895,7.655,2634796.300,1.27e-14,0.00015,24.14,546,1.794,1.017,0.775,0.002,1.794
38000,744,425,1623,1924,1064,301,0,1638,26,0,9140,77760,9478.013,960.012,0.2709,340.961,0.021,0.777,0.189,0.014,0.366,0.348,88,0.2092,0.5522,0.147,34.4,61.7,70.1,50.53,0.16,25.77,0.79,23.81,7.28,1.101,0.457,0.016,0.017,15.864,0.558,0.0032,310,1069,356,201,67,2,0.586,381,64,43,637,257,259,228,17.32,74.34,16696,16.5113,66997,38417,135089,52.4,-0.0,884256,9.485,2634796.300,1.77e-16,0.00039,31.31,638,1.931,1.026,0.904,0.002,1.931
39000,461,224,688,755,325,67,0,957,13,1,3132,34842,5121.773,399.123,0.3243,145.227,0.018,0.821,0.144,0.018,0.375,0.337,20,0.2088,0.5551,0.121,35.6,67.0,70.6,53.60,0.08,28.47,0.68,24.38,7.43,1.099,0.475,0.007,0.009,16.838,0.384,0.0032,432,1460,297,21,91,3,0.714,217,3,34,424,76,248,137,22.05,100.96,18076,15.0711,66874,39799,135553,29.0,-0.0,883635,5.852,2634796.300,1.06e-14,0.00015,12.25,234,1.558,1.069,0.488,0.001,1.558
40000,1170,475,2287,3663,2701,1373,3,1549,29,0,10639,97375,11385.141,1620.580,0.2624,922.663,0.047,0.728,0.203,0.023,0.398,0.326,59,0.1267,0.5623,0.162,30.3,57.2,69.3,50.44,0.14,22.25,1.25,26.79,7.34,1.076,0.381,0.014,0.015,12.479,0.556,0.0029,278,760,298,122,32,3,0.568,520,10,156,1004,206,631,333,12.41,58.94,14543,16.3704,66860,39981,135692,84.9,-0.0,884916,8.544,2634796.300,1.17e-14,0.00167,36.36,1188,2.103,1.069,1.030,0.004,2.105
41000,647,336,1093,1251,689,158,0,1590,24,2,5450,61870,6952.144,595.040,0.2710,225.790,0.041,0.784,0.152,0.023,0.383,0.343,36,0.1925,0.5658,0.160,30.6,57.8,69.1,49.70,0.20,23.97,1.47,24.06,7.27,1.089,0.430,0.017,0.019,14.367,0.473,0.0038,341,1003,290,63,52,3,0.575,317,14,97,536,124,377,146,16.03,78.01,15566,15.3737,66862,40011,133713,43.8,-0.0,887485,8.124,2634796.300,2.30e-14,0.00010,15.95,382,1.907,1.119,0.787,0.001,1.908
42000,959,477,1714,2218,1378,504,0,1380,22,0,8520,72459,9808.649,937.717,0.2555,393.466,0.018,0.769,0.199,0.015,0.383,0.344,27,0.1408,0.5578,0.147,34.5,65.3,72.9,53.91,0.36,26.12,1.18,26.25,7.50,1.074,0.446,0.060,0.063,14.219,0.516,0.0029,288,980,300,62,50,3,0.707,503,150,190,619,111,413,435,13.19,62.21,16634,19.1115,66786,39696,131333,80.4,-0.0,887554,7.942,2634796.300,1.06e-15,0.00025,16.82,755,1.904,1.019,0.882,0.003,1.904
43000,857,448,1912,2361,1386,448,1,1981,32,1,12113,113129,10369.073,1236.464,0.2692,421.187,0.025,0.816,0.143,0.016,0.400,0.340,53,0.1963,0.5724,0.119,30.8,55.7,70.8,49.73,0.32,24.25,1.18,23.97,7.26,1.101,0.442,0.056,0.056,14.724,0.506,0.0034,309,909,341,176,107,3,0.589,450,195,139,523,194,323,340,17.00,66.56,15935,17.8225,66802,37481,129203,76.2,-0.0,890686,10.022,2634796.300,2.70e-14,0.00000,28.99,736,2.112,1.037,1.073,0.002,2.112
44000,755,411,1307,1658,1000,350,1,1376,33,0,8302,67452,8420.696,950.822,0.2983,331.785,0.030,0.800,0.153,0.016,0.342,0.366,54,0.1883,0.5527,0.156,38.0,66.6,77.0,55.82,0.34,27.70,0.69,27.09,7.64,1.102,0.453,0.033,0.032,16.376,0.523,0.0031,335,1142,240,92,17,3,0.714,389,195,77,483,149,278,328,16.82,77.54,15833,16.3616,66657,36734,128095,53.5,-0.0,892144,7.996,2634796.300,1.86e-14,0.00033,6.88,559,1.755,0.993,0.760,0.002,1.755
45000,701,394,1353,1619,879,266,0,1381,26,0,10015,55250,8498.110,917.221,0.2593,268.107,0.026,0.781,0.173,0.019,0.319,0.372,40,0.2055,0.5395,0.150,33.8,61.1,72.0,51.22,0.28,26.64,1.09,23.21,7.37,1.123,0.460,0.057,0.060,16.600,0.499,0.0031,333,1128,212,143,22,3,0.602,405,9,61,631,139,332,230,17.00,79.22,15216,15.5547,66589,36319,127446,53.4,-0.0,893718,8.262,2634796.300,2.95e-14,0.00040,27.80,564,1.802,1.009,0.791,0.002,1.802
46000,769,425,1424,1692,988,267,1,1320,36,0,11480,67194,8434.376,998.625,0.2599,252.752,0.021,0.800,0.162,0.017,0.330,0.371,53,0.1854,0.5530,0.120,35.4,61.1,72.0,52.22,0.46,25.50,0.71,25.56,7.48,1.107,0.432,0.069,0.070,16.712,0.549,0.0030,292,1126,252,111,1,3,0.503,457,9,48,712,153,381,235,17.02,76.34,15722,16.6972,66621,36511,126302,60.6,-0.0,893948,7.641,2634796.300,2.85e-14,0.00054,16.52,580,1.887,1.099,0.787,0.002,1.887
47000,839,447,1549,2006,1269,456,1,1444,35,0,9603,58429,9536.390,1089.190,0.2740,431.337,0.037,0.749,0.197,0.017,0.299,0.385,80,0.1792,0.5357,0.150,33.6,60.4,72.0,51.22,0.27,25.16,1.85,23.93,7.37,1.144,0.438,0.023,0.021,15.851,0.496,0.0031,327,1005,389,109,62,3,0.555,476,19,117,703,190,440,209,16.25,83.21,16362,18.1483,66630,37923,124193,63.8,-0.0,895226,8.643,2634796.300,2.40e-14,0.00020,12.20,759,1.977,1.096,0.877,0.003,1.977
48000,916,464,1672,1990,1154,318,0,1544,50,1,13331,77438,9273.652,1240.050,0.2785,312.000,0.020,0.810,0.149,0.021,0.340,0.361,66,0.1774,0.5563,0.127,35.6,54.9,70.8,49.71,0.30,26.39,0.81,22.20,7.26,1.147,0.461,0.027,0.026,15.425,0.496,0.0031,282,1029,424,162,74,3,0.486,490,55,104,757,375,275,266,17.28,85.58,18362,20.0172,66794,37827,122134,68.8,-0.0,894883,8.469,2634796.300,6.54e-15,0.00008,35.52,766,1.850,1.017,0.830,0.003,1.850
