step,id,lineage,age,turns,mass,size,side,density,born_size,born_mass,born_hard,born_muscle,born_sensor,born_digestive,born_bite,hard,muscle,sensor,digestive,bite,bite_any,shell,speed,energy,fat,plant,meat,killed,scavenged,travel,path,worn,pace,place,born_place,temp,moist,height,cells
10000,29346,2,2230,1307,41.91,52,8,0.901,64,52.27,0,15,12,37,0,0,15,11,26,0,0,1.00,0.358,0.136,3.742,138.333,3.675,0.000,3.675,29.50,78.25,3,0.618,7,1,6.5,0.422,463,4044400044444000044440004443333244033322443332224443222244422222
10000,29398,1,2157,1445,35.64,33,7,1.080,33,35.64,0,15,0,18,0,0,15,0,18,0,0,1.00,0.421,0.000,39.193,116.290,10.792,7.732,3.060,61.70,182.75,0,0.670,6,4,37.0,0.160,375,4444444444444444000244000002200000222000222222222
10000,29502,1,2081,1528,29.03,28,7,1.037,30,31.10,0,16,0,14,0,0,14,0,14,0,0,1.00,0.482,0.000,1.909,94.210,3.645,3.276,0.370,115.46,210.00,0,0.742,6,6,52.8,0.110,3,4444444444424440000222000002000000220000202222220
10000,29646,2,1972,1090,52.27,64,8,0.901,64,52.27,0,15,12,37,0,0,15,12,37,0,0,1.00,0.287,0.000,100.046,193.934,0.933,0.000,0.933,56.79,73.00,0,0.553,6,1,26.8,0.313,66,4444444444444444444443444443333244433322443332224443222244422222
10000,29673,1,1946,1610,20.74,20,7,1.037,30,31.10,0,16,0,14,0,0,10,0,10,0,0,1.00,0.482,0.000,18.640,105.647,1.357,0.000,1.357,111.87,218.00,2,0.878,6,8,25.6,0.051,138,4440444004424400000220000002000000200000220000222
10000,29791,1,1817,1427,25.92,25,7,1.037,27,27.99,0,16,0,11,0,0,14,0,11,0,0,1.00,0.540,0.000,38.255,114.717,0.041,0.000,0.041,85.00,244.50,0,0.786,7,4,41.4,0.066,5,4444442444002440000020000002000000222000202222220
10000,29807,1,1803,1293,31.10,30,7,1.037,30,31.10,0,16,0,14,0,0,16,0,14,0,0,1.00,0.514,0.000,15.100,106.824,0.186,0.000,0.186,97.40,141.75,0,0.717,7,6,12.5,0.156,7,4444444444424440000222000002000000220000222222222
10000,29821,1,1791,1002,48.68,48,8,1.014,57,57.81,0,30,0,27,0,0,28,0,20,0,0,1.00,0.575,0.000,7.251,116.762,1.964,0.946,1.017,99.75,99.75,0,0.573,4,7,-10.7,0.440,73,0000000444444444444444442220024422200024222002222222222022222220
10000,29833,1,1780,1387,6.22,6,7,1.037,30,31.10,0,15,0,15,0,0,5,0,1,0,0,1.00,0.804,0.000,11.292,111.278,2.048,0.000,2.048,75.86,270.25,0,1.000,8,7,36.7,0.725,788,0000000000000000000000000000000000020000004222200
10000,29848,1,1767,1297,29.67,28,7,1.060,28,29.67,0,13,0,15,0,0,13,0,15,0,0,1.00,0.438,0.000,57.078,108.439,16.694,16.274,0.420,188.75,188.75,0,0.734,7,7,13.4,0.475,27,4444444444424440000240000002000000200000222222222
10000,29868,1,1748,1211,30.22,28,7,1.079,33,35.61,0,18,0,15,0,0,18,0,10,0,0,1.00,0.596,2.954,70.263,124.886,43.519,37.627,5.891,33.08,207.75,0,0.728,7,8,48.5,0.374,920,0004400444044440000242000002200002222200222222222
10000,29952,1,1647,867,57.74,51,8,1.132,51,57.74,0,37,0,14,0,0,37,0,14,0,0,1.00,0.641,4.837,97.238,139.688,6.270,5.693,0.577,11.45,105.25,0,0.526,7,7,42.8,0.438,77,4444444444222444222222242220002222000022220000222220022222222222
10000,29959,2,1639,906,51.37,63,8,0.901,64,52.27,0,15,12,37,0,0,15,12,36,0,0,1.00,0.292,0.000,21.027,97.874,0.392,0.000,0.392,47.25,47.25,1,0.558,6,4,23.0,0.430,35,4444444444044444444443444443333244433322443332224443222244422222
10000,30018,1,1584,1257,5.18,5,7,1.037,30,31.10,0,16,0,14,0,0,5,0,0,0,0,1.00,0.965,0.000,0.529,77.519,2.587,2.080,0.507,132.15,205.75,0,1.000,7,2,2.4,0.641,383,0000000000000000000000000000000000000000000022222
10000,30052,1,1560,832,56.15,49,8,1.146,49,56.15,0,28,0,21,0,0,28,0,21,0,0,1.00,0.499,0.064,47.273,69.173,49.764,44.299,5.465,64.04,115.25,0,0.534,6,2,22.9,0.203,408,4444444244444422444000224400002244000022420000222222222222222222
10000,30099,1,1515,1112,29.67,28,7,1.060,28,29.67,0,13,0,15,0,0,13,0,15,0,0,1.00,0.438,0.040,58.875,107.037,0.173,0.000,0.173,142.51,176.00,0,0.734,3,7,-0.2,0.250,1327,4444444444424440000240000002000000200000222222222
10000,30101,1,1514,1111,29.67,28,7,1.060,28,29.67,0,13,0,15,0,0,13,0,15,0,0,1.00,0.438,0.000,11.639,81.953,2.561,0.000,2.561,65.77,158.50,0,0.734,8,8,42.8,0.643,1012,4444444444424440000240000002000000200000222222222
10000,30104,2,1512,842,50.47,62,8,0.901,64,52.27,0,15,12,37,0,0,15,12,35,0,0,1.00,0.297,0.000,42.642,127.194,1.277,0.000,1.277,48.50,48.50,0,0.563,6,1,8.2,0.335,17,4440044444444444444443444443333244433322443332224443222244422222
10000,30143,1,1475,1181,21.77,21,7,1.037,32,33.18,0,15,0,17,0,0,9,0,12,0,0,1.00,0.413,0.000,14.941,74.246,2.221,1.024,1.196,77.59,96.25,0,0.857,7,2,44.7,0.311,25,0044000444400044000004000000400002040002204222222
10000,30207,1,1426,1072,27.99,27,7,1.037,30,31.10,0,16,0,14,0,0,16,0,11,0,0,1.00,0.572,0.000,10.356,60.550,17.459,15.738,1.721,72.75,128.75,0,0.756,6,6,14.8,0.125,39,4444000444424440000222000002000000220000222222222
10000,30228,1,1406,919,36.03,35,7,1.029,48,49.41,0,32,0,16,0,0,25,0,10,0,0,1.00,0.694,0.000,23.626,77.142,7.858,7.498,0.360,143.25,143.25,0,0.666,8,2,9.9,0.969,5,0000024022224002224402220440222244022222402222240
10000,30246,1,1396,1025,29.67,28,7,1.060,28,29.67,0,13,0,15,0,0,13,0,15,0,0,1.00,0.438,0.000,34.016,84.060,0.002,0.000,0.002,149.75,149.75,0,0.734,7,8,12.7,0.427,47,4444444444424440000240000002000000200000222222222
10000,30266,1,1381,987,30.39,29,7,1.048,30,31.44,0,17,0,13,0,0,17,0,12,0,0,1.00,0.559,0.000,31.712,85.279,4.524,3.321,1.204,134.20,207.00,0,0.726,4,4,-1.8,0.604,99,4444440444004440000022000002200000222200222222222
10000,30280,1,1370,1013,28.61,27,7,1.060,28,29.67,0,13,0,15,0,0,13,0,14,0,0,1.00,0.454,0.000,18.371,69.650,0.361,0.000,0.361,119.70,126.50,1,0.748,6,7,85.2,0.054,34,4444404444424440000240000002000000200000222222222
10000,30301,1,1349,962,31.44,30,7,1.048,30,31.44,0,17,0,13,0,0,17,0,13,0,0,1.00,0.541,0.000,25.607,83.136,6.255,6.232,0.023,152.40,175.75,0,0.713,2,5,-10.8,1.000,18,4444444444004440000022000002200000222200222222222
10000,30319,2,1333,737,52.27,64,8,0.901,64,52.27,0,15,12,37,0,0,15,12,37,0,0,1.00,0.287,0.000,36.776,88.964,1.759,0.000,1.759,27.28,42.00,0,0.553,6,1,23.5,0.327,39,4444444444444444444443444443333244433322443332224443222244422222
10000,30338,1,1323,985,20.96,20,7,1.048,30,31.44,0,17,0,13,0,0,12,0,8,0,0,1.00,0.573,0.196,35.695,107.446,4.105,4.061,0.044,148.26,153.50,0,0.874,4,2,8.2,0.475,38,4404400444000040000002000000200000022200002222222
10000,30377,2,1305,850,33.63,42,7,0.874,48,38.88,0,25,7,16,0,0,19,7,16,0,0,1.00,0.565,1.529,59.583,114.800,0.611,0.000,0.611,20.95,159.25,0,0.690,7,1,-0.5,0.525,336,4444444444332244332224330222432222242222224000000
10000,30385,2,1298,718,52.27,64,8,0.901,64,52.27,0,15,12,37,0,0,15,12,37,0,0,1.00,0.287,0.000,7.950,87.271,0.977,0.000,0.977,29.14,33.50,0,0.553,6,4,26.3,0.286,42,4444444444444444444443444443333244433322443332224443222244422222
10000,30388,2,1294,715,52.27,64,8,0.901,64,52.27,0,15,12,37,0,0,15,12,37,0,0,1.00,0.287,0.000,22.747,87.759,5.699,5.090,0.609,41.31,62.50,0,0.553,7,2,0.3,0.508,384,4444444444444444444443444443333244433322443332224443222244422222
10000,30396,1,1290,895,33.18,32,7,1.037,32,33.18,0,15,0,17,0,0,15,0,17,0,0,1.00,0.452,0.000,6.418,58.963,0.000,0.000,0.000,88.50,88.50,0,0.694,7,2,53.5,0.085,36,4444444444402244000024000002400002240002224222222
10000,30433,1,1269,831,37.25,34,7,1.096,34,37.25,0,17,0,17,0,0,17,0,17,0,0,1.00,0.456,0.000,36.047,75.788,11.963,10.625,1.338,101.61,123.00,0,0.655,7,2,34.1,0.350,188,4444444444444440000244000002200002222200222222222
10000,30439,1,1267,894,31.77,29,7,1.096,34,37.25,0,17,0,17,0,0,17,0,12,0,0,1.00,0.535,3.336,27.716,63.205,16.061,12.137,3.924,97.25,128.75,0,0.710,7,2,28.0,0.360,264,0004400444444440000244000002200002222200222222222
10000,30442,1,1266,968,26.49,25,7,1.060,28,29.67,0,13,0,15,0,0,13,0,12,0,0,1.00,0.491,0.905,62.882,109.459,2.388,2.220,0.168,71.12,138.50,0,0.777,7,8,7.6,0.835,972,4444000444424440000240000002000000200000222222222
10000,30636,2,1160,744,38.88,48,7,0.874,48,38.88,0,25,7,16,0,0,25,7,16,0,0,1.00,0.643,3.925,34.349,92.483,0.643,0.000,0.643,22.64,115.50,0,0.642,7,2,5.5,0.663,477,4444444444332244332224330222432222242222224222222
10000,30640,1,1159,826,31.44,30,7,1.048,30,31.44,0,17,0,13,0,0,17,0,13,0,0,1.00,0.541,0.000,55.566,84.034,0.656,0.000,0.656,143.11,157.25,0,0.713,7,2,8.7,0.538,205,4444444444004440000022000002200000222200222222222
10000,30675,1,1136,836,29.54,29,8,1.019,29,29.54,0,15,0,14,0,0,15,0,14,0,0,1.00,0.508,1.494,22.047,71.349,0.704,0.000,0.704,29.56,163.00,0,0.736,7,8,60.9,0.572,583,4444444444400044400000020000000200000002000000220000002222222222
10000,30677,1,1135,646,49.28,43,8,1.146,43,49.28,0,19,0,24,0,0,19,0,24,0,0,1.00,0.386,1.309,58.482,92.341,-0.000,0.000,-0.000,33.77,74.00,0,0.570,7,8,13.6,0.274,312,4444444444444444444000444200002440000022200000222200002222222222
10000,30703,1,1123,805,31.10,30,7,1.037,30,31.10,0,16,0,14,0,0,16,0,14,0,0,1.00,0.514,0.000,57.707,92.569,0.425,0.000,0.425,104.63,142.25,0,0.717,6,7,43.3,0.032,25,4444444444424440000222000002000000220000222222222
10000,30722,1,1113,798,31.10,30,7,1.037,30,31.10,0,16,0,14,0,0,16,0,14,0,0,1.00,0.514,0.000,17.253,62.182,0.002,0.000,0.002,88.91,124.75,0,0.717,6,6,20.6,0.182,575,4444444444424440000222000002000000220000222222222
10000,30733,2,1108,759,33.63,42,7,0.874,48,38.88,0,25,7,16,0,0,25,7,10,0,0,1.00,0.743,0.545,29.262,72.442,2.206,0.000,2.206,9.41,166.75,0,0.690,7,2,2.4,0.613,215,4000000444332244332224330222432222242222224222222
10000,30755,1,1094,790,30.65,29,7,1.057,32,33.82,0,17,0,15,0,0,15,0,14,0,0,1.00,0.489,0.058,58.002,89.655,8.821,7.968,0.853,21.92,119.25,0,0.723,7,7,37.0,0.194,199,4444000444422244000224000002400000240000224222222
10000,30766,1,1087,811,25.15,24,7,1.048,30,31.44,0,17,0,13,0,0,13,0,11,0,0,1.00,0.517,0.000,27.015,62.512,0.125,0.000,0.125,129.00,129.00,0,0.798,8,7,13.0,0.944,13,4444440444004040000002000000200000222200222222200
10000,30784,1,1080,770,31.44,30,7,1.048,30,31.44,0,17,0,13,0,0,17,0,13,0,0,1.00,0.541,0.000,29.656,68.063,0.442,0.000,0.442,58.76,135.00,0,0.713,7,7,48.9,0.037,41,4444444444004440000022000002200000222200222222222
10000,30801,1,1070,755,27.00,25,7,1.080,32,34.56,0,13,0,19,0,0,9,0,16,0,0,1.00,0.333,1.229,44.227,81.079,2.403,0.000,2.403,63.44,81.50,1,0.770,5,8,26.0,0.902,1446,4444440444444044000204000000200000020000204222220
10000,30835,1,1051,715,34.56,32,7,1.080,32,34.56,0,14,0,18,0,0,14,0,18,0,0,1.00,0.405,4.692,38.640,84.912,3.666,3.661,0.005,93.50,95.50,0,0.680,6,7,35.2,0.197,221,4444444444444444000244000002200000220000222222222
10000,30909,2,1016,569,50.92,64,8,0.901,64,50.92,0,13,15,36,0,0,13,15,36,0,0,1.00,0.255,0.000,36.417,65.904,3.427,2.061,1.366,16.10,25.25,0,0.561,6,7,25.2,0.310,33,4444444444444444444443444442233344222233442222334442223344433333
10000,30911,1,1015,727,31.10,30,7,1.037,30,31.10,0,16,0,14,0,0,16,0,14,0,0,1.00,0.514,0.000,0.571,42.274,0.265,0.000,0.265,88.00,88.00,0,0.717,6,7,57.3,0.043,52,4444444444424440000222000002000000220000222222222
10000,30967,1,998,711,31.44,30,7,1.048,30,31.44,0,17,0,13,0,0,17,0,13,0,0,1.00,0.541,0.000,9.421,50.068,2.581,1.566,1.015,97.50,97.50,0,0.713,5,6,-6.8,1.000,16,4444444444004440000022000002200000222200222222222
10000,30998,1,986,711,30.73,29,7,1.060,29,30.73,0,13,0,16,0,0,13,0,16,0,0,1.00,0.423,0.000,8.700,36.636,8.709,4.049,4.661,71.55,87.25,0,0.722,4,5,6.5,0.377,138,4444444444444440000240000002000000220000222222222
10000,31026,1,973,703,26.96,26,7,1.037,30,31.10,0,16,0,14,0,0,16,0,10,0,0,1.00,0.594,0.000,17.079,63.443,3.641,3.535,0.106,86.00,86.75,0,0.770,3,5,4.3,0.343,147,0444000444424440000222000002000000220000222222222
10000,31055,2,959,615,38.88,48,7,0.874,48,38.88,0,25,7,16,0,0,25,7,16,0,0,1.00,0.643,0.000,23.947,66.021,0.947,0.000,0.947,21.15,72.00,0,0.642,7,7,3.4,0.532,10,4444444444332244332224330222432222242222224222222
10000,31143,1,907,650,31.10,30,7,1.037,30,31.10,0,16,0,14,0,0,16,0,14,0,0,1.00,0.514,1.942,24.976,58.657,0.225,0.000,0.225,30.41,82.25,0,0.717,8,11,12.3,0.912,1384,4444444444424440000222000002000000220000222222222
10000,31151,1,905,552,42.91,43,7,0.998,43,42.91,0,17,0,26,0,0,17,0,26,0,0,1.00,0.396,0.000,36.307,66.305,0.747,0.713,0.034,41.90,74.75,0,0.611,6,7,34.1,0.055,105,4444444444444444400444420024422002442222224222222
10000,31167,1,893,655,29.67,28,7,1.060,28,29.67,0,16,0,12,0,0,16,0,12,0,0,1.00,0.539,0.000,21.041,53.643,1.438,1.432,0.006,8.70,122.50,0,0.734,8,7,32.0,0.623,293,4444444444222440000220000002000000200000222222222
10000,31176,1,889,604,34.56,32,7,1.080,32,34.56,0,14,0,18,0,0,14,0,18,0,0,1.00,0.405,0.156,24.556,43.045,17.371,17.291,0.080,63.75,84.00,0,0.680,7,7,2.2,0.640,363,4444444444444444000244000002200000220000222222222
10000,31177,1,888,636,31.10,30,7,1.037,30,31.10,0,16,0,14,0,0,16,0,14,0,0,1.00,0.514,0.000,37.313,74.225,4.020,3.796,0.224,77.13,128.25,0,0.717,4,4,-5.8,0.460,108,4444444444424440000222000002000000220000222222222
10000,31180,2,884,582,32.76,41,7,0.874,48,38.88,0,25,7,16,0,0,19,7,15,0,0,1.00,0.580,0.000,3.672,45.065,1.662,0.000,1.662,16.45,54.50,0,0.699,7,7,-0.4,0.856,21,4444440444332044332204330220432222042222204222220
10000,31190,1,881,731,2.04,2,7,1.021,32,32.66,0,13,0,19,0,0,2,0,0,0,0,1.00,0.980,0.000,0.400,67.472,0.298,0.000,0.298,66.63,86.00,0,1.000,7,6,45.0,0.295,65,0000000000000000000000000000000000000000000000022
10000,31191,1,880,628,31.32,29,7,1.080,29,31.32,0,13,0,16,0,0,13,0,16,0,0,1.00,0.415,2.456,28.757,57.991,0.386,0.000,0.386,79.06,87.75,0,0.715,7,8,14.5,0.760,514,4444444444444440000240000002000000220000222222222
10000,31230,2,850,569,35.38,44,7,0.874,48,38.88,0,25,7,16,0,0,25,7,12,0,0,1.00,0.707,0.000,16.373,56.277,5.070,4.343,0.727,25.76,46.00,0,0.672,7,7,-3.8,0.810,20,4444444444332204332220330222032222202222224222222
10000,31238,1,845,602,31.44,30,7,1.048,30,31.44,0,17,0,13,0,0,17,0,13,0,0,1.00,0.541,3.647,43.756,73.195,2.618,2.618,0.000,102.39,130.00,0,0.713,7,7,17.9,0.548,330,4444444444004440000022000002200000222200222222222
10000,31248,1,833,594,31.44,30,7,1.048,30,31.44,0,17,0,13,0,0,17,0,13,0,0,1.00,0.541,0.000,4.061,48.414,0.033,0.000,0.033,95.51,123.25,0,0.713,6,8,43.6,0.123,284,4444444444004440000022000002200000222200222222222
10000,31260,1,821,584,29.03,28,7,1.037,32,33.18,0,17,0,15,0,0,17,0,11,0,0,1.00,0.586,0.000,30.358,61.220,3.730,3.726,0.004,81.50,81.50,0,0.742,7,8,7.0,0.680,19,0044400444444422000042000002200000222000222222222
10000,31276,1,811,594,12.44,12,7,1.037,30,31.10,0,16,0,14,0,0,2,0,10,0,0,1.00,0.161,0.000,0.346,53.570,0.000,0.000,0.000,55.28,80.50,0,1.000,2,5,-5.9,1.000,28,4444400444420040000002000000000000000000000000000
10000,31282,2,804,444,52.27,64,8,0.901,64,52.27,0,15,12,37,0,0,15,12,37,0,0,1.00,0.287,0.000,55.319,85.307,-0.000,0.000,-0.000,35.50,35.50,0,0.553,6,6,31.4,0.280,130,4444444444444444444443444443333244433322443332224443222244422222
10000,31283,1,800,587,29.67,28,7,1.060,28,29.67,0,12,0,16,0,0,12,0,16,0,0,1.00,0.404,0.000,15.733,36.876,13.032,4.484,8.548,76.00,76.00,0,0.734,6,8,25.8,0.227,306,4444444444444440000240000002000000200000222222222
10000,31287,1,798,586,29.67,28,7,1.060,28,29.67,0,12,0,16,0,0,12,0,16,0,0,1.00,0.404,0.000,32.519,51.297,2.640,0.000,2.640,78.75,81.25,0,0.734,0,8,-11.8,0.124,1843,4444444444444440000240000002000000200000222222222
10000,31301,1,785,564,30.39,29,7,1.048,30,31.44,0,17,0,13,0,0,17,0,12,0,0,1.00,0.559,0.000,14.379,41.064,1.124,0.675,0.449,67.00,67.00,1,0.726,6,8,20.5,0.192,621,4444444444000440000022000002200000222200222222222
10000,31329,1,757,540,31.44,30,7,1.048,30,31.44,0,17,0,13,0,0,17,0,13,0,0,1.00,0.541,0.000,40.093,67.738,5.427,2.955,2.473,58.79,81.75,0,0.713,7,8,33.6,0.386,244,4444444444004440000022000002200000222200222222222
10000,31330,1,755,403,56.15,49,8,1.146,49,56.15,0,28,0,21,0,0,28,0,21,0,0,1.00,0.499,0.961,17.111,39.117,0.984,0.000,0.984,6.62,47.75,0,0.534,7,7,22.8,0.275,652,4444444244444422444000224400002244000022420000222222222222222222
10000,31332,1,752,414,52.71,46,8,1.146,46,52.71,0,20,0,26,0,0,20,0,26,0,0,1.00,0.379,1.501,13.259,30.620,7.668,5.866,1.802,35.90,50.25,0,0.551,7,8,10.5,0.689,26,4444444444444444444000244400002242000022420000224200022242222222
10000,31333,1,750,537,31.10,30,7,1.037,30,31.10,0,16,0,14,0,0,16,0,14,0,0,1.00,0.514,0.000,34.090,55.638,1.827,0.000,1.827,58.00,72.75,0,0.717,7,8,8.7,0.784,16,4444444444424440000222000002000000220000222222222
10000,31334,1,750,550,29.67,28,7,1.060,28,29.67,0,12,0,16,0,0,12,0,16,0,0,1.00,0.404,0.000,9.203,34.167,21.507,21.099,0.408,40.94,70.25,0,0.734,8,8,37.1,0.695,761,4444444444444440000240000002000000200000222222222
10000,31335,1,749,537,31.10,30,7,1.037,30,31.10,0,16,0,14,0,0,16,0,14,0,0,1.00,0.514,0.000,33.002,59.781,0.351,0.337,0.014,86.50,101.25,0,0.717,6,5,20.6,0.183,582,4444444444424440000222000002000000220000222222222
10000,31336,1,748,508,34.56,32,7,1.080,32,34.56,0,13,0,19,0,0,13,0,19,0,0,1.00,0.376,1.997,36.769,62.656,2.030,2.030,0.000,57.40,63.75,0,0.680,8,8,45.3,0.813,1219,4444444444444444000244000002200000220000224222222
10000,31355,2,715,395,52.27,64,8,0.901,64,52.27,0,15,12,37,0,0,15,12,37,0,0,1.00,0.287,0.000,29.218,59.711,1.758,0.000,1.758,25.00,25.00,0,0.553,7,6,11.7,0.404,82,4444444444444444444443444443333244433322443332224443222244422222
10000,31368,2,696,385,52.27,64,8,0.901,64,52.27,0,15,12,37,0,0,15,12,37,0,0,1.00,0.287,1.927,22.742,45.140,0.332,0.000,0.332,17.34,30.00,0,0.553,6,6,28.7,0.179,67,4444444444444444444443444443333244433322443332224443222244422222
10000,31392,1,667,421,40.10,38,8,1.028,38,40.10,1,8,0,29,0,1,8,0,29,0,0,1.00,0.200,1.649,44.079,47.039,0.000,0.000,0.000,18.82,23.50,0,0.632,5,8,13.1,0.809,1823,4444444444444444440000144400000240000002440000024400002244400222
10000,31394,1,665,476,31.10,30,7,1.037,30,31.10,0,15,0,15,0,0,15,0,15,0,0,1.00,0.482,0.000,4.072,42.253,0.281,0.000,0.281,64.50,79.50,0,0.717,6,8,20.9,0.099,80,4444444444224440000224000002000000220000224222222
10000,31395,1,663,377,49.28,43,8,1.146,43,49.28,0,19,0,24,0,0,19,0,24,0,0,1.00,0.386,0.000,26.365,46.354,0.000,0.000,0.000,18.82,29.50,0,0.570,8,7,17.8,0.796,537,4444444444444444444000444200002440000022200000222200002222222222
10000,31409,1,643,442,33.82,32,7,1.057,32,33.82,0,17,0,15,0,0,17,0,15,0,0,1.00,0.503,0.228,12.076,39.928,0.000,0.000,0.000,71.55,74.25,0,0.688,8,7,16.9,0.870,326,4444422444422244000224000002400000240000224222222
10000,31415,1,632,453,31.10,30,7,1.037,30,31.10,0,16,0,14,0,0,16,0,14,0,0,1.00,0.514,0.000,16.861,46.394,0.041,0.000,0.041,59.25,59.25,0,0.717,6,8,7.3,0.391,18,4444444444424440000222000002000000220000222222222
10000,31420,1,626,438,32.66,32,7,1.021,32,32.66,0,13,0,19,0,0,13,0,19,0,0,1.00,0.398,0.000,6.978,34.400,0.000,0.000,0.000,47.25,47.25,0,0.700,7,7,25.4,0.853,7,4444444444444440000440000024000002420002222222222
10000,31422,2,625,400,38.88,48,7,0.874,48,38.88,0,25,7,16,0,0,25,7,16,0,0,1.00,0.643,0.000,43.700,75.490,1.050,0.000,1.050,11.52,63.75,0,0.642,7,7,-3.3,0.677,13,4444444444332244332224330222432222242222224222222
10000,31426,1,619,432,24.82,23,7,1.079,33,35.61,0,18,0,15,0,0,13,0,10,0,0,1.00,0.524,0.000,8.024,34.782,1.464,1.464,0.000,66.50,66.50,0,0.803,7,7,46.9,0.063,196,0044444004044400000240000002000002200000222222222
10000,31428,1,617,442,31.10,30,7,1.037,30,31.10,0,16,0,14,0,0,16,0,14,0,0,1.00,0.514,3.471,40.664,69.437,0.000,0.000,0.000,54.47,69.25,0,0.717,7,7,40.0,0.591,88,4444444444424440000222000002000000220000222222222
10000,31432,1,614,438,31.44,30,7,1.048,30,31.44,0,17,0,13,0,0,17,0,13,0,0,1.00,0.541,0.000,30.599,57.386,1.760,1.722,0.037,25.03,55.50,0,0.713,8,11,10.6,0.951,9,4444444444004440000022000002200000222200222222222
10000,31433,1,613,349,49.28,43,8,1.146,43,49.28,0,19,0,24,0,0,19,0,24,0,0,1.00,0.386,0.000,14.633,34.130,0.000,0.000,0.000,15.82,35.25,0,0.570,7,7,12.6,0.464,56,4444444444444444444000444200002440000022200000222200002222222222
10000,31434,1,611,415,34.56,32,7,1.080,32,34.56,0,13,0,19,0,0,13,0,19,0,0,1.00,0.376,0.000,6.516,26.470,5.840,5.759,0.081,45.25,45.25,0,0.680,7,8,46.3,0.066,240,4444444444444444000244000002200000220000224222222
10000,31435,1,611,435,31.44,30,7,1.048,30,31.44,0,17,0,13,0,0,17,0,13,0,0,1.00,0.541,0.948,19.425,36.968,0.197,0.000,0.197,82.75,82.75,0,0.713,6,8,46.0,0.202,296,4444444444004440000022000002200000222200222222222
