step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall
36000,359,228,775,848,365,67,6,846,15,1,3279,37822,16681.182,1735.284,0.3728,513.023,0.042,0.836,0.091,0.032,0.299,0.407,47,0.3002,0.7129,0.179,21.5,36.7,56.9,33.83,0.37,16.65,0.70,16.10,7.17,1.084,0.447,0.022,0.017,18.208,0.499,0.0027,271,1209,216,172,112,2,0.741,190,25,55,279,103,117,139,35.11,94.38,30258,31.6745,64528,38073,186909,77.5,-0.0,856633,15.959,2674865.198,2.96e-14,0.00024,11.63,277,1.485,1.066,0.419,0.000,1.485
37000,403,240,751,780,278,26,3,704,3,0,2405,26972,17224.603,1325.287,0.3632,451.777,0.042,0.840,0.084,0.034,0.285,0.404,12,0.2571,0.6825,0.166,22.3,36.7,45.4,34.51,0.24,16.29,1.42,16.57,7.21,1.055,0.455,0.027,0.025,17.946,0.491,0.0025,276,1255,232,147,105,3,0.543,189,28,36,339,110,188,105,29.85,97.73,28655,30.5385,64390,38742,184064,99.5,-0.0,860480,15.553,2674865.198,6.96e-16,0.00011,24.14,218,1.485,1.032,0.452,0.000,1.485
38000,323,209,538,579,198,38,3,607,9,2,2022,20022,13600.522,1335.891,0.4525,420.904,0.031,0.845,0.094,0.030,0.310,0.382,18,0.2893,0.6912,0.175,20.3,36.7,47.8,32.19,0.15,16.58,0.38,15.08,7.28,1.106,0.464,0.022,0.015,18.123,0.511,0.0024,313,1374,250,234,136,3,0.706,184,33,66,224,93,102,128,36.55,111.31,27796,26.8444,64267,38417,182707,84.4,-0.0,864363,14.231,2674865.198,7.14e-15,0.00023,31.31,199,1.413,1.058,0.355,0.000,1.413
39000,254,175,433,448,125,13,2,499,2,1,1256,15185,11285.264,905.181,0.4658,320.107,0.024,0.851,0.098,0.026,0.311,0.369,9,0.3222,0.6887,0.170,24.6,37.8,44.5,32.98,0.17,17.07,0.52,15.22,7.13,1.102,0.474,0.004,0.012,17.509,0.496,0.0023,350,1873,245,140,105,3,0.697,122,4,26,224,45,111,98,27.99,107.18,27515,24.7939,63994,39799,182476,61.9,-0.0,866616,12.058,2674865.198,1.38e-14,0.00469,12.25,141,1.351,1.082,0.268,0.000,1.351
40000,240,169,499,518,172,19,0,509,3,1,918,20237,12605.541,644.749,0.3713,303.937,0.034,0.838,0.095,0.032,0.343,0.353,3,0.3160,0.6853,0.160,25.3,37.5,54.8,34.09,0.16,17.17,1.06,15.70,7.24,1.093,0.464,0.000,0.004,20.929,0.521,0.0024,302,1331,201,43,112,3,0.537,114,5,22,213,57,118,65,30.09,106.39,27348,25.9061,63834,39981,182051,69.0,-0.0,866747,11.325,2674865.198,2.79e-15,0.00162,36.36,144,1.317,1.009,0.308,0.000,1.318
41000,389,214,615,653,223,35,3,457,7,2,2468,17292,14264.853,1159.698,0.3207,368.254,0.030,0.827,0.122,0.022,0.280,0.395,74,0.2190,0.6762,0.155,24.2,37.8,54.8,33.32,0.16,17.70,0.30,15.16,7.24,1.117,0.469,0.010,0.010,17.474,0.473,0.0020,290,1460,207,161,131,3,0.488,166,9,65,315,73,162,154,32.25,93.29,28110,29.1263,63627,40011,180803,82.3,-0.0,865403,11.389,2674865.198,4.35e-15,0.00030,15.95,211,1.359,1.070,0.289,0.000,1.360
42000,373,221,629,658,229,28,1,637,7,1,1758,25175,14856.849,1075.067,0.4196,337.394,0.041,0.839,0.095,0.025,0.293,0.383,9,0.2650,0.6784,0.161,27.2,33.3,47.4,33.99,0.15,16.65,1.03,16.15,7.22,1.059,0.471,0.013,0.013,17.023,0.496,0.0024,289,1218,183,95,69,3,0.491,139,31,74,268,77,164,132,29.36,100.67,28975,30.0778,63396,39696,178400,132.6,-0.0,867614,14.456,2674865.198,4.18e-15,0.00007,16.82,167,1.390,1.045,0.345,0.000,1.390
43000,449,220,719,749,263,26,4,640,3,0,1129,26988,15408.400,799.582,0.4036,343.970,0.039,0.820,0.105,0.035,0.329,0.372,8,0.1926,0.6833,0.182,26.5,37.8,44.6,34.22,0.22,16.34,1.28,16.38,7.46,1.062,0.456,0.016,0.016,16.250,0.439,0.0025,264,1126,202,78,103,3,0.383,190,172,87,190,77,163,209,29.43,101.12,30700,32.3694,63241,37481,177095,97.3,-0.0,866143,13.397,2674865.198,1.17e-14,0.00022,28.99,217,1.426,1.050,0.376,0.000,1.426
44000,367,221,692,720,246,23,5,770,2,2,1520,37796,16164.392,1038.402,0.3663,481.699,0.053,0.818,0.087,0.041,0.323,0.378,11,0.2744,0.6934,0.195,26.3,33.5,42.9,33.04,0.30,15.48,0.99,16.26,7.36,1.060,0.455,0.008,0.008,17.742,0.485,0.0026,271,1147,235,238,116,3,0.501,147,47,66,254,90,150,127,29.48,104.47,27809,27.7915,62890,36734,176661,100.0,-0.0,870888,16.162,2674865.198,6.62e-15,0.00068,6.88,185,1.504,1.057,0.447,0.000,1.504
45000,351,204,496,507,124,11,0,501,8,3,948,20047,13581.492,674.062,0.3692,324.105,0.042,0.830,0.096,0.032,0.286,0.391,39,0.2578,0.6940,0.175,26.3,37.8,43.4,33.38,0.23,16.12,0.85,16.19,7.37,1.085,0.454,0.017,0.017,18.211,0.496,0.0021,327,1520,268,149,95,3,0.484,157,13,29,309,72,179,100,34.12,116.70,27132,26.6154,62649,36318,176487,73.3,-0.0,872086,12.951,2674865.198,3.48e-16,0.00126,27.80,154,1.362,1.038,0.324,0.000,1.362
