step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill
11000,9672,3370,38531,67963,59024,28821,611,26137,3103,18,261991,2848747,25689.826,9264.970,0.2871,4564.308,0.136,0.693,0.117,0.053,0.510,0.342,1770,0.1056,0.7608,0.156,11.0,29.4,66.8,30.91,0.71,9.28,0.96,19.95,7.57,1.113,0.294,0.029,0.033,9.095,0.448,0.0035,146,515,1687,13694,414,22,0.527,5301,46,1106,8520,819,1432,7421,4.51,20.80,8962,15.9536,66717,3491,249229,1301.7,-0.0,784598,16.438,2631075.518,2.25e-14,0.00063,16.93,22080,20.862,1.478,19.027,0.357,20.863,3272,3410,2990,0.4638,0.889,1.017,1.486,1.148,0.954,1.257,9494.154,5426.599,14202.792,9281.762,6769.579,1572.083,1734.919,1393.661,0.611,0.453,0.496,0.569,0.269,0.349,3516,7208,0.4268,1.0000,0.9999,0.1327,1.0000,1.0000,0.7084,1.0138,1.0049,0.0327,0.0112,0.0195,0.0000,0.2188,0.9371,0.0473,0.6605,0.9412,0.00249,1259,0.9995,0.8705,0.8601,0.9973,0.0536,0.0904,0.0990,0.0957,0.0970,0.5286,0.5601,0.5180,5.0051,4.7829,5.1009,0.0709
12000,10512,3500,36904,68028,59104,30640,484,24830,2561,19,247030,2822448,25686.500,8959.712,0.2760,4699.017,0.118,0.699,0.136,0.048,0.517,0.338,1399,0.0932,0.7447,0.145,11.9,34.3,65.6,34.97,0.74,10.84,1.00,22.38,7.55,1.065,0.300,0.037,0.041,9.071,0.440,0.0034,155,551,1491,13702,376,18,0.251,5568,326,1605,8581,1329,2050,7133,5.50,21.40,9269,16.5558,66946,3532,232623,1145.8,-0.0,801414,16.650,2631075.518,3.19e-14,0.00021,31.67,20539,20.747,1.455,18.912,0.379,20.747,4657,3188,2667,0.5200,0.852,0.999,1.423,1.056,0.945,1.225,9225.875,5185.159,15068.690,9043.048,6273.779,1738.879,1423.873,1097.943,0.602,0.479,0.486,0.588,0.279,0.310,3525,7524,0.4317,0.9998,0.9999,0.1071,1.0000,0.9999,0.6514,1.0313,0.9940,0.0247,0.0146,0.0196,0.0000,0.7468,0.9383,0.2621,0.6599,0.9485,0.00244,1130,0.9994,0.8884,0.8587,0.9987,0.0588,0.0953,0.0947,0.0911,0.0958,0.5300,0.5363,0.5138,5.0724,4.9643,5.1352,0.0636
13000,9377,3477,36420,70004,60337,33137,447,25021,2588,16,326279,2819491,26601.650,11260.622,0.2623,5911.707,0.096,0.703,0.157,0.043,0.508,0.340,1619,0.1113,0.7132,0.140,13.2,34.4,68.0,34.57,0.64,11.75,1.06,21.11,7.50,1.086,0.323,0.037,0.041,10.096,0.478,0.0034,163,556,1486,16628,332,23,0.740,5238,244,1050,8083,878,1390,7109,6.82,23.84,5615,11.6504,66988,3519,216966,840.8,0.0,822978,17.877,2631075.518,6.19e-15,0.00031,10.33,22163,22.279,1.413,20.553,0.313,22.280,3409,3313,2655,0.4891,0.898,1.004,1.445,1.092,0.964,1.231,9517.421,5347.140,16825.039,9302.923,6385.395,2919.043,1329.475,1100.396,0.565,0.490,0.471,0.610,0.278,0.314,3241,8958,0.4474,1.0000,1.0000,0.0993,1.0000,1.0000,0.6774,1.0167,1.0095,0.0247,0.0119,0.0151,0.0000,0.0000,0.8274,0.1762,0.6233,0.9563,0.00248,972,0.9996,0.8692,0.8767,0.9980,0.0643,0.1009,0.0952,0.0896,0.0955,0.5188,0.5463,0.5177,4.9060,4.9335,5.0676,0.0693
14000,8278,3381,27800,44776,37059,16678,298,21416,1938,8,246470,2458573,20706.630,7144.732,0.2640,3078.027,0.082,0.726,0.152,0.039,0.509,0.338,1375,0.1123,0.7120,0.134,14.0,35.0,64.5,33.87,0.76,12.60,0.87,19.64,7.50,1.112,0.340,0.057,0.060,10.693,0.476,0.0034,178,630,1503,17113,389,20,0.258,4879,197,1230,6851,802,714,6762,6.25,24.18,6927,10.1716,67027,3710,204747,487.2,-0.0,836439,15.858,2631075.518,6.19e-15,0.00032,33.24,14325,18.290,1.437,16.592,0.261,18.291,2378,3149,2751,0.4586,0.956,1.013,1.488,1.154,0.975,1.235,9600.145,5260.491,8010.861,9374.143,6399.653,1468.216,1442.654,1155.835,0.526,0.522,0.482,0.464,0.322,0.332,3196,4536,0.5479,0.9999,1.0000,0.1595,0.9999,1.0000,0.7051,1.0212,0.9941,0.0344,0.0123,0.0207,0.0000,0.7572,0.9652,0.0775,0.6548,0.9787,0.00250,1001,0.9996,0.8697,0.8580,0.9976,0.0673,0.1001,0.0946,0.0883,0.0947,0.5144,0.5430,0.5111,4.9892,5.0011,5.1334,0.0698
15000,9553,3898,30473,50357,41737,19580,304,21725,2118,17,296552,2824373,23201.806,8036.946,0.2643,3138.861,0.065,0.746,0.155,0.034,0.535,0.319,1823,0.1016,0.7023,0.119,13.6,33.9,67.7,34.27,0.65,12.83,0.98,19.80,7.55,1.116,0.339,0.050,0.055,10.349,0.468,0.0033,173,621,1815,21036,505,17,0.221,5794,57,1453,8043,530,1585,7438,5.75,21.90,7581,11.7828,67040,3745,196175,699.3,-0.0,845235,16.527,2631075.518,6.02e-15,0.00019,23.67,16094,19.831,1.442,18.054,0.335,19.831,2977,3562,3014,0.4656,0.932,1.012,1.512,1.151,0.969,1.255,10100.964,5723.778,9466.422,9902.045,6972.200,1872.394,1623.926,1401.766,0.567,0.554,0.490,0.479,0.327,0.355,3227,4190,0.5031,1.0000,0.9997,0.1497,0.9999,1.0000,0.6825,1.0184,0.9950,0.0228,0.0132,0.0205,0.0000,0.2819,0.9314,0.1919,0.6827,0.9948,0.00250,1148,0.9996,0.8441,0.8677,0.9975,0.0615,0.1019,0.0934,0.0892,0.0943,0.5117,0.5402,0.5045,4.8799,4.9572,5.1413,0.0698
16000,10074,4074,32247,56593,47681,24027,319,22862,2436,11,329753,3017405,24581.147,9638.903,0.2748,3974.708,0.070,0.744,0.149,0.037,0.537,0.315,2623,0.1034,0.7084,0.119,12.6,33.3,66.7,33.37,0.66,11.84,1.27,19.61,7.57,1.143,0.331,0.046,0.052,10.330,0.459,0.0033,170,639,1880,21435,537,11,0.460,6088,92,1730,8252,524,1517,8033,5.90,21.40,6968,11.2137,66951,4527,188753,887.5,-0.0,854686,17.025,2631075.518,1.86e-14,0.00228,15.34,17996,20.841,1.424,19.044,0.374,20.842,2993,3543,3538,0.4230,0.957,1.033,1.526,1.191,0.971,1.274,10491.228,5982.602,10878.969,10289.205,7387.681,2009.241,1922.854,1732.099,0.573,0.555,0.494,0.557,0.337,0.338,3348,5136,0.4716,0.9998,0.9997,0.1447,1.0000,0.9999,0.6734,1.0346,1.0204,0.0237,0.0138,0.0204,0.0000,0.0229,0.9110,0.0494,0.6444,0.9855,0.00253,1281,0.9993,0.8458,0.8677,0.9978,0.0601,0.0982,0.0957,0.0884,0.0920,0.5056,0.5532,0.5122,4.8307,4.8284,5.0968,0.0731
17000,10757,4127,38011,63968,52693,25494,463,27128,3430,10,370240,3597944,26196.896,11022.997,0.2944,4210.790,0.063,0.755,0.145,0.037,0.538,0.316,2856,0.1142,0.7266,0.120,9.8,30.0,58.7,29.17,0.49,11.26,0.76,16.65,7.60,1.192,0.341,0.039,0.047,9.417,0.448,0.0033,170,627,1964,25614,577,9,0.213,6521,54,1708,8995,675,1619,8463,6.25,22.29,7512,12.1520,67032,4488,180277,787.4,-0.0,864630,19.263,2631075.518,2.53e-14,0.00078,36.12,21256,24.455,1.434,22.537,0.483,24.455,3217,3713,3827,0.4225,0.955,1.046,1.618,1.265,0.968,1.349,11153.796,6964.174,10748.078,10939.732,8719.876,2179.833,2118.568,2513.806,0.560,0.561,0.505,0.517,0.316,0.346,3314,5440,0.5529,1.0000,1.0000,0.1380,1.0000,0.9999,0.7678,1.0415,1.0610,0.0242,0.0084,0.0175,0.0000,0.8136,0.9543,0.2285,0.6720,0.9671,0.00249,1320,0.9995,0.8458,0.9003,0.9985,0.0513,0.0859,0.0882,0.0885,0.0906,0.5159,0.5569,0.5101,5.0890,4.7719,5.0903,0.0760
18000,11200,4062,42882,69927,57413,26485,560,29196,4714,18,402498,3648597,26358.726,11681.963,0.3004,4126.186,0.068,0.753,0.148,0.031,0.520,0.325,3698,0.1215,0.7434,0.133,8.8,30.5,59.5,29.65,0.46,11.40,0.93,16.87,7.51,1.193,0.341,0.031,0.036,8.765,0.460,0.0034,153,578,1820,26758,484,11,0.266,6567,194,1755,9251,731,1625,8844,7.00,23.32,8339,13.7546,67011,4509,171530,847.2,-0.0,874233,18.935,2631075.518,3.19e-15,0.00033,9.52,23488,24.590,1.409,22.660,0.521,24.591,3476,3676,4048,0.4172,0.930,1.047,1.656,1.181,0.961,1.415,10695.853,6711.921,11796.231,10501.486,8187.194,2432.922,2071.038,3051.817,0.547,0.543,0.486,0.511,0.283,0.286,3576,7496,0.4939,1.0000,0.9999,0.1242,1.0000,1.0000,0.7077,1.0546,1.0617,0.0217,0.0050,0.0181,0.0000,0.0000,0.7510,0.2293,0.6411,0.9510,0.00249,1015,0.9994,0.8583,0.8977,0.9971,0.0498,0.0701,0.0883,0.0880,0.0868,0.5126,0.5644,0.5187,5.0044,4.6231,5.0262,0.0692
19000,11085,3582,42076,74470,62756,31804,590,27330,3331,18,320821,3346340,26619.615,10665.900,0.2889,4873.197,0.070,0.751,0.148,0.031,0.512,0.331,2502,0.1167,0.7409,0.149,9.1,31.1,53.4,28.93,0.51,10.38,1.08,16.96,7.45,1.162,0.336,0.035,0.042,8.586,0.417,0.0034,147,574,1619,20701,367,11,0.217,6060,1040,970,9075,833,1403,8849,8.75,28.40,9688,16.0784,66978,4521,163910,1033.7,-0.0,882221,17.903,2631075.518,1.01e-14,0.00000,24.64,24896,24.480,1.416,22.591,0.472,24.480,4072,3615,3398,0.4922,0.787,1.005,1.687,1.146,0.954,1.404,10324.767,6200.625,13781.103,10142.492,7569.217,1978.066,1511.587,2303.050,0.540,0.543,0.467,0.545,0.308,0.303,3797,10421,0.4317,1.0000,0.9997,0.1091,1.0000,1.0000,0.7654,1.0236,1.0299,0.0244,0.0064,0.0211,0.0000,0.5700,0.9495,0.1120,0.6545,0.9455,0.00251,1091,0.9993,0.8068,0.8877,0.9983,0.0540,0.0661,0.0844,0.0883,0.0877,0.4864,0.5686,0.5369,5.1996,4.6293,4.9474,0.0705
20000,9793,3880,42489,78620,67005,35620,511,27646,2881,11,328083,3511808,28030.877,11587.270,0.2812,5820.279,0.072,0.753,0.134,0.041,0.513,0.335,2648,0.1339,0.7372,0.168,9.2,30.0,61.3,29.40,0.77,10.53,0.86,17.24,7.49,1.184,0.332,0.043,0.051,9.163,0.466,0.0033,149,548,1579,20303,411,11,0.374,5711,386,869,8538,759,1257,7777,7.50,26.59,6655,12.7805,66985,3992,157054,846.2,-0.0,894015,18.992,2631075.518,3.42e-14,0.00001,20.54,23912,25.612,1.441,23.768,0.403,25.642,2973,3474,3346,0.4730,0.817,1.018,1.748,1.168,0.947,1.445,10170.035,5972.128,16453.381,9994.425,7403.350,2180.796,1520.982,2065.213,0.546,0.549,0.456,0.575,0.296,0.289,3756,12144,0.4540,1.0000,0.9998,0.0855,1.0000,0.9999,0.6831,1.0167,1.0581,0.0429,0.0067,0.0252,0.0000,0.3531,0.9048,0.2450,0.7352,0.9551,0.00248,1099,0.9996,0.8225,0.9092,0.9983,0.0488,0.0633,0.0864,0.0884,0.0876,0.4903,0.5759,0.5552,5.1137,4.5878,4.9301,0.0747
21000,10285,3555,35792,55376,44628,19133,451,24839,2692,16,284352,3009531,22973.001,8589.624,0.2873,3484.331,0.079,0.777,0.111,0.033,0.477,0.363,1947,0.1231,0.7494,0.160,9.5,28.9,53.1,27.02,0.75,10.14,0.68,15.45,7.28,1.208,0.331,0.038,0.045,8.364,0.456,0.0033,162,619,1639,16414,509,13,0.610,5762,34,1057,9194,548,1293,8444,9.37,28.37,6757,10.9415,66871,4092,151148,699.3,0.0,901829,16.808,2631075.518,1.13e-14,0.00098,8.53,17652,21.619,1.447,19.745,0.427,21.621,2930,3673,3682,0.4415,0.896,1.033,1.772,1.244,0.952,1.435,9623.278,5819.974,9944.253,9477.666,7035.413,1890.596,1502.773,1711.924,0.509,0.532,0.409,0.470,0.268,0.239,3709,6479,0.5095,1.0000,1.0000,0.1097,1.0000,0.9999,0.7481,1.0161,1.0540,0.0519,0.0065,0.0238,0.0000,0.0000,0.9094,0.0740,0.6577,0.9451,0.00251,1274,0.9986,0.7806,0.8723,0.9986,0.0482,0.0586,0.0854,0.0893,0.0869,0.5269,0.5910,0.5744,4.9738,4.4725,4.7507,0.0745
