step,lineage,size,mass,hard,muscle,sensor,digestive,bite_any,tooth,age,plant,meat,shapes
9000,165,6,66.68,0.17,0.00,0.50,53.17,0.00,0.000,1140,44.17,27.52,4
9000,308,5,28.27,4.40,1.60,2.60,15.60,0.60,0.200,3841,128.49,81.93,5
9000,694,5,38.30,9.40,0.00,0.00,14.00,0.00,0.000,4291,142.49,119.78,5
9000,150,5,32.15,0.00,0.00,0.00,30.20,0.00,0.000,2247,73.21,53.32,5
10000,1,5228,28.03,0.46,8.88,0.86,17.43,0.07,0.020,301,16.92,4.55,2395
10000,270,431,53.06,0.11,14.76,0.01,22.52,0.03,0.012,871,35.43,15.87,318
10000,693,396,29.99,1.58,10.50,0.19,16.25,0.63,0.184,447,24.92,2.60,223
10000,743,163,33.71,1.25,9.36,0.34,21.86,0.05,0.018,388,17.05,8.29,82
10000,718,109,29.34,0.18,13.45,2.49,12.56,0.06,0.018,339,13.89,8.30,94
10000,858,93,29.03,0.00,10.76,0.00,18.86,0.00,0.000,143,8.49,3.49,60
10000,764,31,12.15,0.00,0.23,0.03,9.45,0.00,0.000,1196,46.38,9.11,16
10000,165,19,76.68,0.05,0.00,0.32,56.89,0.00,0.000,643,32.57,12.01,7
10000,34,16,35.56,2.94,3.25,0.00,25.69,0.94,0.250,1884,83.51,58.28,15
10000,226,15,27.85,0.00,0.00,0.00,20.53,0.00,0.000,1130,33.30,31.72,10
10000,167,11,64.28,5.91,0.18,0.00,33.09,0.09,0.000,992,40.94,16.62,8
10000,10,10,41.04,0.40,0.00,0.90,30.50,0.00,0.000,1695,40.79,44.04,7
10000,855,9,61.86,7.11,0.00,0.00,27.00,0.00,0.000,2806,94.79,61.80,8
10000,128,7,26.42,0.00,8.00,3.00,11.43,0.00,0.000,1226,48.24,15.03,5
11000,1,5078,31.95,0.40,9.36,0.84,20.67,0.06,0.015,284,16.95,4.44,2330
11000,270,1096,53.92,1.08,10.07,0.19,27.08,0.06,0.016,510,34.01,13.91,737
11000,693,378,27.98,1.64,8.97,0.25,15.48,0.61,0.201,535,28.25,3.74,216
11000,718,184,22.10,0.25,6.97,0.89,13.72,0.02,0.005,190,10.29,5.74,116
11000,743,124,29.04,1.22,4.76,0.08,20.87,0.05,0.016,380,18.31,11.10,83
11000,881,75,21.19,0.24,7.17,0.00,9.19,0.07,0.013,973,30.32,25.26,53
11000,764,48,25.14,0.00,0.00,4.44,18.75,0.00,0.000,1109,43.59,16.74,30
11000,858,36,28.59,0.17,10.33,0.00,19.92,0.00,0.000,350,17.44,3.03,29
11000,128,22,28.74,0.64,10.36,2.77,13.73,0.36,0.136,560,22.14,8.07,19
11000,34,11,26.11,2.36,1.55,0.00,19.00,0.55,0.000,2204,76.23,65.58,10
11000,886,9,29.96,0.00,0.00,0.00,21.89,0.00,0.000,2224,89.36,51.71,8
11000,167,8,50.80,1.00,2.50,0.00,32.62,0.50,0.125,1952,69.28,48.25,6
11000,165,6,67.32,0.17,0.00,0.00,50.67,0.00,0.000,2532,99.70,51.23,5
11000,855,5,76.47,6.20,0.00,0.00,37.60,0.00,0.000,3189,126.52,74.04,5
12000,1,2624,27.82,0.13,9.83,0.70,18.83,0.02,0.005,309,18.20,3.27,935
12000,693,576,30.27,2.42,8.79,0.66,16.14,0.73,0.240,415,22.53,3.00,339
12000,270,440,50.83,0.59,12.35,0.00,22.47,0.02,0.007,902,38.87,20.89,317
12000,128,112,30.43,0.48,7.66,0.61,22.46,0.06,0.018,95,11.04,2.62,64
12000,881,92,25.09,0.40,5.90,0.33,13.59,0.02,0.000,914,30.19,25.60,63
12000,858,63,25.02,0.65,8.14,0.03,14.67,0.13,0.063,274,11.27,7.78,48
12000,743,29,26.99,0.00,13.00,0.00,13.79,0.00,0.000,768,28.01,20.06,17
12000,855,21,72.68,1.43,0.00,0.00,48.43,0.00,0.000,1109,73.37,31.72,12
12000,886,11,7.18,0.00,0.00,0.00,5.36,0.00,0.000,443,15.37,2.58,4
12000,718,9,34.14,0.00,19.44,0.00,8.22,0.00,0.000,912,27.42,22.38,6
12000,764,8,12.16,0.00,0.00,0.00,10.25,0.00,0.000,2082,48.11,40.30,8
12000,167,6,77.80,2.83,2.33,0.00,47.33,2.17,0.667,1245,44.47,25.75,3
12000,165,5,62.70,0.00,0.00,0.00,46.40,0.00,0.000,3081,117.78,62.42,4
13000,1,6936,37.88,0.51,12.65,1.03,22.08,0.08,0.021,364,21.19,6.50,3653
13000,905,669,33.37,0.31,7.70,0.99,15.07,0.11,0.031,394,15.34,9.40,427
13000,693,470,27.80,1.87,9.30,0.25,14.62,0.80,0.270,549,28.26,3.72,260
13000,881,148,26.00,0.38,7.51,0.80,11.59,0.04,0.007,710,26.24,15.57,102
13000,910,67,56.67,0.00,17.75,0.15,21.16,0.00,0.000,648,21.36,30.74,45
13000,128,62,31.67,3.29,6.13,1.65,21.92,0.24,0.065,309,18.10,5.69,50
13000,858,59,30.15,0.19,10.32,0.00,18.61,0.05,0.000,341,14.83,4.54,43
13000,909,54,16.50,0.07,8.22,1.54,11.30,0.07,0.019,199,12.50,1.19,24
13000,911,52,20.91,0.00,6.96,0.35,7.46,0.00,0.000,206,5.01,7.66,37
13000,907,13,64.67,11.92,11.92,4.15,13.62,3.08,0.692,1061,46.44,13.29,11
13000,855,11,54.96,3.09,0.00,0.00,34.00,0.00,0.000,973,41.16,32.44,10
13000,912,9,34.84,0.00,0.00,0.00,34.11,0.00,0.000,2890,107.26,64.42,9
13000,165,9,64.40,0.33,0.89,4.33,51.11,0.11,0.000,354,18.07,15.28,5
13000,922,6,32.90,0.00,6.00,14.00,17.00,0.00,0.000,280,14.16,2.62,5
13000,786,5,44.53,0.00,0.00,0.00,31.00,0.00,0.000,654,16.47,9.72,1
14000,1,2113,36.94,0.12,15.40,0.94,20.17,0.02,0.006,471,28.60,4.61,996
14000,905,724,26.08,0.20,6.77,0.79,10.28,0.05,0.017,378,12.64,8.52,469
14000,693,496,30.04,2.40,9.72,0.33,15.30,1.18,0.411,565,29.18,3.14,307
14000,931,192,21.15,0.24,6.55,0.08,6.10,0.19,0.052,480,11.08,11.68,119
14000,881,103,24.84,0.43,7.49,1.41,10.28,0.01,0.000,1129,36.45,22.40,82
14000,909,42,35.07,4.88,11.36,1.29,20.31,0.67,0.167,186,10.66,4.81,27
14000,912,35,29.45,0.00,6.46,0.89,21.89,0.00,0.000,434,19.94,8.26,17
14000,910,29,67.69,0.00,22.24,0.00,22.90,0.00,0.000,1018,36.69,39.99,18
14000,858,11,22.51,0.00,10.09,0.00,11.36,0.00,0.000,680,34.37,4.87,9
14000,911,10,14.79,0.00,4.80,0.20,5.60,0.00,0.000,928,19.79,26.42,8
14000,10,9,36.03,0.00,0.00,0.00,27.33,0.00,0.000,602,15.08,16.11,8
14000,922,5,29.52,0.00,7.00,1.80,19.00,0.00,0.000,1052,51.83,6.88,5
15000,1,2106,40.48,1.02,11.92,1.83,25.42,0.15,0.047,333,21.64,6.97,1418
15000,905,852,31.48,0.46,9.48,0.82,10.33,0.13,0.043,365,11.69,10.09,584
15000,693,548,28.10,1.93,9.28,0.46,14.68,0.97,0.334,537,26.81,2.97,324
15000,931,246,25.76,0.46,8.58,0.09,6.20,0.12,0.033,352,8.04,10.55,158
15000,881,140,25.32,0.68,5.54,0.56,12.49,0.07,0.036,928,34.13,12.93,102
15000,947,40,26.02,0.00,10.78,0.03,6.33,0.00,0.000,623,17.77,14.15,33
15000,911,25,31.01,0.00,8.72,0.36,13.64,0.00,0.000,204,11.17,4.02,11
15000,910,18,58.32,0.00,15.83,4.17,20.78,0.00,0.000,1082,30.44,33.02,13
16000,1,4632,39.45,0.57,14.94,1.69,21.08,0.08,0.022,450,26.43,7.31,2754
16000,905,1226,28.24,0.39,8.64,0.67,9.35,0.11,0.029,371,11.41,9.99,846
16000,693,457,25.48,1.89,7.09,0.37,14.08,0.98,0.348,339,17.73,2.93,335
16000,931,319,26.47,0.45,7.95,0.18,7.13,0.13,0.034,345,10.28,8.58,214
16000,881,101,25.17,1.21,5.05,0.21,12.01,0.03,0.010,1326,43.47,21.62,83
16000,947,95,28.21,0.23,8.11,0.20,9.87,0.08,0.021,364,13.17,6.72,58
16000,912,18,32.83,0.00,0.00,0.00,33.67,0.00,0.000,975,52.94,9.08,13
16000,910,13,52.96,0.46,12.77,5.23,18.54,0.00,0.000,1163,30.33,34.69,13
16000,911,7,17.75,0.00,5.29,0.43,8.00,0.00,0.000,563,11.59,33.47,7
17000,1,2295,35.90,0.17,15.85,1.07,18.75,0.03,0.009,532,30.43,5.65,1182
17000,905,2250,29.77,0.20,9.78,0.41,8.46,0.07,0.022,312,10.07,10.59,1601
17000,693,308,27.06,2.49,8.84,0.15,12.87,1.29,0.416,414,21.35,3.50,229
17000,912,268,45.11,0.22,0.94,0.16,45.87,0.00,0.000,245,24.68,5.22,87
17000,931,240,32.43,0.90,10.96,0.10,5.65,0.14,0.033,221,4.86,9.67,163
17000,881,115,21.92,0.65,3.55,0.41,12.10,0.00,0.000,1070,37.14,18.16,86
17000,947,50,28.72,0.08,8.32,0.08,10.30,0.00,0.000,582,19.51,9.33,34
18000,1,2975,30.66,0.18,13.42,0.91,16.87,0.02,0.008,444,25.62,4.27,1364
18000,905,1976,26.16,0.27,7.11,0.50,10.12,0.10,0.025,329,10.46,8.67,1342
18000,996,1970,29.26,0.30,10.28,0.15,18.05,0.07,0.020,251,14.68,3.52,953
18000,997,257,105.50,1.35,29.32,0.84,48.71,0.18,0.039,462,35.06,17.12,159
18000,931,251,30.37,1.06,8.51,0.32,6.33,0.23,0.048,383,8.22,12.31,189
18000,998,180,50.13,0.20,13.28,0.00,19.55,0.07,0.022,954,31.26,25.71,126
18000,912,123,36.48,0.17,1.02,0.55,35.53,0.00,0.000,700,49.53,11.28,77
18000,693,110,28.20,4.43,6.85,0.58,11.44,1.68,0.600,564,24.14,6.90,94
18000,881,74,24.25,0.68,6.38,0.41,10.72,0.08,0.014,1128,37.08,19.11,59
18000,947,17,24.95,0.00,7.29,0.06,9.24,0.00,0.000,1017,31.85,14.74,14
18000,1005,10,34.16,0.40,9.40,0.00,10.90,0.40,0.100,976,31.73,9.92,9
19000,1,2405,23.55,0.46,5.89,1.22,19.59,0.03,0.011,193,13.40,3.44,868
19000,996,2328,29.66,0.18,10.42,0.16,18.74,0.08,0.025,258,15.42,3.65,1083
19000,905,1236,27.05,0.33,8.53,0.45,7.87,0.13,0.034,401,12.59,9.68,863
19000,931,287,32.12,1.14,8.74,0.17,6.89,0.23,0.059,490,11.68,12.90,209
19000,693,124,23.05,3.00,5.87,0.00,11.07,1.02,0.347,381,18.18,3.98,91
19000,912,91,34.73,0.05,0.25,0.08,35.36,0.00,0.000,766,52.87,6.07,51
19000,998,63,46.71,0.03,10.75,0.00,19.30,0.00,0.000,1283,41.49,33.03,51
19000,997,60,125.02,7.37,35.07,0.10,43.10,1.15,0.233,1028,54.75,37.19,51
19000,881,59,33.20,0.00,6.54,0.90,18.36,0.00,0.000,206,16.00,4.52,39
19000,947,14,31.48,0.79,8.57,0.00,11.14,0.00,0.000,1232,44.95,13.71,8
19000,1005,8,43.34,0.00,11.50,0.00,15.75,0.00,0.000,624,24.05,7.22,6
20000,996,3659,26.69,0.30,9.12,0.37,18.68,0.07,0.017,259,15.48,3.74,1534
20000,905,1241,28.11,0.34,8.25,0.35,8.74,0.15,0.044,435,14.19,8.41,877
20000,1,586,38.42,1.28,12.55,0.83,22.34,0.16,0.043,310,18.13,6.33,372
20000,931,255,33.89,1.57,8.58,0.48,6.84,0.38,0.082,517,12.27,13.77,185
20000,997,173,106.21,5.12,28.44,0.71,40.88,0.90,0.208,484,32.90,22.78,148
20000,998,114,35.67,0.28,8.96,0.00,14.77,0.07,0.018,953,31.13,23.74,102
20000,912,56,26.75,0.00,0.50,0.00,26.82,0.00,0.000,1701,88.73,8.46,47
20000,693,54,25.27,2.54,4.83,1.59,15.70,0.41,0.130,266,15.89,1.27,31
20000,947,30,28.30,0.33,10.33,0.00,8.43,0.00,0.000,618,21.17,7.46,16
20000,881,17,24.47,0.00,2.41,1.76,15.71,0.00,0.000,705,33.42,11.45,12
20000,1005,12,42.80,1.08,10.58,0.00,14.67,0.33,0.083,614,25.27,6.51,10
21000,996,6262,30.24,0.71,11.14,0.46,17.64,0.09,0.025,325,18.93,3.99,2967
21000,905,1575,24.25,0.25,6.13,0.20,8.32,0.10,0.023,359,11.83,7.29,972
21000,931,190,31.02,1.33,8.76,0.14,5.61,0.14,0.042,404,9.24,11.77,125
21000,1040,96,82.39,0.38,33.75,0.29,35.79,0.04,0.010,528,40.66,11.19,57
21000,1043,77,37.61,0.00,14.01,1.14,8.42,0.00,0.000,470,14.65,14.18,53
21000,997,71,107.37,6.69,25.69,0.73,38.48,1.15,0.366,1084,52.67,37.09,58
21000,912,36,20.29,0.00,0.67,0.00,20.03,0.00,0.000,2125,109.82,7.94,32
21000,1045,34,49.63,4.18,7.44,0.00,26.41,2.03,0.529,197,12.42,4.53,19
21000,881,21,20.64,0.00,2.14,1.19,13.62,0.00,0.000,1038,38.82,19.51,15
21000,947,16,22.61,0.00,7.12,0.00,7.88,0.00,0.000,752,27.01,11.15,13
21000,693,15,24.12,0.00,8.73,3.80,14.53,0.00,0.000,650,33.59,1.63,8
21000,1005,11,40.21,0.00,10.45,0.00,14.82,0.00,0.000,955,33.71,9.65,8
21000,998,10,22.45,0.50,4.40,0.00,10.00,0.30,0.100,1938,64.96,40.93,10
22000,996,6155,29.93,0.31,10.13,0.47,19.81,0.07,0.018,294,18.10,3.86,2703
22000,905,1017,23.37,0.37,5.91,0.19,7.51,0.18,0.050,502,15.15,8.61,670
22000,931,245,31.12,1.54,8.42,0.66,5.18,0.12,0.033,449,9.84,12.09,147
22000,1056,241,39.04,1.52,10.25,9.27,17.48,0.47,0.112,324,20.33,3.42,145
22000,912,136,18.01,0.16,0.54,0.19,17.16,0.04,0.007,911,43.89,7.61,87
22000,1043,70,40.47,0.00,15.00,1.26,9.13,0.00,0.000,733,24.16,15.03,50
22000,997,62,100.80,3.61,21.76,0.56,43.50,0.52,0.129,1094,53.93,35.71,51
22000,1040,57,92.74,0.63,36.39,0.00,39.23,0.07,0.018,721,48.22,14.77,37
22000,1028,43,23.55,1.00,10.53,0.07,10.30,2.12,0.628,663,30.19,3.77,35
22000,947,36,21.99,0.00,8.06,0.00,6.78,0.00,0.000,458,13.19,11.30,23
22000,1059,35,45.95,0.94,10.86,7.37,20.37,0.74,0.200,632,34.41,5.75,27
22000,1045,23,50.66,3.00,13.83,0.00,24.13,2.52,0.522,264,15.65,2.45,12
22000,1005,20,40.72,1.55,8.55,0.10,14.50,0.85,0.250,982,33.59,11.32,18
22000,1058,19,111.84,6.95,31.26,0.00,26.89,0.68,0.158,729,43.58,15.42,15
22000,881,17,12.91,0.00,0.65,0.65,9.18,0.00,0.000,1600,46.62,37.46,17
22000,693,14,23.11,2.07,5.86,0.00,12.29,1.07,0.357,627,28.18,2.60,11
22000,998,5,43.76,0.00,7.00,0.00,20.00,0.00,0.000,738,28.39,3.39,3
22000,1061,5,61.13,0.00,3.60,18.00,31.80,0.00,0.000,497,28.60,4.13,5
23000,996,5654,30.05,0.47,10.50,0.71,18.15,0.17,0.036,312,17.94,3.83,2749
23000,905,516,19.94,0.20,4.31,0.18,7.60,0.10,0.029,529,18.01,6.16,333
23000,1076,463,25.89,0.45,4.51,0.51,8.06,0.06,0.015,311,8.59,7.72,278
23000,1056,389,42.20,0.88,12.19,7.87,22.10,0.31,0.085,256,17.44,3.39,231
23000,1059,186,46.92,0.97,13.56,2.42,20.90,0.39,0.102,278,19.38,4.93,153
23000,931,122,27.62,0.07,10.03,1.07,4.39,0.00,0.000,526,9.73,16.05,85
23000,1043,96,42.11,0.32,16.29,1.03,7.64,0.24,0.062,593,19.38,15.52,68
23000,912,71,36.07,0.44,0.08,1.90,35.15,0.00,0.000,822,46.89,5.67,36
23000,997,64,122.38,4.94,31.30,0.53,49.19,1.27,0.266,1028,62.13,21.68,49
23000,1073,64,97.11,0.58,25.59,12.34,21.81,0.36,0.047,281,21.47,5.65,41
23000,1058,42,113.99,3.71,36.86,0.90,31.69,1.02,0.214,444,38.12,6.94,29
23000,1040,32,88.48,0.00,36.00,1.31,36.91,0.00,0.000,594,43.56,8.27,20
23000,693,22,15.79,0.14,5.50,0.23,9.27,0.18,0.045,565,25.23,2.39,17
23000,1045,20,68.70,13.25,6.45,0.00,21.75,2.20,0.600,568,28.13,7.48,14
23000,1075,12,31.44,0.00,15.25,0.00,7.08,0.00,0.000,928,35.53,24.02,4
23000,947,8,13.44,0.00,5.75,0.00,3.25,0.00,0.000,1470,38.98,24.41,8
