step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,gain_mean,kills_young_share,meat_majority
110000,870,4.770,0.077,13.50,51679,40045,15,11605,0,498,1599048.6,49632.8,0.088,0.171,0.223,0.282,0.237,1760,64.00,0.00,42.59,5.64,1.74,5.89,0.67,1.12,19.00,2.75,1.61,5.54,0.027,0.092,156,0.228,0.940,0.047,0.000,0.013,32097,11072,4,0.609,0.018,0.513,3761350,0.084,0.151,0.030,161.12,22910,17,4.28,0.900,0.010
120000,849,4.782,0.081,13.56,51295,39087,12,12217,0,517,1601191.1,52226.6,0.093,0.171,0.221,0.280,0.235,1810,63.99,0.13,42.76,5.97,2.10,6.36,0.54,0.89,18.59,2.54,2.05,6.24,0.033,0.099,123,0.230,0.925,0.061,0.000,0.014,31899,10835,4,0.556,0.022,0.452,4244950,0.083,0.144,0.027,161.31,22699,17,4.27,0.902,0.009
130000,839,4.628,0.084,13.85,54264,37739,25,16510,0,884,1594877.5,82286.6,0.072,0.164,0.222,0.291,0.251,1632,64.00,0.00,42.86,7.85,3.48,8.05,0.14,1.35,17.52,2.30,3.47,8.05,0.054,0.126,113,0.229,0.895,0.091,0.000,0.014,34292,13099,3,0.353,0.389,0.057,2543377,0.086,0.166,0.039,158.58,24032,30,4.98,0.888,0.008
140000,819,4.836,0.074,13.69,49644,35338,32,14294,0,632,1620189.2,64635.5,0.074,0.176,0.230,0.283,0.237,1752,63.99,0.17,43.84,7.13,2.41,6.99,0.21,1.01,17.54,2.55,2.34,6.83,0.038,0.109,127,0.162,0.929,0.061,0.000,0.010,32161,11058,6,0.333,0.068,0.099,860253,0.096,0.155,0.032,160.29,22388,22,4.52,0.902,0.010
150000,844,4.734,0.078,13.81,48465,35360,40,13040,0,612,1624856.1,57146.9,0.083,0.184,0.244,0.265,0.223,1711,64.00,0.00,43.41,7.21,2.70,7.29,0.14,0.46,17.75,2.09,2.56,7.03,0.042,0.114,110,0.262,0.914,0.071,0.000,0.015,31690,9673,5,0.474,0.009,0.122,605580,0.096,0.148,0.027,160.84,22212,20,4.38,0.907,0.009
160000,860,4.855,0.088,13.53,49407,36153,22,13216,0,593,1614962.2,58492.9,0.109,0.180,0.221,0.271,0.219,1842,64.00,0.08,42.96,7.63,3.28,7.92,0.23,0.70,17.53,2.60,3.22,7.77,0.051,0.124,125,0.136,0.901,0.088,0.000,0.010,30849,9974,6,0.447,0.005,0.187,1401859,0.085,0.149,0.029,160.35,21639,20,4.43,0.903,0.012
170000,864,4.707,0.078,13.82,52775,38426,11,14334,0,680,1618964.6,63624.5,0.102,0.173,0.217,0.278,0.231,1714,64.00,0.14,43.63,7.36,2.64,7.23,0.04,0.49,17.68,2.94,2.53,7.01,0.041,0.113,140,0.190,0.910,0.078,0.000,0.013,32716,11506,7,0.366,0.000,0.014,871258,0.087,0.142,0.025,160.57,23839,21,4.44,0.903,0.010
180000,841,4.818,0.072,13.65,54871,39208,13,15673,0,701,1625041.5,76547.4,0.082,0.173,0.209,0.289,0.247,1596,63.99,0.14,42.49,7.69,3.12,7.74,0.08,0.69,18.30,3.20,3.05,7.61,0.049,0.121,143,0.185,0.893,0.086,0.000,0.021,35966,12048,6,0.329,0.221,0.032,149443,0.129,0.140,0.024,161.10,24886,31,4.88,0.874,0.026
190000,857,4.651,0.055,13.96,51657,36778,28,14835,0,580,1638868.6,69051.2,0.069,0.186,0.217,0.283,0.245,1867,63.99,0.24,43.21,7.57,3.10,7.76,0.21,0.75,17.47,2.32,3.08,7.74,0.048,0.121,96,0.245,0.887,0.095,0.000,0.019,36388,12038,6,0.302,0.043,0.156,541849,0.101,0.124,0.018,161.42,23081,26,4.65,0.890,0.013
200000,835,4.688,0.059,13.77,56361,41514,11,14858,0,622,1628992.8,61372.9,0.065,0.182,0.211,0.289,0.252,1549,64.00,0.00,43.96,7.23,2.67,7.37,0.02,0.40,17.35,2.48,2.61,7.26,0.042,0.115,104,0.261,0.907,0.077,0.000,0.017,43322,16907,7,0.358,0.043,0.005,531160,0.102,0.136,0.025,160.82,26343,14,4.13,0.926,0.010
210000,842,4.704,0.061,13.77,54106,40448,13,13638,0,559,1633020.1,55313.5,0.081,0.173,0.199,0.293,0.254,1540,64.00,0.05,44.04,6.72,2.26,6.84,0.09,0.97,17.61,2.38,2.21,6.69,0.035,0.107,103,0.264,0.930,0.056,0.000,0.014,40610,14234,7,0.379,0.059,0.014,69681,0.195,0.139,0.023,161.13,25756,12,4.06,0.942,0.011
220000,840,4.796,0.068,14.09,50846,37590,34,13224,0,630,1638728.2,53779.1,0.077,0.198,0.218,0.274,0.233,1599,64.00,0.00,44.82,5.96,1.55,5.67,0.06,0.78,17.57,2.29,1.47,5.47,0.024,0.089,120,0.346,0.939,0.048,0.000,0.013,36019,10445,7,0.417,0.018,0.012,66870,0.195,0.140,0.025,161.61,24094,13,4.07,0.936,0.008
230000,832,4.759,0.061,13.77,50595,37154,26,13423,0,537,1641013.6,56038.9,0.060,0.220,0.232,0.265,0.223,1662,64.00,0.00,43.78,7.46,2.50,7.21,0.07,0.63,17.65,2.80,2.31,6.81,0.039,0.113,101,0.284,0.913,0.061,0.000,0.025,34991,10262,6,0.243,0.192,0.022,94665,0.169,0.138,0.022,161.86,23747,15,4.17,0.922,0.013
240000,828,4.943,0.071,14.20,51632,37984,22,13630,0,674,1638296.5,57134.9,0.051,0.231,0.237,0.260,0.220,1687,64.00,0.11,44.64,6.00,1.51,5.59,0.06,0.55,17.79,2.35,1.43,5.43,0.024,0.087,93,0.240,0.955,0.034,0.000,0.011,36896,12831,6,0.403,0.024,0.017,106554,0.181,0.141,0.025,161.57,24606,15,4.19,0.915,0.002
250000,834,4.869,0.073,13.84,50244,37077,16,13145,0,671,1637799.2,54602.1,0.052,0.227,0.235,0.263,0.223,1744,64.00,0.00,44.20,6.74,2.24,6.88,0.04,0.61,17.52,2.33,2.10,6.46,0.035,0.108,90,0.223,0.922,0.068,0.000,0.010,33064,10619,6,0.451,0.019,0.011,82043,0.167,0.136,0.021,161.65,23531,14,4.15,0.927,0.007
260000,823,4.863,0.077,14.30,57457,35826,30,21612,0,1310,1552882.0,106870.3,0.009,0.179,0.198,0.310,0.304,1575,64.00,0.00,44.91,9.09,3.64,8.58,0.01,0.22,15.44,2.26,3.64,8.58,0.057,0.134,76,0.175,0.896,0.090,0.000,0.015,37438,15734,6,0.300,0.006,0.005,47936,0.167,0.157,0.032,154.30,25409,28,4.94,0.898,0.002
270000,824,4.775,0.070,14.29,52601,37252,55,15293,0,802,1628118.8,62853.5,0.005,0.206,0.213,0.283,0.294,1786,64.00,0.00,44.79,8.69,3.42,8.44,0.00,0.03,15.79,1.80,3.31,8.23,0.053,0.132,92,0.216,0.911,0.079,0.000,0.010,36586,14995,6,0.291,0.067,0.001,31353,0.190,0.148,0.031,159.73,23226,12,4.11,0.939,0.000
280000,818,4.834,0.073,14.35,47521,33589,57,13881,0,672,1636097.8,56019.1,0.001,0.230,0.233,0.271,0.265,1877,64.00,0.00,45.79,7.63,2.48,7.29,0.00,0.00,15.73,1.79,2.48,7.29,0.039,0.114,71,0.267,0.924,0.061,0.000,0.015,32120,12892,6,0.372,0.000,0.000,18283,0.168,0.149,0.029,160.55,20900,10,4.04,0.954,0.002
290000,827,4.745,0.065,13.93,48418,33023,118,15268,0,793,1634934.0,67241.3,0.002,0.240,0.249,0.256,0.253,1853,64.00,0.00,39.22,12.09,6.11,8.93,0.04,0.48,18.63,4.03,6.02,8.74,0.095,0.139,98,0.284,0.837,0.141,0.001,0.021,32495,12424,6,0.438,0.000,0.017,27895,0.157,0.130,0.020,160.96,21354,18,4.40,0.904,0.019
300000,825,4.682,0.054,13.51,69272,37747,29,31498,0,1798,1622526.9,148295.3,0.024,0.275,0.300,0.212,0.190,1398,63.99,0.08,36.98,9.22,4.62,8.08,0.18,0.79,22.21,3.47,4.56,7.98,0.072,0.126,191,0.175,0.835,0.138,0.000,0.027,45868,19705,5,0.293,0.057,0.079,908292,0.186,0.114,0.012,162.46,28497,23,4.71,0.916,0.050
310000,830,4.660,0.073,13.79,75774,37619,11,38139,0,1569,1616279.9,185450.4,0.034,0.286,0.290,0.213,0.176,1299,64.00,0.00,41.57,8.57,3.89,9.21,0.03,0.49,18.51,2.73,3.26,7.74,0.061,0.144,113,0.234,0.900,0.093,0.000,0.007,49432,21908,5,0.334,0.206,0.010,411560,0.146,0.139,0.023,161.45,31955,26,4.86,0.894,0.001
320000,808,4.761,0.063,13.24,57423,36899,13,20533,0,670,1614004.4,91717.3,0.056,0.253,0.254,0.237,0.200,1609,64.00,0.00,39.38,11.47,7.57,11.17,0.01,0.39,17.03,2.45,7.17,10.61,0.118,0.175,100,0.307,0.816,0.170,0.000,0.015,38378,17382,4,0.363,0.118,0.001,114402,0.119,0.130,0.020,161.28,24162,19,4.47,0.946,0.007
330000,835,4.707,0.073,13.50,62365,31358,17,30963,0,1326,1611989.1,149179.3,0.071,0.228,0.218,0.253,0.230,1652,64.00,0.14,41.74,11.07,5.89,10.36,0.00,0.14,16.36,2.79,5.57,9.80,0.092,0.162,107,0.238,0.862,0.128,0.000,0.010,43301,21830,5,0.319,0.049,0.001,17659,0.214,0.142,0.026,159.10,25912,26,4.82,0.901,0.006
340000,848,4.777,0.076,13.43,47359,32613,38,14695,0,566,1624165.1,59376.6,0.100,0.243,0.213,0.232,0.212,1952,64.00,0.10,41.63,9.81,4.97,9.72,0.04,0.47,17.36,2.06,4.69,9.24,0.078,0.152,89,0.219,0.862,0.129,0.000,0.009,30866,13653,3,0.476,0.000,0.012,36078,0.205,0.134,0.021,161.46,20344,10,4.04,0.962,0.004
350000,828,4.788,0.073,13.38,59846,29587,15,30264,0,1215,1621860.1,148416.5,0.076,0.265,0.225,0.224,0.211,1704,64.00,0.07,40.85,11.64,7.12,10.92,0.00,0.03,16.02,2.60,6.91,10.60,0.111,0.171,100,0.208,0.837,0.153,0.000,0.010,38039,20755,3,0.402,0.088,0.001,27774,0.181,0.143,0.025,160.48,24406,28,4.90,0.905,0.012
360000,810,4.868,0.067,13.63,64056,33163,12,30899,0,1088,1612720.1,147678.7,0.061,0.242,0.222,0.245,0.229,1435,64.00,0.00,41.28,10.79,6.14,10.52,0.07,1.02,16.52,2.31,5.91,10.09,0.096,0.164,113,0.170,0.849,0.138,0.000,0.012,44658,19664,6,0.328,0.112,0.011,67550,0.230,0.134,0.021,159.90,26871,25,4.78,0.896,0.007
370000,849,4.662,0.068,13.78,62760,30377,22,32322,0,1088,1625943.2,157563.6,0.063,0.221,0.209,0.265,0.242,1578,63.99,0.15,41.35,11.16,6.45,10.65,0.01,0.17,16.18,2.29,6.25,10.32,0.101,0.166,105,0.176,0.828,0.153,0.000,0.019,43961,19260,5,0.271,0.098,0.004,100479,0.172,0.133,0.022,160.60,27115,26,4.87,0.897,0.014
380000,829,4.852,0.068,14.13,50995,31648,44,19323,0,566,1635978.2,79789.3,0.075,0.208,0.190,0.281,0.246,1601,64.00,0.10,41.63,11.17,6.76,10.79,0.01,0.16,15.59,1.83,6.76,10.78,0.106,0.169,72,0.280,0.847,0.141,0.000,0.012,36894,16538,6,0.281,0.000,0.007,80326,0.171,0.136,0.023,160.55,22858,12,4.13,0.963,0.001
390000,821,4.938,0.092,14.02,48569,31007,35,17535,0,602,1633421.9,65688.9,0.081,0.227,0.197,0.261,0.235,1721,64.00,0.00,40.11,11.75,8.11,11.34,0.04,0.63,15.74,1.97,8.10,11.34,0.127,0.177,66,0.336,0.826,0.166,0.000,0.009,32325,13674,5,0.298,0.040,0.006,91524,0.154,0.149,0.029,160.95,22198,5,3.75,0.986,0.000
400000,832,4.842,0.089,14.19,46407,29355,23,17018,0,598,1636559.4,63638.3,0.081,0.257,0.226,0.226,0.210,1821,64.00,0.00,41.06,11.28,7.19,10.99,0.01,0.23,15.74,1.69,7.19,10.99,0.112,0.172,64,0.298,0.821,0.165,0.000,0.014,30255,13981,4,0.345,0.028,0.005,182488,0.151,0.154,0.033,160.92,20846,5,3.74,0.985,0.004
410000,811,5.045,0.085,14.27,43795,27569,28,16219,0,564,1638902.2,61124.8,0.074,0.261,0.242,0.220,0.203,1823,64.00,0.00,41.91,10.93,6.37,10.59,0.04,0.72,15.68,1.86,6.35,10.55,0.100,0.165,58,0.260,0.840,0.150,0.000,0.010,28480,14694,3,0.428,0.000,0.004,28475,0.191,0.149,0.030,161.16,19819,5,3.77,0.984,0.002
420000,790,4.892,0.093,14.31,43175,27532,41,15623,0,570,1641865.8,58313.7,0.066,0.260,0.247,0.222,0.205,1778,64.00,0.00,40.20,11.71,8.04,11.32,0.03,0.49,15.73,1.97,8.03,11.30,0.126,0.177,64,0.330,0.818,0.167,0.000,0.015,28524,15262,3,0.459,0.000,0.005,24090,0.197,0.158,0.034,161.27,20183,5,3.73,0.986,0.000
430000,839,4.749,0.082,14.21,45932,28796,25,17062,0,614,1640009.8,63847.5,0.069,0.262,0.244,0.223,0.201,1773,64.00,0.00,42.34,10.87,5.97,10.38,0.04,0.62,15.66,2.45,5.93,10.34,0.093,0.162,74,0.246,0.857,0.129,0.000,0.014,29652,14641,3,0.428,0.000,0.005,20494,0.210,0.148,0.030,161.16,21560,5,3.74,0.986,0.002
440000,830,4.902,0.079,14.38,43643,28130,40,15482,0,518,1636905.1,58945.0,0.088,0.248,0.233,0.224,0.207,1811,64.00,0.00,42.08,10.79,6.15,10.47,0.03,0.50,15.74,2.10,6.13,10.44,0.096,0.164,69,0.252,0.849,0.140,0.000,0.011,29011,15144,3,0.487,0.000,0.010,27808,0.202,0.146,0.030,161.05,20451,6,3.81,0.981,0.001
450000,853,4.736,0.072,14.25,40202,26134,74,13971,0,437,1637439.1,53154.5,0.086,0.256,0.250,0.210,0.198,1866,64.00,0.00,43.35,9.93,4.77,9.57,0.03,0.57,15.85,2.43,4.75,9.54,0.074,0.150,74,0.196,0.873,0.111,0.000,0.015,26350,12797,3,0.417,0.015,0.005,29583,0.211,0.142,0.028,161.20,18970,6,3.80,0.981,0.007
460000,835,4.911,0.080,14.09,39412,25680,101,13649,0,438,1639923.4,52092.2,0.089,0.256,0.251,0.208,0.196,1828,64.00,0.00,41.63,10.85,6.47,10.78,0.00,0.08,15.90,1.67,6.36,10.54,0.101,0.168,70,0.257,0.840,0.150,0.000,0.011,26510,12571,3,0.398,0.008,0.002,21504,0.223,0.153,0.031,161.15,18972,6,3.82,0.981,0.005
470000,818,4.887,0.077,14.49,41064,26958,73,14050,0,450,1638009.0,53148.7,0.089,0.252,0.242,0.217,0.200,1660,64.00,0.00,42.65,10.47,5.61,10.18,0.00,0.00,15.74,1.78,5.56,10.11,0.088,0.159,74,0.230,0.856,0.136,0.000,0.009,27521,11711,3,0.311,0.189,0.000,20625,0.208,0.143,0.025,161.27,19668,6,3.78,0.982,0.002
480000,843,4.737,0.084,14.66,40442,26633,38,13746,0,623,1635036.0,51754.9,0.070,0.264,0.262,0.210,0.193,1829,64.00,0.00,41.63,11.16,6.72,10.78,0.02,0.55,15.62,1.69,6.72,10.77,0.105,0.168,70,0.279,0.833,0.155,0.000,0.012,26051,11550,3,0.451,0.059,0.002,46746,0.150,0.147,0.029,161.18,19041,6,3.77,0.982,0.004
490000,848,4.895,0.081,14.76,40460,26915,35,13505,0,637,1637938.5,51302.6,0.075,0.267,0.262,0.204,0.192,1918,63.99,0.12,41.43,11.09,6.78,10.79,0.02,0.43,15.77,1.87,6.77,10.77,0.106,0.169,65,0.279,0.847,0.145,0.000,0.008,25938,12127,4,0.438,0.004,0.002,48714,0.180,0.138,0.023,161.14,19482,6,3.80,0.978,0.002
500000,820,4.875,0.086,14.79,40237,26827,49,13389,0,660,1641382.0,50726.7,0.075,0.265,0.262,0.206,0.191,1943,64.00,0.00,40.89,11.45,7.42,11.13,0.02,0.43,15.67,2.02,7.38,11.06,0.116,0.174,56,0.306,0.816,0.167,0.000,0.017,25842,12655,3,0.459,0.034,0.004,37834,0.185,0.143,0.026,161.29,19131,6,3.79,0.979,0.000
510000,845,4.900,0.083,15.02,40329,26514,69,13721,0,601,1642816.6,52154.4,0.071,0.261,0.262,0.209,0.198,1848,63.99,0.20,41.90,10.93,6.30,10.62,0.02,0.40,15.78,2.36,6.24,10.51,0.098,0.166,76,0.295,0.841,0.147,0.000,0.012,25921,11013,3,0.499,0.000,0.005,29891,0.218,0.139,0.022,161.42,19426,6,3.80,0.980,0.002
520000,834,5.017,0.086,14.98,40195,26359,50,13797,0,653,1642220.4,52164.8,0.066,0.269,0.269,0.203,0.193,1827,64.00,0.00,41.84,11.03,6.50,10.64,0.04,0.62,15.62,2.13,6.48,10.62,0.101,0.166,74,0.291,0.848,0.138,0.000,0.014,25967,11354,3,0.506,0.010,0.005,29839,0.202,0.145,0.027,161.22,19474,6,3.78,0.981,0.000
530000,832,4.806,0.084,14.70,41385,27179,55,14153,0,607,1645066.2,54024.3,0.068,0.259,0.258,0.214,0.201,1838,64.00,0.00,41.16,11.21,7.06,10.93,0.00,0.03,15.78,1.91,7.01,10.88,0.110,0.171,67,0.288,0.825,0.166,0.000,0.010,26854,11056,3,0.476,0.000,0.001,34905,0.192,0.139,0.024,161.34,20038,6,3.82,0.981,0.001
540000,830,4.703,0.086,14.88,40911,27152,64,13697,0,627,1644460.0,51797.3,0.067,0.263,0.264,0.208,0.197,1901,64.00,0.03,40.55,11.50,7.74,11.20,0.03,0.46,15.67,1.59,7.74,11.20,0.121,0.175,68,0.320,0.818,0.175,0.000,0.007,26676,9976,4,0.322,0.180,0.005,52013,0.154,0.143,0.025,161.38,19967,6,3.78,0.980,0.004
550000,823,4.705,0.090,15.23,42152,27773,34,14352,0,699,1643483.6,53748.6,0.060,0.263,0.268,0.210,0.199,1746,63.99,0.28,40.88,11.38,7.28,11.06,0.03,0.52,15.80,2.13,7.20,10.98,0.114,0.173,74,0.358,0.841,0.146,0.000,0.013,27597,11832,6,0.306,0.035,0.004,28068,0.197,0.151,0.032,161.18,20513,5,3.75,0.984,0.002
560000,835,4.753,0.085,14.99,41737,27556,35,14134,0,669,1643958.8,53383.1,0.071,0.257,0.263,0.210,0.199,1919,64.00,0.00,41.10,11.26,7.18,10.98,0.02,0.28,15.70,1.96,7.14,10.95,0.112,0.172,68,0.349,0.832,0.159,0.000,0.008,27256,10580,6,0.296,0.080,0.008,32391,0.191,0.147,0.029,161.39,19750,6,3.78,0.981,0.001
570000,832,4.907,0.085,15.12,40768,27092,39,13640,0,686,1645119.6,51739.7,0.072,0.254,0.260,0.214,0.201,1956,64.00,0.00,41.73,11.02,6.55,10.73,0.00,0.10,15.71,2.13,6.52,10.66,0.102,0.168,69,0.346,0.821,0.161,0.000,0.018,26951,11469,5,0.272,0.024,0.001,34650,0.158,0.147,0.028,161.46,19647,6,3.79,0.980,0.002
580000,822,4.864,0.073,15.14,40328,27189,58,13091,0,548,1644655.5,50461.0,0.077,0.248,0.252,0.219,0.204,2012,64.00,0.07,42.26,10.72,5.88,10.29,0.02,0.38,15.83,2.45,5.85,10.30,0.092,0.161,73,0.336,0.848,0.147,0.000,0.005,26954,9698,5,0.245,0.000,0.010,33992,0.175,0.133,0.021,161.68,19717,7,3.85,0.971,0.001
590000,847,4.762,0.068,15.17,41689,28647,52,12965,0,464,1644280.5,50786.3,0.076,0.234,0.240,0.235,0.216,2009,64.00,0.00,43.49,9.87,4.77,9.63,0.01,0.23,15.72,1.87,4.72,9.52,0.075,0.150,90,0.273,0.881,0.107,0.000,0.012,29331,10096,6,0.247,0.022,0.002,36530,0.202,0.134,0.023,161.72,20626,8,3.92,0.965,0.001
600000,847,4.807,0.081,14.90,39464,26950,60,12454,0,457,1645595.6,48636.9,0.084,0.233,0.236,0.233,0.214,2040,64.00,0.00,42.32,10.53,5.87,10.29,0.01,0.18,15.80,1.49,5.87,10.29,0.092,0.161,67,0.326,0.850,0.142,0.000,0.008,26709,9218,7,0.285,0.018,0.002,47995,0.217,0.136,0.020,161.85,19450,8,3.91,0.967,0.001
610000,830,4.783,0.083,14.88,38806,26158,48,12617,0,557,1645998.1,48303.5,0.083,0.234,0.238,0.231,0.215,2030,64.00,0.00,42.22,10.83,5.98,10.38,0.06,1.33,15.73,2.11,5.94,10.33,0.093,0.162,76,0.245,0.857,0.135,0.000,0.008,25591,9008,6,0.288,0.000,0.008,55720,0.151,0.142,0.024,161.65,18982,7,3.83,0.976,0.001
620000,843,4.581,0.067,14.95,39289,26348,50,12878,0,524,1645987.8,50027.0,0.086,0.235,0.239,0.227,0.211,2086,64.00,0.00,43.55,9.74,4.67,9.47,0.03,0.48,15.76,1.74,4.67,9.47,0.073,0.148,75,0.196,0.877,0.115,0.000,0.008,26046,9232,5,0.230,0.013,0.005,49428,0.154,0.130,0.018,161.73,18759,8,3.88,0.972,0.005
630000,848,4.722,0.068,14.80,41578,28733,52,12788,0,503,1634853.1,51402.0,0.100,0.221,0.229,0.234,0.216,1991,64.00,0.00,43.08,10.26,5.17,9.88,0.03,0.54,15.73,2.24,5.13,9.80,0.081,0.154,72,0.211,0.856,0.126,0.000,0.018,30078,11734,6,0.292,0.000,0.004,49481,0.214,0.136,0.023,161.15,20396,10,4.02,0.950,0.004
640000,830,4.902,0.074,14.86,39483,26979,58,12464,0,492,1643416.2,48807.3,0.095,0.236,0.240,0.223,0.206,2132,64.00,0.00,42.89,10.46,5.41,10.06,0.03,0.35,15.66,2.47,5.40,10.01,0.085,0.157,96,0.227,0.858,0.133,0.000,0.010,27104,9172,5,0.272,0.045,0.013,72214,0.173,0.139,0.024,161.57,18962,8,3.92,0.966,0.002
650000,837,4.945,0.077,14.81,40133,27154,60,12912,0,423,1642004.8,49001.4,0.092,0.246,0.242,0.219,0.201,2064,64.00,0.00,42.13,10.78,6.19,10.48,0.04,0.51,15.64,1.65,6.19,10.48,0.097,0.164,75,0.257,0.846,0.141,0.000,0.013,28056,9823,7,0.257,0.043,0.016,119506,0.126,0.141,0.025,161.48,19352,6,3.80,0.980,0.000
660000,833,4.897,0.081,14.42,40212,26747,64,13405,0,454,1645513.4,50731.0,0.080,0.257,0.246,0.216,0.201,2075,64.00,0.00,40.52,11.38,7.58,11.18,0.06,0.79,15.84,1.79,7.55,11.11,0.118,0.175,65,0.312,0.816,0.175,0.000,0.008,26426,9549,6,0.316,0.000,0.007,62114,0.169,0.146,0.027,161.71,19099,6,3.78,0.980,0.001
