step,lineage,size,hard,muscle,sensor,digestive,attack,bodies,age,plant,meat
43000,35,151,33.5,0.0,0.7,17.6,0.0,42,363,66.18,0.00
43000,22,85,33.6,0.6,0.0,29.7,0.4,22,139,32.82,0.00
43000,28,6,39.3,0.0,0.0,21.5,0.0,2,117,22.78,0.00
44000,16,281,36.3,0.0,0.2,19.5,0.0,80,223,45.43,0.00
44000,35,126,33.3,0.0,0.5,20.0,0.0,35,352,64.61,0.00
44000,22,86,34.4,0.7,0.2,28.8,0.4,25,174,40.23,0.00
44000,39,81,28.7,17.4,0.0,17.9,15.6,6,177,38.01,8.61
44000,41,61,34.7,0.4,1.1,27.8,0.2,14,180,44.15,0.00
44000,42,29,40.0,0.0,1.0,21.9,0.0,4,214,47.20,0.00
45000,16,351,30.6,7.6,0.1,17.7,7.1,70,118,24.48,3.39
45000,42,82,41.1,0.0,1.0,21.9,0.0,9,151,36.91,0.00
45000,39,81,32.5,14.6,0.1,16.7,13.9,17,100,21.40,6.31
45000,35,52,35.6,0.1,0.6,16.9,0.1,18,191,36.55,0.00
45000,22,47,36.2,0.0,0.2,27.5,0.0,15,98,25.33,0.00
45000,44,16,34.7,0.1,0.0,28.9,0.1,5,36,10.91,0.00
45000,41,13,33.5,0.0,0.1,30.5,0.0,5,145,36.38,0.00
46000,16,297,25.0,3.2,0.7,20.7,2.9,104,119,24.29,1.52
46000,42,173,40.5,0.1,0.9,22.1,0.1,29,252,58.34,0.05
46000,35,138,41.4,0.0,0.3,17.3,0.0,46,150,32.39,0.00
46000,47,64,39.1,0.1,1.0,15.1,0.1,15,264,51.20,0.00
46000,39,32,30.6,15.7,0.0,17.7,15.1,5,192,40.19,10.65
46000,22,32,39.4,0.0,0.0,24.2,0.0,4,136,32.74,0.00
46000,41,21,33.5,0.0,0.0,30.5,0.0,4,216,54.63,0.00
46000,44,16,48.4,2.1,0.0,13.6,2.1,3,278,58.42,1.02
47000,42,181,40.0,0.1,0.9,22.3,0.1,47,246,55.24,0.00
47000,16,178,36.2,0.1,0.4,19.2,0.0,50,168,36.58,0.00
47000,47,129,37.3,0.0,0.9,16.6,0.0,41,229,45.59,0.00
47000,22,79,37.6,0.0,0.4,25.4,0.0,14,157,36.89,0.00
47000,50,77,39.3,1.3,0.1,23.3,1.2,20,233,54.96,0.25
47000,35,71,40.6,0.0,1.2,19.5,0.0,32,226,49.16,0.00
47000,39,56,29.3,16.7,0.0,17.9,15.8,4,186,40.22,8.71
47000,52,54,35.5,0.0,0.0,28.4,0.0,8,217,50.21,0.05
47000,41,21,33.1,0.0,0.0,30.9,0.0,4,149,36.73,0.00
47000,44,5,50.0,0.0,0.0,14.0,0.0,1,1079,223.90,0.00
48000,42,168,38.4,0.3,1.2,23.0,0.3,42,224,50.47,0.02
48000,16,156,37.7,0.1,0.2,21.1,0.1,46,143,31.96,0.00
48000,47,130,35.9,0.0,0.5,18.6,0.0,45,209,42.68,0.00
48000,39,97,29.4,16.6,0.2,17.9,15.3,9,221,48.94,7.79
48000,22,97,37.3,0.2,0.1,25.9,0.2,16,171,40.94,0.00
48000,50,50,39.8,1.3,0.0,22.9,1.3,14,182,41.52,0.00
48000,35,41,41.7,0.0,0.0,22.0,0.0,12,189,42.94,0.00
48000,52,37,32.0,0.2,0.0,31.7,0.2,9,185,45.18,0.00
48000,41,26,33.2,0.0,0.0,30.8,0.0,5,173,42.98,0.00
49000,42,206,37.3,0.5,1.1,23.1,0.4,52,184,41.97,0.07
49000,47,129,34.0,0.0,0.8,20.2,0.0,45,236,48.11,0.00
49000,52,98,36.7,0.2,0.0,27.0,0.2,24,168,39.46,0.00
49000,22,98,34.8,0.3,0.6,26.8,0.2,29,157,36.79,0.17
49000,16,90,38.0,0.2,0.1,20.4,0.0,24,178,39.96,0.00
49000,39,82,30.4,15.8,0.3,17.5,15.0,10,133,29.37,6.82
49000,35,46,42.9,0.0,0.2,20.3,0.0,16,189,43.29,0.00
49000,41,38,33.3,0.0,0.0,30.6,0.0,16,166,40.25,0.00
49000,50,26,39.7,1.5,0.0,22.8,1.5,9,217,47.00,0.00
50000,42,281,36.3,0.3,1.1,24.8,0.3,83,157,36.54,0.09
50000,47,185,32.4,0.1,1.4,20.1,0.1,59,228,43.75,0.00
50000,52,169,31.4,0.5,0.7,30.7,0.4,54,172,41.31,0.04
50000,16,77,36.5,0.0,0.2,21.5,0.0,25,177,37.46,0.00
50000,22,56,36.9,0.1,0.5,25.2,0.1,16,155,34.80,0.00
50000,39,37,33.2,14.9,0.1,15.9,14.9,4,112,21.42,9.99
50000,41,18,32.5,0.0,0.0,31.5,0.0,4,198,47.28,0.00
50000,50,10,38.3,1.1,0.0,24.6,1.1,4,208,49.00,0.56
51000,42,254,35.9,0.4,1.1,26.2,0.4,58,180,41.61,0.04
51000,47,232,31.8,0.3,1.5,20.2,0.3,76,259,50.02,0.02
51000,52,184,32.3,1.8,0.7,29.0,1.7,61,187,45.80,0.56
51000,56,74,32.2,0.0,0.3,19.6,0.0,33,197,38.59,0.00
51000,22,56,37.5,0.1,0.9,21.9,0.1,14,181,39.05,0.00
51000,16,33,34.9,1.4,0.1,22.5,0.7,12,142,30.82,0.34
51000,39,27,32.9,14.3,0.0,16.8,14.3,6,137,26.53,9.59
51000,41,21,36.0,0.0,0.0,28.0,0.0,8,102,24.65,0.00
52000,42,258,35.6,0.3,1.2,25.9,0.3,67,180,41.88,0.05
52000,47,212,32.0,0.2,1.3,21.7,0.2,75,249,49.36,0.10
52000,52,170,30.3,1.3,0.9,28.0,1.3,69,180,42.14,0.43
52000,56,102,34.7,0.0,0.0,18.3,0.0,37,185,38.10,0.00
52000,16,59,21.9,0.0,0.1,19.1,0.0,19,97,17.59,0.00
52000,22,45,38.6,0.0,0.5,20.8,0.0,9,248,52.26,0.00
52000,39,29,33.4,15.1,0.1,15.4,14.4,7,70,12.25,7.11
52000,58,12,30.8,0.0,1.0,19.3,0.0,3,490,80.60,0.00
53000,47,268,31.4,0.4,1.8,21.5,0.4,97,233,46.15,0.07
53000,42,250,35.9,0.8,1.3,25.2,0.8,78,215,48.26,0.23
53000,52,104,33.9,2.0,0.0,27.8,2.0,34,154,36.19,0.56
53000,56,102,34.3,0.0,0.3,19.2,0.0,50,139,28.11,0.00
53000,22,70,37.9,0.1,1.0,20.3,0.1,8,190,41.17,0.00
53000,16,38,15.4,0.7,0.0,17.1,0.0,8,91,12.21,0.00
53000,39,21,33.6,15.1,0.0,15.1,14.7,5,82,14.48,9.55
54000,42,311,34.5,0.5,1.5,26.9,0.4,83,160,37.19,0.19
54000,47,173,32.0,0.2,1.7,20.0,0.2,64,225,43.63,0.03
54000,52,99,33.4,1.2,0.4,28.8,1.2,39,175,41.34,0.31
54000,22,56,38.3,0.0,0.4,21.1,0.0,10,253,53.41,0.00
54000,39,39,31.8,14.9,0.0,17.3,13.9,9,94,17.70,9.02
54000,56,31,33.1,0.0,0.0,24.5,0.0,11,108,25.85,0.00
54000,16,25,12.0,0.2,0.0,15.6,0.2,12,74,8.81,0.00
55000,42,257,35.0,0.4,1.2,26.5,0.4,67,210,48.51,0.00
55000,47,157,33.8,0.2,0.9,20.2,0.2,45,300,59.93,0.04
55000,52,131,30.1,10.8,0.0,23.0,10.4,25,104,22.76,4.60
55000,56,107,34.1,0.0,0.0,24.6,0.0,31,114,27.34,0.00
55000,22,52,38.0,0.2,0.8,20.7,0.2,7,286,60.44,0.00
56000,52,345,31.5,9.6,0.1,22.8,9.6,45,136,32.01,2.74
56000,42,294,38.6,0.2,1.0,23.5,0.2,56,184,41.85,0.00
56000,47,57,37.7,1.3,0.1,20.4,1.3,11,174,37.48,0.15
56000,22,46,38.1,0.0,0.7,21.0,0.0,7,216,46.17,0.00
56000,16,21,35.0,0.0,0.0,20.8,0.0,3,114,27.06,0.00
56000,60,13,32.8,5.8,0.5,24.8,5.8,2,181,42.19,1.44
57000,42,339,38.7,0.1,0.6,23.3,0.1,64,190,43.50,0.00
57000,52,262,34.2,5.6,0.1,23.9,5.2,65,171,40.57,1.74
57000,47,92,40.7,2.4,0.1,20.9,2.4,17,165,39.30,0.04
57000,22,49,39.0,0.0,0.2,21.2,0.0,8,221,47.22,0.00
58000,52,354,34.0,5.9,0.0,23.9,5.5,63,187,43.71,2.19
58000,42,290,39.0,0.2,0.7,22.8,0.2,69,221,50.59,0.01
58000,22,70,39.3,0.0,0.4,22.8,0.0,12,226,50.72,0.00
58000,64,67,37.8,0.0,0.0,16.4,0.0,19,212,42.78,0.00
58000,47,62,40.9,2.0,0.0,21.1,2.0,16,202,49.14,0.06
59000,52,365,31.7,7.4,0.0,24.6,6.6,65,176,41.07,2.20
59000,42,246,37.9,0.3,0.5,23.6,0.2,54,223,50.25,0.06
59000,22,101,39.7,0.0,0.2,23.6,0.0,12,229,53.68,0.00
59000,47,71,40.1,1.9,0.0,21.8,1.9,26,207,48.87,0.07
59000,64,54,37.3,0.0,0.0,16.5,0.0,15,244,47.04,0.00
60000,52,316,33.7,5.1,0.0,25.0,4.6,66,205,47.01,2.22
60000,42,300,38.0,0.4,0.5,23.0,0.4,67,202,46.14,0.02
60000,22,115,39.6,0.0,0.3,23.4,0.0,13,236,54.83,0.00
60000,64,62,37.3,0.0,0.0,16.8,0.0,20,219,41.91,0.00
60000,47,44,39.5,1.4,0.1,23.0,1.4,21,261,62.19,0.08
61000,52,299,31.4,7.5,0.0,24.8,6.7,57,205,47.34,2.51
61000,42,291,37.4,0.4,0.5,23.2,0.4,55,205,46.09,0.08
61000,22,100,40.0,0.0,0.2,23.5,0.0,10,259,57.77,0.00
61000,64,75,36.4,0.0,0.0,17.6,0.0,24,216,43.22,0.00
61000,47,54,40.4,1.7,1.0,20.9,1.7,13,244,57.42,0.15
62000,47,216,34.0,12.0,0.1,17.8,11.7,31,98,21.59,4.44
62000,42,213,36.5,0.3,0.7,23.3,0.3,51,182,40.84,0.01
62000,52,179,24.8,13.6,0.0,25.6,12.2,24,162,37.19,5.28
62000,22,121,40.7,0.0,1.1,22.1,0.0,14,184,42.59,0.00
62000,64,33,38.6,0.0,0.0,17.7,0.0,11,205,41.00,0.00
63000,42,336,41.4,0.2,0.3,21.3,0.1,58,166,38.55,0.00
63000,22,256,41.0,0.1,0.4,21.8,0.0,14,213,48.84,0.00
63000,47,173,37.1,8.0,0.0,18.8,7.9,21,195,45.04,3.64
63000,52,35,17.2,19.8,0.0,25.5,17.2,4,145,33.43,8.92
63000,64,5,48.0,0.0,0.0,16.0,0.0,2,180,41.70,0.00
64000,42,310,42.6,0.0,0.2,21.0,0.0,47,177,41.27,0.00
64000,22,231,41.3,0.0,0.3,21.7,0.0,22,216,49.17,0.03
64000,47,197,35.4,9.7,0.2,18.6,9.5,26,216,47.89,4.28
64000,52,36,17.5,20.3,0.0,25.7,17.5,2,92,21.53,7.05
64000,70,25,43.7,0.0,0.2,19.7,0.0,4,321,70.05,0.00
65000,42,406,31.6,0.9,0.5,21.3,0.3,112,145,32.22,0.28
65000,47,222,34.3,11.5,0.1,17.9,11.3,26,210,47.16,5.31
65000,22,171,40.5,0.0,0.1,21.4,0.0,20,216,48.39,0.00
65000,52,39,18.0,20.0,0.0,26.0,18.0,1,139,31.77,6.53
65000,70,27,44.5,0.0,0.0,19.5,0.0,4,524,111.53,0.00
66000,42,330,41.1,0.2,0.4,21.8,0.1,58,170,40.01,0.00
66000,47,220,36.3,8.9,0.0,18.8,8.8,29,202,45.62,3.74
66000,22,160,40.7,0.1,0.4,22.2,0.0,23,215,49.16,0.00
66000,70,51,43.6,0.0,0.1,20.3,0.0,11,442,95.23,0.00
66000,52,47,18.2,20.1,0.0,25.7,18.0,2,157,35.09,6.40
67000,42,327,41.6,0.3,0.2,21.8,0.3,49,194,44.50,0.02
67000,47,250,39.0,5.2,0.0,19.5,5.1,47,189,43.11,2.78
67000,22,139,41.3,0.1,0.5,21.6,0.0,16,216,48.76,0.00
67000,70,54,42.7,0.0,0.2,21.1,0.0,7,551,119.07,0.00
67000,52,33,18.1,19.6,0.0,26.3,17.7,2,111,24.26,5.86
68000,42,294,42.2,0.1,0.1,21.4,0.1,41,213,48.52,0.00
68000,47,246,37.6,7.7,0.0,18.7,7.7,31,230,52.82,3.96
68000,22,185,40.8,0.0,0.4,22.6,0.0,18,243,55.31,0.00
68000,70,39,43.5,0.2,0.0,20.4,0.2,5,648,140.90,0.00
68000,52,12,18.0,20.0,0.0,26.0,18.0,1,121,25.34,9.06
69000,42,311,41.4,0.1,0.6,21.7,0.1,63,248,57.34,0.00
69000,47,220,40.2,3.2,0.0,20.4,3.2,42,256,58.57,1.57
69000,22,168,41.2,0.0,0.2,22.1,0.0,13,273,62.29,0.00
69000,52,47,18.6,20.0,0.0,25.4,18.0,2,156,35.54,6.71
69000,70,33,43.2,0.0,0.2,20.6,0.0,9,490,104.46,0.00
70000,42,310,41.0,0.1,0.7,21.5,0.1,60,241,54.64,0.00
70000,47,235,38.6,4.3,0.3,20.8,4.3,49,214,48.86,1.66
70000,22,177,42.1,0.0,0.1,21.6,0.0,11,275,61.65,0.00
70000,70,43,42.5,0.0,0.5,21.0,0.0,11,549,117.26,0.00
70000,52,38,17.4,20.2,0.0,26.3,17.4,3,158,35.66,7.75
71000,42,306,41.4,0.0,0.4,21.9,0.0,59,259,58.69,0.00
71000,47,234,39.8,4.1,0.2,19.8,4.0,42,229,51.18,2.19
71000,22,172,41.3,0.0,0.3,22.1,0.0,19,282,63.21,0.00
71000,52,46,18.4,19.7,0.0,25.9,17.8,2,140,32.87,8.11
71000,70,45,43.0,0.0,0.0,21.0,0.0,7,508,107.79,0.00
72000,42,329,40.7,0.1,0.4,22.3,0.0,83,221,49.49,0.01
72000,47,208,39.9,2.4,0.1,21.6,2.3,38,223,51.19,1.22
72000,22,152,41.9,0.0,0.2,21.5,0.0,15,243,54.07,0.00
72000,52,96,18.3,20.3,0.0,25.3,17.8,5,130,29.78,5.48
72000,70,59,43.0,0.0,0.3,20.6,0.0,18,502,107.10,0.00
73000,42,313,41.4,0.0,0.4,21.9,0.0,78,284,63.89,0.00
73000,47,179,40.5,1.2,0.2,21.9,1.1,42,284,64.38,0.15
73000,22,153,41.1,0.0,0.5,21.8,0.0,17,304,68.64,0.00
