step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,gain_mean,kills_young_share,meat_majority
340000,871,4.494,0.061,16.73,52848,44042,57,8750,0,346,1635226.5,55293.3,0.051,0.175,0.227,0.231,0.317,1317,63.93,0.64,43.44,7.47,1.23,5.15,0.11,0.51,19.15,6.20,1.23,5.15,0.019,0.080,143,0.191,0.956,0.026,0.000,0.017,38460,14618,7,0.293,0.022,0.055,446408,0.200,0.124,0.016,161.50,25717,19,6.32,0.905,0.006
350000,891,4.491,0.061,16.93,54632,44986,37,9589,0,426,1636779.8,69034.1,0.060,0.175,0.241,0.224,0.300,1306,63.97,0.33,43.15,7.77,1.88,6.10,0.14,0.66,18.80,5.46,1.85,6.08,0.029,0.095,120,0.352,0.936,0.048,0.000,0.016,38238,15331,7,0.222,0.053,0.062,459728,0.205,0.123,0.017,161.90,25700,25,7.20,0.875,0.024
360000,847,4.639,0.064,17.01,50932,43499,49,7428,0,227,1640109.6,46134.6,0.040,0.179,0.251,0.230,0.300,1345,63.99,0.16,42.70,9.06,1.58,5.76,0.11,0.74,19.59,7.67,1.58,5.76,0.025,0.090,120,0.300,0.941,0.048,0.000,0.011,35295,13746,8,0.309,0.013,0.035,413767,0.205,0.127,0.019,162.26,24802,19,6.21,0.887,0.004
370000,860,4.695,0.063,16.97,54186,45057,32,9077,7,309,1639543.0,58123.2,0.042,0.185,0.257,0.221,0.294,1340,63.98,0.37,43.26,8.06,1.42,5.49,0.15,0.92,19.15,6.73,1.40,5.40,0.022,0.086,144,0.295,0.951,0.031,0.000,0.017,38624,16235,8,0.350,0.001,0.076,384403,0.174,0.124,0.018,161.93,25901,21,6.40,0.888,0.014
380000,866,4.396,0.057,17.34,63674,54226,17,9312,113,526,1629337.6,60778.3,0.018,0.198,0.299,0.200,0.284,1096,62.82,4.43,38.94,6.59,0.80,2.95,0.07,0.61,23.01,5.84,0.73,2.66,0.013,0.046,249,0.059,0.950,0.035,0.000,0.015,42632,14257,9,0.308,0.052,0.024,461815,0.161,0.113,0.013,162.51,32542,46,6.53,0.740,0.002
390000,840,4.677,0.054,16.84,60972,54125,23,6846,4,492,1619907.8,48660.4,0.022,0.191,0.275,0.215,0.297,1205,63.96,0.62,37.62,5.30,1.35,4.55,1.25,2.28,23.73,5.50,1.31,4.46,0.021,0.071,258,0.069,0.937,0.044,0.000,0.019,41923,13670,8,0.274,0.200,0.329,1415094,0.259,0.110,0.011,162.66,30698,32,7.11,0.836,0.014
400000,848,4.576,0.055,17.93,59327,52052,22,7245,0,234,1627695.8,41571.9,0.019,0.184,0.284,0.215,0.298,1125,63.98,0.35,37.77,5.02,0.96,3.81,1.35,2.80,23.90,5.36,0.94,3.68,0.015,0.060,266,0.099,0.956,0.033,0.000,0.011,39926,10074,9,0.204,0.171,0.310,2459040,0.219,0.105,0.009,162.89,30905,17,5.74,0.907,0.005
410000,872,4.471,0.058,17.97,59402,51071,20,8287,0,280,1627438.5,49763.9,0.013,0.191,0.313,0.205,0.279,1115,63.94,0.77,37.72,4.85,1.61,4.83,1.45,2.52,23.17,4.79,1.58,4.73,0.025,0.076,265,0.076,0.933,0.057,0.000,0.009,37859,9323,11,0.186,0.095,0.344,3012244,0.231,0.105,0.009,162.94,30063,18,6.01,0.902,0.010
420000,851,4.486,0.059,18.11,59026,50472,34,8541,0,248,1626536.8,49578.0,0.012,0.183,0.311,0.204,0.290,1130,63.98,0.21,37.09,4.93,1.58,4.86,1.04,1.98,24.27,5.02,1.56,4.81,0.025,0.076,229,0.080,0.932,0.052,0.000,0.016,37839,9082,9,0.153,0.260,0.276,2855051,0.235,0.107,0.009,162.94,30262,17,5.80,0.901,0.016
430000,848,4.525,0.056,18.15,59455,50502,16,8940,0,251,1625795.2,50103.1,0.010,0.200,0.315,0.197,0.277,1089,63.97,0.51,37.05,4.62,1.49,4.72,1.11,2.38,24.32,4.78,1.48,4.70,0.023,0.074,246,0.065,0.932,0.053,0.000,0.015,38153,9026,9,0.196,0.001,0.289,2696713,0.238,0.105,0.009,162.94,30847,16,5.60,0.921,0.009
