step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth
310000,3948,3.910,0.158,10.88,305357,83422,1376,219525,845,2779,6093311.5,413501.4,0.006,0.149,0.373,0.360,0.112,613,52.95,19.61,33.48,18.36,4.55,9.01,0.31,1.74,14.60,4.03,4.39,8.85,0.073,0.144,491,0.243,0.710,0.267,0.000,0.023,95210,53346,5,0.378,0.045,0.114,3501024,0.093,0.127,0.017,655.35
320000,3626,4.225,0.166,11.18,317029,83528,1358,231674,791,3296,6076485.0,428018.9,0.006,0.147,0.370,0.363,0.114,607,57.25,16.08,36.95,16.13,5.19,9.50,0.18,0.88,14.93,3.23,5.09,9.37,0.082,0.150,367,0.261,0.688,0.297,0.000,0.015,100789,58172,5,0.414,0.002,0.110,4041923,0.089,0.130,0.020,655.35
330000,3549,4.255,0.171,11.61,311780,82693,1377,225787,2000,3472,6091712.5,423522.4,0.006,0.146,0.368,0.370,0.111,615,58.52,15.03,37.81,15.47,5.51,9.86,0.16,0.87,15.04,2.79,5.43,9.79,0.087,0.155,320,0.307,0.702,0.281,0.000,0.018,97074,53579,5,0.461,0.057,0.101,3570928,0.091,0.134,0.023,655.35
340000,3517,4.249,0.170,11.48,310612,84243,1257,222176,2968,5409,6231359.5,430680.5,0.006,0.135,0.391,0.370,0.098,598,58.69,13.66,36.19,15.92,6.29,9.81,0.31,0.97,15.91,3.73,6.04,9.55,0.104,0.159,332,0.272,0.662,0.322,0.000,0.016,94907,52016,7,0.336,0.057,0.160,3614736,0.092,0.136,0.024,655.34
350000,3583,4.302,0.159,11.41,278272,74305,1369,200655,1877,7638,6200400.5,467283.9,0.005,0.151,0.408,0.318,0.117,566,58.38,13.07,36.03,16.11,5.45,8.51,0.41,1.30,16.48,3.43,4.98,7.91,0.092,0.144,411,0.260,0.735,0.250,0.000,0.015,76063,39612,5,0.364,0.000,0.220,6920335,0.082,0.128,0.017,655.34
360000,3386,4.510,0.156,11.98,183186,72047,1740,109169,427,6277,6300679.0,302283.1,0.004,0.168,0.388,0.300,0.140,780,62.51,3.13,40.97,12.34,3.81,7.17,0.46,0.85,17.26,3.24,3.70,6.89,0.065,0.122,330,0.285,0.875,0.119,0.000,0.006,41121,15828,5,0.478,0.000,0.281,9399815,0.077,0.124,0.014,655.35
370000,3761,4.186,0.158,10.94,172713,71758,1817,97920,843,7919,6256098.0,278227.9,0.007,0.173,0.367,0.302,0.150,769,55.96,18.05,35.08,17.71,4.57,7.74,0.33,1.01,15.98,4.63,4.21,7.42,0.084,0.140,484,0.195,0.772,0.209,0.000,0.019,38489,13485,5,0.218,0.282,0.232,9338400,0.070,0.129,0.018,655.35
380000,3382,4.387,0.153,12.72,167557,78468,1380,87338,750,7297,6275165.0,255475.9,0.005,0.148,0.444,0.284,0.120,799,62.23,3.02,36.79,11.77,4.79,7.83,0.99,1.22,19.68,3.55,4.72,7.69,0.080,0.131,444,0.129,0.849,0.143,0.000,0.008,33882,12660,5,0.616,0.021,0.556,14131808,0.075,0.123,0.014,655.35
390000,3287,4.487,0.168,13.04,223070,95867,727,125461,1110,7107,6283735.5,373395.1,0.011,0.059,0.561,0.350,0.019,596,61.09,2.98,25.88,11.51,13.45,8.71,1.11,1.13,20.64,3.19,13.24,8.51,0.222,0.142,316,0.330,0.633,0.357,0.000,0.011,50931,24325,4,0.742,0.043,0.720,21819498,0.090,0.140,0.027,655.35
400000,3464,4.243,0.150,13.73,178968,94716,833,83239,3,5064,6257725.0,276316.4,0.008,0.055,0.566,0.335,0.036,654,61.78,3.57,37.21,11.39,4.05,7.30,1.07,1.01,19.45,3.16,3.97,7.12,0.070,0.125,391,0.269,0.870,0.124,0.000,0.007,36300,13560,5,0.642,0.024,0.748,20227685,0.075,0.121,0.013,655.35
410000,3387,4.427,0.156,13.96,195067,72113,1231,121799,1,8194,6303672.5,413787.5,0.012,0.040,0.553,0.328,0.066,620,62.07,3.05,34.81,13.36,6.64,8.59,0.92,1.04,19.70,3.88,6.56,8.46,0.111,0.143,396,0.180,0.809,0.183,0.000,0.009,39499,17724,2,0.594,0.001,0.623,20500899,0.068,0.125,0.015,655.31
420000,3246,4.605,0.174,14.17,179768,74958,1169,103779,3,6184,6413817.5,348624.7,0.013,0.052,0.496,0.353,0.086,636,62.33,2.82,32.11,13.95,10.93,10.01,0.66,0.81,18.64,3.74,10.60,9.58,0.178,0.161,344,0.233,0.694,0.293,0.000,0.014,37425,13590,2,0.578,0.014,0.483,18567692,0.076,0.139,0.026,655.34
430000,3562,4.226,0.155,14.01,195550,76544,1163,116617,910,5970,6119126.0,321627.1,0.013,0.052,0.517,0.329,0.089,596,57.90,14.08,30.00,14.62,7.52,9.13,0.73,0.85,19.64,4.73,7.38,8.90,0.125,0.151,566,0.184,0.735,0.250,0.000,0.015,47357,20243,3,0.408,0.332,0.522,16554810,0.071,0.128,0.017,655.35
440000,3596,4.137,0.153,13.60,319360,77151,842,237846,3487,15329,6013621.5,525435.9,0.018,0.053,0.545,0.310,0.074,465,56.43,16.41,28.92,16.14,7.47,8.83,0.58,0.86,19.45,4.89,7.15,8.80,0.137,0.155,513,0.270,0.709,0.271,0.000,0.019,95225,54421,7,0.418,0.177,0.444,13973437,0.066,0.125,0.015,655.34
