step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth
270000,186,4.642,0.113,10.49,13091,9443,10,3659,0,139,393742.8,12905.3,0.041,0.263,0.146,0.251,0.299,7154,64.00,0.00,42.41,8.96,4.24,9.23,0.08,1.02,17.27,2.66,3.89,8.58,0.066,0.144,16,0.559,0.882,0.102,0.000,0.016,8393,5742,3,0.645,0.000,0.005,2409,0.262,0.194,0.058,39.26
280000,193,4.648,0.104,10.49,12914,9308,4,3595,0,147,394840.8,12643.6,0.043,0.257,0.144,0.249,0.307,7020,64.00,0.00,40.47,10.25,6.34,10.48,0.00,0.00,17.19,3.07,6.08,10.04,0.099,0.164,22,0.316,0.829,0.166,0.000,0.005,8320,5337,3,0.570,0.000,0.000,2043,0.251,0.187,0.053,39.37
290000,196,4.671,0.102,10.61,12593,9116,4,3469,1,143,393860.6,12192.8,0.044,0.255,0.147,0.246,0.308,7754,64.00,0.00,40.80,9.84,5.42,10.00,0.00,0.00,17.78,4.03,5.20,9.58,0.085,0.156,28,0.270,0.852,0.133,0.000,0.015,8069,4485,3,0.612,0.000,0.000,2943,0.203,0.184,0.054,39.28
300000,212,4.628,0.088,10.49,12526,9096,7,3407,0,144,393534.7,12007.9,0.044,0.256,0.147,0.246,0.307,7728,64.00,0.00,42.14,8.62,4.30,9.21,0.00,0.00,17.56,1.72,4.12,8.82,0.067,0.144,16,0.514,0.877,0.104,0.000,0.019,7897,4577,3,0.670,0.000,0.000,1889,0.211,0.159,0.035,39.23
310000,211,4.415,0.100,10.29,12959,9452,10,3498,0,129,394969.6,12283.7,0.043,0.257,0.141,0.251,0.307,6487,64.00,0.00,41.09,9.68,5.61,10.12,0.00,0.00,17.30,2.52,5.38,9.70,0.088,0.158,17,0.336,0.848,0.137,0.000,0.014,8364,5372,3,0.569,0.000,0.000,2322,0.198,0.178,0.048,39.38
320000,212,4.577,0.085,10.41,12962,9490,6,3465,0,120,394865.2,12228.1,0.042,0.257,0.142,0.252,0.307,6994,63.99,0.14,41.09,9.94,4.93,9.64,0.00,0.00,17.96,4.90,4.73,9.24,0.077,0.151,27,0.344,0.873,0.118,0.000,0.009,8218,5376,3,0.632,0.000,0.000,2110,0.230,0.142,0.028,39.36
330000,204,4.551,0.103,10.38,12784,9406,8,3378,0,117,395114.8,11949.9,0.043,0.257,0.141,0.251,0.309,7321,64.00,0.00,41.29,9.44,5.22,9.87,0.00,0.00,17.50,2.64,5.00,9.46,0.081,0.154,14,0.260,0.853,0.142,0.000,0.005,8200,5334,3,0.618,0.000,0.000,3015,0.210,0.181,0.051,39.39
340000,206,4.475,0.094,10.37,13069,9506,4,3557,0,113,394596.7,12594.6,0.044,0.259,0.146,0.246,0.305,7687,64.00,0.00,41.29,9.87,5.30,9.91,0.00,0.00,17.41,3.34,5.03,9.50,0.083,0.155,21,0.257,0.859,0.126,0.000,0.015,8310,5073,3,0.612,0.000,0.000,2167,0.251,0.164,0.037,39.34
350000,200,4.711,0.093,10.44,13409,9770,6,3639,0,148,395877.1,12893.7,0.043,0.273,0.152,0.239,0.293,7092,64.00,0.00,41.27,9.47,5.47,10.00,0.00,0.00,17.25,1.81,5.25,9.59,0.086,0.156,19,0.230,0.835,0.155,0.000,0.010,8500,4505,3,0.395,0.205,0.000,1824,0.263,0.164,0.038,39.46
360000,188,4.861,0.105,10.57,13230,9726,3,3513,0,122,395706.6,12375.5,0.045,0.268,0.151,0.242,0.295,7247,64.00,0.00,41.34,9.68,5.35,9.87,0.00,0.00,17.31,2.88,5.03,9.39,0.084,0.154,26,0.218,0.809,0.176,0.000,0.016,8362,4278,3,0.378,0.261,0.000,2282,0.233,0.184,0.054,39.43
370000,207,4.455,0.102,10.37,13452,9777,2,3654,0,134,396518.7,12889.1,0.043,0.272,0.152,0.240,0.293,7247,64.00,0.00,41.86,9.58,5.16,9.80,0.00,0.00,16.99,2.56,4.95,9.39,0.081,0.153,21,0.353,0.870,0.121,0.000,0.010,8511,4230,4,0.430,0.000,0.000,2051,0.290,0.178,0.049,39.51
380000,212,4.708,0.095,10.41,13510,9855,3,3647,0,149,395550.9,12837.8,0.044,0.272,0.152,0.238,0.294,7381,64.00,0.07,41.32,9.84,4.91,9.57,0.00,0.00,17.76,4.95,4.71,9.17,0.077,0.150,19,0.325,0.858,0.127,0.000,0.014,8552,4236,4,0.429,0.000,0.000,2457,0.241,0.162,0.039,39.43
390000,205,4.769,0.093,10.32,13376,9850,7,3526,0,174,395116.0,12411.7,0.049,0.268,0.150,0.238,0.295,7593,64.00,0.00,41.29,9.48,5.48,9.99,0.00,0.00,17.23,2.08,5.25,9.57,0.086,0.156,18,0.317,0.859,0.137,0.000,0.005,8517,4252,4,0.376,0.000,0.000,2134,0.238,0.161,0.036,39.40
