step,lineage,size,hard,muscle,sensor,digestive,attack,bodies
95000,55,29,39.4,0.3,1.4,16.3,0.3,6
96000,54,105,21.0,18.0,0.0,25.0,18.0,1
96000,55,39,37.5,0.3,1.0,18.2,0.2,6
97000,54,121,21.2,17.9,0.0,24.8,17.9,2
97000,55,26,40.1,0.0,0.8,16.6,0.0,6
98000,54,109,21.2,17.9,0.1,24.5,17.8,8
98000,55,32,40.1,0.1,0.9,16.9,0.1,4
99000,54,117,21.3,17.8,0.0,24.3,17.6,6
99000,55,40,39.3,0.1,1.3,16.8,0.1,6
100000,54,129,21.2,17.9,0.0,25.0,17.8,4
100000,55,50,39.2,0.1,1.0,16.9,0.1,5
101000,55,102,22.4,1.1,2.7,30.3,0.9,38
101000,54,26,29.9,11.9,0.9,20.0,11.1,10
102000,54,89,21.3,17.3,0.1,25.2,16.9,7
103000,54,86,21.2,17.6,0.1,23.9,17.5,6
104000,54,69,21.1,18.1,0.0,24.9,18.1,3
105000,54,87,21.1,17.9,0.0,24.7,17.6,6
106000,54,82,21.1,17.6,0.2,24.7,17.5,6
107000,54,83,21.3,17.8,0.0,24.9,17.8,2
108000,54,91,21.7,17.9,0.0,24.4,17.8,5
109000,54,85,21.4,17.7,0.0,24.7,17.7,2
110000,54,97,24.0,15.7,0.0,22.5,15.3,8
111000,54,135,26.9,13.2,0.1,21.8,13.1,17
112000,54,155,29.8,10.4,0.0,22.4,10.3,30
113000,54,200,32.5,6.2,2.2,22.7,6.1,29
114000,54,187,32.6,6.3,2.0,23.0,6.3,24
115000,54,192,34.9,4.9,1.3,22.4,4.9,36
116000,54,79,21.3,17.9,0.1,24.8,17.7,5
117000,54,82,21.2,18.1,0.0,24.5,17.9,4
118000,54,90,21.2,18.2,0.0,24.7,18.1,3
119000,54,85,20.8,17.8,0.0,25.3,17.8,2
120000,54,90,21.2,17.9,0.0,24.8,17.6,4
121000,54,153,30.9,9.0,0.0,20.1,8.8,20
122000,54,141,29.9,10.0,0.0,22.7,10.0,22
123000,54,97,20.6,18.0,0.1,24.8,17.7,4
124000,54,158,31.3,7.7,2.0,23.0,7.7,21
125000,54,131,28.6,10.8,1.7,22.9,10.7,19
126000,54,170,33.1,6.6,2.4,21.7,6.4,35
127000,54,179,30.0,8.7,1.7,23.4,8.6,24
128000,54,196,33.0,4.7,2.9,23.0,4.6,24
129000,54,197,32.3,6.5,2.3,22.4,6.4,40
130000,54,189,32.9,6.0,2.3,22.6,6.0,41
131000,54,148,32.5,8.2,0.8,21.5,8.2,23
132000,54,195,36.3,2.2,2.4,22.8,2.1,39
133000,54,213,34.5,3.5,2.9,22.6,3.5,38
134000,54,132,28.5,11.6,0.6,22.7,11.3,21
135000,54,208,34.4,4.4,2.3,22.3,4.4,31
136000,54,154,37.7,0.2,3.2,21.8,0.2,41
137000,54,187,37.3,0.1,3.6,22.2,0.1,44
138000,54,183,37.7,0.2,3.1,22.4,0.2,39
139000,54,178,37.4,0.2,3.3,22.3,0.2,40
140000,54,189,37.5,0.1,2.5,22.9,0.1,52
140000,62,14,18.1,22.7,0.0,21.1,17.4,3
141000,54,176,37.7,0.4,2.8,22.8,0.3,47
141000,62,28,21.0,17.6,0.0,25.2,17.5,3
142000,54,166,38.3,0.2,2.8,22.4,0.2,34
142000,62,39,20.9,17.6,0.0,25.3,17.6,2
143000,54,68,33.4,13.0,0.5,16.9,10.1,20
143000,62,38,21.1,17.8,0.0,24.9,17.4,5
144000,54,162,39.1,0.1,2.8,21.6,0.1,34
144000,62,40,21.5,17.9,0.1,24.4,17.9,3
145000,62,62,22.7,17.3,0.1,23.9,17.3,5
145000,54,57,39.3,0.1,2.1,22.4,0.1,17
146000,54,166,36.6,0.0,3.0,22.7,0.0,39
146000,62,34,20.9,17.9,0.0,25.2,17.9,2
147000,54,175,36.9,0.2,3.4,23.3,0.1,38
147000,62,29,21.0,18.0,0.0,25.0,18.0,1
148000,54,168,38.0,0.2,2.4,23.2,0.1,35
148000,62,31,20.6,17.4,0.2,24.5,17.4,2
149000,54,175,37.1,0.3,2.7,23.7,0.3,38
149000,62,32,21.3,17.8,0.0,24.7,17.6,4
150000,54,145,37.9,0.7,3.2,22.2,0.5,41
150000,62,46,21.3,20.0,0.0,22.7,19.1,4
151000,62,62,19.0,17.6,0.2,27.3,16.4,6
151000,54,43,43.4,0.0,3.6,16.9,0.0,7
152000,62,66,21.0,18.1,0.0,24.9,18.0,2
152000,54,64,43.8,0.1,2.3,17.8,0.1,16
153000,54,163,39.5,0.5,2.0,21.8,0.5,35
153000,62,34,20.7,17.7,0.0,24.6,17.6,2
154000,54,172,38.6,0.6,2.3,22.3,0.6,45
154000,62,23,21.2,17.7,0.0,24.8,17.2,3
155000,54,161,38.4,1.4,2.2,21.8,1.4,36
155000,62,38,21.0,18.0,0.0,25.0,18.0,1
156000,54,188,36.2,1.2,1.9,23.5,1.1,51
156000,62,22,21.0,18.0,0.0,25.0,18.0,1
157000,54,150,36.9,1.4,2.5,22.7,1.4,50
157000,62,41,21.7,17.0,0.0,24.8,17.0,4
158000,54,142,37.3,1.2,2.2,23.0,1.2,31
158000,62,38,21.4,18.3,0.0,24.3,18.2,3
159000,54,134,37.0,1.6,2.0,23.1,1.3,43
159000,62,29,20.9,18.5,0.0,24.7,18.0,2
160000,54,166,36.8,1.3,2.3,23.4,1.3,39
160000,62,31,21.4,18.0,0.0,24.6,18.0,2
161000,54,163,37.0,1.4,2.2,23.0,1.3,32
161000,62,34,21.0,18.0,0.0,25.0,18.0,1
162000,54,153,38.8,1.2,1.3,22.2,1.0,36
162000,62,40,21.0,18.0,0.0,25.0,18.0,1
163000,54,154,36.5,1.5,2.2,23.4,1.5,35
163000,62,18,20.9,18.1,0.0,25.1,18.1,2
164000,54,158,37.8,1.0,2.1,22.8,1.0,33
164000,62,29,21.4,18.0,0.0,24.4,17.9,4
165000,54,151,39.1,0.8,1.9,21.7,0.8,32
165000,62,45,21.0,18.0,0.0,25.0,18.0,1
166000,54,170,39.4,0.5,1.8,22.2,0.5,30
166000,62,29,21.0,18.0,0.0,25.0,18.0,1
167000,54,145,39.4,0.7,1.7,22.1,0.6,38
167000,62,41,20.7,17.9,0.1,25.4,17.7,2
168000,54,149,38.2,0.2,2.3,23.0,0.2,31
168000,62,45,22.1,17.2,0.0,24.7,17.2,4
169000,54,142,38.2,0.6,2.3,22.6,0.5,38
169000,62,31,21.0,18.0,0.0,25.0,18.0,2
170000,54,154,37.6,0.1,2.4,23.6,0.1,36
170000,62,28,21.0,18.0,0.0,25.0,18.0,1
171000,54,127,37.5,0.4,2.3,23.5,0.4,42
171000,62,28,22.2,16.2,0.3,24.0,16.0,6
172000,54,66,37.4,9.1,0.0,17.5,8.9,23
172000,62,23,20.7,18.0,0.0,24.7,17.7,3
172000,64,18,36.2,0.8,4.6,21.3,0.8,7
173000,54,100,40.3,1.3,1.8,18.7,1.3,30
173000,62,13,22.5,16.8,0.0,24.1,16.8,2
173000,64,11,45.9,0.0,2.4,15.7,0.0,3
174000,54,65,41.4,0.3,2.2,19.8,0.3,13
174000,62,47,20.6,17.9,0.0,25.4,17.6,2
175000,54,101,40.0,0.1,1.8,21.8,0.1,24
175000,62,53,20.3,17.9,0.1,25.0,17.3,5
175000,65,38,44.1,0.2,3.9,15.2,0.2,14
176000,54,154,36.3,0.3,1.8,25.4,0.3,38
176000,62,24,21.1,17.4,0.0,25.5,17.2,3
176000,65,9,44.1,0.0,2.7,15.8,0.0,5
177000,54,162,36.7,0.3,2.2,24.5,0.2,35
177000,62,39,20.3,17.8,0.2,25.1,17.5,4
178000,54,140,36.5,0.1,2.3,24.1,0.1,31
178000,62,41,21.5,18.1,0.3,24.1,17.8,3
178000,65,24,39.0,0.0,0.2,23.2,0.0,7
179000,62,78,21.5,20.6,0.0,21.4,17.8,11
179000,65,59,38.0,0.1,0.3,23.8,0.1,14
179000,54,19,37.8,0.4,0.7,25.2,0.4,7
180000,54,125,37.4,0.4,1.6,24.5,0.4,21
180000,62,36,21.0,18.1,0.0,25.0,18.1,3
180000,65,33,38.5,0.2,0.1,23.4,0.2,10
181000,54,85,37.5,0.8,1.4,24.2,0.8,19
181000,62,65,21.0,18.0,0.0,25.0,18.0,1
181000,65,48,39.7,0.1,0.5,22.0,0.1,10
182000,54,100,36.8,0.7,1.9,23.6,0.7,40
182000,62,62,21.8,18.3,0.1,23.7,18.2,5
182000,65,28,38.5,0.6,0.1,22.3,0.6,8
183000,54,144,36.3,0.8,2.1,23.7,0.5,38
183000,62,37,21.5,17.6,0.0,24.7,17.6,2
183000,65,14,37.6,2.5,0.3,22.0,0.3,5
184000,54,147,35.6,0.9,2.5,24.1,0.5,26
184000,62,29,21.0,18.0,0.0,25.0,18.0,1
184000,65,24,38.9,0.0,0.0,21.8,0.0,7
185000,54,141,36.4,0.5,2.3,24.1,0.5,35
185000,62,30,21.9,17.4,0.0,24.7,17.4,2
185000,65,27,37.8,0.9,0.0,22.6,0.9,8
186000,54,155,30.3,9.5,1.3,21.8,9.1,51
186000,65,16,34.7,1.3,0.2,22.4,1.1,8
187000,54,157,36.3,4.4,1.9,20.5,4.2,51
188000,54,194,36.6,1.8,1.7,22.8,1.8,75
189000,54,120,33.6,8.9,1.1,20.1,7.2,35
190000,54,188,36.6,3.3,1.0,22.4,3.3,61
191000,54,192,36.8,2.4,1.7,22.6,2.3,63
192000,54,191,36.0,2.5,1.8,23.6,2.4,46
193000,54,155,35.3,4.7,1.4,22.4,4.4,38
194000,54,184,40.4,0.8,0.3,21.6,0.5,41
195000,54,161,37.9,0.8,1.1,23.5,0.7,52
196000,54,95,41.2,0.8,0.3,21.3,0.4,30
197000,54,100,40.2,0.1,1.5,21.6,0.1,23
198000,69,46,26.2,21.1,0.1,16.7,20.1,5
198000,54,44,45.0,0.7,0.0,17.6,0.1,10
199000,54,36,44.7,0.1,0.0,19.2,0.1,8
199000,69,26,24.9,22.1,0.0,16.9,21.2,2
200000,70,70,43.0,0.7,0.1,19.4,0.6,21
200000,54,40,45.5,0.9,0.0,17.6,0.9,10
200000,69,34,24.7,22.3,0.0,16.9,21.4,2
201000,70,53,45.0,0.0,0.0,18.8,0.0,9
201000,54,40,44.8,0.0,0.0,19.0,0.0,5
201000,69,37,24.9,23.1,0.0,16.1,21.6,3
202000,54,78,43.4,0.2,0.2,20.1,0.1,7
202000,70,66,43.3,0.7,0.1,19.9,0.7,12
202000,71,29,42.9,0.1,2.3,18.7,0.1,8
202000,69,16,25.9,20.7,0.0,17.2,19.8,3
203000,70,81,44.9,0.0,0.0,19.1,0.0,15
203000,54,44,44.4,1.4,0.4,17.7,0.0,10
203000,69,42,24.2,23.0,0.0,16.8,21.2,3
203000,71,25,43.8,0.0,2.3,17.3,0.0,5
204000,70,103,44.5,0.3,0.1,19.0,0.1,19
204000,54,56,42.5,0.9,0.2,19.9,0.4,9
204000,69,36,23.8,23.1,0.0,17.1,21.9,2
204000,71,8,44.0,0.0,2.0,18.0,0.0,1
205000,70,90,44.4,0.1,0.0,19.5,0.1,12
205000,54,67,44.2,0.2,0.0,19.5,0.0,10
205000,69,31,25.2,22.3,0.0,16.5,21.3,2
206000,70,101,44.4,0.2,0.0,19.3,0.2,17
206000,54,54,41.1,0.3,1.0,21.5,0.0,10
206000,69,30,25.1,22.5,0.0,16.4,21.5,2
207000,70,79,44.4,0.0,0.1,19.1,0.0,13
207000,54,63,40.6,0.0,0.2,21.8,0.0,12
207000,69,41,26.7,21.0,0.0,16.3,20.1,6
208000,70,107,43.7,0.2,0.1,19.9,0.2,21
208000,54,55,42.0,0.3,0.3,19.5,0.1,12
208000,69,26,24.0,23.0,0.0,17.0,22.0,1
209000,54,84,40.9,0.3,0.7,21.9,0.2,14
209000,70,73,42.3,0.0,0.2,21.5,0.0,16
209000,69,32,25.6,21.9,0.0,16.4,20.7,4
210000,54,89,42.7,1.3,0.1,19.6,0.5,18
210000,70,79,44.0,0.1,0.1,19.7,0.1,14
210000,69,33,26.2,20.9,0.0,16.9,20.0,3
211000,70,114,44.9,0.1,0.1,18.9,0.1,17
211000,69,47,29.6,17.4,0.0,16.9,16.7,8
211000,54,29,45.2,0.0,0.0,18.7,0.0,6
212000,70,79,45.2,0.1,0.0,18.7,0.1,12
212000,69,53,29.7,16.9,0.1,17.3,16.2,4
212000,54,23,43.2,0.0,0.0,20.8,0.0,3
213000,70,78,44.1,0.4,0.1,19.4,0.0,10
213000,54,67,44.2,0.5,0.0,19.3,0.2,6
213000,69,39,24.5,22.9,0.0,16.6,21.9,2
214000,54,73,42.4,0.2,0.0,20.8,0.2,12
214000,70,71,45.1,0.0,0.0,18.4,0.0,17
214000,69,42,25.9,21.3,0.0,16.5,20.0,4
215000,70,64,45.0,0.1,0.0,18.9,0.1,10
215000,54,57,43.8,0.2,0.0,19.9,0.2,11
215000,69,31,25.0,22.5,0.0,16.5,21.4,4
216000,69,34,25.6,21.6,0.1,16.7,19.4,4
216000,54,31,42.4,0.0,0.0,21.4,0.0,5
216000,70,23,44.2,0.5,0.0,19.3,0.5,6
217000,69,39,25.5,21.9,0.1,16.6,20.9,4
217000,54,20,45.9,0.0,0.0,18.1,0.0,7
217000,70,8,45.0,0.0,0.0,19.0,0.0,1
218000,54,47,44.5,0.0,0.1,19.3,0.0,7
218000,69,39,26.4,20.8,0.0,16.8,19.9,4
218000,70,6,46.5,0.0,0.0,17.5,0.0,2
219000,74,104,44.9,0.0,0.0,18.7,0.0,22
219000,54,59,42.5,0.9,0.0,20.0,0.2,12
219000,69,42,31.1,15.9,0.0,17.0,15.2,10
220000,74,115,44.7,0.0,0.0,18.7,0.0,26
220000,69,45,30.2,16.4,0.0,16.8,15.5,8
220000,54,35,43.9,0.3,0.1,18.9,0.3,9
221000,74,93,44.2,0.1,0.0,19.5,0.1,19
221000,69,49,27.8,19.1,0.0,17.2,18.2,5
221000,54,43,41.3,1.0,0.5,20.9,0.6,9
222000,74,91,44.4,0.0,0.0,19.0,0.0,22
222000,54,48,45.4,0.0,0.0,18.6,0.0,5
222000,69,42,30.1,16.6,0.0,17.2,15.9,7
223000,74,123,44.5,0.0,0.0,19.3,0.0,20
223000,69,48,30.5,16.8,0.0,16.7,15.7,8
223000,54,26,41.5,0.1,0.3,22.1,0.0,3
224000,74,97,44.5,0.0,0.1,18.9,0.0,25
224000,54,50,44.4,0.2,0.2,19.1,0.2,7
224000,69,45,24.6,22.1,0.0,17.2,20.8,3
225000,74,141,44.1,0.1,0.1,19.4,0.1,22
225000,69,35,26.3,20.2,0.0,17.5,18.2,6
225000,54,30,44.1,0.1,0.8,18.9,0.1,5
226000,74,112,44.7,0.0,0.0,18.4,0.0,31
226000,54,39,43.4,0.0,0.1,20.5,0.0,5
226000,69,38,31.9,15.2,0.0,16.9,14.3,9
227000,74,121,44.2,0.2,0.0,19.1,0.1,28
227000,54,37,43.5,0.1,0.0,19.6,0.1,7
227000,69,35,24.5,22.2,0.0,17.3,21.2,3
228000,74,124,44.2,0.0,0.0,19.5,0.0,22
