step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill,feeling,sighted,sight_front,sight_back,sight_left,sight_right,deaths_cold,warm_land,warm_surface,warm_bottom,cool_land,cool_surface,cool_bottom,btemp_land,btemp_surface,btemp_bottom,wood_intake,climbed,ate_sea,spent_land,spent_sea,matter_land,matter_sea,carried,carried_to_sea,browse,browse_intake,temp_day_land,invaders,invaders_land,invader_grown,invader_lineages
15000,9189,2758,59337,142478,130714,81950,1191,13618,2098,3,251395,2947295,45625.489,16717.649,0.2688,12493.641,0.045,0.804,0.069,0.081,0.565,0.324,1149,0.0756,0.6482,0.084,12.6,39.0,78.4,35.66,2.18,8.07,0.64,24.77,7.42,1.150,0.191,0.196,0.207,10.530,0.364,0.0023,69,321,1310,14474,297,20,0.491,5429,28,1350,7811,258,841,8090,3.25,10.08,14059,17.2069,67085,13221,237875,4824.0,-0.0,817419,11.684,2631075.518,1.93e-14,0.00030,23.67,51400,21.167,1.565,19.231,0.370,21.167,2676,2169,4344,0.2780,0.928,1.122,1.409,1.228,0.942,1.205,14383.983,19948.439,15054.772,14247.537,28816.821,1164.895,768.592,2290.521,0.678,0.458,0.564,0.605,0.513,0.606,27106,34748,0.6774,0.1308,0.1878,0.9989,0.0357,0.0492,0.5577,0.8214,0.8969,0.1279,0.0133,0.0222,0.0000,0.2819,0.9314,0.1919,0.6827,0.9948,0.00250,6421,0.9952,0.7361,0.7300,0.9977,0.0357,0.0492,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.4382,5.4002,5.3221,0.0560,0.0719,0.0496,0.124,0.097,0.077,0.103,867,0.0591,0.0036,0.0043,0.00224,0.00078,0.00107,27.62,27.03,27.96,1386.0351,0.0491,43.6237,5.1415,6.5427,1113526,1509765,2.9535,0.2401,3026.7,1386.0351,26.31,0,0,0,0
16000,8416,2705,39294,75331,67247,35476,561,11468,860,4,168940,2372686,27705.256,10434.825,0.2687,7598.062,0.050,0.811,0.082,0.058,0.563,0.330,527,0.0651,0.6449,0.064,14.0,47.0,78.0,39.55,2.72,10.77,0.50,25.57,7.38,1.149,0.225,0.224,0.233,11.601,0.345,0.0024,83,401,1106,8085,197,18,0.196,5025,37,1709,6670,326,1331,6759,3.25,9.84,16865,18.8841,66994,17573,238095,1597.0,-0.0,821042,10.433,2631075.518,4.78e-15,0.00061,15.34,27228,14.959,1.615,13.054,0.290,14.960,3450,2038,2928,0.2954,0.920,1.114,1.421,1.230,0.934,1.204,8122.014,9988.646,12220.596,8062.614,15020.107,1119.677,658.747,1058.339,0.701,0.436,0.541,0.530,0.407,0.487,32695,23909,0.6572,0.1964,0.2798,0.9995,0.0373,0.0672,0.5703,0.8100,0.8945,0.1167,0.0213,0.0230,0.0000,0.0229,0.9110,0.0494,0.6444,0.9855,0.00253,3211,0.9990,0.7243,0.7421,0.9985,0.0373,0.0672,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.3823,5.4944,5.5863,0.0518,0.0526,0.0434,0.074,0.089,0.083,0.063,615,0.0475,0.0035,0.0046,0.00213,0.00046,0.00071,23.77,26.68,26.77,1506.5143,0.0455,23.4393,4.8164,5.6166,1114172,1508960,2.6613,0.2321,3019.3,1506.5143,21.73,0,0,0,0
17000,7585,3190,51501,112644,102464,60665,478,12671,1284,1,245282,2653219,40986.320,14015.860,0.2530,10137.423,0.056,0.776,0.078,0.090,0.560,0.329,992,0.0834,0.6272,0.053,14.7,50.3,85.5,40.18,3.25,11.91,0.46,24.56,7.37,1.195,0.230,0.271,0.276,13.953,0.413,0.0022,72,346,1408,9567,285,20,0.239,4778,95,1876,5614,249,1783,5553,2.75,9.11,17551,20.6210,67074,14901,233785,3081.5,-0.0,826317,12.225,2631075.518,8.14e-15,0.00019,36.12,40136,20.515,1.656,18.614,0.244,20.515,3776,1279,2530,0.2161,0.952,1.206,1.450,1.252,0.937,1.241,13908.627,14471.064,16276.892,13710.128,21136.723,1494.178,891.885,1492.375,0.685,0.427,0.553,0.562,0.494,0.564,33923,31784,0.6396,0.1088,0.2649,0.9992,0.0378,0.0636,0.5622,0.9474,0.8951,0.1155,0.0218,0.0311,0.0000,0.8136,0.9543,0.2285,0.6720,0.9671,0.00249,5858,0.9993,0.8324,0.7425,0.9987,0.0378,0.0637,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.3637,5.7704,5.5258,0.0605,0.0610,0.0411,0.063,0.055,0.073,0.050,734,0.0516,0.0029,0.0032,0.00228,0.00072,0.00080,27.48,24.85,26.07,1406.2739,0.0565,35.3306,5.6654,6.5594,1115161,1507711,1.6875,0.1441,3101.8,1406.2739,24.35,0,0,0,0
18000,11036,4374,39203,88958,80944,49112,643,13158,1023,7,196986,2879618,35095.568,11338.715,0.3077,7550.636,0.054,0.781,0.103,0.062,0.606,0.303,812,0.0461,0.6150,0.056,14.8,50.3,83.2,39.52,3.62,9.78,0.55,25.57,7.70,1.217,0.200,0.285,0.291,12.653,0.367,0.0023,104,482,1572,10042,424,21,0.315,6504,108,1387,9541,1551,1974,7511,1.75,7.33,14326,20.1674,67046,17751,231742,2551.6,-0.0,835941,13.263,2631075.518,1.77e-15,0.00029,9.52,31412,19.436,1.628,17.328,0.479,19.436,5532,1866,3638,0.2064,0.946,1.228,1.483,1.279,0.931,1.269,8922.896,9558.360,20331.520,8820.536,13494.148,2138.707,476.133,1173.238,0.710,0.443,0.560,0.617,0.474,0.546,39326,16578,0.5332,0.2455,0.3386,0.9993,0.0436,0.0704,0.5740,0.7231,0.8542,0.1415,0.0323,0.0268,0.0000,0.0000,0.7510,0.2293,0.6411,0.9510,0.00249,4007,0.9996,0.6531,0.7333,0.9990,0.0437,0.0706,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.5010,5.7777,5.6550,0.0526,0.0602,0.0400,0.106,0.052,0.079,0.068,979,0.0565,0.0035,0.0039,0.00207,0.00054,0.00059,25.87,27.95,27.03,1629.4352,0.0591,22.6492,7.2899,5.9732,1114090,1505797,0.7656,0.0355,2950.3,1629.4352,20.58,0,0,0,0
19000,10039,3578,48669,104667,94831,55306,692,13670,1289,10,216063,3102985,36808.300,13765.863,0.3041,9659.590,0.056,0.785,0.106,0.053,0.600,0.304,930,0.0581,0.6209,0.051,15.7,49.2,87.3,40.72,3.54,9.89,0.53,26.76,7.60,1.183,0.203,0.272,0.275,12.088,0.356,0.0022,74,467,1551,12202,292,22,0.329,5845,687,1384,7968,780,1533,7726,3.00,9.11,14139,18.9801,67004,17881,225777,2323.3,-0.0,848304,14.761,2631075.518,1.13e-14,0.00007,24.64,38170,21.189,1.624,19.143,0.423,21.189,4495,2231,3313,0.2670,0.913,1.183,1.474,1.278,0.928,1.227,10538.279,12012.506,18493.537,10425.028,17549.325,2042.178,607.294,1456.802,0.712,0.411,0.551,0.571,0.492,0.531,42229,29112,0.6030,0.2081,0.2240,0.9994,0.0428,0.0667,0.5602,0.7524,0.7979,0.1354,0.0467,0.0308,0.0000,0.5700,0.9495,0.1120,0.6545,0.9455,0.00251,4125,0.9996,0.6794,0.7420,0.9988,0.0428,0.0667,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.4222,5.4928,5.3871,0.0500,0.0689,0.0537,0.082,0.083,0.109,0.048,1460,0.0804,0.0037,0.0044,0.00189,0.00055,0.00060,23.91,26.67,27.39,1738.5670,0.0637,28.3218,9.2213,5.5392,1116511,1504746,0.6546,0.0304,2723.8,1738.5670,18.26,0,0,0,0
20000,7188,2871,48773,114825,106679,64727,1325,12023,904,1,162576,2495096,38850.504,14123.029,0.2933,11142.792,0.061,0.748,0.120,0.071,0.573,0.326,1182,0.0740,0.6252,0.058,15.0,49.2,86.4,40.17,3.45,9.05,0.61,27.05,7.94,1.190,0.176,0.285,0.288,12.595,0.376,0.0022,71,396,1426,11301,266,24,0.520,4112,425,582,6181,904,883,5401,2.50,8.80,14128,18.6960,67003,16273,215425,1907.0,-0.0,857498,12.225,2631075.518,1.29e-14,0.00033,20.54,39097,20.206,1.671,18.341,0.194,20.229,3299,1318,2571,0.2415,0.927,1.190,1.474,1.268,0.933,1.221,10815.590,14767.415,17743.213,10685.920,21564.163,1486.403,499.885,993.948,0.655,0.463,0.543,0.605,0.540,0.567,38697,32128,0.6258,0.3578,0.2805,0.9994,0.0463,0.0584,0.5577,0.8526,0.8270,0.1423,0.0155,0.0256,0.0000,0.3531,0.9048,0.2450,0.7352,0.9551,0.00248,5614,0.9992,0.7325,0.7543,0.9986,0.0463,0.0584,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.4507,5.5336,5.4624,0.0526,0.0519,0.0481,0.179,0.044,0.125,0.048,954,0.0737,0.0031,0.0045,0.00223,0.00066,0.00076,26.76,27.73,28.43,1534.2966,0.0611,32.6505,6.9440,5.2814,1119070,1504777,1.2840,0.1785,2711.6,1534.2966,20.50,0,0,0,0
21000,8074,2941,52215,129810,121353,76015,1580,11828,868,3,155278,2575291,44413.915,14030.751,0.2852,11263.039,0.068,0.712,0.143,0.077,0.593,0.317,465,0.0584,0.6234,0.071,15.7,44.8,85.1,37.72,3.02,9.49,0.66,24.55,7.58,1.222,0.208,0.262,0.268,11.657,0.377,0.0021,77,360,1288,9008,291,20,0.265,4873,45,1270,6759,235,1014,6825,3.50,9.87,16078,18.3541,66881,13911,200758,2380.8,-0.0,862328,12.215,2631075.518,7.61e-15,0.00091,8.53,48139,23.739,1.682,21.785,0.271,23.739,2996,1612,3466,0.2094,0.935,1.241,1.507,1.327,0.926,1.270,12400.966,21271.826,13617.771,12293.618,29765.565,1094.776,372.075,1300.861,0.681,0.501,0.567,0.530,0.549,0.629,28841,32121,0.7044,0.2106,0.1891,0.9994,0.0343,0.0454,0.5727,0.8281,0.8437,0.1590,0.0185,0.0228,0.0000,0.0000,0.9094,0.0740,0.6577,0.9451,0.00251,5612,0.9988,0.6296,0.7271,0.9980,0.0343,0.0454,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.4864,5.5575,5.6486,0.0511,0.0805,0.0481,0.120,0.061,0.099,0.080,897,0.0810,0.0019,0.0022,0.00207,0.00100,0.00116,23.48,27.39,27.61,1589.4848,0.0485,42.4657,6.2045,6.0106,1120548,1502903,2.0762,0.2811,2649.3,1589.4848,16.29,0,0,0,0
22000,7531,2709,39167,78748,71814,38634,947,9832,767,5,134954,2261491,28298.471,9867.311,0.2888,7431.078,0.062,0.798,0.070,0.069,0.575,0.327,458,0.0611,0.6353,0.051,13.2,48.3,80.9,37.02,3.20,9.80,0.47,23.55,7.68,1.239,0.207,0.295,0.298,11.782,0.341,0.0021,72,402,1293,6534,249,19,0.404,4547,37,1291,6203,139,1248,6144,3.50,10.12,21062,22.4397,66933,16626,201846,1639.7,-0.0,860217,10.136,2631075.518,1.24e-15,0.00005,31.86,27209,14.879,1.637,13.035,0.207,14.879,3283,1448,2800,0.2101,0.962,1.277,1.525,1.331,0.943,1.284,7521.580,11038.062,11995.838,7436.285,16297.426,1075.199,333.778,1027.255,0.666,0.477,0.545,0.500,0.445,0.522,32350,25914,0.6654,0.1862,0.2496,0.9991,0.0280,0.0563,0.5938,0.8118,0.8525,0.1600,0.0158,0.0178,0.0000,0.7820,0.9505,0.1297,0.7226,0.9534,0.00249,2413,0.9991,0.7567,0.7561,0.9983,0.0280,0.0563,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.4746,5.5600,5.6034,0.0522,0.0635,0.0441,0.103,0.056,0.103,0.050,779,0.0867,0.0022,0.0047,0.00215,0.00068,0.00093,25.91,27.72,27.98,1466.7447,0.0479,24.1278,5.2508,4.8850,1121143,1502710,2.4974,0.2656,2706.6,1466.7447,19.77,0,0,0,0
23000,10287,3915,52015,108649,97287,55708,926,13558,1895,5,248553,3138900,37246.133,14274.337,0.2971,9658.996,0.053,0.785,0.084,0.078,0.588,0.308,1043,0.0645,0.6487,0.050,15.1,46.8,80.7,35.05,3.15,10.36,0.35,21.19,7.53,1.298,0.228,0.291,0.294,11.582,0.379,0.0021,79,367,1547,11991,269,20,0.364,6472,65,2002,8220,690,2693,6904,3.25,9.35,22556,25.7796,67012,17181,204242,2804.3,0.0,857959,12.403,2631075.518,3.36e-15,0.00002,11.13,40720,21.366,1.638,19.252,0.476,21.367,5564,1350,3373,0.1613,0.985,1.312,1.659,1.336,0.956,1.372,9030.244,13720.523,17992.710,8969.568,19942.851,1886.658,636.860,2091.823,0.682,0.482,0.554,0.561,0.463,0.519,35923,27191,0.5978,0.1752,0.2569,0.9998,0.0340,0.0523,0.5951,0.9615,0.9562,0.1274,0.0160,0.0227,0.0000,0.0000,0.7341,0.2065,0.6514,0.9419,0.00249,5634,0.9993,0.8228,0.7856,0.9990,0.0340,0.0523,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.5425,5.3822,5.6662,0.0520,0.0528,0.0389,0.071,0.035,0.052,0.046,976,0.0634,0.0028,0.0049,0.00204,0.00069,0.00084,25.24,25.93,27.17,1565.3664,0.0583,29.2476,6.1307,6.2726,1119830,1501644,2.1226,0.1473,2665.4,1565.3664,20.23,0,0,0,0
24000,9106,3991,41625,85598,75753,43339,634,13710,1658,5,220160,3100403,34731.296,12118.679,0.3106,7844.331,0.051,0.808,0.079,0.063,0.595,0.297,864,0.0745,0.6200,0.045,19.0,54.4,93.1,41.15,4.31,11.40,0.43,25.01,7.42,1.253,0.224,0.375,0.382,13.989,0.391,0.0023,94,493,1836,9780,464,21,0.449,5669,242,1602,7262,1051,1992,6063,3.00,9.24,19922,25.0997,67084,18859,208423,2444.8,-0.0,863305,13.970,2631075.518,1.79e-14,0.00109,20.30,30608,20.014,1.652,18.032,0.329,20.014,5325,1449,2332,0.1863,0.976,1.264,1.591,1.329,0.945,1.270,7023.642,9204.248,22497.213,6976.447,13101.966,2093.397,554.704,1626.247,0.709,0.424,0.525,0.608,0.396,0.461,42947,24172,0.6227,0.2049,0.2978,0.9996,0.0364,0.0545,0.5563,0.8332,0.7970,0.1512,0.0154,0.0306,0.0000,0.4606,0.9382,0.0748,0.6367,0.9467,0.00249,2071,0.9995,0.8139,0.8039,0.9989,0.0364,0.0545,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.3953,5.2593,5.3355,0.0538,0.0736,0.0591,0.105,0.041,0.072,0.057,1190,0.0647,0.0048,0.0052,0.00171,0.00048,0.00064,23.24,26.91,27.08,1684.3719,0.0631,20.3347,8.3368,5.6329,1119894,1501107,1.8531,0.0353,2530.4,1684.3719,19.22,0,0,0,0
25000,10558,4095,49993,120663,110541,70073,597,14024,1399,3,237891,3296608,42608.591,13862.659,0.2924,9514.798,0.083,0.794,0.072,0.051,0.587,0.311,754,0.0647,0.6162,0.044,20.1,51.5,80.7,39.71,3.70,9.60,0.59,25.83,7.27,1.217,0.192,0.318,0.323,12.725,0.394,0.0021,85,468,1720,9932,324,20,0.534,6071,316,1694,8548,1382,1469,7707,2.75,8.86,17762,22.2480,67237,14924,202504,2843.9,-0.0,871339,15.722,2631075.518,7.26e-15,0.00024,32.07,44256,23.204,1.643,21.158,0.402,23.204,4944,2301,3313,0.2407,0.930,1.236,1.552,1.334,0.914,1.251,12274.773,13593.111,21210.117,12191.247,18722.025,2164.092,847.856,1335.912,0.706,0.423,0.529,0.604,0.530,0.610,40903,29677,0.6162,0.1937,0.2355,0.9995,0.0352,0.0673,0.5603,0.8117,0.7654,0.1648,0.0190,0.0218,0.0000,0.7074,0.9404,0.2658,0.6475,0.9625,0.00249,2283,0.9992,0.7011,0.6669,0.9990,0.0352,0.0673,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.4582,5.2389,5.6176,0.0488,0.0887,0.0574,0.108,0.048,0.058,0.076,1155,0.0733,0.0039,0.0054,0.00183,0.00086,0.00090,27.62,27.53,27.93,1656.0643,0.0644,31.2385,9.9312,5.7911,1121584,1498866,2.1105,0.0555,2443.9,1656.0643,25.27,0,0,0,0
26000,10281,3400,49649,112392,102732,62197,546,13199,1146,5,215653,2822473,38881.897,12788.266,0.2734,9103.473,0.065,0.780,0.102,0.053,0.573,0.324,781,0.0589,0.6240,0.053,16.8,47.0,80.7,38.37,2.85,8.28,0.55,26.68,7.34,1.190,0.174,0.257,0.264,11.137,0.340,0.0023,78,414,1686,9903,380,15,0.336,5979,170,1200,8911,1539,1167,7575,2.50,8.49,18768,20.4686,67174,13779,194647,4275.9,-0.0,874572,13.524,2631075.518,1.27e-14,0.00009,11.77,42532,21.497,1.644,19.316,0.537,21.498,4322,2404,3555,0.2582,0.887,1.166,1.542,1.336,0.898,1.211,10913.860,16330.406,14391.074,10868.257,22726.040,1550.993,975.988,1157.811,0.708,0.419,0.545,0.590,0.465,0.595,35163,31240,0.5980,0.1974,0.2294,0.9996,0.0335,0.0583,0.5765,0.8049,0.8277,0.1301,0.0160,0.0301,0.0000,0.0000,0.8570,0.1182,0.6323,0.9779,0.00253,3503,0.9981,0.6588,0.6575,0.9992,0.0335,0.0583,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.6541,5.5301,5.5475,0.0479,0.0842,0.0655,0.121,0.083,0.090,0.061,833,0.0629,0.0044,0.0044,0.00195,0.00074,0.00097,24.56,27.69,27.97,1561.5599,0.0527,33.8948,7.4851,6.0389,1123740,1497863,2.7088,0.2063,2463.6,1561.5599,22.90,0,0,0,0
27000,7106,2961,52043,123740,113351,71163,534,12374,1229,6,210272,2558079,42841.763,15620.977,0.2772,11978.212,0.065,0.758,0.127,0.050,0.551,0.343,746,0.0830,0.6201,0.049,18.8,44.9,81.1,35.89,3.59,10.57,0.45,21.28,7.23,1.228,0.220,0.350,0.360,13.707,0.433,0.0022,71,356,1698,10088,321,15,0.370,4704,23,1337,5746,141,1341,5624,3.50,9.67,15804,18.5351,67147,11975,185639,1776.1,-0.0,882706,11.849,2631075.518,1.08e-14,0.00022,35.39,47226,22.252,1.636,20.356,0.260,22.252,3174,1424,2508,0.2153,0.975,1.243,1.534,1.344,0.941,1.244,12790.055,14727.600,20594.642,12700.823,21524.510,1520.437,1187.077,935.250,0.705,0.408,0.514,0.672,0.485,0.573,28717,34142,0.7145,0.1841,0.2475,0.9995,0.0363,0.0646,0.5637,0.9607,0.8998,0.1656,0.0211,0.0276,0.0000,0.8017,0.9668,0.0713,0.6747,0.9954,0.00252,6866,0.9984,0.8105,0.7324,0.9989,0.0363,0.0646,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.4232,5.4766,5.5071,0.0594,0.0732,0.0450,0.081,0.055,0.057,0.071,601,0.0441,0.0036,0.0031,0.00212,0.00085,0.00100,25.35,26.16,26.97,1613.6613,0.0463,34.6220,5.7557,6.0933,1125768,1497902,3.0970,0.2790,2440.6,1613.6613,24.34,0,0,0,0
28000,9988,2884,35569,71035,63164,34937,529,10809,782,14,167446,2497202,27680.965,8512.008,0.2553,5839.767,0.054,0.836,0.066,0.044,0.581,0.323,630,0.0493,0.6294,0.060,13.4,44.2,80.2,38.15,2.82,8.52,1.14,25.67,7.80,1.153,0.190,0.262,0.267,10.925,0.353,0.0023,97,464,1564,8186,275,14,0.252,6052,26,1933,8029,223,1405,8360,3.50,8.98,20189,20.6835,67132,15130,187406,2039.3,-0.0,880404,10.892,2631075.518,3.49e-14,0.00097,20.43,27696,17.280,1.660,15.112,0.508,17.281,3447,2597,3944,0.2813,0.904,1.102,1.416,1.307,0.917,1.173,8591.695,10200.884,11021.655,8530.727,13968.351,864.030,866.269,941.942,0.716,0.432,0.565,0.522,0.422,0.536,31654,17509,0.7479,0.2508,0.2808,0.9982,0.0316,0.0598,0.5725,0.7395,0.8706,0.1587,0.0165,0.0240,0.0000,0.1419,0.9069,0.2078,0.6834,0.9884,0.00251,2964,0.9990,0.7190,0.7783,0.9989,0.0318,0.0599,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.3422,5.3119,5.2761,0.0526,0.1079,0.0768,0.264,0.062,0.095,0.187,609,0.0587,0.0029,0.0026,0.00196,0.00078,0.00090,26.91,27.19,27.73,1586.3493,0.0426,22.7672,5.3956,5.4967,1126706,1495474,2.6304,0.2547,2456.0,1586.3493,25.40,0,0,0,0
29000,8289,3539,52459,131888,122766,78507,922,14776,1145,3,182361,2818268,45438.214,15329.376,0.2600,12366.342,0.070,0.717,0.124,0.089,0.583,0.323,627,0.0660,0.6183,0.054,19.4,50.6,78.6,37.58,3.86,9.81,0.80,23.11,7.18,1.213,0.206,0.348,0.356,13.614,0.430,0.0024,81,373,1868,10165,300,15,0.378,5131,108,1684,6497,743,1957,5589,2.25,8.03,15757,20.4440,67067,14346,183041,1976.9,-0.0,886341,13.954,2631075.518,4.60e-15,0.00053,15.85,47559,24.521,1.665,22.567,0.289,24.521,4653,1398,2238,0.1994,0.978,1.221,1.464,1.283,0.961,1.223,12799.192,14792.068,23597.503,12738.497,21468.557,988.926,844.561,1129.546,0.710,0.439,0.563,0.693,0.499,0.582,29304,31128,0.6177,0.1642,0.2605,0.9985,0.0379,0.0583,0.5658,1.1244,0.9451,0.1426,0.0127,0.0332,0.0000,0.0254,0.9220,0.0753,0.6429,0.9601,0.00254,6362,0.9993,0.9050,0.8112,0.9993,0.0382,0.0584,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.4870,5.5141,5.4364,0.0568,0.1087,0.0627,0.118,0.054,0.061,0.099,744,0.0447,0.0032,0.0025,0.00215,0.00079,0.00078,22.75,26.00,26.66,1603.3997,0.0484,34.5530,6.8940,7.0605,1126366,1496056,1.5908,0.1470,2460.0,1603.3997,20.09,0,0,0,0
30000,10373,3500,38222,76281,69174,37550,509,12519,774,10,151297,2695539,29481.251,9669.915,0.2612,7199.733,0.064,0.799,0.069,0.068,0.585,0.320,841,0.0503,0.6230,0.045,17.6,41.5,76.4,35.49,3.07,8.96,0.74,22.72,7.15,1.167,0.207,0.285,0.291,11.390,0.389,0.0023,102,477,2148,7778,527,15,0.560,6297,426,1532,8415,508,1252,8613,3.75,9.61,18926,20.9377,67133,15501,185317,1432.9,-0.0,888496,12.913,2631075.518,1.77e-15,0.00011,32.73,27055,18.234,1.668,16.112,0.453,18.265,4095,2601,3677,0.2723,0.920,1.108,1.452,1.310,0.932,1.173,9505.358,8952.319,14190.661,9401.873,13088.450,1051.426,795.053,623.703,0.704,0.460,0.539,0.565,0.438,0.497,34945,18134,0.6983,0.1917,0.2940,0.9992,0.0346,0.0638,0.5916,0.8914,0.8835,0.1607,0.0151,0.0319,0.0000,0.7707,0.9424,0.2766,0.6696,0.9520,0.00248,4082,0.9989,0.6902,0.6476,0.9988,0.0347,0.0639,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.4444,5.4441,5.3793,0.0530,0.1037,0.0758,0.149,0.097,0.095,0.154,619,0.0523,0.0038,0.0032,0.00206,0.00070,0.00068,28.10,27.71,27.81,1571.4921,0.0490,22.8077,7.3825,5.5304,1128016,1493738,0.7624,0.0299,2467.7,1571.4921,22.69,0,0,0,0
31000,8537,3574,42737,114333,106319,71246,350,13349,649,16,150715,2916286,39110.420,13048.499,0.2790,10420.081,0.076,0.762,0.072,0.091,0.603,0.306,473,0.0623,0.6206,0.052,19.0,46.0,78.0,37.70,3.61,9.65,0.55,23.90,7.18,1.164,0.212,0.344,0.350,12.746,0.415,0.0023,97,469,2011,6148,364,18,0.421,5119,769,1071,6697,1098,1375,6064,3.00,9.03,14752,21.4859,67035,16184,184524,3008.3,-0.0,895300,14.277,2631075.518,7.61e-15,0.00082,7.71,40710,21.257,1.664,19.318,0.276,21.258,4596,1729,2212,0.2788,0.901,1.137,1.462,1.250,0.927,1.171,8826.089,11705.405,24367.369,8776.688,16386.444,1435.952,491.098,701.367,0.694,0.469,0.561,0.729,0.480,0.573,37135,25498,0.6257,0.1850,0.2359,0.9996,0.0423,0.0633,0.5777,0.9536,0.8726,0.1437,0.0195,0.0288,0.0000,0.0000,0.7667,0.1974,0.6396,0.9443,0.00249,4065,0.9990,0.8202,0.7830,0.9988,0.0425,0.0634,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.2652,5.2558,5.3598,0.0557,0.0971,0.0760,0.096,0.084,0.075,0.089,996,0.0654,0.0038,0.0046,0.00210,0.00068,0.00077,25.00,27.13,27.16,1593.4485,0.0557,25.4339,8.3833,5.8938,1128542,1494118,0.6846,0.0470,2436.0,1593.4485,18.57,0,0,0,0
32000,6097,2403,31257,67185,61129,35454,474,9794,621,8,123968,1983416,24945.034,7689.839,0.2672,5619.775,0.081,0.768,0.082,0.069,0.573,0.326,322,0.0682,0.6179,0.038,19.7,48.5,78.0,37.31,3.62,10.51,0.54,22.65,7.31,1.185,0.220,0.365,0.374,12.777,0.352,0.0023,85,549,1633,5368,309,16,0.470,3832,559,818,4720,825,828,4444,4.01,10.33,17874,19.7747,66949,17906,187240,1562.6,-0.0,897196,11.147,2631075.518,1.04e-14,0.00024,26.07,23734,14.319,1.658,12.523,0.138,14.319,3401,1173,1523,0.2800,0.906,1.185,1.469,1.272,0.941,1.178,6837.716,8071.608,12291.718,6808.319,11464.772,1176.534,465.191,428.340,0.676,0.448,0.507,0.618,0.479,0.502,42093,21096,0.6126,0.1559,0.2187,0.9992,0.0447,0.0611,0.5928,0.8846,0.8743,0.1457,0.0096,0.0345,0.0000,0.6305,0.9539,0.0885,0.6892,0.9523,0.00252,1371,0.9994,0.8233,0.7974,0.9979,0.0447,0.0611,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.2864,5.1671,5.1623,0.0584,0.0835,0.0613,0.120,0.054,0.064,0.078,807,0.0804,0.0038,0.0054,0.00197,0.00057,0.00056,24.79,26.77,26.04,1567.1970,0.0464,18.4694,6.6944,4.4521,1130693,1494254,1.4170,0.2212,2428.7,1567.1970,17.75,0,0,0,0
