step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry
130000,2,765,30.97,0.03,4.70,0.00,10.73,0.02,1.01,0.010,0.136,407027.8,276005.5,26,126,3.19,1.02,1.00,40.7152,1300.13,34203.8,5.2137,3.9170,5461,23.3126,39,56.2264,370530.4,71.21,24.9189
140000,0,759,30.33,0.06,4.03,0.00,11.01,0.13,1.01,0.049,0.130,246355.3,107741.5,16,114,3.04,1.03,1.00,11.2837,355.39,11646.3,5.9895,8.4694,5462,13.5486,107,21.0081,162369.8,142.23,1.4572
140000,1,800,30.52,0.08,4.15,0.00,10.97,0.08,1.02,0.039,0.140,139082.6,62759.3,18,196,3.16,1.04,1.00,7.8563,733.25,28949.9,0.3425,5.6783,5461,13.5461,63,10.8973,82656.7,86.56,3.4357
140000,2,681,30.09,0.04,4.28,0.00,10.69,0.04,1.02,0.015,0.117,109617.3,51596.3,18,173,3.09,1.02,1.01,6.8240,352.00,45347.1,0.0542,4.7038,5461,13.5461,115,8.3301,63284.8,71.21,5.7266
150000,0,1008,27.94,0.28,3.96,0.00,9.44,0.46,1.08,0.184,0.159,325627.6,177792.7,22,133,3.05,1.16,1.02,20.1878,623.52,13206.6,22.9013,7.7424,5462,23.6283,85,31.7718,250208.6,142.23,3.6745
150000,1,890,29.39,0.23,4.58,0.00,9.64,0.32,1.06,0.128,0.146,405214.1,277352.6,24,151,3.06,1.12,1.01,37.3776,1307.55,21369.0,17.5050,4.9765,5461,23.6240,53,50.4703,358855.4,86.56,13.4138
150000,2,811,29.89,0.15,4.89,0.00,9.75,0.23,1.04,0.084,0.138,410354.3,300828.4,23,130,3.05,1.08,1.01,40.9526,846.17,28516.5,7.0981,4.0605,5461,23.6240,50,53.8697,372968.3,71.21,24.6184
160000,0,873,28.86,0.26,4.62,0.00,9.29,0.39,1.07,0.149,0.142,253495.6,131771.4,9,101,3.01,1.14,1.02,13.1786,686.79,12131.4,3.9514,5.6551,5462,13.5997,137,26.7173,198208.2,142.23,1.4935
160000,1,790,29.58,0.23,4.43,0.00,9.90,0.32,1.06,0.130,0.131,137029.5,70475.9,8,159,3.06,1.12,1.01,7.9010,707.70,28801.2,0.2331,4.7251,5461,13.5972,85,12.0854,90200.5,86.56,3.3625
160000,2,683,29.21,0.31,4.79,0.00,9.20,0.40,1.08,0.146,0.113,106542.4,52055.2,9,162,3.01,1.16,1.02,5.8951,521.10,43577.3,0.0251,4.3385,5461,13.5972,84,8.7138,63743.6,71.21,5.7629
170000,0,1047,27.84,0.51,4.34,0.00,8.55,0.69,1.15,0.277,0.161,327094.6,185822.7,10,118,3.01,1.27,1.03,18.0584,991.86,13011.4,23.0163,5.4305,5462,24.4649,90,35.8228,275353.0,142.23,3.3927
170000,1,943,28.53,0.42,4.63,0.00,8.79,0.55,1.12,0.220,0.148,398049.9,273443.6,11,138,3.10,1.23,1.03,33.5979,1284.96,20175.3,15.8901,3.6938,5461,24.4604,56,51.6520,364796.4,86.56,13.4833
170000,2,833,28.77,0.33,5.39,0.00,8.35,0.43,1.09,0.173,0.134,407896.5,278794.8,10,120,3.05,1.17,1.01,36.9991,1758.55,29434.1,6.9395,3.0177,5461,24.4604,62,57.1624,380527.9,71.21,23.9069
180000,0,875,28.94,0.36,4.57,0.00,9.18,0.45,1.10,0.178,0.142,250568.6,129667.8,18,105,3.02,1.19,1.02,12.2429,625.67,12646.5,3.6452,5.6426,5462,13.5743,106,26.7827,195209.7,142.23,1.5596
180000,1,723,29.39,0.29,4.28,0.00,9.84,0.34,1.09,0.137,0.119,136457.1,72327.1,19,134,3.06,1.16,1.02,7.8468,823.85,27998.0,0.2010,4.5382,5461,13.5719,105,12.2835,91592.3,86.56,3.2847
180000,2,638,29.06,0.40,4.32,0.04,9.39,0.50,1.11,0.207,0.103,110255.0,56526.8,19,141,3.02,1.20,1.02,6.2857,604.50,42533.1,0.0219,4.2953,5461,13.5719,93,9.3633,67950.1,71.21,5.5424
190000,0,972,28.05,0.53,4.11,0.00,8.85,0.63,1.19,0.255,0.150,321368.0,176001.3,16,118,2.97,1.30,1.05,16.2619,466.03,11302.2,24.4947,5.9323,5462,23.8083,126,34.1776,264831.5,142.23,3.8563
190000,1,959,28.02,0.52,4.26,0.00,8.70,0.50,1.18,0.210,0.148,409879.0,285802.1,20,128,2.96,1.29,1.06,37.4866,1727.44,23905.1,15.3640,3.4723,5461,23.8040,71,55.6724,378655.9,86.56,13.6687
190000,2,836,29.62,0.38,4.14,0.00,9.92,0.44,1.11,0.181,0.138,391288.8,272074.2,18,120,3.15,1.20,1.02,36.2313,1195.32,31397.9,5.4210,3.1853,5461,23.8040,34,54.5013,362363.9,71.21,24.0066
200000,0,889,29.70,0.43,3.97,0.00,10.02,0.43,1.14,0.179,0.147,247378.7,125997.2,20,106,3.01,1.23,1.04,11.8787,538.95,11934.4,4.7130,6.2307,5462,13.5082,110,25.0220,186039.4,142.23,1.4618
200000,1,811,29.93,0.44,4.24,0.00,9.86,0.41,1.13,0.173,0.134,140139.2,73852.6,20,150,3.13,1.23,1.03,8.0417,747.92,28339.5,0.2846,4.5366,5461,13.5057,74,12.7145,95133.7,86.56,3.2909
