step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry
40000,1,651,17.66,0.03,4.41,0.19,7.21,0.00,1.01,0.000,0.088,84596.2,44056.4,1,191,2.90,1.01,1.01,1.0206,87.89,44268.6,5.9668,7.6517,5461,8.6961,78,1.1415,8718.9,81.98,4.8809
40000,2,553,15.64,0.00,3.99,0.15,7.12,0.00,1.00,0.000,0.071,58802.9,33633.0,1,251,2.92,1.00,1.00,0.8654,62.14,27719.1,3.0457,5.4934,5461,8.6961,34,0.5510,4275.9,51.61,8.2148
50000,0,563,18.24,0.01,5.21,0.32,7.28,0.00,1.00,0.000,0.083,171862.1,137015.1,2,121,2.87,1.00,1.00,2.9005,129.53,65756.4,42.1967,13.5674,5462,15.1147,98,5.0373,38699.2,166.39,4.9701
50000,1,534,18.95,0.00,5.60,0.26,7.37,0.00,1.00,0.000,0.081,159151.6,124021.9,2,162,3.01,1.00,1.00,2.6238,51.21,38482.0,50.7469,12.2263,5461,15.1120,86,5.2387,39178.4,81.98,19.9396
50000,2,454,18.00,0.00,5.92,0.14,6.17,0.00,1.00,0.000,0.063,138615.5,100987.1,2,201,2.86,1.00,1.00,1.6607,47.02,23373.2,26.0767,12.4524,5461,15.1120,63,1.8581,15326.7,51.61,34.1014
60000,0,601,14.77,0.04,3.43,0.26,6.37,0.00,1.02,0.002,0.070,127074.3,60956.1,3,162,2.61,1.02,1.02,1.2956,138.78,54397.4,16.0795,11.4080,5462,8.4397,74,1.7237,13167.0,166.39,2.4690
60000,1,595,15.27,0.02,3.64,0.30,6.95,0.00,1.00,0.000,0.074,82214.8,45311.0,3,147,2.69,1.00,1.01,0.9448,79.93,41939.1,5.9478,7.5244,5461,8.4381,57,1.0256,7515.1,81.98,4.6159
60000,2,525,15.24,0.00,3.93,0.06,6.15,0.00,1.00,0.000,0.061,58824.3,35122.2,3,221,2.63,1.00,1.00,0.7393,44.45,28240.6,3.1960,5.5611,5461,8.4381,41,0.4976,3804.1,51.61,8.3041
70000,0,651,16.69,0.02,4.38,0.29,7.17,0.00,1.01,0.003,0.088,161548.3,109380.1,4,155,2.62,1.01,1.01,2.4914,130.80,75300.4,46.2856,12.7518,5462,15.0422,66,4.8501,36034.5,166.39,5.3827
70000,1,547,16.71,0.08,4.43,0.12,6.71,0.00,1.04,0.000,0.072,166745.9,110843.5,4,131,2.51,1.02,1.05,2.3181,37.79,27951.4,44.1784,13.7397,5461,15.0394,66,4.0889,31375.8,81.98,19.6423
70000,2,536,17.93,0.00,5.04,0.07,6.71,0.00,1.00,0.000,0.072,143252.5,94716.4,4,215,2.64,1.00,1.00,1.7874,72.90,21721.1,28.1913,12.8391,5461,15.0394,37,1.9399,15828.7,51.61,35.6971
80000,0,497,20.19,0.09,6.98,0.49,10.34,0.01,1.02,0.004,0.103,133800.3,60886.4,1,106,3.82,1.02,1.03,1.7247,71.71,56572.8,14.4008,11.6595,5462,9.0144,71,2.3960,17849.6,166.39,2.0093
80000,1,533,20.72,0.13,6.85,0.50,11.09,0.00,1.04,0.002,0.111,86398.0,43362.0,1,130,3.83,1.02,1.05,1.1707,117.73,40910.9,5.6677,7.9357,5461,9.0128,102,1.0167,7895.1,81.98,4.7198
80000,2,457,20.81,0.14,7.33,0.36,10.37,0.02,1.02,0.004,0.096,60998.7,32111.1,1,164,3.79,1.01,1.03,0.8319,70.72,30183.1,2.8245,5.7453,5461,9.0128,75,0.5626,4362.9,51.61,8.2005
90000,0,527,20.27,0.02,5.29,0.28,8.21,0.01,1.00,0.006,0.083,183383.9,188983.6,2,122,3.08,1.00,1.00,5.5354,146.32,71253.4,40.8118,13.5568,5462,15.5763,72,7.1056,50057.4,166.39,5.3763
90000,1,562,23.48,0.10,6.81,0.29,8.02,0.01,1.03,0.007,0.098,180216.5,173765.3,2,146,3.29,1.02,1.03,4.5816,125.64,32545.7,43.6199,13.6482,5461,15.5734,48,6.1751,45989.2,81.98,19.3034
90000,2,459,20.43,0.11,5.21,0.15,8.35,0.02,1.03,0.009,0.073,155861.2,140028.7,2,177,3.04,1.02,1.03,3.1698,94.09,21108.0,24.0867,13.2203,5461,15.5734,54,3.2826,25065.3,51.61,34.7600
100000,0,457,15.40,0.00,3.33,0.18,7.31,0.00,1.00,0.000,0.057,122812.5,65868.1,1,104,2.75,1.00,1.00,1.8456,84.86,58535.9,15.9553,10.9370,5462,8.4111,70,1.8643,13914.5,166.39,2.3023
100000,1,495,16.70,0.07,3.94,0.21,7.27,0.01,1.02,0.006,0.065,84638.3,51565.3,1,141,2.79,1.01,1.02,1.5297,95.38,42992.4,6.0293,7.5441,5461,8.4095,91,1.3728,10059.7,81.98,4.8799
100000,2,443,16.81,0.01,3.31,0.35,8.45,0.00,1.00,0.000,0.061,60309.9,39418.3,1,173,2.91,1.00,1.01,0.9846,79.00,26009.8,2.7624,5.6365,5461,8.4095,61,0.5868,4594.7,51.61,8.1905
