step,lat,wood_class,cells,grown,grass,wood,temp,bodies,felt,over,under,fill,rain
3000,-60,1,2591,0.5016,124.50,1015.91,-14.48,0,-16.38,0.000,31.383,0.6681,5.097
3000,-60,2,2622,0.3159,120.16,4761.64,-16.89,1,-18.96,0.000,33.965,0.9824,4.395
3000,-50,0,4580,104.3239,239.77,76.65,-6.45,13,-4.79,0.000,20.241,0.3314,9.981
3000,-50,1,2291,81.8233,194.18,990.24,3.37,10,-6.39,0.000,21.677,0.6033,15.563
3000,-50,2,1827,72.3160,177.12,4189.54,-19.01,15,-10.34,0.000,25.415,0.9212,15.332
3000,-40,0,4885,321.8274,339.16,77.05,5.91,59,6.20,0.678,12.912,0.3479,29.281
3000,-40,1,1573,153.2170,165.64,579.56,6.81,18,4.95,0.538,13.788,0.5424,43.169
3000,-40,2,1623,189.7227,168.34,4115.02,-12.07,48,-0.96,0.127,18.085,0.8836,48.903
3000,-30,0,2477,358.0197,238.27,43.42,7.73,118,15.33,3.775,9.010,0.4571,91.526
3000,-30,1,2091,321.5069,191.97,830.24,21.53,112,14.25,3.488,9.664,0.5308,99.136
3000,-30,2,3609,570.5582,351.51,12476.22,-0.93,301,6.85,1.785,14.157,0.8997,109.964
3000,-20,0,1122,120.1929,124.40,16.83,8.58,11,24.11,8.296,6.286,0.2779,136.780
3000,-20,1,1310,202.9287,114.64,612.21,26.34,81,21.68,7.324,7.419,0.4358,177.085
3000,-20,2,5787,890.6197,492.14,25540.25,10.20,659,11.76,3.966,12.440,0.9129,200.262
3000,-10,0,1603,259.2525,290.16,30.24,13.06,22,31.50,12.726,4.440,0.2716,269.327
3000,-10,1,929,232.7723,125.29,415.65,14.52,65,28.54,11.287,5.534,0.3545,312.153
3000,-10,2,5692,883.9353,386.47,27149.31,17.77,723,16.44,6.398,10.990,0.8845,357.587
3000,0,0,1648,183.0502,238.05,25.68,24.13,11,37.36,16.458,3.155,0.1617,299.004
3000,0,1,962,213.4237,221.22,443.48,17.49,23,34.39,14.915,4.124,0.2678,439.359
3000,0,2,5757,811.0229,318.94,27371.47,23.35,813,20.38,8.573,9.829,0.8061,527.903
3000,10,0,2840,165.3088,189.31,38.60,35.03,44,40.44,18.565,2.611,0.1187,300.386
3000,10,1,1339,213.0834,215.05,602.09,31.15,58,37.72,17.126,3.470,0.2195,494.412
3000,10,2,5266,882.3827,455.49,21119.16,21.70,681,23.23,10.159,8.989,0.6724,596.818
3000,20,0,3298,152.7194,189.55,41.36,32.52,25,40.19,18.515,2.799,0.0731,177.145
3000,20,1,1538,254.3961,221.31,719.41,24.47,54,36.75,16.664,3.890,0.2305,479.978
3000,20,2,3609,809.0958,542.86,12061.26,20.60,396,25.81,11.282,7.909,0.5741,609.587
