step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake
190000,0,1063,29.18,0.01,5.90,0.03,8.79,0.00,1.00,0.002,0.178,520412.3,390486.2,27,109,3.42,1.00,1.00,65.5350,2668.48,87083.3,0.0616,0.5418,5462,17.2134,11,77.7811,520824.6
190000,1,731,28.80,0.05,6.36,0.03,8.51,0.00,1.02,0.000,0.127,359896.3,223427.6,22,89,3.46,1.02,1.03,34.8689,1245.73,6895.4,28.2987,7.0324,5461,17.2103,15,45.2727,291187.8
190000,2,518,26.90,0.12,5.97,0.06,8.67,0.00,1.04,0.000,0.088,164717.5,54060.3,18,155,3.27,1.02,1.04,1.1314,44.87,164.9,45.4872,15.4598,5461,17.2103,17,1.2855,10443.3
200000,0,1015,27.95,0.02,5.75,0.02,9.15,0.01,1.01,0.004,0.174,225564.8,140078.5,19,123,3.45,1.01,1.00,17.1087,1783.06,93236.9,0.0000,5.4347,5462,13.9917,33,23.0141,171586.0
200000,1,726,28.28,0.01,6.28,0.02,8.62,0.00,1.00,0.001,0.123,174706.7,84220.1,18,120,3.48,1.00,1.00,8.4275,877.58,8959.4,5.0400,8.9032,5461,13.9891,70,11.5360,85704.0
200000,2,422,26.30,0.00,5.99,0.06,8.49,0.00,1.00,0.000,0.070,133569.4,36770.9,14,158,3.31,1.00,1.00,1.1218,129.06,253.9,9.4919,12.7199,5461,13.9891,22,0.7951,6199.8
210000,0,1071,29.41,0.01,5.67,0.03,9.01,0.00,1.00,0.001,0.181,534856.8,421082.0,16,82,3.38,1.01,1.00,69.6741,2614.58,87732.7,0.0320,0.3035,5462,17.4853,8,79.8798,540343.5
210000,1,697,28.41,0.00,5.93,0.07,8.66,0.00,1.00,0.000,0.117,361653.3,247342.7,15,98,3.48,1.00,1.00,36.7505,873.98,6982.7,29.9140,7.1964,5461,17.4821,43,42.0368,291629.8
210000,2,443,25.56,0.09,5.73,0.03,8.05,0.00,1.03,0.000,0.070,166234.7,58677.0,12,128,3.25,1.03,1.03,1.1018,55.49,147.6,44.1545,15.6059,5461,17.4821,20,1.2563,10456.6
220000,0,912,27.97,0.00,5.87,0.03,8.72,0.00,1.00,0.001,0.154,221292.5,142558.8,13,106,3.39,1.00,1.00,17.3215,1546.90,93512.4,0.0000,5.4967,5462,14.1843,13,22.1371,166411.3
220000,1,734,27.91,0.06,6.11,0.13,8.92,0.00,1.02,0.001,0.127,186086.2,91287.7,12,106,3.59,1.02,1.02,9.2276,1336.32,9741.5,4.9344,8.9274,5461,14.1817,21,12.5612,96428.6
220000,2,417,25.42,0.03,5.69,0.00,8.52,0.00,1.01,0.000,0.068,133336.5,39302.7,13,135,3.40,1.01,1.01,1.1363,71.98,133.4,9.1947,12.6657,5461,14.1817,21,0.8398,6559.6
230000,0,1105,28.56,0.01,5.59,0.03,8.77,0.00,1.00,0.000,0.182,559254.9,419383.8,23,121,3.36,1.00,1.00,73.3984,2622.93,86697.5,0.1242,0.4225,5462,16.6791,14,86.7633,567749.6
230000,1,723,28.63,0.01,6.06,0.04,8.83,0.00,1.00,0.000,0.124,310506.1,199982.9,19,81,3.40,1.00,1.00,28.5951,1274.97,6949.9,30.0756,7.3428,5461,16.6760,16,34.3251,238331.8
230000,2,440,25.47,0.03,5.39,0.07,8.72,0.00,1.01,0.000,0.071,158340.0,55528.5,14,115,3.22,1.01,1.04,1.0184,16.92,129.8,45.2208,14.9130,5461,16.6760,20,1.1388,9356.6
240000,0,893,29.74,0.02,6.35,0.03,8.79,0.00,1.01,0.000,0.155,226625.7,148690.7,15,99,3.51,1.01,1.01,18.4115,2057.43,92317.3,0.0000,5.4948,5462,14.0207,48,22.5753,171996.5
240000,1,779,28.21,0.05,6.32,0.02,8.45,0.01,1.02,0.003,0.132,182754.4,88826.4,19,111,3.40,1.02,1.02,9.0669,1197.53,8084.8,4.7464,9.1497,5461,14.0181,21,11.9954,91115.1
240000,2,394,23.44,0.04,5.35,0.02,7.51,0.00,1.02,0.000,0.058,133141.4,39110.3,16,102,3.13,1.02,1.02,1.0984,41.26,82.4,9.1818,12.6790,5461,14.0181,8,0.7725,6139.5
