step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain
140000,1,686,7.14,0.00,0.00,0.08,7.07,0.00,1.00,0.000,0.056,351667.1,6097.2,1,55,3.19,1.00,1.00,0.6819,13.04,19550.7,0.5030,34.2647,5461,33.8913
140000,2,678,7.09,0.00,0.00,0.01,7.08,0.00,1.00,0.000,0.055,338102.7,5498.7,1,40,3.23,1.00,1.00,0.6153,5.55,187.4,2.2700,32.9554,5461,33.8913
150000,0,688,7.32,0.00,0.03,0.15,7.13,0.00,1.00,0.000,0.058,356212.7,6293.3,1,49,3.20,1.00,1.00,0.7035,8.06,115986.5,0.0000,34.6964,5462,33.9059
150000,1,702,7.09,0.00,0.00,0.09,7.00,0.00,1.00,0.000,0.057,352160.5,6105.7,1,68,3.24,1.00,1.00,0.6825,10.62,19621.6,0.4909,34.2505,5461,33.8997
150000,2,661,7.20,0.00,0.00,0.09,7.11,0.00,1.00,0.000,0.054,338164.4,5383.8,1,37,3.26,1.00,1.00,0.6010,6.01,187.8,2.2289,32.9630,5461,33.8997
160000,0,723,7.07,0.01,0.02,0.08,6.97,0.00,1.00,0.000,0.058,356813.7,6293.0,1,62,3.19,1.00,1.00,0.7028,6.70,116011.8,0.0000,34.7158,5462,33.9131
160000,1,683,7.22,0.04,0.00,0.10,7.08,0.00,1.01,0.000,0.057,351758.0,6064.2,1,49,3.24,1.01,1.01,0.6781,5.06,19586.1,0.4917,34.2589,5461,33.9069
160000,2,709,7.11,0.00,0.00,0.09,7.02,0.00,1.00,0.000,0.057,337891.2,5273.1,1,48,3.14,1.00,1.00,0.5896,5.51,204.3,2.2318,32.9597,5461,33.9069
170000,0,712,7.11,0.00,0.00,0.02,7.09,0.00,1.00,0.000,0.058,356297.5,6203.2,1,59,3.20,1.00,1.00,0.6940,8.42,116030.6,0.0000,34.6838,5462,33.9010
170000,1,692,7.22,0.01,0.00,0.13,7.09,0.00,1.01,0.000,0.057,351828.2,5936.5,1,49,3.20,1.01,1.01,0.6629,3.61,19616.7,0.4977,34.2455,5461,33.8948
170000,2,674,7.08,0.00,0.00,0.05,7.03,0.00,1.00,0.000,0.054,337983.6,5376.8,1,40,3.21,1.00,1.00,0.6018,6.63,195.2,2.2491,32.9643,5461,33.8948
180000,0,705,7.22,0.00,0.00,0.16,7.06,0.00,1.00,0.000,0.058,356155.7,6222.4,1,53,3.24,1.00,1.00,0.6950,6.51,116025.2,0.0000,34.6829,5462,33.9018
180000,1,709,7.11,0.00,0.00,0.19,6.91,0.00,1.00,0.000,0.058,351773.8,5960.3,1,49,3.21,1.00,1.00,0.6636,8.26,19620.8,0.4992,34.2464,5461,33.8956
180000,2,689,7.12,0.00,0.00,0.02,7.10,0.00,1.00,0.000,0.056,338116.0,5260.1,1,44,3.20,1.00,1.00,0.5860,6.41,188.3,2.2942,32.9648,5461,33.8956
