step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain
210000,2260,1.292,0.044,7.48,58859,54897,400,0,3542,0,1022537.2,11337.1,0.000,0.350,0.648,0.002,463,5.82,1.65,0.00,0.00,0.01,0.23,0.00,0.08,5.81,1.54,0.00,0.00,0.001,0.023,54,0.470,0.231,0.765,0.000,0.004,10106,10099,1,1.000,0.000,0.000,19550,0.094,0.064,0.000,102.19,10733,0,11337.118,0.000,0.000,958661,1.00,18.46,0.000,0.000,0.000,5,6,6,46,13164,0.050,0.00,0.0078,0.052,726,0.120,0.000,0.116,0.000,2.88,1.08,7.86,0.00,0.000,1.00,1.00,1.00,0.120,0.00179,59.82,1.2843,12.76,136075.2,140073.6,1.833,0.1507,102.038,47.414,0.889,0.401,102.3,102.038
220000,2281,1.255,0.044,7.69,57992,53934,465,0,3572,0,1020211.6,11227.1,0.000,0.357,0.641,0.002,449,5.65,1.33,0.00,0.19,0.01,0.20,0.01,0.30,5.62,1.16,0.00,0.00,0.000,0.011,50,0.536,0.249,0.748,0.000,0.003,10346,10339,1,1.000,0.000,0.003,19392,0.086,0.069,0.000,102.01,11205,0,11227.126,0.000,0.000,976153,1.00,18.77,0.000,0.000,0.000,5,5,6,29,12880,0.049,0.00,0.0080,0.056,746,0.120,0.000,0.112,0.000,2.87,1.05,7.88,0.00,0.000,1.00,1.00,1.00,0.120,0.00177,59.97,1.2727,12.69,136137.0,140073.5,1.855,0.1496,101.869,47.143,0.903,0.401,102.8,101.869
230000,2287,1.245,0.043,7.86,55786,51672,584,0,3524,1,1016856.9,10871.7,0.000,0.366,0.632,0.002,451,5.47,1.39,0.02,0.54,0.00,0.10,0.00,0.04,5.45,1.10,0.00,0.00,0.000,0.007,45,0.697,0.229,0.765,0.000,0.007,10775,10763,1,1.000,0.000,0.000,18285,0.085,0.064,0.000,101.79,10869,0,10871.688,0.000,0.000,1005491,1.00,19.13,0.000,0.000,0.000,5,5,6,32,12508,0.048,0.00,0.0082,0.053,752,0.120,0.000,0.106,0.000,2.87,1.05,7.88,0.00,0.000,1.00,1.01,1.00,0.120,0.00176,60.16,1.2367,16.28,136170.7,140073.4,1.886,0.1489,101.647,46.075,0.902,0.401,101.8,101.647
240000,2275,1.253,0.046,7.89,55201,51191,579,0,3443,0,1015678.4,10569.2,0.000,0.368,0.630,0.002,471,5.47,1.34,0.01,0.47,0.00,0.04,0.00,0.14,5.45,1.16,0.00,0.00,0.000,0.005,49,0.680,0.247,0.748,0.000,0.005,10789,10780,1,1.000,0.000,0.001,18919,0.089,0.067,0.000,101.71,10626,0,10569.209,0.000,0.000,1010781,1.00,19.13,0.000,0.000,0.000,5,5,6,37,12444,0.047,0.00,0.0082,0.052,733,0.119,0.000,0.103,0.000,2.86,1.04,7.86,0.00,0.000,1.00,1.00,1.00,0.119,0.00177,60.20,1.2012,17.76,136126.8,140073.3,1.928,0.1438,101.564,45.825,0.883,0.401,101.8,101.564
250000,2266,1.273,0.045,7.91,55577,51494,570,0,3522,7,1016470.2,10769.2,0.000,0.368,0.630,0.002,442,5.47,1.29,0.02,0.47,0.01,0.25,0.00,0.06,5.44,1.07,0.00,0.00,0.001,0.014,47,0.651,0.243,0.753,0.000,0.004,10737,10723,1,1.000,0.000,0.000,19321,0.081,0.093,0.000,101.80,11178,0,1538.456,0.000,0.000,998310,1.01,19.11,0.000,0.000,0.000,5,5,6,29,12396,0.047,0.00,0.0082,0.060,729,0.118,0.000,0.105,0.000,2.85,1.04,7.83,0.00,0.001,1.00,1.01,1.01,0.118,0.00179,60.14,1.2244,12.87,136108.0,140073.2,1.903,0.1477,101.652,45.366,0.883,0.401,101.2,101.652
260000,2286,1.264,0.044,7.90,55418,51340,598,0,3460,0,1016184.4,10712.1,0.000,0.367,0.632,0.002,460,5.49,1.31,0.01,0.26,0.01,0.23,0.00,0.04,5.47,1.22,0.00,0.00,0.001,0.019,49,0.662,0.245,0.751,0.000,0.004,10623,10607,1,1.000,0.000,0.000,17696,0.082,0.081,0.000,101.79,10801,0,10712.089,0.000,0.000,991708,1.00,19.09,0.000,0.000,0.000,5,5,6,34,12548,0.048,0.00,0.0081,0.056,745,0.118,0.000,0.105,0.000,2.88,1.04,7.88,0.00,0.001,1.00,1.01,1.01,0.118,0.00176,60.14,1.2175,17.81,136103.7,140073.1,1.905,0.1455,101.648,45.592,0.895,0.401,102.2,101.648
270000,2274,1.280,0.044,7.92,55510,51507,569,0,3446,1,1016526.1,10731.9,0.000,0.367,0.631,0.002,456,5.54,1.48,0.03,0.56,0.01,0.23,0.00,0.02,5.50,1.19,0.00,0.00,0.000,0.013,49,0.645,0.239,0.757,0.000,0.004,10805,10791,1,1.000,0.000,0.000,18466,0.088,0.078,0.000,101.83,10810,0,10731.859,0.000,0.000,993214,1.01,19.02,0.000,0.000,0.000,5,5,6,33,12587,0.048,0.00,0.0081,0.059,749,0.118,0.000,0.105,0.000,2.88,1.06,7.88,0.00,0.000,1.00,1.01,1.02,0.118,0.00178,60.14,1.2187,22.30,136086.6,140073.0,1.870,0.1448,101.681,46.288,0.895,0.401,101.6,101.681
280000,2274,1.249,0.044,7.89,55501,51492,599,0,3410,1,1016567.5,10695.6,0.000,0.367,0.632,0.002,452,5.59,1.19,0.01,0.17,0.01,0.22,0.00,0.02,5.57,1.12,0.00,0.00,0.001,0.016,48,0.577,0.233,0.762,0.000,0.005,10830,10814,1,1.000,0.000,0.000,21070,0.085,0.075,0.000,101.80,11219,0,10695.608,0.000,0.000,995632,1.00,18.88,0.000,0.000,0.000,5,5,6,19,12709,0.048,0.00,0.0080,0.052,742,0.118,0.000,0.106,0.000,2.85,1.05,7.87,0.00,0.001,1.00,1.00,1.00,0.118,0.00178,60.14,1.2124,10.02,136150.1,140072.9,1.901,0.1437,101.661,46.285,0.902,0.401,102.1,101.661
290000,2248,1.286,0.044,7.91,55482,51396,612,0,3500,3,1017501.8,10877.0,0.000,0.367,0.631,0.002,463,5.60,1.17,0.00,0.16,0.00,0.09,0.00,0.00,5.59,1.14,0.00,0.00,0.001,0.023,52,0.553,0.240,0.757,0.000,0.003,10670,10650,1,1.000,0.000,0.000,16092,0.096,0.067,0.000,101.92,11468,0,3625.660,0.000,0.000,982654,1.00,18.83,0.000,0.000,0.000,5,5,6,19,12596,0.048,0.00,0.0081,0.051,735,0.117,0.000,0.107,0.000,2.88,1.06,7.86,0.00,0.000,1.00,1.00,1.00,0.117,0.00182,60.03,1.2351,12.84,136107.3,140072.8,1.894,0.1470,101.765,46.014,0.880,0.400,100.9,101.765
300000,2276,1.244,0.043,7.91,56083,52061,521,0,3473,0,1018104.2,10831.3,0.000,0.365,0.634,0.002,456,5.70,1.39,0.02,0.47,0.01,0.22,0.00,0.13,5.67,1.19,0.00,0.00,0.001,0.015,44,0.494,0.244,0.752,0.000,0.004,10604,10579,1,1.000,0.000,0.000,17323,0.089,0.066,0.000,101.96,11709,0,10831.311,0.000,0.000,974380,1.00,18.68,0.000,0.000,0.000,5,5,6,35,12962,0.049,0.00,0.0079,0.047,731,0.117,0.000,0.109,0.000,2.88,1.05,7.88,0.00,0.000,1.00,1.01,1.01,0.117,0.00180,59.96,1.2302,17.71,136167.7,140072.7,1.915,0.1463,101.823,45.887,0.898,0.401,102.7,101.823
