step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain
180000,2,641,9.08,0.06,0.02,0.00,9.00,0.00,1.02,0.000,0.067,355446.8,4451.6,2,48,3.25,1.01,1.02,0.5073,6.01,2030.5,0.0011,34.3380,5461,45.1377
190000,0,466,8.31,0.08,0.00,0.00,8.23,0.00,1.03,0.000,0.044,247547.0,2710.4,2,73,3.21,1.01,1.04,0.3312,12.51,2723.4,14.9559,24.7324,5462,16.6345
190000,1,643,9.04,0.06,0.00,0.00,8.98,0.00,1.02,0.000,0.067,347289.4,4176.8,2,21,3.24,1.00,1.02,0.4805,4.63,2605.2,1.1598,33.6412,5461,30.7562
190000,2,661,9.00,0.03,0.00,0.00,8.97,0.00,1.01,0.000,0.068,355246.8,4413.4,2,50,3.26,1.00,1.01,0.5035,4.19,2056.4,0.0018,34.3275,5461,45.1377
200000,0,481,8.24,0.01,0.00,0.00,8.23,0.00,1.00,0.000,0.046,247833.3,2571.9,2,89,3.15,1.00,1.00,0.3128,3.59,2689.4,14.9459,24.7613,5462,16.6345
200000,1,635,9.09,0.08,0.01,0.00,9.01,0.00,1.02,0.000,0.066,347071.8,4137.5,2,25,3.25,1.00,1.02,0.4729,5.17,2586.2,1.1473,33.6336,5461,30.7562
200000,2,658,9.16,0.08,0.00,0.00,9.07,0.00,1.03,0.000,0.069,355087.5,4532.1,2,37,3.25,1.01,1.03,0.5172,4.93,2067.4,0.0014,34.3171,5461,45.1377
210000,0,493,8.23,0.02,0.00,0.00,8.20,0.00,1.01,0.000,0.046,247809.1,2573.1,2,90,3.20,1.00,1.01,0.3132,6.58,2661.5,14.9091,24.7606,5462,16.6345
210000,1,642,9.07,0.13,0.02,0.04,8.89,0.00,1.04,0.000,0.067,347133.3,4101.9,2,23,3.22,1.01,1.05,0.4691,6.05,2546.9,1.1294,33.6430,5461,30.7562
210000,2,666,9.06,0.12,0.00,0.00,8.94,0.00,1.04,0.000,0.069,355150.9,4443.8,1,46,3.22,1.01,1.04,0.5067,7.87,2047.2,0.0014,34.3099,5461,45.1377
220000,0,483,8.43,0.10,0.00,0.00,8.34,0.00,1.03,0.000,0.047,247896.8,2646.4,2,74,3.25,1.00,1.04,0.3232,4.97,2676.4,14.9039,24.7787,5462,16.6345
220000,1,634,9.04,0.04,0.00,0.01,8.99,0.00,1.02,0.000,0.065,347075.6,4145.9,2,24,3.24,1.00,1.01,0.4749,4.28,2559.3,1.1254,33.6219,5461,30.7562
220000,2,650,9.01,0.03,0.01,0.00,8.96,0.00,1.01,0.000,0.067,355035.9,4483.5,1,35,3.20,1.00,1.01,0.5108,6.81,2058.2,0.0012,34.3057,5461,45.1377
230000,0,475,8.38,0.05,0.00,0.00,8.33,0.00,1.02,0.000,0.046,247755.8,2563.6,2,76,3.15,1.01,1.02,0.3120,9.52,2697.1,14.9007,24.7592,5462,16.6345
230000,1,642,9.03,0.05,0.00,0.00,8.97,0.00,1.02,0.000,0.066,346842.0,4043.1,2,22,3.21,1.00,1.03,0.4606,3.71,2563.0,1.1199,33.6178,5461,30.7562
230000,2,668,9.04,0.04,0.00,0.00,9.00,0.00,1.01,0.000,0.069,355204.3,4476.0,1,37,3.20,1.00,1.02,0.5084,7.01,2058.8,0.0013,34.3212,5461,45.1377
240000,0,478,8.52,0.08,0.00,0.00,8.45,0.00,1.02,0.000,0.046,247751.3,2559.2,2,86,3.23,1.00,1.03,0.3100,7.18,2708.4,14.9511,24.7699,5462,16.6345
240000,1,616,8.98,0.07,0.00,0.00,8.91,0.00,1.02,0.000,0.064,346896.8,4040.8,2,17,3.20,1.01,1.02,0.4619,4.39,2615.7,1.1736,33.6139,5461,30.7562
240000,2,642,9.09,0.04,0.02,0.02,9.02,0.00,1.01,0.000,0.066,355192.8,4424.5,1,52,3.25,1.00,1.01,0.5034,7.88,2067.4,0.0013,34.3103,5461,45.1377
250000,0,479,8.65,0.05,0.00,0.00,8.60,0.00,1.02,0.000,0.047,247876.3,2597.4,2,76,3.27,1.01,1.03,0.3157,6.10,2732.2,14.9244,24.7813,5462,16.6345
250000,1,630,9.02,0.05,0.00,0.00,8.97,0.00,1.02,0.000,0.065,347156.7,4107.9,1,22,3.21,1.01,1.02,0.4705,4.05,2599.6,1.1229,33.6145,5461,30.7562
250000,2,653,9.11,0.04,0.02,0.01,9.04,0.00,1.01,0.000,0.068,355191.5,4318.2,1,33,3.22,1.00,1.01,0.4901,3.20,2069.9,0.0016,34.3061,5461,45.1377
260000,0,485,8.39,0.02,0.00,0.00,8.37,0.00,1.00,0.000,0.047,247934.1,2585.2,2,77,3.20,1.00,1.01,0.3149,4.49,2749.5,14.8514,24.7909,5462,16.6345
