step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain
160000,0,748,7.01,0.03,0.00,0.00,6.97,0.00,1.01,0.000,0.060,375477.4,3417.5,1,75,2.47,1.01,1.01,0.3886,3.16,100550.2,0.0000,36.6169,5462,9.2444
160000,1,754,7.11,0.12,0.01,0.03,6.95,0.00,1.04,0.000,0.061,375033.7,3376.9,1,87,2.47,1.03,1.04,0.3844,8.55,32775.2,0.0377,36.5677,5461,18.3559
160000,2,751,7.10,0.14,0.00,0.00,6.96,0.00,1.05,0.000,0.061,375015.7,3461.5,1,73,2.42,1.05,1.06,0.3940,3.44,2891.7,0.0744,36.5575,5461,27.2008
170000,0,757,7.01,0.06,0.00,0.00,6.94,0.00,1.02,0.000,0.060,375390.0,3403.2,1,68,2.43,1.02,1.02,0.3876,6.48,100581.3,0.0000,36.6114,5462,9.2429
170000,1,744,7.02,0.06,0.00,0.01,6.95,0.00,1.02,0.000,0.060,375043.7,3403.0,1,66,2.48,1.03,1.03,0.3874,6.48,32759.8,0.0377,36.5661,5461,18.3529
170000,2,761,7.06,0.04,0.00,0.00,7.02,0.00,1.02,0.000,0.061,374798.5,3450.8,1,84,2.44,1.01,1.01,0.3934,4.06,2910.9,0.0709,36.5458,5461,27.1964
180000,0,754,7.00,0.06,0.00,0.01,6.94,0.00,1.02,0.000,0.061,375539.6,3363.2,1,77,2.42,1.02,1.02,0.3818,1.76,100552.5,0.0000,36.6275,5462,9.2442
180000,1,779,7.06,0.09,0.00,0.02,6.96,0.00,1.03,0.000,0.062,374918.4,3397.2,1,78,2.45,1.02,1.03,0.3862,3.16,32749.2,0.0397,36.5669,5461,18.3555
180000,2,737,7.04,0.04,0.00,0.00,7.00,0.00,1.01,0.000,0.060,374853.6,3407.0,1,86,2.47,1.01,1.01,0.3882,4.05,2874.5,0.0731,36.5533,5461,27.2002
190000,0,747,7.08,0.12,0.00,0.00,6.96,0.00,1.03,0.000,0.060,375237.1,3452.6,1,87,2.45,1.03,1.04,0.3939,4.51,100644.0,0.0000,36.6005,5462,9.2441
190000,1,756,7.03,0.10,0.00,0.00,6.94,0.00,1.03,0.000,0.061,374986.1,3364.6,1,66,2.49,1.03,1.03,0.3833,4.32,32753.5,0.0376,36.5702,5461,18.3552
190000,2,756,7.06,0.09,0.00,0.00,6.98,0.00,1.02,0.000,0.061,374743.4,3358.2,1,81,2.39,1.02,1.03,0.3823,4.07,2915.5,0.0704,36.5550,5461,27.1997
200000,0,761,7.05,0.07,0.00,0.00,6.98,0.00,1.02,0.000,0.061,375196.8,3450.2,1,72,2.45,1.02,1.02,0.3927,4.16,100578.8,0.0000,36.5968,5462,9.2420
200000,1,743,7.15,0.13,0.01,0.00,7.01,0.00,1.04,0.000,0.061,375000.0,3413.6,1,80,2.45,1.03,1.04,0.3882,3.58,32734.4,0.0386,36.5716,5461,18.3511
200000,2,767,7.03,0.07,0.00,0.00,6.96,0.00,1.02,0.000,0.062,374737.5,3398.0,1,93,2.41,1.03,1.03,0.3864,2.62,2916.9,0.0721,36.5550,5461,27.1937
210000,0,757,7.00,0.08,0.00,0.00,6.91,0.00,1.03,0.000,0.061,375538.3,3329.6,1,73,2.40,1.02,1.03,0.3784,5.25,100582.2,0.0000,36.6184,5462,9.2443
210000,1,763,7.04,0.06,0.00,0.01,6.96,0.00,1.03,0.000,0.061,374912.3,3430.4,1,92,2.46,1.02,1.02,0.3903,3.60,32759.6,0.0373,36.5716,5461,18.3557
210000,2,751,7.08,0.11,0.00,0.00,6.96,0.00,1.04,0.000,0.061,374795.8,3394.3,1,83,2.43,1.03,1.04,0.3869,2.31,2890.4,0.0722,36.5510,5461,27.2006
220000,0,758,6.99,0.05,0.01,0.01,6.93,0.00,1.02,0.000,0.061,375381.2,3399.2,1,55,2.41,1.01,1.02,0.3862,7.06,100560.8,0.0000,36.6146,5462,9.2423
220000,1,755,7.09,0.12,0.00,0.00,6.97,0.00,1.03,0.000,0.062,374888.0,3438.1,1,67,2.46,1.03,1.04,0.3914,3.72,32777.3,0.0380,36.5558,5461,18.3516
220000,2,759,7.00,0.06,0.00,0.00,6.94,0.00,1.03,0.000,0.060,374926.1,3301.9,1,71,2.44,1.02,1.02,0.3757,3.22,2910.9,0.0713,36.5439,5461,27.1945
230000,0,778,6.97,0.05,0.00,0.00,6.92,0.00,1.02,0.000,0.062,375404.4,3508.0,1,75,2.46,1.01,1.02,0.3993,2.06,100581.2,0.0000,36.6065,5462,9.2435
230000,1,749,7.05,0.08,0.00,0.00,6.97,0.00,1.02,0.000,0.060,374800.4,3338.9,1,68,2.47,1.02,1.02,0.3792,4.44,32767.0,0.0394,36.5653,5461,18.3541
230000,2,749,7.14,0.11,0.00,0.06,6.97,0.00,1.03,0.000,0.062,374991.5,3331.1,1,71,2.43,1.02,1.03,0.3790,5.53,2937.8,0.0724,36.5558,5461,27.1981
240000,0,763,7.01,0.08,0.00,0.01,6.92,0.00,1.03,0.000,0.061,375540.7,3369.0,1,63,2.42,1.02,1.02,0.3832,4.30,100573.4,0.0000,36.6155,5462,9.2450
240000,1,770,7.09,0.12,0.00,0.00,6.97,0.00,1.05,0.000,0.062,375087.2,3399.8,1,63,2.45,1.04,1.04,0.3872,1.78,32742.7,0.0372,36.5813,5461,18.3569
240000,2,757,7.16,0.18,0.00,0.01,6.97,0.00,1.05,0.000,0.062,374951.7,3375.0,1,95,2.49,1.05,1.06,0.3845,2.07,2908.9,0.0723,36.5588,5461,27.2023
250000,0,756,7.01,0.06,0.00,0.00,6.95,0.00,1.02,0.000,0.060,375333.2,3430.9,1,88,2.46,1.02,1.02,0.3902,5.24,100580.6,0.0000,36.6135,5462,9.2433
250000,1,753,7.11,0.14,0.00,0.02,6.95,0.00,1.05,0.000,0.062,374917.7,3432.7,1,76,2.42,1.04,1.05,0.3905,2.17,32750.1,0.0399,36.5676,5461,18.3536
250000,2,736,7.03,0.08,0.00,0.00,6.95,0.00,1.03,0.000,0.059,374854.8,3397.8,1,83,2.43,1.02,1.03,0.3880,6.84,2874.3,0.0725,36.5514,5461,27.1974
260000,0,758,7.14,0.14,0.01,0.00,7.00,0.00,1.04,0.000,0.062,375402.6,3391.7,1,87,2.48,1.03,1.05,0.3854,4.91,100618.9,0.0000,36.6133,5462,9.2444
260000,1,764,7.04,0.07,0.00,0.00,6.97,0.00,1.03,0.000,0.062,374917.2,3418.0,1,58,2.48,1.02,1.02,0.3897,2.64,32771.4,0.0402,36.5695,5461,18.3559
260000,2,741,7.01,0.05,0.00,0.00,6.96,0.00,1.01,0.000,0.060,374986.1,3434.2,1,71,2.38,1.01,1.02,0.3914,8.55,2874.1,0.0705,36.5554,5461,27.2008
270000,0,776,7.07,0.11,0.00,0.01,6.95,0.00,1.03,0.000,0.063,375549.4,3418.9,1,74,2.43,1.02,1.03,0.3899,7.67,100572.5,0.0000,36.6213,5462,9.2439
270000,1,764,7.08,0.13,0.01,0.00,6.94,0.00,1.04,0.000,0.062,374979.3,3355.9,1,75,2.41,1.03,1.04,0.3817,5.15,32751.6,0.0378,36.5763,5461,18.3548
270000,2,753,7.01,0.04,0.00,0.00,6.97,0.00,1.02,0.000,0.060,374754.1,3329.4,1,85,2.45,1.01,1.01,0.3779,3.91,2888.3,0.0738,36.5422,5461,27.1991
280000,0,766,7.05,0.09,0.00,0.00,6.96,0.00,1.03,0.000,0.062,375499.4,3375.0,1,72,2.42,1.02,1.03,0.3835,2.69,100578.5,0.0000,36.6177,5462,9.2434
280000,1,754,7.07,0.06,0.00,0.02,6.99,0.00,1.02,0.000,0.061,375084.3,3408.4,1,85,2.42,1.02,1.01,0.3883,5.98,32757.8,0.0367,36.5684,5461,18.3538
280000,2,744,7.00,0.01,0.00,0.02,6.97,0.00,1.00,0.000,0.059,374679.1,3464.7,1,89,2.49,1.00,1.00,0.3955,3.34,2858.8,0.0738,36.5486,5461,27.1978
290000,0,775,6.98,0.10,0.00,0.00,6.87,0.00,1.03,0.000,0.062,375581.8,3356.8,1,77,2.40,1.02,1.03,0.3829,4.85,100602.2,0.0000,36.6156,5462,9.2451
290000,1,765,6.99,0.04,0.00,0.00,6.95,0.00,1.02,0.000,0.061,375063.3,3387.4,1,69,2.47,1.02,1.02,0.3844,2.72,32745.6,0.0384,36.5769,5461,18.3571
290000,2,746,7.16,0.08,0.00,0.04,7.03,0.00,1.02,0.000,0.061,374760.5,3404.0,1,88,2.50,1.02,1.02,0.3874,4.92,2903.9,0.0716,36.5513,5461,27.2026
300000,0,768,6.93,0.06,0.00,0.00,6.86,0.00,1.02,0.000,0.061,375371.5,3312.7,1,82,2.41,1.02,1.02,0.3771,5.48,100589.8,0.0000,36.6013,5462,9.2459
300000,1,756,6.98,0.06,0.00,0.00,6.92,0.00,1.02,0.000,0.060,375204.6,3394.2,1,68,2.43,1.01,1.02,0.3882,6.66,32732.6,0.0383,36.5950,5461,18.3587
300000,2,739,6.97,0.03,0.00,0.00,6.94,0.00,1.01,0.000,0.059,374980.8,3347.3,1,91,2.45,1.01,1.01,0.3808,4.60,2901.3,0.0726,36.5659,5461,27.2050
310000,0,746,7.05,0.12,0.00,0.00,6.93,0.00,1.03,0.000,0.060,375557.2,3462.5,1,79,2.45,1.03,1.04,0.3955,4.89,100592.2,0.0000,36.6213,5462,9.2452
310000,1,757,7.02,0.09,0.00,0.01,6.92,0.00,1.03,0.000,0.061,375234.2,3324.3,1,86,2.44,1.02,1.03,0.3784,2.38,32737.3,0.0394,36.5800,5461,18.3575
310000,2,765,6.98,0.07,0.00,0.00,6.91,0.00,1.02,0.000,0.061,374938.7,3295.9,1,96,2.50,1.02,1.03,0.3744,2.91,2866.0,0.0724,36.5540,5461,27.2031
320000,0,771,7.14,0.10,0.00,0.07,6.97,0.00,1.02,0.000,0.063,375464.4,3326.8,1,69,2.50,1.01,1.03,0.3783,3.29,100604.1,0.0000,36.6147,5462,9.2440
320000,1,748,7.06,0.06,0.00,0.00,6.99,0.00,1.02,0.000,0.061,375017.1,3316.3,1,78,2.49,1.02,1.02,0.3772,4.20,32758.9,0.0391,36.5763,5461,18.3551
320000,2,747,7.18,0.17,0.00,0.03,6.98,0.00,1.05,0.000,0.061,374572.9,3360.8,1,83,2.48,1.05,1.05,0.3827,2.09,2872.4,0.0704,36.5404,5461,27.1996
330000,0,758,7.03,0.03,0.00,0.00,7.00,0.00,1.02,0.000,0.061,375290.4,3410.1,1,71,2.46,1.01,1.01,0.3886,3.08,100597.0,0.0000,36.6075,5462,9.2434
330000,1,735,7.06,0.06,0.00,0.01,6.99,0.00,1.03,0.000,0.060,375030.7,3402.0,1,85,2.46,1.02,1.02,0.3870,3.96,32779.1,0.0385,36.5752,5461,18.3539
330000,2,767,7.00,0.09,0.00,0.00,6.91,0.00,1.04,0.000,0.061,374741.5,3393.7,1,92,2.46,1.03,1.03,0.3866,4.63,2917.1,0.0719,36.5434,5461,27.1979
340000,0,743,7.08,0.06,0.00,0.00,7.02,0.00,1.02,0.000,0.060,375327.8,3323.1,1,80,2.44,1.02,1.02,0.3779,3.34,100580.0,0.0000,36.5976,5462,9.2424
340000,1,750,7.12,0.15,0.00,0.00,6.97,0.00,1.05,0.000,0.061,375119.0,3317.6,1,75,2.45,1.04,1.05,0.3769,4.51,32713.8,0.0392,36.5658,5461,18.3518
340000,2,737,7.10,0.10,0.00,0.02,6.98,0.00,1.03,0.000,0.060,374868.4,3276.6,1,93,2.47,1.03,1.03,0.3723,2.91,2887.1,0.0717,36.5609,5461,27.1947
350000,0,767,7.05,0.11,0.00,0.00,6.93,0.00,1.04,0.000,0.061,375294.6,3349.1,1,81,2.47,1.05,1.06,0.3814,4.27,100576.1,0.0000,36.6070,5462,9.2438
350000,1,755,6.99,0.05,0.00,0.00,6.95,0.00,1.02,0.000,0.061,375049.3,3376.8,1,63,2.41,1.01,1.02,0.3845,5.93,32753.3,0.0375,36.5717,5461,18.3546
350000,2,750,6.99,0.05,0.00,0.01,6.92,0.00,1.02,0.000,0.060,374682.3,3391.0,1,76,2.43,1.02,1.02,0.3867,4.13,2912.2,0.0712,36.5506,5461,27.1989
360000,0,767,7.13,0.17,0.00,0.00,6.96,0.00,1.06,0.000,0.062,375288.3,3373.9,1,64,2.47,1.05,1.06,0.3847,6.50,100552.9,0.0000,36.6083,5462,9.2442
360000,1,756,7.06,0.10,0.00,0.00,6.96,0.00,1.03,0.000,0.061,375089.4,3366.1,1,64,2.44,1.03,1.03,0.3839,3.41,32767.6,0.0371,36.5741,5461,18.3554
360000,2,753,6.96,0.02,0.00,0.00,6.94,0.00,1.01,0.000,0.060,374854.8,3371.4,1,76,2.44,1.01,1.01,0.3842,5.26,2885.7,0.0717,36.5620,5461,27.2001
370000,0,742,7.15,0.13,0.00,0.00,7.02,0.00,1.04,0.000,0.061,375370.9,3329.6,1,71,2.46,1.03,1.05,0.3778,3.14,100582.5,0.0000,36.6107,5462,9.2446
370000,1,753,7.22,0.14,0.00,0.02,7.06,0.00,1.04,0.000,0.062,374936.9,3388.4,1,68,2.46,1.04,1.04,0.3863,5.18,32806.5,0.0389,36.5736,5461,18.3562
370000,2,739,6.94,0.01,0.00,0.00,6.93,0.00,1.00,0.000,0.059,374863.6,3370.1,1,76,2.45,1.00,1.00,0.3841,7.03,2925.0,0.0719,36.5482,5461,27.2012
380000,0,753,7.00,0.03,0.00,0.01,6.96,0.00,1.01,0.000,0.060,375332.6,3301.4,1,70,2.43,1.01,1.01,0.3755,5.61,100604.2,0.0000,36.6059,5462,9.2420
