step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake
160000,2,382,23.32,0.14,5.03,0.19,8.23,0.02,1.05,0.016,0.060,113620.8,46935.9,17,90,2.98,1.05,1.04,1.4964,87.99,70.0,12.8095,10.2039,5461,12.8076,15,1.7215,11561.2
170000,0,785,30.95,0.11,6.50,0.01,9.09,0.01,1.05,0.005,0.141,450575.7,268186.3,24,80,3.31,1.05,1.05,43.4537,1888.24,78577.6,0.7367,1.1354,5462,15.8953,132,82.7145,443418.0
170000,1,584,28.17,0.16,5.74,0.11,9.30,0.01,1.06,0.003,0.102,262790.2,150622.6,24,91,3.25,1.05,1.06,19.3291,783.93,6149.0,33.4806,6.2288,5461,15.8924,111,35.1881,201535.2
170000,2,478,24.00,0.12,4.77,0.32,9.33,0.01,1.03,0.004,0.080,145936.6,70598.9,22,112,3.01,1.03,1.04,1.6805,76.26,519.9,53.9483,12.8305,5461,15.8924,52,2.7192,18544.4
180000,0,823,24.97,0.22,4.88,0.39,9.09,0.01,1.07,0.009,0.137,186435.0,101809.3,21,88,3.08,1.05,1.11,9.2584,916.92,91582.2,0.0000,6.0307,5462,13.0608,24,21.3235,125912.1
180000,1,600,26.05,0.17,5.23,0.47,9.21,0.00,1.06,0.003,0.105,162264.7,87867.3,21,116,3.11,1.04,1.08,6.6924,682.29,9509.7,6.6513,7.4570,5461,13.0584,58,14.1174,87763.1
180000,2,383,23.44,0.14,4.84,0.53,8.49,0.01,1.04,0.005,0.061,114573.5,47872.9,17,110,3.09,1.02,1.04,1.3299,35.90,146.6,12.3967,10.5027,5461,13.0584,19,1.4163,9596.3
190000,0,914,28.49,0.08,6.10,0.13,8.69,0.00,1.03,0.001,0.157,463838.3,279448.0,31,88,3.29,1.01,1.04,46.4073,2049.85,78494.8,0.4659,0.8902,5462,15.7283,59,83.7001,458484.9
190000,1,627,26.42,0.13,5.91,0.19,8.07,0.00,1.05,0.000,0.102,246783.8,136447.7,27,99,3.05,1.04,1.06,17.8687,586.47,7242.0,35.6487,6.1502,5461,15.7254,141,32.8683,187064.0
190000,2,421,23.17,0.07,5.26,0.17,7.69,0.01,1.03,0.005,0.064,147429.9,65677.1,19,113,2.85,1.02,1.04,1.6595,245.03,600.1,52.9285,13.2163,5461,15.7254,86,2.2470,15866.4
200000,0,731,27.58,0.39,5.59,0.53,9.39,0.03,1.10,0.014,0.133,190698.4,104537.0,16,81,3.37,1.08,1.12,10.3124,1033.78,88886.7,0.0005,5.9384,5462,12.7172,26,20.2854,131223.5
200000,1,632,27.01,0.14,6.09,0.19,8.14,0.01,1.04,0.002,0.106,164742.5,78882.6,20,89,3.18,1.04,1.05,6.7912,692.27,8057.5,6.2371,6.9224,5461,12.7148,44,15.8042,95140.0
