run,bodies,share,in_crowns
crown 9,61,0.00036011,0
crown 9,74,0.00043685,0
crown 9,90,0.00053131,0
crown 9,74,0.00043685,0
crown 9,83,0.00048998,0
crown 9,55,0.00032469,0.018182
crown 9,134,0.00079106,0
crown 9,225,0.0013283,0
crown 9,188,0.0011098,0
crown 9,76,0.00044866,0
crown 9,82,0.00048408,0
crown 9,50,0.00029517,0
crown 9,72,0.00042505,0
crown 9,111,0.00065528,0
crown 9,120,0.00070841,0
crown 9,71,0.00041914,0
crown 9,119,0.00070251,0
crown 9,157,0.00092684,0
crown 9,64,0.00037782,0
crown 9,89,0.00052541,0
crown 9,52,0.00030698,0
crown 9,72,0.00042505,0
crown 9,129,0.00076154,0
crown 9,196,0.0011571,0
crown 9,111,0.00065528,0
crown 9,128,0.00075564,0
crown 9,116,0.0006848,0
crown 9,62,0.00036601,0
crown 9,82,0.00048408,0
crown 9,107,0.00063167,0
crown 9,54,0.00031879,0.018519
crown 9,115,0.00067889,0.034783
crown 9,243,0.0014345,0
crown 9,72,0.00042505,0
crown 9,69,0.00040734,0
crown 9,188,0.0011098,0
crown 9,125,0.00073793,0
crown 9,72,0.00042505,0
crown 9,126,0.00074383,0
crown 9,75,0.00044276,0
crown 9,93,0.00054902,0
crown 9,58,0.0003424,0
crown 9,161,0.00095045,0
crown 9,52,0.00030698,0
crown 9,62,0.00036601,0
crown 9,58,0.0003424,0
crown 9,105,0.00061986,0
crown 9,57,0.0003365,0
crown 9,59,0.0003483,0
crown 9,82,0.00048408,0
crown 9,75,0.00044276,0
crown 9,52,0.00030698,0
crown 9,54,0.00031879,0
crown 9,151,0.00089142,0
crown 9,52,0.00030698,0
crown 9,64,0.00037782,0
crown 9,127,0.00074974,0
crown 9,55,0.00032469,0
crown 9,117,0.0006907,0
crown 9,228,0.001346,0
crown 9,72,0.00042505,0
crown 9,546,0.0032233,0
crown 9,136,0.00080287,0
crown 9,70,0.00041324,0
crown 9,114,0.00067299,0
crown 9,241,0.0014227,0
crown 9,59,0.0003483,0
crown 9,124,0.00073203,0
crown 9,222,0.0013106,0
crown 9,407,0.0024027,0
crown 9,92,0.00054312,0
crown 9,65,0.00038372,0
crown 9,411,0.0024263,0
crown 9,166,0.00097997,0
crown 9,164,0.00096816,0
crown 9,261,0.0015408,0
crown 9,101,0.00059625,0
crown 9,74,0.00043685,0
crown 9,125,0.00073793,0
crown 9,58,0.0003424,0
crown 9,159,0.00093865,0
crown 9,88,0.0005195,0
crown 9,86,0.0005077,0
crown 9,139,0.00082058,0
crown 9,156,0.00092094,0
crown 9,67,0.00039553,0
crown 9,80,0.00047227,0
crown 9,123,0.00072612,0
crown 9,69,0.00040734,0
crown 9,56,0.00033059,0
crown 9,182,0.0010744,0.032967
crown 9,144,0.00085009,0
crown 9,130,0.00076745,0
crown 9,84,0.00049589,0
crown 9,66,0.00038963,0
crown 9,71,0.00041914,0
crown 9,146,0.0008619,0
crown 9,51,0.00030108,0
crown 9,89,0.00052541,0
crown 9,106,0.00062576,0
crown 9,53,0.00031288,0
crown 9,117,0.0006907,0
crown 9,63,0.00037192,0
crown 9,87,0.0005136,0
crown 9,50,0.00029517,0
crown 9,55,0.00032469,0
crown 9,100,0.00059034,0
crown 9,240,0.0014168,0
crown 9,134,0.00079106,0
crown 9,58,0.0003424,0
crown 9,125,0.00073793,0
crown 9,54,0.00031879,0
crown 9,53,0.00031288,0
crown 9,54,0.00031879,0.33333
crown 9,51,0.00030108,0.078431
crown 9,240,0.0014168,0
crown 9,194,0.0011453,0
crown 9,170,0.0010036,0
crown 9,72,0.00042505,0
crown 9,111,0.00065528,0
crown 9,116,0.0006848,0
crown 9,61,0.00036011,0
crown 9,52,0.00030698,0
crown 9,113,0.00066709,0
crown 9,56,0.00033059,0
crown 9,59,0.0003483,0
crown 9,280,0.001653,0
crown 9,56,0.00033059,0
crown 9,99,0.00058444,0
crown 9,98,0.00057854,0
crown 9,78,0.00046047,0
crown 9,66,0.00038963,0
crown 9,69,0.00040734,0
crown 9,97,0.00057263,0
crown 9,81,0.00047818,0
crown 9,141,0.00083238,0
crown 9,56,0.00033059,0
crown 9,98,0.00057854,0
crown 9,54,0.00031879,0
crown 9,310,0.0018301,0
crown 9,190,0.0011217,0
crown 9,130,0.00076745,0
crown 9,98,0.00057854,0
crown 9,136,0.00080287,0
crown 9,118,0.0006966,0
crown 9,56,0.00033059,0
crown 9,99,0.00058444,0
crown 9,54,0.00031879,0
crown 9,126,0.00074383,0
crown 9,119,0.00070251,0
crown 9,57,0.0003365,0
crown 9,146,0.0008619,0
crown 9,60,0.00035421,0
crown 9,236,0.0013932,0
crown 9,132,0.00077925,0
crown 9,163,0.00096226,0
crown 9,58,0.0003424,0
crown 9,84,0.00049589,0
crown 9,180,0.0010626,0
crown 9,639,0.0037723,0
crown 9,105,0.00061986,0
crown 9,176,0.001039,0
crown 9,113,0.00066709,0.0088496
crown 9,56,0.00033059,0
crown 9,141,0.00083238,0
crown 9,173,0.0010213,0
crown 9,61,0.00036011,0
crown 9,78,0.00046047,0
crown 9,83,0.00048998,0
crown 9,69,0.00040734,0
crown 9,118,0.0006966,0
crown 9,50,0.00029517,0
crown 9,51,0.00030108,0
crown 9,96,0.00056673,0
crown 9,119,0.00070251,0
crown 9,256,0.0015113,0
crown 9,94,0.00055492,0
crown 9,135,0.00079696,0
crown 9,102,0.00060215,0
crown 9,53,0.00031288,0
crown 9,137,0.00080877,0
crown 9,238,0.001405,0
crown 9,610,0.0036011,0
crown 9,1032,0.0060923,0.00096899
crown 9,68,0.00040143,0
crown 9,88,0.0005195,0
crown 9,68,0.00040143,0
crown 9,456,0.002692,0
crown 9,175,0.0010331,0
crown 9,273,0.0016116,0
crown 9,153,0.00090323,0
crown 9,139,0.00082058,0
crown 9,211,0.0012456,0
crown 9,148,0.00087371,0
crown 9,56,0.00033059,0
crown 9,109,0.00064347,0
crown 9,99,0.00058444,0
crown 9,99,0.00058444,0
crown 9,183,0.0010803,0
crown 9,116,0.0006848,0
crown 9,132,0.00077925,0
crown 9,76,0.00044866,0
crown 9,52,0.00030698,0
crown 9,63,0.00037192,0
crown 9,224,0.0013224,0
crown 9,52,0.00030698,0
crown 9,50,0.00029517,0
crown 9,94,0.00055492,0
crown 9,73,0.00043095,0
crown 9,95,0.00056083,0
crown 9,85,0.00050179,0
crown 9,114,0.00067299,0
crown 9,133,0.00078516,0
crown 9,77,0.00045456,0
crown 9,73,0.00043095,0
crown 9,114,0.00067299,0
crown 9,73,0.00043095,0
crown 9,73,0.00043095,0
crown 9,523,0.0030875,0
crown 9,77,0.00045456,0
crown 9,79,0.00046637,0
crown 9,82,0.00048408,0
crown 9,60,0.00035421,0
crown 9,58,0.0003424,0
crown 9,85,0.00050179,0
crown 9,105,0.00061986,0
crown 9,143,0.00084419,0
crown 9,614,0.0036247,0
crown 9,245,0.0014463,0
crown 9,52,0.00030698,0
crown 9,76,0.00044866,0
crown 9,201,0.0011866,0
crown 9,135,0.00079696,0
crown 9,129,0.00076154,0
crown 9,166,0.00097997,0
crown 9,52,0.00030698,0
crown 9,129,0.00076154,0
crown 9,344,0.0020308,0
crown 9,70,0.00041324,0
crown 9,127,0.00074974,0
crown 9,139,0.00082058,0
crown 9,315,0.0018596,0
crown 9,117,0.0006907,0
crown 9,104,0.00061396,0
crown 9,131,0.00077335,0
crown 9,88,0.0005195,0
crown 9,205,0.0012102,0
crown 9,51,0.00030108,0
crown 9,50,0.00029517,0
crown 9,219,0.0012929,0
crown 9,68,0.00040143,0
crown 9,162,0.00095636,0
crown 9,52,0.00030698,0
crown 9,147,0.0008678,0
crown 9,64,0.00037782,0
crown 9,52,0.00030698,0
crown 9,95,0.00056083,0
crown 9,55,0.00032469,0
crown 9,70,0.00041324,0
crown 9,273,0.0016116,0
crown 9,102,0.00060215,0
crown 9,238,0.001405,0
crown 9,92,0.00054312,0
crown 9,122,0.00072022,0
crown 9,113,0.00066709,0
crown 9,166,0.00097997,0
crown 9,97,0.00057263,0
crown 9,297,0.0017533,0
crown 9,219,0.0012929,0
crown 9,142,0.00083829,0
crown 9,181,0.0010685,0
crown 9,78,0.00046047,0
crown 9,291,0.0017179,0
crown 9,74,0.00043685,0
crown 9,117,0.0006907,0
crown 9,166,0.00097997,0
crown 9,162,0.00095636,0
crown 9,78,0.00046047,0
crown 9,310,0.0018301,0
crown 9,66,0.00038963,0
crown 9,105,0.00061986,0
crown 9,124,0.00073203,0
crown 9,92,0.00054312,0
crown 9,96,0.00056673,0
crown 9,73,0.00043095,0
crown 9,73,0.00043095,0
crown 9,373,0.002202,0.013405
crown 9,212,0.0012515,0
crown 9,68,0.00040143,0.014706
crown 9,90,0.00053131,0
crown 9,54,0.00031879,0
crown 9,60,0.00035421,0
crown 9,89,0.00052541,0
crown 9,502,0.0029635,0
crown 9,51,0.00030108,0
crown 9,83,0.00048998,0
crown 9,71,0.00041914,0
crown 9,193,0.0011394,0
crown 9,131,0.00077335,0
crown 9,84,0.00049589,0
crown 9,97,0.00057263,0
crown 9,54,0.00031879,0
crown 9,56,0.00033059,0
crown 9,408,0.0024086,0
crown 9,122,0.00072022,0
crown 9,51,0.00030108,0
crown 9,130,0.00076745,0.015385
crown 9,128,0.00075564,0
crown 9,139,0.00082058,0.014388
crown 9,72,0.00042505,0
crown 9,112,0.00066118,0
crown 9,247,0.0014581,0.016194
crown 9,59,0.0003483,0
crown 9,84,0.00049589,0.02381
crown 9,82,0.00048408,0
crown 9,63,0.00037192,0
crown 9,93,0.00054902,0
crown 9,67,0.00039553,0
crown 9,56,0.00033059,0
crown 9,52,0.00030698,0
crown 9,69,0.00040734,0
crown 9,67,0.00039553,0
crown 9,70,0.00041324,0
crown 9,281,0.0016589,0
crown 9,75,0.00044276,0
crown 9,67,0.00039553,0
crown 9,64,0.00037782,0
crown 9,53,0.00031288,0
crown 9,56,0.00033059,0
crown 9,60,0.00035421,0.05
crown 9,72,0.00042505,0
crown 9,64,0.00037782,0
crown 9,52,0.00030698,0
crown 9,71,0.00041914,0
crown 9,102,0.00060215,0
crown 9,276,0.0016293,0
crown 9,52,0.00030698,0
crown 9,95,0.00056083,0
crown 9,51,0.00030108,0
crown 9,64,0.00037782,0
crown 9,67,0.00039553,0.014925
crown 9,50,0.00029517,0
crown 9,81,0.00047818,0
crown 9,59,0.0003483,0
crown 9,73,0.00043095,0
crown 9,73,0.00043095,0
crown 9,65,0.00038372,0
crown 9,62,0.00036601,0
crown 9,141,0.00083238,0
crown 9,54,0.00031879,0
crown 9,88,0.0005195,0
crown 9,130,0.00076745,0
crown 9,96,0.00056673,0
crown 9,53,0.00031288,0
crown 9,63,0.00037192,0
crown 9,53,0.00031288,0
crown 9,55,0.00032469,0
crown 9,51,0.00030108,0
crown 9,50,0.00029517,0
crown 9,78,0.00046047,0
crown 9,169,0.00099768,0
crown 9,87,0.0005136,0
crown 9,64,0.00037782,0
crown 9,159,0.00093865,0
crown 9,322,0.0019009,0
crown 9,238,0.001405,0
crown 9,247,0.0014581,0
crown 9,50,0.00029517,0
crown 9,64,0.00037782,0
crown 9,64,0.00037782,0
crown 9,88,0.0005195,0
crown 9,52,0.00030698,0
crown 9,64,0.00037782,0
crown 9,62,0.00036601,0
crown 9,79,0.00046637,0
crown 9,92,0.00054312,0
crown 9,100,0.00059034,0.01
crown 9,102,0.00060215,0
