step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,crowd_max,wasted,intake_per_gut,crossers,pop_none
210000,9351,1.610,0.016,10.42,1044753,1011896,5298,2774,24869,8357682,4432629.0,516858.7,0.580,0.109,0.108,0.093,0.110,115,13.83,17.03,3.99,12.24,0.50,2.39,0.17,1.32,9.17,8.95,0.14,0.69,0.014,0.071,2164,0.091,0.776,0.062,0.006,0.157,1006163,915123,38,0.312,0.185,0.040,4400691,0.081,0.088,0.000,648.67,401199,253,0.062,0.265,0.029,164591693,2.08,16.69,0.064,0.210,0.045,4,6,42,64,4849,56,5.08,0.0052,0.004,270
220000,9471,1.600,0.016,9.91,1035618,1001391,5131,3200,25776,7608292,4365727.5,487743.7,0.585,0.109,0.108,0.091,0.107,122,12.78,16.78,3.69,12.24,0.47,2.37,0.25,1.78,8.36,8.56,0.12,0.61,0.015,0.080,1870,0.095,0.767,0.063,0.002,0.168,997043,902250,36,0.440,0.101,0.056,4465706,0.065,0.103,0.000,647.60,382909,236,0.064,0.326,0.023,159884108,2.04,17.45,0.067,0.154,0.039,3,6,38,64,5087,59,6.15,0.0055,0.004,237
230000,8864,1.695,0.017,10.23,958326,927083,5227,3041,23582,6038917,4427773.5,412695.6,0.583,0.107,0.104,0.094,0.112,159,15.08,19.53,4.59,13.02,0.46,2.31,0.17,1.42,9.86,11.80,0.13,0.64,0.016,0.081,1763,0.095,0.780,0.066,0.004,0.149,921198,826126,35,0.316,0.236,0.042,4421703,0.057,0.098,0.000,646.34,357780,283,0.068,0.332,0.023,121613245,2.23,16.88,0.093,0.219,0.042,3,6,60,64,4815,51,7.41,0.0051,0.013,237
240000,8367,1.740,0.017,10.77,905738,878101,3896,5427,18811,6121391,4562791.0,445151.5,0.548,0.106,0.104,0.111,0.132,181,16.77,20.13,5.04,13.55,0.48,2.09,0.14,1.15,11.11,12.53,0.15,0.69,0.015,0.068,1849,0.055,0.780,0.080,0.005,0.135,866266,755776,35,0.446,0.143,0.034,4367270,0.068,0.094,0.000,648.15,342115,364,0.073,0.239,0.026,115990695,2.35,15.68,0.114,0.224,0.052,3,7,64,64,4515,54,5.61,0.0049,0.016,322
250000,8915,1.686,0.017,10.11,951573,921939,3967,3154,21965,5780843,4480644.0,404863.7,0.554,0.099,0.098,0.114,0.135,161,14.83,18.48,4.53,12.87,0.62,2.90,0.18,1.63,9.50,10.51,0.14,0.67,0.020,0.089,1994,0.043,0.772,0.074,0.002,0.152,909141,802594,35,0.453,0.056,0.040,2839218,0.093,0.133,0.000,646.56,349980,304,0.070,0.310,0.022,109661521,2.23,16.52,0.074,0.225,0.046,3,6,53,64,4816,47,7.20,0.0053,0.004,272
260000,9216,1.666,0.016,9.80,948226,914501,5093,4200,24131,7286803,4360528.5,471626.5,0.585,0.097,0.096,0.102,0.120,183,14.43,18.98,4.78,13.21,0.48,2.32,0.13,1.43,9.03,10.00,0.14,0.68,0.014,0.067,1902,0.070,0.787,0.063,0.003,0.146,907727,819177,33,0.453,0.065,0.025,2646659,0.091,0.101,0.000,646.90,346880,348,0.065,0.294,0.025,123863575,2.29,16.96,0.084,0.224,0.048,3,6,57,64,5031,52,6.86,0.0052,0.003,207
270000,9038,1.681,0.016,9.77,924859,895077,4771,3313,21876,7915877,4404175.0,497751.6,0.589,0.092,0.091,0.105,0.123,194,14.66,18.89,4.85,13.47,0.47,2.42,0.14,1.34,9.20,10.08,0.13,0.65,0.014,0.065,1806,0.068,0.780,0.066,0.003,0.151,886250,800110,38,0.306,0.219,0.027,2761604,0.087,0.098,0.000,647.65,338720,420,0.063,0.262,0.022,129788731,2.33,16.76,0.081,0.201,0.044,3,6,56,64,4808,50,6.11,0.0053,0.006,221
280000,9000,1.653,0.016,10.11,951289,921184,5427,2215,22501,7176324,4366964.0,449379.0,0.595,0.091,0.090,0.104,0.119,199,14.53,18.77,4.68,13.08,0.54,2.43,0.12,1.27,9.19,10.14,0.15,0.69,0.015,0.068,1919,0.071,0.785,0.072,0.003,0.140,912861,835531,40,0.265,0.142,0.024,2250303,0.100,0.101,0.000,647.61,351199,479,0.063,0.306,0.028,126293877,2.28,16.89,0.085,0.237,0.051,3,6,58,64,4972,54,6.14,0.0053,0.008,285
290000,8906,1.682,0.018,10.15,955847,923878,5083,2835,24145,6896439,4389274.0,447217.7,0.582,0.097,0.095,0.105,0.121,192,14.75,18.91,5.28,13.59,0.51,2.32,0.23,1.85,8.74,9.20,0.16,0.71,0.014,0.069,2015,0.059,0.765,0.092,0.003,0.141,914572,835117,35,0.209,0.257,0.038,2873123,0.091,0.113,0.000,648.55,355171,431,0.065,0.257,0.031,129837766,2.41,16.68,0.082,0.237,0.057,3,6,56,64,4767,67,5.21,0.0056,0.021,225
300000,8866,1.699,0.017,10.27,887055,856423,5145,3033,22494,6818623,4353896.0,460945.2,0.573,0.097,0.095,0.110,0.126,177,15.05,20.07,5.14,13.74,0.40,1.82,0.19,1.86,9.31,11.84,0.15,0.68,0.010,0.050,1881,0.056,0.792,0.083,0.002,0.123,847972,763256,35,0.264,0.173,0.039,2729360,0.092,0.129,0.000,645.86,337725,312,0.068,0.304,0.021,137264657,2.42,16.77,0.108,0.221,0.053,3,6,64,64,4858,62,7.89,0.0053,0.007,260
310000,9084,1.642,0.015,10.18,917135,882682,5040,4096,25099,7340731,4348607.0,485609.0,0.583,0.091,0.089,0.112,0.124,195,14.18,18.47,4.44,13.18,0.44,1.99,0.22,1.86,9.08,10.37,0.15,0.69,0.012,0.060,1771,0.055,0.780,0.074,0.002,0.143,880290,794370,41,0.290,0.256,0.039,3709363,0.074,0.090,0.000,646.30,345583,450,0.066,0.297,0.024,145231003,2.24,16.92,0.081,0.176,0.052,3,6,52,64,4851,48,7.45,0.0053,0.003,250
320000,7670,1.866,0.020,10.74,892965,858262,4924,6264,24929,7886214,4447972.5,541281.2,0.553,0.104,0.100,0.114,0.129,195,18.33,21.47,7.93,16.44,0.67,2.69,0.10,1.24,9.65,9.43,0.20,0.76,0.016,0.070,2251,0.051,0.780,0.133,0.002,0.085,852907,764865,40,0.144,0.382,0.021,2718220,0.091,0.137,0.000,639.60,336808,327,0.069,0.276,0.027,148396317,3.18,15.12,0.129,0.325,0.078,3,7,64,64,4237,60,14.15,0.0060,0.011,305
