step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place
100000,4,4,0,0,0,4,0,1.00,22,0.000,2463,1.79,186.25,0.00,147,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2462,1.80,183.30,0.00,101,8,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,2461,1.55,187.61,0.00,147,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2459,1.78,193.86,0.00,101,8,8
100000,2,5,0,0,0,2,0,1.00,26,0.000,2458,1.67,172.09,0.00,60,1,1
100000,20,20,0,0,0,20,0,1.00,6,0.000,2457,1.63,237.24,0.00,147,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2457,2.10,146.66,0.00,101,8,8
100000,4,5,0,0,0,4,0,1.00,22,0.000,2453,1.28,198.46,0.00,147,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2442,1.73,190.98,0.00,101,8,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,2440,1.14,117.03,0.00,147,8,8
100000,8,8,0,0,0,8,0,1.00,20,0.000,2436,1.79,208.48,0.00,29,8,8
100000,2,3,0,0,0,2,0,1.00,26,0.000,2435,1.76,101.38,0.00,101,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2434,2.39,144.32,0.00,147,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2424,1.51,144.26,0.00,101,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2422,1.10,145.03,0.00,101,8,8
100000,8,8,0,0,0,8,0,1.00,14,0.000,2418,1.33,181.97,0.00,147,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2416,0.03,109.31,0.00,101,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2416,1.93,144.12,0.00,101,8,8
100000,11,55,7,0,0,4,0,4.20,12,0.000,2415,1.15,408.64,2.48,191,0,1
100000,7,7,0,0,0,7,0,1.00,16,0.000,2405,2.14,210.42,0.00,147,8,8
100000,6,6,0,0,0,6,0,1.00,20,0.000,2404,1.22,149.08,0.00,101,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2391,1.65,136.90,0.00,101,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2383,1.20,185.28,0.00,101,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2379,2.13,138.28,0.00,101,8,8
100000,11,11,0,0,0,11,0,1.00,10,0.000,2374,2.83,159.17,0.00,147,8,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,2368,1.79,183.94,0.00,147,8,8
100000,24,24,0,0,0,24,0,1.00,0,0.000,2368,2.25,213.60,0.00,101,8,8
100000,6,6,0,0,0,6,0,1.00,20,0.000,2365,1.92,167.10,0.00,101,8,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,2362,1.62,178.31,0.00,101,8,8
100000,10,10,0,0,0,10,0,1.00,12,0.000,2362,1.55,192.06,0.00,101,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2360,1.12,140.52,0.00,101,8,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,2356,1.44,151.69,0.00,147,8,8
100000,4,18,0,0,0,4,0,1.00,22,0.000,2346,1.83,341.89,0.00,60,1,1
100000,4,4,0,0,0,4,0,1.00,22,0.000,2337,2.28,117.56,0.00,101,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2336,1.25,146.10,0.00,101,8,8
100000,8,8,0,0,0,8,0,1.00,14,0.000,2335,1.20,155.97,0.00,147,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2330,1.53,127.20,0.00,147,8,8
