step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,crowd_max,wasted,intake_per_gut,crossers,pop_none
170000,2767,1.427,0.014,8.52,338782,321001,1548,877,15392,1999814,1616474.2,134661.5,0.612,0.079,0.082,0.108,0.119,511,9.41,11.09,1.43,6.92,0.52,2.78,0.04,1.27,7.43,6.61,0.11,0.62,0.014,0.075,615,0.106,0.776,0.035,0.005,0.183,328612,309519,13,0.467,0.038,0.001,183039,0.037,0.067,0.000,162.73,87131,244,0.067,0.657,0.027,143672502,1.31,18.81,0.004,0.257,0.030,3,6,16,64,1268,79,0.71,0.0079,0.000,68
180000,2706,1.470,0.013,8.80,351478,330922,1672,1134,17811,2013902,1620818.9,134679.7,0.658,0.066,0.068,0.102,0.106,479,9.88,11.09,1.28,6.74,0.59,3.22,0.05,0.80,7.95,6.61,0.12,0.66,0.016,0.086,601,0.126,0.732,0.033,0.002,0.233,344416,327939,11,0.341,0.044,0.011,241574,0.028,0.064,0.000,162.63,96340,419,0.067,0.392,0.025,149187103,1.24,18.22,0.005,0.242,0.031,3,6,16,64,1142,68,0.81,0.0075,0.001,72
190000,2866,1.382,0.014,7.92,352316,334253,1400,1762,14741,1726976,1587402.2,119522.8,0.645,0.073,0.076,0.101,0.105,480,9.21,10.20,0.98,5.71,0.56,3.68,0.06,1.05,7.61,6.03,0.08,0.58,0.016,0.097,554,0.168,0.749,0.025,0.003,0.223,343938,324134,10,0.504,0.092,0.008,276767,0.034,0.060,0.000,162.92,96516,492,0.069,0.278,0.016,136719407,1.19,18.88,0.007,0.261,0.021,3,6,12,64,1255,78,0.52,0.0073,0.022,49
200000,2961,1.366,0.017,6.66,352968,339512,1289,1063,11009,1689070,1586632.9,109979.6,0.639,0.079,0.082,0.100,0.100,520,8.53,9.20,0.89,5.24,0.33,2.50,0.04,0.64,7.27,5.76,0.07,0.52,0.008,0.059,467,0.145,0.753,0.024,0.004,0.219,341695,321745,13,0.661,0.043,0.005,245067,0.036,0.075,0.000,163.14,82675,307,0.065,0.381,0.012,110875766,1.17,19.39,0.003,0.259,0.020,3,6,12,64,1244,79,0.30,0.0074,0.059,52
210000,2869,1.391,0.019,6.42,351807,338815,1516,738,10830,1575963,1567419.2,105205.7,0.690,0.063,0.066,0.092,0.089,624,9.27,10.23,1.10,5.83,0.68,3.74,0.08,1.05,7.41,5.46,0.10,0.61,0.022,0.121,481,0.178,0.742,0.027,0.006,0.226,340954,324762,10,0.687,0.002,0.008,262417,0.030,0.096,0.000,163.12,73656,461,0.067,0.320,0.017,99452859,1.17,18.94,0.004,0.231,0.029,3,6,12,64,1265,80,0.32,0.0074,0.031,53
220000,2918,1.376,0.014,7.15,353278,340357,1584,607,10681,1621047,1579591.1,100790.7,0.679,0.080,0.077,0.084,0.081,594,8.96,10.08,1.32,6.31,0.39,2.60,0.06,0.94,7.19,5.40,0.10,0.61,0.010,0.067,510,0.139,0.760,0.031,0.002,0.207,342627,324906,8,0.658,0.051,0.006,267354,0.035,0.070,0.000,163.13,77716,326,0.062,0.395,0.018,78574639,1.24,19.29,0.003,0.273,0.030,3,6,12,64,1275,90,0.31,0.0075,0.010,39
230000,2985,1.327,0.015,6.63,347298,334401,1723,395,10712,1850786,1527692.2,114138.3,0.682,0.065,0.063,0.096,0.094,598,8.94,10.17,0.97,5.81,0.40,2.53,0.04,1.02,7.54,6.78,0.07,0.50,0.013,0.086,469,0.183,0.739,0.021,0.005,0.235,339085,323231,7,0.709,0.019,0.005,225814,0.029,0.081,0.000,163.13,76688,256,0.062,0.582,0.014,87542635,1.20,19.35,0.004,0.193,0.019,3,6,12,64,1320,100,0.30,0.0068,0.000,53
240000,2968,1.370,0.015,5.83,365364,350382,1602,502,12895,1611324,1556543.8,100318.4,0.714,0.052,0.049,0.094,0.092,633,8.72,10.18,1.16,6.04,0.39,2.69,0.03,0.60,7.15,6.41,0.08,0.52,0.012,0.076,401,0.226,0.728,0.029,0.004,0.238,356869,339225,6,0.780,0.054,0.004,198827,0.028,0.091,0.000,163.01,72523,288,0.062,0.468,0.013,51202211,1.25,19.53,0.006,0.176,0.022,3,5,12,64,1320,69,0.43,0.0073,0.000,43
250000,2866,1.374,0.016,6.70,354536,340172,1633,331,12502,1729089,1558003.1,102076.1,0.703,0.052,0.050,0.098,0.097,647,8.87,10.82,1.33,6.50,0.42,2.62,0.07,0.97,7.04,6.69,0.10,0.59,0.012,0.077,481,0.174,0.775,0.030,0.005,0.190,345850,329114,6,0.704,0.022,0.012,236920,0.022,0.091,0.000,163.10,71513,106,0.059,0.743,0.023,48240437,1.28,19.44,0.006,0.241,0.027,3,5,13,64,1292,71,0.34,0.0077,0.000,51
260000,2907,1.384,0.015,6.87,354862,340044,1699,665,12413,1641661,1570933.1,105799.5,0.704,0.052,0.050,0.097,0.096,656,8.73,10.86,1.18,5.92,0.59,3.52,0.06,0.84,6.90,6.91,0.09,0.58,0.016,0.096,462,0.125,0.748,0.037,0.007,0.208,346720,330055,7,0.697,0.025,0.010,321677,0.016,0.070,0.000,162.92,73841,241,0.064,0.403,0.021,49783560,1.23,19.68,0.007,0.203,0.026,3,4,13,64,1293,68,0.52,0.0078,0.000,62
270000,2802,1.400,0.015,6.70,352366,337408,1935,1115,12013,1771404,1542451.4,124204.5,0.728,0.045,0.044,0.092,0.090,646,9.29,11.71,1.65,6.76,0.49,2.68,0.10,1.28,7.05,7.67,0.13,0.66,0.013,0.075,528,0.215,0.746,0.064,0.005,0.185,345322,329784,9,0.709,0.010,0.011,268297,0.024,0.106,0.000,162.70,73401,169,0.070,0.420,0.036,64660843,1.33,19.17,0.005,0.283,0.041,3,5,18,64,1242,64,0.74,0.0078,0.000,61
280000,2768,1.439,0.016,6.92,346946,332471,1516,954,12039,1741777,1608815.6,117992.0,0.678,0.055,0.054,0.108,0.105,593,9.28,10.36,1.67,6.97,0.41,2.20,0.04,0.64,7.16,5.66,0.12,0.63,0.011,0.066,495,0.103,0.720,0.054,0.003,0.223,339781,319302,9,0.694,0.004,0.007,285181,0.021,0.101,0.000,162.98,75413,561,0.068,0.394,0.034,64954657,1.32,18.93,0.003,0.283,0.043,3,6,13,64,1302,67,0.45,0.0081,0.000,48
290000,3023,1.350,0.015,6.82,338554,324312,1824,383,11780,1790668,1557002.2,123984.1,0.686,0.052,0.051,0.106,0.106,618,8.68,9.67,1.33,6.09,0.44,3.44,0.03,0.48,6.88,5.68,0.07,0.50,0.012,0.086,507,0.144,0.745,0.048,0.006,0.201,330626,312085,10,0.694,0.015,0.004,224358,0.025,0.071,0.000,162.95,71313,94,0.069,0.702,0.022,68353955,1.32,19.30,0.007,0.253,0.023,3,6,12,64,1334,85,0.49,0.0075,0.004,56
300000,2863,1.396,0.015,7.05,347718,333144,1637,528,12569,1657216,1532767.6,110261.3,0.694,0.053,0.051,0.101,0.101,609,9.10,10.88,1.58,6.88,0.83,4.06,0.06,1.11,6.64,5.63,0.13,0.64,0.026,0.125,557,0.117,0.766,0.051,0.007,0.176,339060,322011,10,0.691,0.000,0.005,218885,0.022,0.078,0.000,163.07,71895,273,0.067,0.430,0.030,54056765,1.31,19.36,0.004,0.302,0.042,3,6,17,64,1305,64,0.37,0.0081,0.030,29
310000,2797,1.431,0.016,7.36,325708,312092,1664,592,11426,2091080,1507553.1,129444.4,0.681,0.057,0.055,0.104,0.103,594,8.93,11.75,1.69,7.07,0.52,2.69,0.08,0.98,6.64,6.97,0.15,0.71,0.015,0.081,516,0.147,0.795,0.053,0.007,0.144,317220,300507,10,0.678,0.000,0.011,271240,0.020,0.075,0.000,162.89,76034,250,0.062,0.493,0.032,66201620,1.32,19.72,0.010,0.259,0.045,3,5,15,64,1333,70,0.55,0.0081,0.003,53
320000,2901,1.390,0.011,5.81,348719,332880,1828,726,13181,1831113,1537241.4,118529.4,0.734,0.049,0.049,0.084,0.084,608,9.22,10.90,1.50,6.36,0.51,2.78,0.14,1.53,7.06,6.43,0.13,0.69,0.014,0.069,576,0.193,0.709,0.053,0.009,0.229,342347,327220,7,0.808,0.041,0.018,264295,0.022,0.070,0.000,162.95,78931,176,0.065,0.490,0.033,62400164,1.30,18.66,0.005,0.349,0.041,3,6,17,64,1041,75,0.49,0.0075,0.000,46
330000,2835,1.424,0.012,5.87,370432,354103,2276,594,13525,2032673,1581919.9,137390.6,0.791,0.043,0.043,0.063,0.060,636,9.14,10.59,1.34,6.37,0.42,2.56,0.14,1.59,7.25,6.71,0.10,0.59,0.012,0.062,546,0.112,0.733,0.041,0.005,0.222,365426,355549,9,0.793,0.000,0.014,441005,0.018,0.092,0.000,162.92,89591,235,0.068,0.379,0.031,62763884,1.29,18.80,0.006,0.294,0.032,3,6,15,64,1181,87,0.52,0.0077,0.000,46
340000,2768,1.435,0.015,7.17,350335,334216,2164,418,13604,1937627,1585528.8,125809.1,0.735,0.055,0.053,0.081,0.076,635,9.69,10.78,1.55,6.48,0.41,2.05,0.09,1.08,7.65,6.84,0.14,0.68,0.011,0.061,493,0.124,0.728,0.056,0.008,0.208,344013,330993,8,0.675,0.007,0.012,346211,0.027,0.099,0.000,162.97,81992,207,0.065,0.407,0.027,57503938,1.28,18.43,0.005,0.266,0.049,3,6,16,64,1300,75,0.47,0.0075,0.000,42
350000,2877,1.332,0.015,7.31,344525,328465,1615,327,14009,1654297,1628385.4,106067.2,0.662,0.074,0.070,0.099,0.095,569,9.21,9.79,1.32,6.05,0.32,2.07,0.03,0.57,7.54,6.17,0.09,0.56,0.009,0.065,484,0.170,0.726,0.045,0.006,0.223,336419,319684,8,0.653,0.002,0.005,294434,0.025,0.058,0.000,163.10,76169,217,0.064,0.538,0.029,54977270,1.28,18.61,0.003,0.257,0.029,4,6,13,64,1250,68,0.34,0.0075,0.021,66
360000,2853,1.405,0.014,7.66,339001,323635,1443,661,13286,1882500,1613911.4,128433.2,0.651,0.083,0.080,0.096,0.090,560,9.26,10.33,1.77,6.84,0.39,2.31,0.07,0.82,7.05,5.51,0.12,0.60,0.010,0.057,580,0.085,0.753,0.084,0.012,0.152,329876,312913,8,0.632,0.006,0.011,276039,0.025,0.068,0.000,162.91,74750,349,0.068,0.449,0.036,83467540,1.40,18.55,0.005,0.404,0.047,3,6,15,64,1272,76,0.53,0.0080,0.016,63
370000,2821,1.424,0.016,8.50,308028,293576,1666,631,12187,2211502,1606004.1,156187.3,0.637,0.090,0.086,0.097,0.090,529,9.23,10.45,2.04,6.87,0.44,2.26,0.05,0.72,6.69,5.41,0.16,0.69,0.011,0.054,633,0.137,0.732,0.123,0.006,0.139,298968,284250,8,0.587,0.000,0.008,294637,0.023,0.078,0.000,162.64,72684,296,0.071,0.417,0.048,122350423,1.47,18.67,0.003,0.392,0.061,4,6,17,64,1289,76,0.80,0.0085,0.010,70
380000,2826,1.446,0.016,8.19,318478,304086,1474,906,12007,2147604,1603288.1,154088.7,0.635,0.087,0.084,0.099,0.094,491,8.93,9.81,2.01,6.73,0.38,1.95,0.13,1.60,6.41,4.86,0.14,0.64,0.012,0.066,692,0.088,0.732,0.133,0.002,0.133,309270,293513,8,0.617,0.000,0.017,248089,0.032,0.092,0.000,162.59,76521,271,0.072,0.323,0.039,126779918,1.49,18.83,0.002,0.430,0.055,3,6,16,64,1259,98,0.85,0.0089,0.040,72
390000,2896,1.396,0.015,7.59,320750,305989,1571,634,12486,2136097,1595050.9,150965.3,0.634,0.087,0.082,0.101,0.096,516,8.53,9.12,1.40,5.71,0.39,2.43,0.09,1.34,6.65,5.01,0.12,0.61,0.011,0.067,511,0.087,0.731,0.080,0.008,0.182,311783,295956,9,0.648,0.000,0.012,253582,0.025,0.090,0.000,162.62,74842,243,0.071,0.319,0.032,116606174,1.33,18.96,0.002,0.319,0.045,3,5,13,64,1326,76,0.82,0.0083,0.000,76
400000,2934,1.376,0.016,7.36,322780,307714,1522,648,12858,2060263,1570762.2,147530.9,0.639,0.086,0.080,0.100,0.096,500,8.44,9.73,1.33,5.55,0.41,2.35,0.08,1.02,6.62,5.77,0.12,0.60,0.011,0.062,502,0.111,0.739,0.073,0.007,0.181,313838,297899,8,0.668,0.000,0.010,389219,0.020,0.087,0.000,162.60,74189,249,0.072,0.327,0.031,112471399,1.28,19.33,0.004,0.349,0.050,3,5,14,64,1320,66,0.83,0.0081,0.000,56
410000,2638,1.449,0.016,8.40,314300,299438,1553,484,13121,2317485,1602880.8,160153.7,0.619,0.089,0.083,0.107,0.101,529,10.59,13.56,2.14,8.03,0.66,2.76,0.15,1.96,7.64,8.03,0.21,0.84,0.015,0.066,569,0.105,0.776,0.065,0.009,0.149,305464,288682,8,0.610,0.017,0.013,349027,0.023,0.071,0.000,162.54,76034,340,0.069,0.320,0.051,112472819,1.36,18.35,0.005,0.286,0.064,3,5,21,64,1302,53,0.89,0.0080,0.000,60
420000,2822,1.411,0.017,7.73,329462,315212,1570,381,12115,2233453,1618323.9,147849.1,0.635,0.082,0.077,0.105,0.100,542,9.32,10.48,1.85,6.90,0.47,2.46,0.23,2.02,6.77,5.57,0.12,0.66,0.013,0.073,673,0.106,0.759,0.053,0.016,0.172,321294,304968,8,0.675,0.008,0.024,476596,0.019,0.176,0.001,162.88,81976,286,0.066,0.362,0.042,81827409,1.44,18.22,0.004,0.315,0.038,3,6,16,64,1338,65,0.56,0.0085,0.000,62
430000,2760,1.400,0.013,8.74,318780,305658,1566,487,11131,2622724,1611548.8,161477.7,0.624,0.084,0.080,0.107,0.104,536,9.59,10.97,1.50,6.34,0.42,2.44,0.17,1.84,7.51,7.43,0.12,0.62,0.010,0.053,662,0.082,0.736,0.067,0.002,0.195,311432,293842,8,0.643,0.011,0.026,540206,0.020,0.070,0.000,162.82,80043,316,0.062,0.347,0.039,78606545,1.32,18.37,0.004,0.274,0.044,3,6,17,64,1204,79,0.62,0.0078,0.000,38
440000,2751,1.441,0.013,8.16,343725,328527,1778,500,12929,2137392,1613698.4,140934.7,0.680,0.079,0.078,0.082,0.080,470,9.74,10.84,1.57,6.80,0.50,2.48,0.17,1.80,7.50,6.03,0.14,0.70,0.017,0.085,640,0.117,0.719,0.056,0.004,0.221,338090,324556,8,0.678,0.025,0.026,626373,0.022,0.098,0.000,162.71,94331,342,0.066,0.366,0.027,125448722,1.31,18.33,0.003,0.242,0.044,3,6,18,64,1289,87,0.73,0.0078,0.000,43
450000,2837,1.406,0.011,6.79,328708,314315,1744,560,12003,2210911,1565423.8,147695.1,0.651,0.081,0.078,0.097,0.094,503,8.83,10.95,1.62,6.95,0.46,2.26,0.14,1.49,6.61,5.95,0.15,0.70,0.012,0.057,688,0.140,0.757,0.069,0.005,0.168,321844,307729,9,0.710,0.030,0.016,462933,0.020,0.075,0.000,162.82,85916,345,0.067,0.459,0.041,103536098,1.34,19.22,0.003,0.340,0.050,3,5,16,64,1211,69,0.62,0.0083,0.002,45
460000,2813,1.394,0.014,7.74,316577,302743,1507,2326,10025,2441996,1582771.0,178889.5,0.661,0.079,0.076,0.094,0.091,525,9.39,10.96,1.48,6.26,0.41,2.12,0.07,0.82,7.43,7.18,0.12,0.64,0.011,0.055,613,0.119,0.754,0.055,0.007,0.184,310259,293440,9,0.636,0.015,0.014,363955,0.025,0.069,0.000,162.49,81675,399,0.073,0.253,0.032,103307243,1.29,18.75,0.003,0.284,0.037,3,5,17,64,1274,85,0.95,0.0076,0.000,51
470000,2859,1.391,0.014,6.49,338654,324363,1806,707,11732,2311922,1553255.2,160021.8,0.696,0.067,0.064,0.088,0.085,560,9.16,10.74,1.37,6.51,0.57,2.95,0.12,1.50,7.10,6.03,0.13,0.68,0.015,0.079,596,0.157,0.723,0.043,0.004,0.230,331952,319203,7,0.772,0.037,0.010,313841,0.025,0.110,0.000,162.72,87030,146,0.069,0.528,0.030,75166576,1.26,18.96,0.004,0.266,0.039,3,5,16,64,1195,69,0.72,0.0077,0.000,49
480000,2897,1.369,0.016,7.17,346158,329548,1741,735,14096,1828012,1551354.9,127835.5,0.688,0.065,0.062,0.095,0.090,563,8.62,9.92,1.18,5.84,0.36,2.00,0.12,1.34,6.96,5.97,0.10,0.60,0.009,0.049,478,0.151,0.750,0.044,0.002,0.203,338212,321251,7,0.716,0.036,0.014,217524,0.031,0.082,0.000,162.98,84759,180,0.070,0.600,0.021,60988665,1.23,19.39,0.004,0.244,0.031,3,5,13,64,1325,77,0.46,0.0077,0.000,50
490000,2772,1.369,0.016,7.38,357532,340580,1780,453,14844,1560676,1585514.4,107178.9,0.707,0.065,0.060,0.085,0.082,576,9.59,11.29,1.44,6.61,0.67,3.59,0.12,1.52,7.37,6.11,0.13,0.68,0.016,0.083,514,0.101,0.766,0.028,0.007,0.199,349178,333271,8,0.689,0.023,0.011,252817,0.021,0.079,0.000,163.11,85344,220,0.069,0.660,0.018,45002781,1.29,18.77,0.007,0.241,0.038,3,6,15,64,1311,64,0.33,0.0078,0.004,44
500000,2826,1.387,0.017,7.16,355317,339255,1766,498,13744,1588042,1588355.1,103681.7,0.694,0.068,0.063,0.088,0.086,549,9.55,11.32,1.69,7.11,0.47,2.63,0.07,0.92,7.32,6.51,0.12,0.63,0.012,0.068,512,0.112,0.754,0.039,0.007,0.200,347097,330451,7,0.688,0.016,0.008,261464,0.021,0.085,0.000,163.17,87957,84,0.065,0.769,0.024,45028502,1.35,18.85,0.005,0.261,0.035,3,6,15,64,1277,61,0.27,0.0077,0.000,45
510000,2868,1.338,0.016,7.03,362727,347043,1599,900,13143,1617387,1609806.1,102502.6,0.686,0.067,0.061,0.095,0.091,617,8.99,9.37,0.81,4.91,0.64,3.90,0.02,0.56,7.52,5.78,0.08,0.56,0.021,0.116,413,0.214,0.732,0.021,0.003,0.244,354568,337802,7,0.684,0.011,0.003,194690,0.025,0.114,0.000,163.10,78144,31,0.063,0.880,0.008,41860765,1.16,18.91,0.005,0.156,0.021,3,6,12,64,1302,73,0.34,0.0075,0.000,67
