step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,crowd_max,plant_intake,meat_intake,lineages,movers
550000,1,556,39.72,24.23,1.36,0.14,13.98,0.50,7.05,0.218,44,724067.4,92156.4,2,0
550000,0,60,15.85,5.48,1.25,0.18,8.93,0.23,2.31,0.067,3,603.6,507.2,8,60
560000,8,1589,7.02,0.21,0.15,0.10,6.55,0.01,1.06,0.003,6,819022.4,951.9,9,5
560000,1,433,29.05,17.70,1.09,0.07,10.19,0.40,5.71,0.155,49,747288.2,82004.4,6,1
560000,0,107,18.98,1.50,0.77,0.11,16.61,0.13,1.37,0.028,13,807.8,366.6,9,105
570000,8,1541,7.31,0.13,0.18,0.25,6.75,0.02,1.04,0.005,11,813413.9,376.7,8,0
570000,1,446,47.41,32.43,1.19,0.13,13.66,0.41,9.44,0.166,47,708526.7,81941.8,5,0
570000,0,46,16.22,7.63,0.78,0.07,7.74,0.24,3.21,0.065,3,868.4,412.2,9,45
580000,8,1558,6.65,0.11,0.16,0.18,6.18,0.01,1.04,0.002,6,810415.6,438.3,8,0
580000,1,559,37.81,18.27,1.73,0.33,17.48,0.67,6.22,0.190,43,779257.4,115122.8,9,1
580000,0,50,13.54,4.80,0.62,0.04,8.08,0.22,2.31,0.060,3,798.3,195.3,9,50
590000,8,1657,6.28,0.13,0.09,0.17,5.89,0.01,1.04,0.002,7,815389.7,120.6,13,7
590000,1,595,36.12,16.67,1.80,0.90,16.76,0.57,5.80,0.182,45,811998.6,147282.1,10,4
590000,0,48,11.69,3.67,0.69,0.00,7.33,0.27,2.01,0.062,2,682.4,237.0,9,48
600000,8,1614,6.41,0.12,0.09,0.16,6.04,0.00,1.04,0.001,8,816977.7,1099.5,8,3
600000,1,601,36.13,17.57,2.02,0.52,16.02,0.68,6.05,0.220,46,813784.9,168360.6,9,9
600000,0,74,11.68,0.76,0.11,0.11,10.70,0.00,1.23,0.000,3,479.2,93.0,7,74
610000,8,1595,6.82,0.35,0.28,0.10,6.09,0.02,1.11,0.006,6,811613.9,1533.9,12,60
