step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn,travel,drift,hidden,eta,beta,wchange,turns,pace
100000,28.00,16,0,9,0,5,0,1.00,0,0.321,1133,0.55,14.80,76.61,703,2,2,0,1.00,1.00,1.00,4,4,4,43.8,21.765,14,2.000,0.003,4,1.000,0,31.15,30.75,0,0.0000,0.585,0.0000,961,0.8694
100000,30.00,16,0,10,0,5,0,1.00,0,0.333,1131,2.37,38.87,57.01,703,2,0,0,1.00,1.00,1.00,4,4,4,58.5,54.842,15,2.000,0.003,4,1.000,0,56.13,47.75,0,0.0000,0.579,0.0000,962,0.8546
100000,26.00,16,0,8,0,5,0,1.00,0,0.308,1129,1.37,22.68,48.97,703,1,2,0,1.00,1.00,1.00,2,4,4,28.0,20.273,13,2.000,0.003,4,1.000,0,35.60,35.00,0,0.0000,0.579,0.0000,972,0.8857
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,1110,0.00,35.64,88.02,310,1,2,0,1.00,1.00,1.00,4,4,4,31.7,21.781,16,2.000,0.013,4,1.000,0,26.51,11.25,0,0.0428,0.698,0.0000,933,0.8409
100000,10.00,25,0,1,4,2,0,1.00,6,0.100,1104,0.00,44.55,2.68,703,0,0,0,1.00,1.00,1.00,3,2,5,17.1,3.012,7,2.000,0.007,5,1.000,0,10.25,10.25,4,0.0339,0.381,0.0000,973,1.0000
100000,48.00,25,0,18,0,6,0,1.00,0,0.375,1078,4.87,19.90,76.13,703,0,0,0,1.00,1.00,1.00,4,5,5,21.4,24.138,24,2.000,0.003,5,1.000,0,23.55,23.50,0,0.0000,0.548,0.0000,811,0.7598
100000,50.00,25,0,19,0,6,0,1.00,0,0.380,1078,0.00,20.90,108.32,703,1,2,0,1.00,1.00,1.00,4,5,5,27.9,5.305,25,2.000,0.002,5,1.000,0,42.06,38.25,0,0.0000,0.640,0.0000,810,0.7521
100000,32.00,16,0,11,0,5,0,1.00,0,0.344,1043,1.26,31.48,99.02,703,2,1,0,1.00,1.00,1.00,4,4,4,56.2,48.098,16,2.000,0.003,4,1.000,0,52.18,17.25,0,0.0000,0.594,0.0000,877,0.8409
100000,6.68,36,0,0,0,5,0,1.00,12,0.000,1039,0.41,43.18,46.56,722,1,1,0,1.00,1.00,1.00,2,1,5,32.0,8.141,5,1.335,0.572,6,1.000,0,3.75,-2.25,0,0.0000,0.000,0.0000,841,1.0000
100000,32.00,16,0,9,0,7,0,1.00,0,0.281,1036,0.00,31.14,36.86,703,0,0,0,1.00,1.00,1.00,2,4,4,20.4,18.392,16,2.000,0.003,4,1.000,0,14.65,6.75,0,0.0000,0.568,0.0000,871,0.8409
100000,6.00,25,0,1,0,2,0,1.00,12,0.167,1034,0.00,19.87,6.84,703,0,0,0,1.00,1.00,1.00,1,3,1,18.2,5.228,3,2.000,0.001,5,1.000,0,8.40,-4.25,0,0.0574,0.280,0.0000,1027,1.0000
100000,50.00,25,0,14,0,11,0,1.00,0,0.280,1026,1.39,66.22,42.80,310,2,0,0,1.00,1.00,1.00,4,5,5,49.6,62.482,25,2.000,0.002,5,1.000,0,59.50,0.00,0,0.0366,0.527,0.0000,771,0.7521
100000,4.00,16,0,1,0,1,0,1.00,10,0.250,1024,0.00,16.74,41.76,703,0,1,0,1.00,1.00,1.00,1,2,1,20.2,0.329,2,2.000,0.003,4,1.000,0,10.21,-9.50,0,0.0393,0.539,0.0000,899,1.0000
