step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat
100000,10,10,0,0,0,10,0,1.00,12,0.000,1981,2.24,216.48,17.44,35,0,0,0,1.00,1.00,1.00,2,2,8,21.1,51.506
100000,11,11,1,0,0,10,0,1.27,10,0.000,1981,1.85,220.89,118.88,35,1,1,0,1.67,1.67,1.12,4,8,8,30.5,53.488
100000,10,10,0,0,0,10,0,1.00,12,0.000,1969,2.92,180.45,102.54,35,0,0,0,1.00,1.00,1.00,3,2,8,20.1,51.194
100000,8,8,0,0,0,8,0,1.00,16,0.000,1968,1.90,293.65,16.79,35,0,0,0,1.00,1.00,1.00,2,2,8,13.0,47.231
100000,8,8,0,0,0,8,0,1.00,16,0.000,1913,2.39,122.09,108.48,35,0,0,0,1.00,1.00,1.00,4,2,8,19.6,45.911
100000,8,8,0,0,0,8,0,1.00,16,0.000,1848,2.74,164.19,25.41,35,1,2,0,1.00,1.00,1.00,3,2,8,29.2,44.351
100000,8,8,0,0,0,8,0,1.00,16,0.000,1838,1.47,30.25,107.94,35,0,0,0,1.00,1.00,1.00,5,8,8,23.9,44.111
100000,11,11,1,0,0,10,0,1.27,10,0.000,1837,1.66,151.03,119.72,35,1,1,0,1.67,1.67,1.12,3,8,8,28.6,49.600
100000,15,15,0,0,0,15,0,1.00,4,0.000,1813,1.32,262.76,114.31,35,0,0,0,1.00,1.00,1.00,7,8,8,17.7,56.202
100000,11,11,1,0,0,10,0,1.27,10,0.000,1785,2.86,138.98,130.59,35,1,1,0,1.67,1.67,1.12,3,8,8,30.0,48.196
100000,11,11,1,0,0,10,0,1.27,10,0.000,1783,2.00,143.04,120.57,35,1,1,0,1.67,1.67,1.12,6,8,8,29.2,48.142
100000,13,13,0,0,0,13,0,1.00,10,0.000,1772,2.27,194.28,149.31,35,1,1,0,1.00,1.00,1.00,5,3,8,27.2,51.387
100000,14,14,0,0,0,14,0,1.00,10,0.000,1735,2.90,250.48,61.94,272,0,0,0,1.00,1.00,1.00,4,3,8,21.1,52.050
100000,3,3,0,0,0,3,0,1.00,24,0.000,1732,1.68,69.53,26.75,272,0,0,0,1.00,1.00,1.00,1,2,2,21.6,32.907
100000,13,13,0,0,0,13,0,1.00,10,0.000,1729,3.26,148.44,173.23,35,1,1,0,1.00,1.00,1.00,5,3,8,28.4,50.140
100000,7,7,0,0,0,7,0,1.00,18,0.000,1709,2.55,190.45,15.90,272,0,0,0,1.00,1.00,1.00,2,3,4,23.1,39.307
