step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake
170000,1,602,11.42,0.01,0.01,0.17,11.23,0.00,1.00,0.000,0.079,105842.1,311892.9,1,28,5.26,1.00,1.00,42.8652,1162.10,252.4,37.5756,4.1726,5461,0.7770,131,7.6536,67574.2
170000,2,143,10.30,0.01,0.00,0.69,9.61,0.00,1.00,0.000,0.017,49896.2,45441.2,1,19,2.48,1.00,1.00,9.0520,485.42,39.1,47.1077,3.8770,5461,0.7770,141,1.6436,11445.4
180000,0,3001,11.56,0.01,0.02,0.01,11.53,0.00,1.00,0.000,0.398,419684.0,1062829.8,2,21,6.58,1.00,1.00,215.7538,4528.06,42211.5,4.3245,1.0981,5462,0.8445,18,53.3168,479655.4
180000,1,646,11.78,0.03,0.01,0.50,11.24,0.00,1.01,0.000,0.085,107285.3,310320.6,1,34,5.14,1.01,1.02,42.7064,1179.32,243.6,37.8716,4.2801,5461,0.8444,115,7.7253,67866.0
180000,2,225,10.59,0.08,0.00,0.30,10.21,0.00,1.02,0.000,0.028,55373.8,55959.0,1,13,2.52,1.01,1.03,10.6078,524.17,42.7,46.3120,4.1343,5461,0.8444,106,1.9764,14292.0
190000,0,3081,11.51,0.00,0.02,0.00,11.48,0.00,1.00,0.000,0.408,417858.5,1064473.6,2,23,6.65,1.00,1.00,215.7854,4338.88,41688.0,4.8152,1.1425,5462,0.8250,33,53.0953,477482.9
190000,1,689,11.70,0.04,0.01,0.14,11.51,0.00,1.01,0.000,0.090,108172.6,310523.6,2,26,5.19,1.01,1.03,42.7997,943.98,216.7,37.7091,4.3356,5461,0.8249,81,7.7389,68182.9
190000,2,141,11.13,0.23,0.00,1.04,9.85,0.00,1.06,0.000,0.018,53544.8,52249.6,1,16,2.86,1.01,1.10,10.0795,540.50,42.9,46.3942,4.0790,5461,0.8249,149,1.8295,13132.3
200000,0,2969,11.80,0.01,0.02,0.01,11.76,0.00,1.00,0.000,0.400,413624.3,1064253.4,2,24,6.79,1.00,1.00,216.6266,4516.94,39543.5,4.7122,1.0789,5462,0.7529,35,52.3852,473596.4
200000,1,600,11.68,0.10,0.03,0.34,11.21,0.00,1.03,0.000,0.081,106153.1,304733.3,1,22,5.05,1.02,1.04,42.2487,1277.32,213.7,38.3156,4.2083,5461,0.7527,116,7.7186,67499.9
200000,2,178,10.73,0.02,0.00,0.88,9.84,0.00,1.00,0.000,0.022,49893.8,46260.4,1,13,2.66,1.00,1.00,9.1127,480.05,35.0,47.2770,3.8281,5461,0.7527,122,1.6832,11860.3
210000,0,3029,11.80,0.00,0.03,0.01,11.76,0.00,1.00,0.000,0.409,415457.5,1064797.0,2,18,6.78,1.00,1.00,218.1711,4324.63,40646.3,4.8007,1.0970,5462,0.8424,28,52.6843,475274.9
210000,1,651,11.65,0.02,0.00,0.47,11.16,0.00,1.01,0.000,0.086,105703.8,295686.4,1,25,4.77,1.00,1.01,41.0777,992.76,247.5,38.4180,4.2810,5461,0.8422,63,7.5046,65833.8
210000,2,202,11.47,0.03,0.00,1.07,10.37,0.00,1.00,0.000,0.027,52073.0,48714.4,1,28,2.40,1.00,1.01,9.4852,486.95,29.6,46.5745,3.9200,5461,0.8422,66,1.8249,12993.5
220000,0,3009,11.70,0.02,0.01,0.04,11.64,0.00,1.01,0.000,0.403,414878.3,1063738.1,2,24,6.75,1.01,1.01,218.5151,4328.99,38626.2,5.1575,1.1386,5462,0.9422,32,52.6971,475806.0
220000,1,640,12.23,0.06,0.00,0.37,11.80,0.00,1.02,0.000,0.090,107136.8,297496.2,1,20,5.21,1.03,1.02,41.4224,1044.36,243.5,37.2786,4.3329,5461,0.9421,76,7.6437,67128.9
220000,2,182,13.19,0.85,0.00,0.85,11.50,0.00,1.24,0.000,0.027,56618.8,59478.1,1,18,2.78,1.10,1.35,10.9984,541.30,43.7,46.3273,4.1189,5461,0.9421,91,2.1638,15803.7
230000,0,3120,11.74,0.02,0.01,0.03,11.68,0.00,1.01,0.000,0.420,411339.2,1060587.0,2,17,6.96,1.01,1.01,220.4482,4738.46,38155.5,5.5372,1.1020,5462,0.9204,24,52.2970,473041.5
230000,1,619,11.97,0.04,0.00,0.40,11.53,0.00,1.01,0.000,0.083,102027.9,283833.0,1,30,4.92,1.01,1.01,39.6412,1226.52,195.8,37.8952,4.3420,5461,0.9203,100,7.0178,61649.6
230000,2,164,12.35,0.05,0.00,1.15,11.16,0.00,1.01,0.000,0.023,55318.4,56389.4,1,17,2.77,1.00,1.02,10.5426,427.46,27.4,46.5712,4.1051,5461,0.9203,106,2.0125,14657.7
240000,0,3134,11.73,0.01,0.00,0.02,11.69,0.00,1.00,0.000,0.421,409493.5,1060043.9,2,15,6.97,1.00,1.00,222.5255,4382.45,38497.2,6.0257,1.1012,5462,0.9364,22,52.1057,471752.3
240000,1,567,11.58,0.06,0.00,0.49,11.03,0.00,1.02,0.000,0.075,97778.3,267352.8,1,21,4.90,1.01,1.02,37.5695,945.61,155.0,38.2437,4.2847,5461,0.9362,69,6.5501,57732.8
240000,2,137,12.00,0.17,0.00,1.36,10.47,0.00,1.05,0.000,0.019,55816.7,58511.3,1,13,2.80,1.00,1.07,10.8169,547.61,48.9,46.3021,4.0723,5461,0.9362,104,2.0967,15419.0
250000,0,3095,11.76,0.01,0.01,0.03,11.72,0.00,1.00,0.000,0.416,404479.5,1062782.1,2,26,7.00,1.00,1.00,220.2737,3586.14,38333.6,6.3589,1.1423,5462,0.8760,13,51.3892,465369.5
250000,1,627,11.26,0.03,0.00,0.50,10.73,0.00,1.01,0.000,0.081,100038.9,273528.0,1,29,5.03,1.00,1.01,38.5191,942.33,165.9,38.4512,4.2495,5461,0.8758,93,6.9367,60524.0
250000,2,180,11.07,0.14,0.00,1.32,9.61,0.00,1.03,0.000,0.023,54127.9,54034.0,1,27,2.71,1.00,1.06,10.2161,447.58,24.7,46.3238,3.9077,5461,0.8758,82,2.1081,15321.4
260000,0,3159,11.60,0.02,0.01,0.03,11.55,0.00,1.00,0.000,0.420,401224.7,1058400.9,2,20,6.98,1.00,1.01,221.2002,4305.37,37294.9,6.2147,1.0881,5462,0.8068,30,51.2331,463154.2
260000,1,556,11.78,0.10,0.02,0.35,11.31,0.00,1.02,0.000,0.075,97193.2,260790.9,1,13,5.31,1.01,1.03,37.0389,1030.49,157.7,38.8980,4.1149,5461,0.8067,67,6.7042,58869.2
260000,2,162,11.84,0.30,0.00,1.12,10.42,0.00,1.07,0.000,0.022,52517.6,51416.6,1,22,2.79,1.01,1.11,9.8479,395.37,34.4,46.6754,3.7573,5461,0.8067,124,2.0919,15370.4
270000,0,3233,11.55,0.01,0.00,0.01,11.54,0.00,1.00,0.000,0.428,402572.7,1057959.6,2,22,7.11,1.01,1.01,225.0356,4140.15,34850.9,6.8624,1.0484,5462,0.7152,30,51.3363,466240.2
270000,1,547,11.29,0.02,0.01,0.30,10.96,0.00,1.00,0.000,0.070,86814.5,224592.7,1,20,5.18,1.00,1.00,32.2697,858.35,143.7,39.4462,4.0272,5461,0.7151,99,5.6317,48958.4
