id,n_genes,gene_edges,morph_edges,n_blocks,hard,muscle,sensor,digestive,largest,connected,dev_ns
3285,8,1,11,55,0,17,0,38,55,1,203791
3286,12,12,27,57,11,0,46,0,57,1,378292
3287,8,3,15,46,20,0,0,26,46,1,203750
3288,7,1,16,64,1,0,35,28,64,1,176917
3289,14,9,28,42,34,5,3,0,37,0,488500
3290,16,17,19,64,0,64,0,0,64,1,594792
3291,8,6,12,27,0,15,12,0,27,1,203917
3292,8,4,17,64,4,0,60,0,64,1,215042
3293,9,6,11,64,0,0,0,64,64,1,235625
3294,6,4,6,64,0,0,64,0,64,1,148958
3295,8,4,12,9,5,4,0,0,4,0,203833
3296,8,5,10,64,25,34,5,0,64,1,208083
3297,9,7,16,64,59,5,0,0,64,1,235625
3298,8,3,14,64,22,2,16,24,64,1,203833
3299,10,2,17,64,0,0,64,0,64,1,290916
3300,8,1,14,64,17,0,0,47,64,1,204250
3301,7,1,10,64,56,8,0,0,64,1,176833
3302,5,3,7,64,35,1,28,0,64,1,110000
3303,5,2,4,32,0,0,32,0,32,1,103958
3304,12,10,21,64,0,22,22,20,64,1,357084
3305,6,1,8,64,24,0,40,0,64,1,141750
3306,12,6,24,64,0,0,64,0,64,1,359958
3307,10,5,14,64,15,15,9,25,64,1,271000
3308,9,5,18,21,0,0,0,21,21,1,229958
3309,11,7,27,64,0,32,0,32,64,1,312667
3310,5,0,13,64,0,0,0,64,64,1,104208
3311,8,3,12,64,2,0,62,0,64,1,198959
3312,8,1,8,54,0,0,54,0,54,1,199500
3313,3,1,2,64,64,0,0,0,64,1,67459
3314,6,3,11,43,0,14,29,0,43,1,141708
3315,6,1,9,31,1,23,7,0,31,1,141750
3316,7,2,10,64,0,0,64,0,64,1,172625
3317,7,2,7,64,62,0,2,0,64,1,178417
3318,10,4,16,61,38,4,6,13,61,1,267917
3319,8,3,10,64,0,0,29,35,64,1,199542
3320,6,2,12,64,0,0,61,3,64,1,145250
3321,10,4,17,63,16,33,6,8,63,1,279875
3322,7,4,13,64,0,0,64,0,64,1,182958
3323,6,1,12,64,1,62,1,0,64,1,145583
3324,9,4,12,64,0,0,64,0,64,1,239042
3325,9,9,13,64,0,0,48,16,64,1,258417
3326,7,2,12,53,31,0,0,22,53,1,176833
3327,11,8,14,29,23,0,0,6,29,1,320959
3328,4,0,5,24,0,0,24,0,24,1,83500
3329,10,7,15,64,0,37,27,0,64,1,278833
3330,5,0,6,64,0,20,44,0,64,1,106708
3331,12,6,22,19,0,0,16,3,19,1,369666
3332,6,4,7,64,0,0,25,39,64,1,145541
3333,12,3,19,64,0,64,0,0,64,1,374250
3334,9,4,15,49,47,2,0,0,49,1,248000
3335,12,11,25,27,0,0,18,9,27,1,377291
3336,5,1,6,64,0,28,36,0,64,1,106709
3337,4,2,10,64,0,30,0,34,64,1,83458
3338,11,6,16,64,0,64,0,0,64,1,325333
3339,7,1,8,64,0,0,64,0,64,1,176750
3340,3,3,0,64,0,64,0,0,64,1,69292
3341,10,7,11,38,3,8,27,0,38,1,279250
3342,6,1,7,64,0,0,30,34,64,1,145375
3343,3,0,6,64,0,26,38,0,64,1,69167
3344,14,15,21,54,21,27,6,0,54,1,474083
3345,10,4,19,64,0,0,64,0,64,1,275375
3346,7,1,12,64,57,0,0,7,64,1,176917
3347,11,10,13,20,0,0,0,20,20,1,335625
3348,8,4,10,64,48,0,16,0,64,1,203959
3349,9,5,12,32,0,0,2,30,30,0,235709
3350,8,1,6,40,40,0,0,0,40,1,207208
3351,5,0,7,64,0,13,0,51,64,1,106750
3352,5,0,7,21,15,0,0,6,21,1,118125
3353,2,0,0,64,64,0,0,0,64,1,65083
3354,11,8,14,7,7,0,0,0,7,1,324541
3355,10,6,14,47,0,0,47,0,47,1,278959
3356,4,1,4,64,60,0,4,0,64,1,94959
3357,10,5,18,64,0,0,0,64,64,1,277875
3358,16,10,30,14,0,0,0,14,14,1,581750
3359,6,4,15,63,51,0,12,0,63,1,141459
3360,7,4,19,64,0,0,64,0,64,1,171917
3361,15,10,20,51,0,0,5,46,51,1,523417
3362,5,0,6,64,0,0,39,25,64,1,112833
3363,6,1,11,62,0,0,27,35,62,1,141750
3364,8,3,14,45,4,0,39,2,45,1,201708
3365,4,1,7,0,0,0,0,0,0,0,81042
3366,2,1,3,64,0,0,64,0,64,1,64000
3367,8,4,13,64,0,0,14,50,64,1,198375
3368,11,4,20,21,0,21,0,0,21,1,312209
3369,7,1,11,64,14,36,0,14,64,1,171916
3370,11,5,9,64,0,0,16,48,64,1,312042
3371,6,1,10,64,8,41,1,14,64,1,141416
3372,8,3,12,64,1,27,36,0,64,1,201500
3373,8,2,14,64,4,0,60,0,64,1,198250
3374,8,3,17,64,0,41,21,2,64,1,198250
3375,6,2,9,30,25,5,0,0,30,1,141500
3376,13,6,27,59,7,11,41,0,59,1,424125
3377,7,3,14,64,64,0,0,0,64,1,171959
3378,12,8,16,55,0,0,31,24,55,1,356167
3379,11,10,15,64,32,0,32,0,64,1,341500
3380,8,6,11,64,5,0,0,59,64,1,198250
3381,6,2,11,42,0,0,30,12,42,1,141458
3382,9,7,17,64,5,0,0,59,64,1,232459
3383,8,3,18,64,0,35,0,29,64,1,198291
3384,11,13,18,63,63,0,0,0,63,1,312292
3385,5,0,7,64,0,4,23,37,64,1,106833
3386,3,1,3,56,0,0,0,56,56,1,69375
3387,7,0,13,61,39,0,22,0,61,1,176750
3388,8,3,8,64,0,0,64,0,64,1,203833
3389,7,3,11,62,0,0,2,60,62,1,181208
3390,12,6,27,25,2,17,6,0,23,0,366208
3391,8,6,14,62,0,0,44,18,62,1,203833
3392,6,1,12,64,0,0,0,64,64,1,148750
3393,15,7,21,64,64,0,0,0,64,1,534458
3394,13,9,29,58,53,0,5,0,58,1,427667
3395,9,2,15,62,7,5,50,0,62,1,235500
3396,11,7,26,64,0,17,19,28,64,1,320833
3397,12,10,16,64,60,0,0,4,64,1,369667
3398,5,1,10,64,9,1,54,0,64,1,106625
3399,10,1,19,49,0,39,10,0,49,1,275209
3400,3,0,3,0,0,0,0,0,0,0,69167
3401,6,2,11,64,11,0,53,0,64,1,145542
3402,3,0,3,64,0,0,64,0,64,1,69083
3403,10,6,14,64,0,0,5,59,64,1,286583
3404,3,1,7,64,64,0,0,0,64,1,69167
3405,6,2,8,64,21,43,0,0,64,1,145542
3406,8,4,9,64,64,0,0,0,64,1,203833
3407,2,0,3,64,0,64,0,0,64,1,67834
3408,6,2,12,26,0,0,0,26,26,1,145500
3409,4,0,11,50,0,0,33,17,50,1,83291
3410,5,0,4,46,12,0,22,12,46,1,106792
3411,7,3,10,64,0,0,33,31,64,1,176958
3412,10,3,8,64,0,0,64,0,64,1,294166
3413,11,8,17,51,0,0,51,0,51,1,320958
3414,8,1,12,64,0,26,38,0,64,1,203792
3415,8,1,13,64,5,36,4,19,64,1,203750
3416,12,7,21,64,26,9,29,0,64,1,370667
3417,6,2,5,64,0,0,0,64,64,1,141292
3418,7,4,7,64,25,17,0,22,64,1,172000
3419,5,1,6,64,18,46,0,0,64,1,103792
3420,7,1,8,64,0,64,0,0,64,1,172000
3421,10,4,18,27,0,27,0,0,27,1,268041
3422,12,8,14,64,0,0,64,0,64,1,356375
3423,8,3,14,53,26,0,27,0,53,1,198250
3424,6,1,10,64,0,0,64,0,64,1,141417
3425,12,17,16,64,59,0,5,0,64,1,356167
3426,8,7,12,64,36,3,0,25,64,1,198291
3427,11,4,13,64,0,0,64,0,64,1,315375
3428,12,9,21,44,0,28,16,0,44,1,356334
3429,8,3,10,64,0,64,0,0,64,1,201584
3430,4,1,7,64,0,0,30,34,64,1,81083
3431,10,3,21,64,0,0,64,0,64,1,267875
3432,7,1,9,64,0,64,0,0,64,1,178125
3433,2,0,2,64,64,0,0,0,64,1,66584
3434,6,1,11,64,0,0,64,0,64,1,145458
3435,6,0,8,64,64,0,0,0,64,1,145375
3436,5,1,14,64,0,0,14,50,64,1,106833
3437,10,4,17,64,0,48,16,0,64,1,278000
3438,10,6,17,64,32,0,32,0,64,1,279708
3439,4,1,9,45,6,6,0,33,45,1,83334
3440,10,8,15,22,0,0,22,0,22,1,275542
3441,7,1,12,8,0,0,8,0,8,1,176833
3442,11,5,13,55,0,0,6,49,55,1,324125
3443,5,3,6,0,0,0,0,0,0,0,106750
3444,9,6,13,64,0,0,31,33,64,1,235417
3445,6,3,4,64,64,0,0,0,64,1,145459
3446,6,2,6,64,0,0,0,64,64,1,147708
3447,8,6,10,64,28,0,36,0,64,1,204041
3448,5,0,9,64,3,44,17,0,64,1,106791
3449,9,3,17,44,4,0,40,0,40,0,235500
3450,11,6,21,64,8,0,56,0,64,1,320792
3451,10,7,12,64,0,49,15,0,64,1,275375
3452,7,1,13,64,0,0,64,0,64,1,176417
3453,9,1,8,64,46,0,0,18,64,1,247000
3454,6,1,9,64,42,0,0,22,64,1,145458
3455,12,10,18,64,0,0,64,0,64,1,366208
3456,5,1,9,64,0,0,64,0,64,1,106834
3457,8,3,15,6,0,0,0,6,6,1,207209
3458,11,4,12,64,27,0,0,37,64,1,320917
3459,9,8,11,64,32,32,0,0,64,1,254000
3460,10,8,17,52,0,0,52,0,52,1,279583
3461,9,2,15,64,0,0,43,21,64,1,264625
3462,6,3,8,64,13,51,0,0,64,1,145583
3463,17,23,25,64,0,29,35,0,64,1,659916
3464,8,6,12,64,0,26,38,0,64,1,203916
3465,6,4,4,1,0,0,1,0,1,1,145542
3466,8,5,9,64,64,0,0,0,64,1,207417
3467,6,0,13,64,23,0,17,24,64,1,146250
3468,8,6,10,64,35,0,29,0,64,1,204416
3469,9,3,15,10,4,0,0,6,6,0,235416
3470,7,5,11,64,64,0,0,0,64,1,172250
3471,9,8,13,64,18,0,0,46,64,1,229625
3472,7,4,9,64,0,35,21,8,64,1,175333
3473,7,1,20,61,35,26,0,0,61,1,171833
3474,9,4,16,57,0,9,0,48,57,1,229000
3475,10,3,19,35,0,0,9,26,35,1,268042
3476,15,9,29,6,0,0,6,0,6,1,523125
3477,6,2,12,64,0,0,62,2,64,1,141542
3478,6,2,11,0,0,0,0,0,0,0,141625
3479,10,3,12,48,0,21,26,1,48,1,271250
3480,6,1,7,64,0,0,13,51,64,1,141291
3481,15,6,30,0,0,0,0,0,0,0,523209
3482,12,7,19,17,0,0,17,0,17,1,356417
3483,9,2,16,64,17,14,0,33,64,1,229125
3484,14,12,22,64,36,0,28,0,64,1,447125
3485,10,3,20,64,0,0,40,24,64,1,267958
3486,8,4,17,29,4,0,25,0,29,1,198334
3487,8,3,9,64,0,14,50,0,64,1,201584
3488,8,3,11,64,0,27,37,0,64,1,198375
3489,14,8,19,28,0,0,0,28,28,1,461000
3490,2,0,5,64,0,0,28,36,64,1,64084
3491,9,4,18,64,32,0,32,0,64,1,235875
3492,7,0,7,27,0,8,19,0,23,0,179708
3493,6,2,11,64,0,64,0,0,64,1,141583
3494,9,3,19,64,6,0,58,0,64,1,229125
3495,20,21,25,18,18,0,0,0,18,1,870416
3496,4,3,0,64,64,0,0,0,64,1,83250
3497,9,7,19,64,40,15,0,9,64,1,232625
3498,10,12,10,37,0,0,37,0,37,1,268000
3499,12,10,26,0,0,0,0,0,0,0,359458
3500,6,1,5,0,0,0,0,0,0,0,141625
3501,10,8,24,62,0,0,12,50,62,1,268042
3502,4,2,3,64,0,0,0,64,64,1,81209
3503,16,11,30,64,24,0,0,40,64,1,586625
3504,5,1,10,64,64,0,0,0,64,1,103833
3505,8,3,13,64,0,33,31,0,64,1,198375
3506,7,3,10,54,0,22,32,0,54,1,172167
3507,4,1,2,52,0,52,0,0,52,1,81125
3508,4,1,6,59,0,38,19,2,59,1,81125
3509,6,1,10,60,29,9,0,22,60,1,141500
3510,5,0,8,54,0,54,0,0,54,1,103958
3511,13,9,23,21,0,0,0,21,21,1,420042
3512,4,1,9,24,13,11,0,0,24,1,91916
3513,7,3,16,51,31,11,0,9,51,1,190875
3514,10,4,19,64,39,0,8,17,64,1,282542
3515,12,9,14,54,0,0,1,53,54,1,371708
3516,8,11,11,64,15,33,16,0,64,1,205792
3517,7,5,12,64,64,0,0,0,64,1,172000
3518,4,1,6,43,0,22,0,21,43,1,86209
3519,9,6,15,58,23,0,35,0,58,1,251042
3520,7,1,12,30,0,28,0,2,30,1,171958
3521,5,0,8,25,0,0,25,0,25,1,103750
3522,7,3,8,64,0,64,0,0,64,1,171750
3523,7,1,12,64,39,0,0,25,64,1,171708
3524,5,0,8,64,41,0,23,0,64,1,103791
3525,1,0,0,64,64,0,0,0,64,1,60667
3526,6,2,10,24,0,0,24,0,24,1,165166
3527,3,0,2,64,0,52,0,12,64,1,67333
3528,5,0,10,16,0,0,16,0,16,1,103917
3529,10,7,19,64,31,0,33,0,64,1,271958
3530,8,5,8,64,0,0,1,63,64,1,198334
3531,8,4,21,24,0,0,0,24,24,1,208084
3532,6,4,15,64,0,0,64,0,64,1,145167
3533,9,3,22,64,10,0,19,35,64,1,232625
3534,5,0,8,64,0,2,4,58,64,1,103791
3535,11,6,21,64,18,29,0,17,64,1,312125
3536,8,2,14,31,12,0,19,0,31,1,198208
3537,7,1,13,64,32,0,32,0,64,1,171959
3538,2,0,1,64,32,32,0,0,64,1,63791
3539,12,5,22,0,0,0,0,0,0,0,356292
3540,14,12,24,64,19,0,45,0,64,1,446916
3541,5,1,8,64,14,32,18,0,64,1,103750
3542,14,12,21,64,0,0,64,0,64,1,450291
3543,7,4,7,47,27,2,18,0,47,1,172000
3544,9,5,12,64,0,0,64,0,64,1,232542
3545,6,2,7,64,0,47,17,0,64,1,141417
3546,13,8,20,64,13,10,14,27,64,1,405792
3547,7,3,10,64,18,46,0,0,64,1,179125
3548,4,1,6,64,0,27,37,0,64,1,84625
3549,4,3,4,0,0,0,0,0,0,0,84500
3550,4,0,5,64,0,34,30,0,64,1,85125
3551,8,4,14,64,1,0,63,0,64,1,206791
3552,14,10,25,64,0,63,1,0,64,1,482792
3553,11,6,27,64,3,0,47,14,64,1,350791
3554,8,3,18,50,0,3,47,0,50,1,207125
3555,10,5,19,64,58,6,0,0,64,1,286542
3556,10,6,24,64,54,2,6,2,64,1,276875
3557,3,1,4,64,20,0,32,12,64,1,67250
