a,b,dist
3544,3765,50
2560,2998,54
2428,1127,64
1187,4515,44
651,1259,46
4733,3552,60
4947,4855,62
1490,3314,60
1060,3309,64
2628,1293,64
4828,3685,56
3205,3423,36
4894,1535,62
2421,1328,40
2712,4373,64
4232,3465,28
830,1931,36
164,4624,14
2710,3565,64
1378,151,14
2725,1727,64
1258,1485,35
3982,1958,14
2125,4045,64
4572,2502,43
1149,161,61
1780,140,64
3164,1121,64
3446,1332,64
4482,3310,64
847,3753,64
2042,3140,25
4418,2970,30
4150,2333,45
4126,3527,31
1098,4324,40
760,432,58
412,4179,64
4871,4853,64
3226,907,55
2556,1095,50
4298,2745,64
248,2982,56
2061,3581,30
1425,3272,49
2692,1038,36
4365,1076,64
646,2585,54
925,3863,51
2984,2365,36
1457,3095,64
4849,1056,64
1241,2107,55
3775,2981,38
2440,2760,25
1329,3166,48
137,4473,47
1640,4166,37
4269,1520,60
2729,2690,64
3879,3299,64
2005,4766,45
2808,1397,55
1542,2393,48
889,3526,2
1719,4827,20
1630,4066,64
2295,2645,47
1000,3697,56
3063,2252,64
1369,3172,52
3426,4406,42
705,1231,5
4271,1752,51
1252,239,5
1955,3374,63
1939,52,0
3463,2441,51
2927,4047,64
4947,519,9
1099,2247,26
3705,183,37
4481,744,30
4306,364,52
376,1179,64
3595,2333,47
3397,1424,64
3772,3894,58
1513,2802,63
622,2,61
4665,1325,63
2925,1230,61
2249,3220,56
1629,4442,64
325,1269,64
419,3440,64
2155,3513,26
4048,2216,64
1274,444,63
2363,2047,62
3691,3069,26
4762,4828,34
328,1699,64
2063,372,41
3335,1464,63
3746,4017,64
4797,3851,64
1940,852,64
3541,4301,62
3901,3037,53
1312,1321,34
4537,942,4
1279,4353,53
1543,2607,64
4353,1895,49
459,4064,13
962,1387,38
4189,4941,60
4640,1738,64
2063,738,27
1094,327,64
3502,3278,56
3505,4078,42
4490,3277,37
3113,3659,44
4107,3358,29
247,4143,38
756,4686,64
3530,1433,57
3113,2781,49
3033,255,48
3136,3647,32
4305,4938,64
4862,753,45
2503,3356,33
1271,3326,45
1684,1377,62
3869,918,33
2669,1986,64
3822,1804,33
1804,4515,52
4758,4943,58
4913,4355,36
3948,4162,30
1026,3654,49
1301,3089,57
4995,127,0
2490,2272,45
2132,1280,64
470,1049,47
2719,4146,64
2771,1410,45
2193,775,33
182,1402,24
2156,4938,42
4603,1545,64
2488,2699,64
2595,1449,64
1638,4952,53
1204,3021,64
3302,3223,64
2557,4750,61
3401,817,54
3641,3504,61
4258,4174,64
1849,4278,53
4448,758,64
1203,3951,27
3173,3863,52
1798,4078,31
3414,1470,64
1439,2442,42
383,609,44
2306,1872,60
1710,4210,29
2692,2154,64
1890,8,64
4202,2138,57
4583,375,29
3520,189,54
747,4110,64
4603,4639,64
1712,1379,55
4123,2217,45
909,3755,57
446,4464,64
1313,2590,49
1985,963,55
840,572,64
1120,3386,64
1672,3128,62
2346,1876,52
244,241,46
3465,485,0
1681,4108,64
122,1045,64
1757,4094,64
311,2463,39
2530,2898,64
4661,1293,64
297,3203,40
1620,4962,8
3613,1216,64
817,3465,64
1537,1735,46
1445,2956,60
4293,973,62
3031,3295,64
146,784,25
3921,113,34
4695,4629,48
604,1745,38
1092,98,46
4889,4410,38
2108,241,64
4993,4169,49
4703,685,24
4408,1246,50
909,3167,64
2586,3235,64
2004,2172,59
4184,4564,31
4411,1184,28
1349,513,27
4956,3877,60
3377,4792,52
2625,1130,63
125,770,21
2411,4495,54
4528,1227,64
2936,3816,51
2780,3034,64
45,3397,64
2992,27,21
4737,3849,30
1635,519,37
1119,294,64
947,3553,64
2987,3721,61
3529,4520,30
2377,4470,64
1096,4526,64
856,4789,64
1986,3488,61
2107,4253,64
1867,4168,64
3552,2701,59
1544,4054,46
2841,950,9
4805,2339,31
4675,2398,64
2588,584,50
2572,4491,59
3983,1954,64
507,1607,46
2906,4208,63
4928,3508,8
2785,1196,64
4266,1690,63
4097,3598,64
2757,877,31
3526,1105,0
308,4502,64
2073,2856,63
885,1019,44
933,4333,41
419,4178,64
3129,1194,16
687,621,64
1190,2595,26
3396,674,64
493,3721,43
3473,2010,64
810,2922,64
562,2542,60
644,4836,64
2110,4460,61
707,2342,64
810,2693,48
2691,1306,34
4328,2512,43
3928,2573,64
4884,2295,12
3416,2175,16
3790,1783,64
2659,730,54
2989,334,51
3760,834,11
745,404,64
3644,4301,38
131,162,64
1472,3370,64
2912,4365,60
3190,2365,38
3922,456,64
1267,1445,64
188,1197,42
2743,913,36
1639,2762,26
4582,2804,61
2956,4665,20
4643,911,64
4990,1246,41
191,1913,40
2379,1754,33
372,3284,64
1515,4869,52
1787,4629,52
706,1312,64
1596,4940,64
3967,4450,56
32,3954,57
899,1038,36
3142,513,38
4945,4565,62
2103,3,49
3066,2362,43
3665,1325,64
2107,507,64
4829,209,39
811,810,39
1356,1247,7
1151,2531,37
2003,4334,64
4958,4776,62
218,1794,30
2368,666,63
4317,1228,44
2105,1909,22
1392,164,62
2686,4009,50
4691,3563,64
4949,988,64
2283,4058,54
4890,85,58
3937,3823,64
1524,920,64
1107,2278,33
1122,1030,53
2292,2002,64
2561,2066,11
4898,4305,51
1464,4893,19
3419,3473,64
2443,1502,38
4169,791,64
4202,3708,64
2111,1714,32
3422,1119,49
4498,4172,64
4377,2216,64
17,3719,53
4522,3992,64
2485,1396,57
1062,452,1
4751,1568,57
4515,1647,52
1637,2005,48
399,655,64
3351,2099,38
3509,4774,42
999,1324,64
1758,1869,61
3967,1466,57
4903,616,28
3152,3124,63
1258,503,45
4741,766,40
3246,1660,43
2960,162,64
4273,4863,10
306,4656,64
823,3808,49
2206,780,63
3946,3963,40
258,629,55
4780,1664,51
2097,195,32
1356,2445,3
3315,3289,64
3706,1841,57
1743,157,42
2384,149,55
4448,1552,36
3856,2406,53
9,2583,28
3125,3041,64
2642,2578,64
3280,2834,50
1969,1422,57
4974,4727,63
185,3501,64
584,1772,43
560,4130,60
1055,2314,64
676,1795,64
3218,4197,45
4366,1020,18
3394,3640,61
1440,3024,37
1416,3044,64
1001,4348,61
1633,2389,25
505,3524,64
3609,592,30
1466,1533,64
1752,1693,16
2711,4359,16
4330,3634,54
3905,4986,64
4642,3902,60
1382,3175,53
1380,3607,10
361,1276,64
3713,3764,61
4299,2603,30
560,4705,44
1595,3937,48
3724,3715,64
119,4227,48
1851,653,43
4410,4923,61
1307,1282,50
1300,4753,30
2252,2083,64
3728,3750,40
2924,2030,51
3317,4659,64
3890,4708,22
618,688,60
2839,3939,26
1600,1361,64
968,2396,43
578,4307,55
4009,3250,64
1471,3470,64
1789,1160,12
279,604,64
962,848,34
338,4325,64
4296,990,64
3645,3035,22
2081,3372,63
461,1226,31
1390,2139,62
3040,4153,64
2337,3106,64
1710,3043,0
610,315,56
3909,2270,64
1037,1720,55
4524,224,62
4883,4971,64
3120,278,2
2065,1873,64
1819,2323,64
938,3733,44
183,3292,12
1027,4788,46
909,2967,64
152,3228,64
1072,1862,51
4856,2858,64
2246,4130,55
1067,2636,58
1560,4747,46
966,4311,64
2141,1158,64
3040,3695,64
78,4011,4
2055,4972,64
3112,4458,64
2892,3970,64
4112,4503,64
2129,3661,32
915,1995,63
2320,443,64
4634,376,29
4063,4810,27
2845,4124,49
474,3651,64
339,959,40
2680,3360,60
2577,4526,45
1762,2201,36
690,3225,29
58,4583,64
3810,651,18
1705,1792,50
2307,2652,59
3328,804,37
842,1586,59
894,1984,63
1686,4424,64
4852,2823,52
1940,3272,64
4577,3389,55
1267,3207,53
4720,529,45
3137,911,49
1562,2491,16
4134,2111,45
1542,1351,64
2994,4151,64
761,1667,52
1892,487,64
4754,4310,4
3096,2084,42
629,715,49
4467,4312,64
1035,2552,32
34,1404,64
1967,1609,16
450,3806,64
2329,921,43
1204,3915,50
857,1820,31
3725,443,64
4407,3734,36
1627,4286,58
1909,4750,40
4961,1091,56
2058,3049,61
4511,3976,64
198,2606,60
4452,4690,4
2274,3645,57
2387,1627,62
2849,841,45
411,1689,64
3925,3539,59
89,2044,63
2934,4739,48
860,3982,64
4867,1395,64
272,4300,64
4581,4640,64
3803,4858,64
1873,1769,64
2445,4414,34
3337,4338,64
3014,2217,60
2450,2247,44
3416,3574,43
3363,3468,64
3634,2866,40
1951,4924,37
4010,1739,64
4797,86,38
4519,1826,58
1986,348,53
2538,1492,64
4034,3690,56
1190,3988,29
4213,1451,52
4766,330,56
174,3042,56
1817,4808,57
3344,2437,48
1263,4944,37
1478,829,47
3556,4,64
4456,4700,41
1293,4160,64
3333,3478,64
2793,1677,45
18,3796,0
1485,3786,31
2279,629,62
2997,1762,2
3733,2503,64
4809,1732,64
730,1393,32
1298,3174,59
4098,635,36
3015,1790,43
3935,4640,64
758,3685,51
1251,3964,62
3917,1771,26
4863,3990,64
1066,282,56
2328,4179,64
247,698,58
3714,3363,63
210,698,60
170,158,64
1697,2464,64
3397,3729,64
3868,1351,38
2284,945,64
2261,200,64
3631,4726,32
1595,4745,64
3053,1474,64
535,174,59
1495,3299,62
840,3045,64
3914,1645,64
2728,2069,64
3246,4370,45
3337,1163,48
2425,75,64
4550,3305,56
225,2181,45
1034,3595,58
2374,790,52
2640,4139,20
2160,2694,57
190,3090,64
676,116,64
2346,1877,64
4192,3467,64
2631,4877,54
2640,2587,64
1756,2358,49
431,3969,19
1695,4734,44
1004,400,30
2438,3893,64
2399,3966,64
2763,264,63
3670,2686,43
2881,153,56
3864,1184,63
4277,3295,64
1563,2666,43
841,4100,64
3583,1268,37
3258,814,57
3636,2694,57
1880,2754,44
4414,3390,64
2203,1555,39
3490,2118,39
4067,2764,41
828,4259,8
2827,236,32
3655,2741,59
1174,1061,46
299,4096,45
277,3863,61
1750,1728,64
4126,988,36
3838,4729,59
2621,2153,63
1049,4232,12
3898,521,22
1418,4920,64
2246,2795,50
4921,1232,27
1970,981,31
656,568,64
1758,3563,57
4123,133,62
1962,4785,64
3073,2300,61
1940,350,4
2872,4352,29
97,4999,58
4671,3285,64
4230,2495,64
1565,973,51
3283,2716,45
4950,4806,52
653,3378,34
4513,2018,48
2610,2650,61
2889,2086,32
3774,2722,64
877,1575,51
2759,2344,49
1076,4694,64
3720,724,64
590,1417,64
51,198,57
3801,2514,42
4037,526,64
1401,3236,36
477,4146,31
4887,4284,55
4417,454,61
2556,4251,38
637,4561,64
2729,540,56
2262,1378,35
2153,4481,0
3283,2783,34
2115,2530,24
4296,2142,64
790,3235,40
3873,3465,64
1125,3908,41
4780,3053,56
3237,3258,64
4642,4126,38
3087,3291,64
462,448,64
2385,676,64
19,4037,22
1181,3226,51
978,1625,64
2099,2330,60
4337,1040,64
868,2798,60
9,4365,40
1715,4815,64
1826,3761,40
4780,1938,44
2407,2725,44
1909,3248,31
2505,3374,0
1415,2028,47
261,248,64
1342,4844,64
1171,1049,23
3624,2541,64
3783,1325,64
1383,2741,15
2190,2409,61
3516,3231,64
1145,1900,44
2405,798,45
4707,3870,62
3698,1850,64
478,4610,17
2790,911,64
3369,233,64
3642,974,50
2402,2672,58
4058,2062,52
1071,2394,64
3431,4434,48
1891,4765,64
2041,4142,29
4496,497,58
3999,3040,33
3127,3466,63
696,2527,64
1342,445,60
4918,2657,34
3465,4370,64
1344,1464,52
1421,1919,64
3056,1997,62
3771,3866,64
3912,2167,51
3718,3070,54
886,1237,63
915,1877,57
2493,989,64
1285,4474,38
4937,3577,48
4614,37,60
4576,734,63
1583,3553,64
4559,4026,63
2240,867,64
4012,2576,22
2349,3269,64
4713,3308,4
4888,1941,64
1073,4941,42
4597,490,64
1888,3524,64
2410,4470,64
3265,3097,64
2260,2770,38
2664,3775,55
2603,2411,54
2477,3010,41
3791,2681,52
2635,1845,42
4551,1216,19
1977,899,47
4129,130,53
4522,4776,38
1881,2580,64
2194,23,17
1191,2977,64
2479,899,36
163,1435,56
276,2955,49
1718,3345,64
4628,1568,53
4343,4088,60
1205,4435,42
1490,3066,34
511,1045,59
3089,3336,36
433,2329,43
597,2486,63
546,3282,64
4419,1810,64
4690,1166,12
3679,836,64
4108,1756,64
3349,1012,63
1744,1111,50
3000,1631,35
4512,2221,45
3236,198,21
1385,1733,64
1022,1849,38
3906,1075,58
1999,693,64
4828,3482,31
1250,114,54
1575,1527,50
370,3928,64
2038,3908,56
1530,1834,54
2756,4646,56
4667,2537,26
3187,2537,58
2961,616,51
1513,2618,31
1875,2062,29
1617,2875,24
3961,4507,42
877,392,33
490,3628,30
4137,4091,62
2977,736,48
1952,3180,58
45,329,64
