id,n_blocks_before,n_blocks_after,dist1,dist2
136,64,64,0,0
137,18,24,11,0
138,64,64,0,0
139,64,64,0,25
140,0,0,0,13
141,64,64,0,0
142,64,64,0,5
143,1,1,0,1
144,64,64,0,0
145,64,64,0,0
146,64,64,0,0
147,49,47,21,41
148,64,64,0,0
149,38,38,0,0
150,5,5,0,0
151,64,64,0,0
152,64,64,16,10
153,55,60,37,12
154,64,64,12,20
155,64,64,0,0
156,12,12,0,0
157,64,64,0,0
158,64,64,0,0
159,64,64,0,0
160,64,64,0,6
161,64,64,0,0
162,64,64,0,0
163,64,64,0,0
164,63,63,0,0
165,27,27,0,0
166,56,50,6,0
167,16,16,0,0
168,50,50,0,12
169,34,34,0,34
170,36,36,0,0
171,64,64,0,0
172,64,64,0,0
173,19,19,0,0
174,64,64,0,0
175,46,46,0,0
176,64,64,0,0
177,64,64,0,0
178,64,64,0,0
179,64,64,0,0
180,64,64,0,0
181,62,62,0,2
182,64,64,0,0
183,43,43,0,0
184,29,29,0,0
185,64,64,1,0
186,63,63,0,0
187,18,18,0,0
188,64,64,0,0
189,61,61,0,0
190,64,64,0,0
191,60,60,0,0
192,58,58,0,0
193,0,0,0,0
194,64,64,0,0
195,60,60,0,0
196,0,0,0,0
197,63,64,12,30
198,64,64,0,36
199,64,64,0,0
200,45,45,0,0
201,40,40,0,0
202,64,64,0,0
203,64,64,0,52
204,55,55,0,18
205,64,64,0,1
206,64,64,0,0
207,38,38,0,0
208,64,64,0,50
209,64,64,0,4
210,49,49,0,7
211,49,49,0,11
212,0,0,0,0
213,63,63,0,0
214,64,64,16,16
215,45,51,15,0
216,64,64,0,5
217,33,33,0,0
218,0,14,14,0
219,64,64,0,0
220,64,64,0,0
221,64,64,0,0
222,64,64,0,0
223,64,64,0,0
224,47,47,0,0
225,64,64,0,0
226,64,64,0,0
227,63,63,0,0
228,64,64,0,0
229,58,58,0,2
230,7,6,1,0
231,55,64,10,7
232,49,55,11,0
233,64,64,0,33
234,64,58,33,23
235,64,64,0,0
236,64,64,0,0
237,64,64,0,0
238,52,60,16,0
239,62,62,0,0
240,64,64,0,0
241,64,64,0,0
242,31,31,0,0
243,64,64,0,0
244,64,64,0,4
245,64,64,0,0
246,37,37,0,0
247,64,64,0,0
248,56,56,0,7
249,49,49,0,18
250,64,64,0,0
251,50,50,0,0
252,64,64,0,0
253,64,64,0,0
254,64,64,29,0
255,64,64,0,0
256,61,61,0,0
257,0,0,0,0
258,50,50,0,0
259,42,42,0,0
260,64,64,0,0
261,64,64,0,0
262,53,53,0,18
263,43,43,0,0
264,64,64,2,0
265,46,46,0,0
266,64,64,0,27
267,32,32,0,9
268,58,58,0,10
269,64,64,0,0
270,16,16,0,0
271,64,64,3,0
272,64,64,16,17
273,57,57,0,0
274,64,64,0,0
275,64,64,0,0
276,22,22,0,0
277,64,64,0,0
278,64,64,22,0
279,64,64,0,0
280,64,64,0,0
281,49,49,0,50
282,0,0,0,0
283,58,58,0,9
284,58,64,30,0
285,35,35,0,26
286,13,13,0,0
287,64,64,0,0
288,64,64,5,0
289,64,64,0,0
290,6,6,0,14
291,64,64,0,0
292,64,64,0,0
293,64,64,0,0
294,64,64,0,3
295,64,64,8,0
296,64,64,0,0
297,64,64,0,0
298,58,58,0,0
299,0,0,0,0
300,13,13,0,0
301,64,64,0,0
302,62,62,0,0
303,31,31,0,0
304,27,27,0,19
305,64,64,0,0
306,59,59,0,0
307,64,64,0,0
308,64,64,0,0
309,0,0,0,0
310,44,44,0,0
311,23,23,0,0
312,53,53,0,12
313,64,61,4,0
314,43,43,0,0
315,64,64,0,0
316,64,64,0,39
317,64,64,0,21
318,48,48,0,42
319,63,64,3,30
320,64,64,13,0
321,41,41,0,0
322,64,64,0,0
323,51,52,1,0
324,0,0,0,0
325,63,63,0,0
326,41,8,33,0
327,49,53,10,28
328,6,6,0,0
329,64,64,0,3
330,64,64,0,19
331,64,64,0,0
332,64,64,0,0
333,64,64,0,10
334,2,2,0,5
335,64,64,0,0
336,59,59,0,24
337,64,64,0,0
338,64,64,26,0
339,63,63,0,0
340,64,64,0,0
341,36,42,17,0
342,64,64,0,0
343,0,0,0,0
344,64,64,0,12
345,64,64,0,0
346,41,41,0,18
347,64,64,6,0
348,63,63,0,0
349,64,64,0,9
350,60,60,0,0
351,64,64,0,0
352,47,47,0,0
353,63,63,0,31
354,34,34,0,8
355,34,34,0,0
356,62,62,0,0
357,45,45,0,2
358,53,53,0,0
359,0,5,5,0
360,64,64,9,30
361,64,64,0,0
362,64,64,0,0
363,64,64,0,15
364,64,64,0,0
365,64,64,0,3
366,64,64,0,0
367,64,64,0,0
368,64,64,0,0
369,55,55,0,0
370,64,64,0,28
371,37,37,0,0
372,3,3,0,0
373,64,64,0,0
374,64,64,0,0
375,0,0,0,0
376,10,10,0,10
377,64,64,0,0
378,64,64,0,0
379,49,49,0,14
380,64,64,5,0
381,24,24,0,0
382,64,64,0,0
383,64,64,0,0
384,28,28,0,0
385,64,64,0,0
386,64,64,0,12
387,64,64,0,0
388,64,64,0,0
389,16,16,0,0
390,64,64,0,30
391,22,22,0,0
392,64,64,7,0
393,36,36,0,31
394,64,64,0,0
395,39,39,0,0
396,64,64,0,28
397,57,34,24,0
398,64,64,0,0
399,64,64,6,0
400,64,64,46,0
401,0,0,0,0
402,64,64,0,0
403,61,61,0,0
404,64,62,10,0
405,64,64,22,5
406,64,64,0,0
407,64,64,0,0
408,64,64,0,0
409,46,64,48,8
410,64,64,1,24
411,56,45,27,0
412,64,64,32,7
413,64,64,46,0
414,64,64,4,0
415,21,21,0,0
416,64,64,0,12
417,42,42,0,16
418,64,64,0,42
419,11,11,0,0
420,64,64,0,0
421,64,64,0,0
422,64,64,4,64
423,64,64,0,0
424,7,0,7,0
425,64,64,17,0
426,47,47,0,0
427,24,22,3,0
428,31,36,6,5
429,64,64,0,5
430,51,51,0,0
431,0,0,0,7
432,44,44,0,0
433,64,64,0,10
434,64,64,0,0
435,50,50,0,6
436,3,3,0,1
437,27,32,5,0
438,64,64,0,0
439,59,64,5,0
440,39,39,0,10
441,64,64,0,19
442,56,56,0,0
443,64,64,0,0
444,0,0,0,0
445,45,45,0,0
446,64,64,0,0
447,64,32,38,10
448,64,64,0,0
449,62,62,0,0
450,64,64,3,0
451,64,64,0,14
452,41,41,0,0
453,56,56,0,0
454,11,11,0,0
455,64,64,0,19
456,63,63,0,4
457,14,14,0,2
458,12,12,0,12
459,64,64,0,31
460,10,10,0,0
461,64,64,10,0
462,64,64,0,0
463,64,64,13,3
464,12,12,0,6
465,64,64,0,0
466,64,64,0,0
467,34,34,0,0
468,64,64,0,0
469,7,7,0,0
470,62,62,0,26
471,44,56,13,25
472,25,4,21,26
473,44,44,0,25
474,62,62,0,0
475,36,0,36,0
476,64,64,0,0
477,64,64,0,0
478,64,64,0,0
479,60,60,0,13
480,64,64,2,0
481,0,0,0,0
482,15,15,0,0
483,64,64,0,0
484,64,64,13,0
485,45,45,0,12
486,64,64,0,0
487,44,44,0,0
488,42,32,10,0
489,64,64,0,0
490,64,64,0,10
491,64,22,64,0
492,10,10,0,0
493,54,54,0,0
494,64,64,0,0
495,50,64,29,0
496,42,42,0,1
497,16,16,16,0
498,50,50,0,7
499,56,56,0,0
500,0,0,0,0
501,60,60,0,29
502,64,64,0,0
503,0,0,0,0
504,17,17,0,0
505,64,64,0,0
506,55,55,0,0
507,64,64,0,0
508,64,64,0,0
509,30,30,0,0
510,26,26,0,11
511,39,39,0,0
512,64,64,0,0
513,64,64,0,3
514,0,0,0,0
515,4,4,0,1
516,64,64,0,1
517,64,64,0,1
518,52,52,0,0
519,64,64,0,0
520,60,60,0,15
521,34,34,0,14
522,64,64,0,0
523,64,64,0,0
524,64,64,0,10
525,64,64,0,0
526,64,64,3,27
527,64,64,0,3
528,31,31,0,0
529,29,29,0,29
530,64,64,0,0
531,64,64,0,0
532,64,64,0,0
533,64,64,29,0
534,64,64,0,0
535,14,14,0,14
536,64,64,0,0
537,25,9,21,7
538,64,64,0,3
539,64,64,0,0
540,64,64,0,0
541,21,21,0,0
542,64,64,0,12
543,64,64,0,0
544,64,64,0,0
545,0,0,0,0
546,64,64,0,0
547,64,64,0,12
548,64,64,0,27
549,64,64,0,6
550,41,41,0,0
551,64,64,0,0
552,64,64,0,0
553,64,64,0,30
554,61,61,0,0
555,49,55,26,2
556,31,31,0,11
557,64,64,0,0
558,64,64,0,0
559,36,36,0,0
560,64,64,0,0
561,64,64,0,0
562,64,64,0,0
563,64,64,0,0
564,64,64,0,0
565,42,42,0,0
566,63,63,0,27
567,43,43,0,0
568,64,64,8,6
569,1,1,0,0
570,0,0,0,0
571,64,64,0,0
572,64,64,0,0
573,64,64,16,23
574,64,64,0,0
575,64,64,28,0
576,64,64,0,4
577,8,8,0,0
578,64,64,0,0
579,38,38,0,0
580,64,64,0,18
581,64,64,0,0
582,22,22,0,0
583,64,64,0,0
584,64,64,0,0
585,64,64,0,0
586,63,63,0,0
587,64,64,0,0
588,64,64,0,0
589,64,64,0,0
590,64,64,0,0
591,39,39,0,26
592,64,64,0,4
593,64,64,0,0
594,64,64,0,0
595,64,64,0,0
596,64,64,0,16
597,64,64,0,0
598,64,64,0,0
599,62,62,0,3
600,64,64,20,0
601,64,64,36,0
602,44,44,0,0
603,64,64,0,0
604,64,64,0,0
605,64,64,0,0
606,64,64,0,8
607,37,37,1,0
608,64,64,0,0
609,64,64,0,0
610,19,19,0,0
611,15,15,0,0
612,64,64,0,3
613,64,64,0,0
614,64,64,0,0
615,64,64,0,0
616,8,8,0,0
617,64,64,0,0
618,64,64,0,0
619,59,59,0,0
620,44,44,0,0
621,64,64,21,3
622,64,64,0,0
623,64,64,0,17
624,64,64,0,0
625,64,64,10,0
626,18,9,9,9
627,64,64,0,0
628,48,48,0,3
629,34,34,0,0
630,45,45,0,0
631,64,64,3,24
632,53,53,0,10
633,64,64,0,0
634,64,64,0,0
635,53,53,0,34
636,64,64,0,0
637,41,41,0,0
638,64,64,0,47
639,64,64,0,0
640,64,64,0,0
641,30,30,0,0
642,64,64,0,0
643,64,64,26,0
644,0,0,0,0
645,64,64,0,0
646,64,64,0,0
647,55,55,0,0
648,64,64,0,0
649,15,15,0,0
650,24,24,0,0
651,64,64,0,0
652,64,64,22,22
653,64,64,8,0
654,19,19,0,0
655,58,58,0,0
656,22,60,38,0
657,64,64,0,0
658,14,14,0,8
659,59,59,0,0
660,64,64,0,7
661,16,16,0,0
662,64,64,0,3
663,60,60,0,0
664,64,64,0,0
665,54,54,0,0
666,28,28,0,0
667,57,57,0,0
668,64,64,0,0
669,64,64,0,0
670,64,64,0,0
671,15,15,0,9
672,51,51,0,0
673,64,64,0,0
674,9,9,0,0
675,27,27,0,0
676,64,64,0,30
677,56,56,0,24
678,64,64,0,13
679,64,64,23,9
680,37,37,0,0
681,64,64,0,0
682,64,64,0,0
683,62,62,0,33
684,64,64,0,0
685,35,35,0,22
686,30,30,0,21
687,10,10,0,0
688,64,64,0,38
689,64,64,0,0
690,64,64,0,0
691,27,27,0,0
692,30,30,0,14
693,35,35,0,0
694,64,64,0,0
695,64,64,0,0
696,30,45,15,8
697,64,64,0,0
698,61,61,0,0
699,1,1,0,0
700,64,64,0,0
701,64,64,0,0
702,64,64,0,3
703,64,64,0,0
704,0,0,0,0
705,57,57,0,0
706,64,64,0,0
707,64,64,0,0
708,64,64,0,3
709,18,18,0,0
710,64,64,0,0
711,0,0,0,0
712,64,64,0,5
713,64,64,0,0
714,33,33,0,0
715,64,64,0,0
716,64,64,0,0
717,33,33,0,0
718,14,14,0,40
719,35,35,0,5
720,35,41,6,0
721,51,51,16,7
722,64,64,0,14
723,63,63,0,11
724,64,64,0,0
725,64,64,0,0
726,64,64,19,0
727,64,64,12,9
728,44,44,0,14
729,39,39,0,0
730,44,43,4,0
731,48,48,0,0
732,64,64,0,19
733,10,10,0,10
734,25,25,0,0
735,64,64,0,17
736,62,62,0,0
737,64,64,0,0
738,64,64,0,4
739,37,37,0,2
740,64,64,0,23
741,64,64,0,0
742,64,64,0,0
743,58,58,0,0
744,0,0,0,0
745,64,64,0,0
746,64,64,0,0
747,64,64,0,0
748,0,0,0,0
749,64,56,10,0
750,56,56,0,0
751,44,44,0,0
752,54,54,0,16
753,47,47,0,0
754,64,64,0,0
755,36,36,0,12
756,3,3,0,0
757,32,20,14,26
758,64,64,0,0
759,64,64,31,0
760,64,64,0,0
761,57,48,9,0
762,64,64,0,19
763,59,59,0,13
764,64,64,0,0
765,58,58,0,0
766,8,0,8,0
767,64,64,0,7
768,59,59,0,0
769,64,64,0,0
770,64,64,10,1
771,44,44,0,7
772,64,58,12,35
773,53,53,0,9
774,64,64,0,0
775,64,64,0,0
776,64,64,12,0
777,60,60,0,0
778,53,53,0,30
779,63,63,0,0
780,12,24,17,0
781,0,0,0,0
782,60,28,34,54
783,64,64,0,0
784,45,45,0,4
785,64,64,0,0
786,64,64,0,10
787,64,64,0,0
788,48,48,0,13
789,63,60,9,0
790,64,64,0,0
791,61,61,0,0
792,64,64,0,14
793,53,53,0,0
794,42,33,22,0
795,58,58,0,0
796,64,64,0,0
797,26,26,0,0
798,64,64,0,0
799,64,64,0,0
800,64,64,0,0
801,64,64,0,0
802,64,64,0,0
803,64,64,0,0
804,64,64,0,0
805,18,18,0,1
806,64,64,33,0
807,64,64,0,0
808,64,64,0,4
809,64,64,0,0
810,64,64,0,0
811,64,64,0,3
812,22,22,0,0
813,64,64,0,0
814,64,64,0,0
815,64,64,0,0
816,64,64,0,21
817,46,25,21,8
818,64,64,0,0
819,64,64,0,11
820,64,64,0,0
821,64,64,0,13
822,64,64,22,0
823,47,47,0,0
824,31,31,0,0
825,64,64,0,0
826,64,64,0,0
827,64,64,0,0
828,46,46,0,16
829,48,48,0,0
830,9,9,0,0
831,34,34,0,11
832,63,63,0,0
833,64,64,0,0
834,48,48,0,0
835,15,15,0,0
836,64,64,0,0
837,0,0,0,0
838,64,64,0,0
839,61,61,0,0
840,64,64,0,1
841,23,23,0,1
842,64,64,16,0
843,64,64,0,0
844,64,64,0,0
845,64,64,0,0
846,64,64,0,0
847,64,64,0,14
848,34,34,0,0
849,64,64,0,0
850,61,61,0,0
851,64,64,0,0
852,2,2,0,9
853,61,61,0,10
854,64,64,0,0
855,64,64,13,0
856,64,64,25,6
857,7,6,1,2
858,64,64,0,0
859,18,1,17,0
860,26,24,11,16
861,53,53,0,0
862,33,33,0,0
863,46,46,0,0
864,64,64,2,0
865,64,64,0,9
866,47,47,0,0
867,62,62,0,0
868,0,0,0,0
869,64,64,0,0
870,64,64,0,0
871,64,61,3,0
872,64,64,0,22
873,64,64,4,0
874,64,64,0,0
875,64,57,8,0
876,64,64,0,18
877,64,64,0,0
878,64,64,0,0
879,9,0,9,35
880,64,64,0,0
881,64,64,7,0
882,64,64,0,0
883,49,49,0,0
884,47,47,0,0
885,64,64,0,15
886,63,63,0,0
887,59,59,0,0
888,58,58,0,0
889,52,51,1,12
890,64,64,0,0
891,31,31,0,0
892,42,42,0,0
893,64,64,0,0
894,64,64,0,0
895,14,14,0,0
896,64,64,0,0
897,58,64,20,0
898,64,64,0,0
899,64,64,0,37
900,57,57,0,0
901,0,1,1,4
902,7,7,0,8
903,58,58,0,0
904,48,48,0,6
905,64,64,0,0
906,2,2,0,19
907,54,64,10,7
908,64,64,0,0
909,38,38,0,11
910,64,64,0,0
911,55,55,0,3
912,64,64,0,0
913,64,64,0,0
914,60,60,0,0
915,64,64,14,0
916,0,0,0,0
917,33,32,4,0
918,41,41,0,7
919,64,64,38,0
920,0,0,0,0
921,18,18,0,24
922,64,64,0,0
923,64,64,0,0
924,64,64,0,0
925,36,36,0,21
926,64,64,0,0
927,0,0,0,0
928,34,34,0,0
929,64,64,0,8
930,64,64,0,0
931,21,21,0,12
932,64,64,34,0
933,64,64,0,0
934,64,58,14,0
935,42,49,34,0
936,64,64,0,0
937,18,18,0,21
938,64,64,0,1
939,64,64,0,0
940,64,64,0,0
941,64,64,0,0
942,64,64,0,50
943,64,64,0,0
944,7,7,0,0
945,64,64,0,0
946,54,54,0,0
947,64,64,6,36
948,38,38,0,0
949,23,23,0,3
950,64,64,0,0
951,64,64,0,0
952,64,64,0,24
953,64,64,9,13
954,64,64,21,0
955,64,64,0,0
956,64,64,0,0
957,64,64,0,0
958,64,64,24,0
959,64,64,0,0
960,64,64,0,0
961,64,64,0,0
962,64,64,2,0
963,8,33,25,0
964,12,12,0,0
965,10,10,0,0
966,44,44,0,8
967,45,45,0,0
968,53,53,0,0
969,40,23,40,0
970,61,61,0,5
971,18,18,0,18
972,53,53,0,16
973,64,64,0,0
974,25,25,0,8
975,64,64,0,0
976,64,64,0,0
977,46,46,0,0
978,64,64,4,11
979,8,8,0,0
980,64,64,15,0
981,64,64,0,0
982,64,64,0,3
983,58,58,0,0
984,64,64,64,0
985,64,64,0,0
986,63,63,0,0
987,64,64,0,0
988,24,41,17,12
989,64,64,0,0
990,49,49,0,0
991,64,64,0,0
992,49,62,26,30
993,64,64,0,0
994,57,57,0,0
995,13,13,0,0
996,64,64,0,0
997,42,42,0,42
998,31,31,0,47
999,26,26,0,0
1000,64,64,0,0
1001,49,49,0,0
1002,64,64,0,26
1003,64,64,0,0
1004,64,64,0,0
1005,64,58,11,0
1006,64,64,0,0
1007,64,64,0,0
1008,64,64,0,0
1009,64,64,0,0
1010,29,29,0,6
1011,64,64,0,0
1012,64,64,0,0
1013,15,37,24,0
1014,63,63,0,0
1015,64,64,0,0
1016,64,64,0,0
1017,35,58,30,28
1018,64,64,0,23
1019,64,64,0,35
1020,64,64,0,0
1021,64,64,0,16
1022,64,64,13,6
1023,64,64,4,0
1024,57,57,0,0
1025,61,61,0,0
1026,64,64,0,0
1027,64,64,0,0
1028,16,16,0,18
1029,64,64,0,0
1030,64,64,0,0
1031,59,59,0,0
1032,59,59,0,14
1033,46,46,0,0
1034,64,64,0,0
1035,64,64,0,12
1036,64,64,3,0
1037,64,64,0,30
1038,41,41,0,0
1039,64,64,0,0
1040,50,50,0,0
1041,64,64,0,0
1042,36,36,0,0
1043,62,62,0,33
1044,57,57,0,0
1045,35,35,0,29
1046,56,56,0,0
1047,16,16,0,2
1048,64,64,0,0
1049,64,64,0,0
1050,64,64,0,0
1051,11,36,30,0
1052,63,64,5,2
1053,64,64,0,0
1054,28,28,0,0
1055,64,64,0,21
1056,64,64,0,0
1057,43,43,0,0
1058,40,37,6,0
1059,34,23,20,0
1060,34,34,0,21
1061,64,64,1,0
1062,60,60,0,0
1063,64,64,0,32
1064,63,63,0,0
1065,64,64,0,48
1066,64,64,0,0
1067,64,64,0,0
1068,42,42,0,0
1069,64,64,0,0
1070,49,49,0,10
1071,64,64,0,0
1072,32,32,0,27
1073,64,64,0,0
1074,16,16,0,0
1075,24,24,0,0
1076,57,57,0,0
1077,34,34,0,4
1078,43,37,12,0
1079,64,64,0,0
1080,64,64,0,0
1081,64,64,0,0
1082,64,64,0,0
1083,60,60,0,36
1084,64,64,0,0
1085,58,58,0,0
1086,0,0,0,4
1087,64,64,0,13
1088,17,17,0,35
1089,62,47,16,8
1090,40,40,0,0
1091,64,64,0,12
1092,54,54,0,35
1093,7,7,0,0
1094,64,64,0,0
1095,58,55,8,13
1096,34,6,28,0
1097,64,64,0,0
1098,64,64,0,0
1099,64,64,0,0
1100,48,64,45,0
1101,64,64,0,0
1102,39,39,0,0
1103,64,64,0,13
1104,64,64,0,0
1105,64,64,0,0
1106,64,64,0,0
1107,64,64,0,0
1108,64,64,0,12
1109,64,64,10,0
1110,64,64,0,0
1111,64,64,0,0
1112,48,48,0,0
1113,64,64,0,0
1114,63,63,0,0
1115,22,22,0,32
1116,64,64,0,0
1117,64,64,0,0
1118,63,64,22,0
1119,64,64,0,0
1120,39,39,0,12
1121,56,56,0,0
1122,64,64,0,16
1123,64,64,2,0
1124,64,64,0,0
1125,64,64,0,0
1126,64,64,0,0
1127,64,64,0,0
1128,30,62,32,0
1129,64,64,3,0
1130,32,32,0,52
1131,64,64,0,0
1132,28,28,0,13
1133,50,50,0,19
1134,64,64,0,0
1135,42,42,0,0
1136,64,64,0,7
1137,64,64,0,11
1138,64,64,0,0
1139,64,64,0,0
1140,64,64,0,0
1141,64,64,0,0
1142,64,64,0,0
1143,41,41,0,0
1144,54,63,11,27
1145,30,0,30,0
1146,43,43,0,0
1147,24,51,46,36
1148,64,64,0,0
1149,64,64,0,10
1150,60,60,0,0
1151,54,54,0,0
1152,56,56,0,24
1153,64,64,0,0
1154,64,64,0,6
1155,64,64,0,0
1156,52,52,0,0
1157,64,64,0,0
1158,64,64,0,5
1159,42,42,0,0
1160,24,24,0,0
1161,56,64,25,0
1162,54,54,0,40
1163,59,59,0,0
1164,64,64,0,21
1165,64,64,2,4
1166,64,64,0,0
1167,64,64,0,20
1168,64,61,3,0
1169,40,40,0,0
1170,64,64,1,1
1171,64,64,0,0
1172,51,51,0,5
1173,57,59,7,0
1174,14,14,0,0
1175,64,64,0,0
1176,64,64,0,0
1177,64,64,0,0
1178,64,64,0,0
1179,29,37,9,5
1180,64,64,0,0
1181,64,64,0,0
1182,62,62,0,0
1183,64,64,0,13
1184,64,64,3,6
1185,57,57,0,0
1186,57,53,13,0
1187,55,64,11,11
1188,64,64,0,0
1189,64,64,0,0
1190,52,52,0,0
1191,44,44,0,0
1192,11,11,0,0
1193,64,64,0,0
1194,64,64,0,0
1195,62,62,0,10
1196,64,64,0,1
1197,64,64,19,0
1198,44,44,0,0
1199,64,58,8,0
1200,57,57,0,20
1201,47,47,0,0
1202,60,60,0,0
1203,0,0,0,2
1204,64,64,11,0
1205,57,57,0,17
1206,64,64,0,13
1207,60,60,0,0
1208,64,64,0,1
1209,64,64,0,0
1210,64,64,6,36
1211,55,55,0,0
1212,49,49,0,0
1213,64,64,0,0
1214,63,63,0,2
1215,3,18,15,0
1216,62,62,0,0
1217,5,5,0,0
1218,0,0,0,0
1219,64,64,1,0
1220,63,63,0,25
1221,59,61,5,19
1222,0,0,0,0
1223,64,64,0,0
1224,64,64,0,0
1225,64,64,0,0
1226,4,4,0,0
1227,57,57,0,0
1228,64,64,0,9
1229,64,64,0,0
1230,41,40,2,0
1231,64,64,0,0
1232,64,64,10,0
1233,64,64,4,0
1234,47,47,0,4
1235,33,33,0,0
1236,64,64,4,15
1237,64,64,0,0
1238,40,40,0,20
1239,39,33,45,35
1240,20,20,0,0
1241,63,63,0,5
1242,64,64,0,0
1243,64,64,0,8
1244,32,32,0,0
1245,64,64,0,0
1246,46,46,0,22
1247,0,1,1,0
1248,57,57,0,5
1249,0,58,58,0
1250,64,64,0,0
1251,45,39,7,0
1252,64,64,0,0
1253,64,64,0,39
1254,64,64,0,0
1255,64,64,0,9
1256,46,46,0,3
1257,19,30,17,0
1258,64,64,0,8
1259,64,64,0,1
1260,58,58,0,4
1261,9,9,0,0
1262,64,64,0,49
1263,41,41,0,0
1264,64,64,0,0
1265,64,64,0,0
1266,64,64,0,0
1267,60,60,0,8
1268,30,30,3,0
1269,64,64,0,0
1270,29,29,0,0
1271,1,1,0,0
1272,64,64,0,0
1273,56,56,0,42
1274,64,64,0,0
1275,64,64,0,0
1276,24,24,0,19
1277,64,64,0,0
1278,64,64,0,0
1279,0,0,0,0
1280,63,53,14,45
1281,63,63,0,0
1282,64,64,0,0
1283,20,28,10,8
1284,64,64,0,0
1285,29,29,0,0
1286,64,64,0,0
1287,64,64,0,0
1288,64,64,0,9
1289,64,64,0,0
1290,50,50,0,0
1291,64,64,0,0
1292,64,64,2,0
1293,55,55,0,0
1294,63,63,0,0
1295,38,44,13,0
1296,64,64,0,0
1297,49,49,0,1
1298,64,64,0,0
1299,13,13,0,13
1300,64,64,0,0
1301,64,64,0,0
1302,64,64,0,0
1303,33,33,0,0
1304,64,64,0,0
1305,64,64,8,0
1306,64,64,0,0
1307,48,44,15,0
1308,0,0,0,0
1309,64,64,0,4
1310,64,64,0,0
1311,31,31,0,0
1312,64,64,0,0
1313,64,64,1,9
1314,64,64,33,30
1315,64,64,0,0
1316,34,34,0,0
1317,49,49,0,0
1318,64,64,0,0
1319,31,32,1,0
1320,11,11,0,0
1321,59,59,0,0
1322,64,64,0,0
1323,63,63,0,1
1324,64,64,0,0
1325,64,64,0,0
1326,12,12,0,0
1327,10,10,0,10
1328,64,64,0,1
1329,64,64,0,0
1330,58,58,0,0
1331,64,64,0,0
1332,64,64,0,24
1333,23,23,0,0
1334,64,64,0,0
1335,64,64,0,0
1336,49,49,0,42
1337,64,64,0,0
1338,0,0,0,0
1339,64,64,0,16
1340,64,64,0,23
1341,46,46,0,0
1342,64,64,0,0
1343,64,64,0,0
1344,64,64,7,18
1345,64,64,0,0
1346,57,57,0,0
1347,64,64,0,15
1348,64,64,0,3
1349,64,64,4,0
1350,64,64,0,0
1351,23,51,31,0
1352,64,64,0,0
1353,64,64,0,0
1354,0,0,0,0
1355,64,64,0,0
1356,58,58,0,0
1357,13,14,13,0
