id,n_genes,gene_edges,morph_edges,n_blocks,hard,muscle,sensor,digestive,largest,connected,dev_ns
107,1,0,3,0,0,0,0,0,0,0,62667
108,6,2,5,20,16,0,0,4,20,1,145792
109,10,4,15,48,0,22,23,3,48,1,283625
110,8,2,15,47,5,0,14,28,47,1,204000
111,12,7,16,64,0,56,0,8,64,1,369958
112,6,2,8,64,0,64,0,0,64,1,148042
113,9,0,12,64,0,6,0,58,64,1,234625
114,7,2,14,32,13,19,0,0,32,1,177792
115,9,5,20,64,14,3,39,8,64,1,234000
116,13,11,25,1,0,1,0,0,1,1,410541
117,5,1,7,64,0,0,52,12,64,1,101000
118,13,5,18,29,0,0,29,0,29,1,407000
119,5,2,8,51,0,0,51,0,51,1,133334
120,6,0,4,64,64,0,0,0,64,1,142625
121,10,7,14,56,16,0,0,40,56,1,292250
122,8,10,8,64,49,0,15,0,64,1,199208
123,14,12,23,0,0,0,0,0,0,0,454792
124,4,1,9,64,28,0,0,36,64,1,85000
125,6,1,13,51,0,0,51,0,51,1,141792
126,8,3,12,3,0,0,0,3,3,1,198542
127,12,9,19,64,0,0,64,0,64,1,360666
128,15,18,30,64,0,0,64,0,64,1,520208
129,9,3,10,64,64,0,0,0,64,1,240625
130,5,1,11,53,0,0,51,2,53,1,100667
131,9,3,12,39,37,0,0,2,39,1,231833
132,10,7,12,18,0,2,0,16,16,0,269042
133,6,1,9,64,12,50,2,0,64,1,141625
134,2,0,1,40,0,0,40,0,40,1,64000
135,9,7,16,47,26,0,21,0,47,1,230041
136,4,0,6,0,0,0,0,0,0,0,81458
137,4,1,3,0,0,0,0,0,0,0,81167
138,8,5,16,45,0,3,36,6,42,0,198834
139,8,4,8,64,0,18,46,0,64,1,199458
140,6,2,8,64,3,25,36,0,64,1,141458
141,8,2,15,41,0,0,41,0,41,1,198583
142,6,1,9,64,17,24,0,23,64,1,141458
143,10,7,12,64,8,14,0,42,64,1,267875
144,7,4,15,63,27,0,2,34,63,1,176750
145,8,3,18,64,0,0,47,17,64,1,198500
146,3,2,4,64,0,0,64,0,64,1,68750
147,9,2,14,57,0,0,49,8,57,1,232583
148,2,1,5,64,0,0,64,0,64,1,63916
149,6,1,7,64,39,5,9,11,64,1,142917
150,10,4,16,30,0,2,28,0,27,0,272083
151,8,3,8,64,10,0,2,52,64,1,198416
152,4,0,3,64,2,62,0,0,64,1,80875
153,5,1,15,53,11,0,39,3,53,1,100167
154,9,6,14,3,0,0,3,0,3,1,229375
155,8,2,17,64,0,14,50,0,64,1,216375
156,9,4,14,50,12,1,37,0,50,1,230458
157,6,3,9,64,0,53,0,11,64,1,145750
158,11,4,11,64,64,0,0,0,64,1,319459
159,6,3,12,22,0,22,0,0,22,1,150083
160,9,6,12,32,0,0,32,0,32,1,232541
161,6,2,9,60,0,55,5,0,60,1,141458
162,8,1,12,64,1,0,58,5,64,1,204375
163,7,3,9,64,35,3,8,18,64,1,172208
164,10,2,19,57,0,0,57,0,57,1,275917
165,13,5,17,6,0,0,0,6,3,0,408333
166,3,0,4,64,0,0,0,64,64,1,67250
167,9,4,16,64,0,0,0,64,64,1,229250
168,3,0,6,64,0,48,16,0,64,1,66916
169,7,3,16,32,31,1,0,0,32,1,173000
170,10,3,18,30,0,12,18,0,30,1,267667
171,6,1,4,64,0,0,64,0,64,1,141834
172,3,0,4,14,0,0,0,14,14,1,66750
173,8,6,14,64,26,38,0,0,64,1,198416
174,9,4,12,37,0,0,32,5,37,1,229000
175,3,0,9,64,35,0,0,29,64,1,66750
176,6,2,9,64,0,20,20,24,64,1,141542
177,3,0,4,22,20,0,0,2,22,1,66750
178,12,5,14,64,0,40,24,0,64,1,356875
179,8,4,13,64,19,33,12,0,64,1,198333
180,8,2,11,38,0,0,0,38,38,1,198667
181,6,1,10,24,0,24,0,0,24,1,149875
182,11,8,19,64,63,1,0,0,64,1,318958
183,15,13,28,64,0,0,12,52,64,1,532584
184,6,2,6,63,26,37,0,0,63,1,142042
185,9,3,21,27,0,27,0,0,27,1,229666
186,2,0,3,64,48,0,0,16,64,1,75667
187,3,0,2,64,0,0,0,64,64,1,66875
188,10,2,14,56,0,27,7,22,50,0,273958
189,6,4,10,0,0,0,0,0,0,0,153083
190,9,8,18,38,0,0,22,16,38,1,244875
191,10,7,6,16,0,0,16,0,16,1,271333
192,11,4,11,27,0,25,2,0,27,1,329542
193,9,4,15,45,1,0,0,44,44,0,229000
194,6,2,10,64,0,6,58,0,64,1,145084
195,8,3,13,52,0,0,28,24,52,1,198541
196,8,2,16,57,8,16,33,0,57,1,205958
197,4,2,9,64,0,24,2,38,64,1,88250
198,12,8,24,20,10,0,10,0,20,1,365250
199,7,4,14,64,0,7,57,0,64,1,176917
200,6,2,7,64,16,0,48,0,64,1,141750
201,3,1,7,4,0,0,4,0,4,1,67125
202,4,2,4,54,0,0,54,0,54,1,81209
203,6,3,7,30,0,0,30,0,30,1,141875
204,6,1,6,64,0,0,10,54,64,1,141500
205,6,4,8,64,0,0,4,60,64,1,141458
206,10,1,15,57,0,11,46,0,57,1,268084
207,2,0,6,56,0,0,53,3,56,1,63875
208,5,1,9,48,0,20,28,0,48,1,100833
209,10,8,19,64,0,0,64,0,64,1,271375
210,6,2,10,40,0,0,0,40,40,1,141792
211,3,0,7,64,23,0,41,0,64,1,66958
212,8,2,13,0,0,0,0,0,0,0,201917
213,5,2,6,64,64,0,0,0,64,1,100208
214,6,1,11,64,0,2,23,39,64,1,141459
215,12,4,19,64,0,23,35,6,64,1,359916
216,5,2,4,14,10,0,4,0,14,1,100500
217,5,0,7,62,61,1,0,0,62,1,105166
218,8,5,9,54,0,0,54,0,54,1,198500
219,9,9,19,40,23,17,0,0,40,1,246875
220,7,5,11,40,4,0,27,9,40,1,172208
221,12,6,19,16,0,16,0,0,16,1,359791
222,3,2,3,64,64,0,0,0,64,1,66833
223,8,4,14,6,6,0,0,0,6,1,198375
224,12,10,17,62,0,59,0,3,62,1,361417
225,4,3,12,29,15,0,9,5,29,1,81208
226,9,2,13,1,0,1,0,0,1,1,239292
227,9,3,14,64,14,22,24,4,64,1,257708
228,10,4,13,64,43,0,0,21,64,1,267500
229,7,5,11,19,0,9,0,10,15,0,176375
230,3,0,4,64,0,0,0,64,64,1,66792
231,9,4,11,64,62,0,0,2,64,1,240916
232,7,3,13,64,0,0,27,37,64,1,173667
233,15,18,28,64,0,64,0,0,64,1,522958
234,7,0,7,46,0,0,0,46,46,1,173208
235,19,19,30,13,0,0,13,0,13,1,795875
236,8,3,19,28,1,0,27,0,28,1,206291
237,8,1,10,64,0,0,8,56,64,1,198584
238,12,6,24,64,55,5,0,4,64,1,374666
239,11,7,10,64,0,0,61,3,64,1,319583
240,10,1,15,64,0,0,0,64,64,1,267292
241,7,4,13,12,0,0,12,0,12,1,172667
242,11,3,17,62,0,0,62,0,62,1,318875
243,15,14,30,27,0,0,27,0,27,1,521333
244,9,3,20,43,6,37,0,0,43,1,229042
245,9,3,21,41,0,0,0,41,41,1,228959
246,11,4,18,64,0,0,64,0,64,1,318875
247,6,7,7,38,14,0,8,16,38,1,141958
248,13,13,23,48,48,0,0,0,48,1,407708
249,6,2,10,64,58,0,0,6,64,1,141542
250,8,5,14,25,0,0,0,25,25,1,198375
251,10,4,21,64,4,0,37,23,64,1,286083
252,9,2,11,64,61,3,0,0,64,1,229625
253,3,0,3,0,0,0,0,0,0,0,69583
254,6,1,9,64,0,0,64,0,64,1,142834
255,9,5,12,22,0,0,0,22,22,1,235709
256,8,2,8,64,2,0,62,0,64,1,205917
257,5,1,6,0,0,0,0,0,0,0,100917
258,6,2,9,27,0,19,8,0,23,0,142417
259,6,2,7,64,0,0,64,0,64,1,142417
260,8,7,11,64,58,0,0,6,64,1,198458
261,5,0,11,64,0,1,22,41,64,1,110708
262,12,11,17,4,0,4,0,0,3,0,362667
263,5,0,8,64,0,0,7,57,64,1,100208
264,8,3,17,52,1,0,48,3,52,1,198583
265,10,4,17,0,0,0,0,0,0,0,268458
266,9,8,20,27,0,0,25,2,27,1,230583
267,4,1,3,64,0,0,64,0,64,1,81292
268,3,1,4,64,0,34,30,0,64,1,66834
269,7,2,7,52,0,0,6,46,52,1,172916
270,9,4,17,43,26,0,17,0,43,1,229000
271,6,2,10,49,5,0,30,14,49,1,141542
272,8,6,8,64,2,0,0,62,64,1,198417
273,7,4,9,64,27,0,0,37,64,1,172667
274,10,6,16,42,0,15,3,24,42,1,291167
275,9,2,13,64,50,0,14,0,64,1,231875
276,7,6,14,64,1,40,0,23,64,1,172167
277,10,7,12,64,41,0,23,0,64,1,267333
278,6,3,4,0,0,0,0,0,0,0,141625
279,8,3,15,64,0,10,0,54,64,1,198333
280,7,2,7,18,0,0,0,18,18,1,172750
281,5,3,5,64,0,3,56,5,64,1,100208
282,8,3,15,50,1,15,0,34,50,1,198250
283,9,6,14,64,0,0,42,22,64,1,229084
284,9,3,12,48,0,0,48,0,48,1,229583
285,6,2,9,64,32,13,19,0,64,1,141583
286,6,0,8,0,0,0,0,0,0,0,142208
287,10,6,16,64,50,0,14,0,64,1,285417
288,10,5,15,64,0,0,64,0,64,1,282416
289,12,8,12,44,0,0,44,0,44,1,363625
290,8,5,7,64,0,0,6,58,64,1,198583
291,6,5,4,28,0,7,0,21,28,1,141625
292,7,6,13,59,21,26,12,0,59,1,172667
293,9,8,10,53,0,0,26,27,53,1,232792
294,3,1,4,64,4,0,60,0,64,1,71875
295,7,1,18,58,32,0,0,26,58,1,172959
296,4,0,5,64,0,0,64,0,64,1,84750
297,4,1,9,34,0,12,19,3,34,1,82208
298,6,0,6,48,0,6,28,14,48,1,141583
299,6,2,10,64,19,26,0,19,64,1,141958
300,10,2,12,57,29,28,0,0,57,1,269084
301,7,4,6,10,0,0,0,10,10,1,172500
302,4,0,4,64,0,62,2,0,64,1,81417
303,7,2,12,55,0,7,46,2,55,1,173750
304,12,9,18,64,0,0,64,0,64,1,363250
305,11,5,17,0,0,0,0,0,0,0,319958
306,8,0,13,12,12,0,0,0,12,1,198292
307,8,2,14,64,0,58,0,6,64,1,198375
308,11,6,18,43,43,0,0,0,43,1,320584
309,6,1,8,64,33,0,31,0,64,1,141667
310,16,14,24,0,0,0,0,0,0,0,569875
311,10,5,11,64,24,0,0,40,64,1,303125
312,9,3,19,48,0,47,0,1,47,0,232000
313,9,5,15,64,11,36,8,9,64,1,229000
314,9,5,19,64,0,32,32,0,64,1,229875
315,9,1,17,64,28,0,36,0,64,1,246375
316,6,0,10,64,0,61,0,3,64,1,151042
317,10,4,12,64,0,0,64,0,64,1,287417
318,12,6,26,64,21,0,32,11,64,1,356375
319,12,5,17,9,0,0,1,8,8,0,356250
320,5,2,10,27,2,0,0,25,27,1,100542
321,12,6,15,63,0,0,63,0,63,1,358583
322,15,11,15,64,0,0,32,32,64,1,521792
323,6,2,10,64,0,0,0,64,64,1,144042
324,6,1,10,41,17,24,0,0,41,1,141417
325,16,13,23,64,0,0,52,12,64,1,568208
326,12,9,21,55,0,0,36,19,55,1,356541
327,9,5,14,64,0,0,64,0,64,1,229667
328,16,16,23,40,0,0,40,0,40,1,589250
329,8,5,15,49,30,10,9,0,49,1,198375
330,6,3,7,58,0,0,58,0,58,1,141750
331,9,7,15,49,8,1,40,0,49,1,229083
332,7,5,12,40,40,0,0,0,40,1,180250
333,2,0,2,64,0,0,15,49,64,1,66625
334,8,3,12,51,0,0,13,38,51,1,206708
335,10,3,19,64,29,18,9,8,64,1,294041
336,8,4,18,0,0,0,0,0,0,0,198500
337,11,5,17,64,0,62,2,0,64,1,319167
338,14,11,16,5,5,0,0,0,4,0,455167
339,6,1,8,64,0,0,0,64,64,1,141500
340,6,3,7,47,39,0,0,8,47,1,141834
341,9,8,13,64,5,21,37,1,64,1,230459
342,6,2,7,0,0,0,0,0,0,0,141583
343,10,9,11,64,0,0,0,64,64,1,272375
344,8,5,13,64,16,24,24,0,64,1,206958
345,5,2,4,64,28,26,0,10,64,1,104542
346,10,3,13,50,33,10,7,0,48,0,291416
347,9,2,16,64,0,0,64,0,64,1,246000
348,9,8,18,1,0,0,1,0,1,1,245916
349,8,4,8,50,0,0,37,13,50,1,211459
350,7,2,6,4,0,0,4,0,2,0,189375
351,9,9,14,64,22,22,15,5,64,1,246125
352,5,1,5,64,40,0,24,0,64,1,100667
353,7,3,14,52,1,3,48,0,51,0,184083
354,6,1,10,54,40,14,0,0,54,1,141792
355,9,6,15,64,62,0,0,2,64,1,229250
356,8,5,11,53,0,40,0,13,53,1,203167
357,6,4,9,64,27,29,8,0,64,1,141542
358,4,1,7,64,4,0,0,60,64,1,95833
359,7,4,10,64,0,0,64,0,64,1,176500
360,9,2,14,62,0,62,0,0,62,1,230291
361,5,1,8,64,0,0,64,0,64,1,109583
362,7,1,14,51,7,44,0,0,51,1,180083
363,8,1,19,63,2,21,30,10,63,1,220709
364,4,1,6,54,12,0,0,42,54,1,86167
365,6,4,10,64,0,2,6,56,64,1,152375
366,6,0,5,64,60,0,0,4,64,1,152292
367,6,2,10,63,37,25,1,0,63,1,151667
368,7,1,11,38,30,0,8,0,38,1,188417
369,7,3,8,24,24,0,0,0,24,1,185875
370,10,7,18,64,0,0,64,0,64,1,310958
371,11,7,19,64,0,5,59,0,64,1,336250
372,5,1,7,64,0,0,64,0,64,1,120959
373,11,4,14,54,15,39,0,0,54,1,341959
374,5,1,3,64,0,0,52,12,64,1,104875
375,5,3,5,29,0,0,9,20,29,1,104625
376,9,7,16,64,45,0,19,0,64,1,242542
377,8,4,12,53,33,0,6,14,53,1,212458
378,12,9,19,29,0,29,0,0,29,1,372375
379,6,4,10,36,0,10,13,13,33,0,154625
380,9,7,11,64,0,0,9,55,64,1,259375
381,10,4,15,63,49,0,14,0,63,1,278875
382,12,4,19,64,0,0,64,0,64,1,382750
383,10,7,11,62,17,21,20,4,62,1,285000
384,5,0,7,38,4,32,2,0,38,1,109750
385,9,4,13,28,0,0,0,28,28,1,253125
386,9,3,12,47,12,0,35,0,47,1,249917
387,10,4,14,64,58,0,6,0,64,1,306250
388,11,1,15,50,0,46,4,0,50,1,345917
389,8,1,9,64,6,0,0,58,64,1,219958
390,12,7,20,35,0,0,35,0,35,1,384916
391,5,3,12,42,0,0,4,38,42,1,106458
392,15,9,22,64,0,0,0,64,64,1,577750
393,9,6,12,6,0,6,0,0,6,1,246459
394,8,4,16,64,54,8,2,0,64,1,212125
395,7,2,11,18,0,0,0,18,18,1,194542
396,5,0,3,64,0,0,64,0,64,1,100416
397,13,2,19,23,0,0,15,8,23,1,548000
398,16,14,20,64,0,0,0,64,64,1,568833
399,7,1,6,64,0,0,0,64,64,1,173000
400,7,4,12,48,12,0,31,5,48,1,172250
401,9,3,13,23,12,11,0,0,12,0,230083
402,8,4,13,63,0,0,63,0,63,1,198709
403,10,5,13,33,0,0,23,10,33,1,271167
404,8,2,9,64,0,0,64,0,64,1,198334
405,8,1,16,64,33,0,0,31,64,1,217208
406,7,3,9,46,39,7,0,0,46,1,172208
407,7,4,7,63,15,0,48,0,63,1,175417
408,7,1,9,19,0,16,3,0,19,1,172083
409,4,3,3,64,0,0,0,64,64,1,81291
410,9,2,14,43,32,0,6,5,43,1,229125
411,11,6,18,64,0,8,0,56,64,1,324417
412,7,1,9,35,24,0,0,11,35,1,172125
413,5,0,9,34,24,0,10,0,34,1,101208
414,4,1,6,64,0,41,0,23,64,1,81167
415,7,4,13,24,0,24,0,0,24,1,175458
416,11,6,15,44,0,31,2,11,44,1,322542
417,3,1,6,38,32,0,0,6,38,1,70042
418,9,5,16,35,0,17,18,0,35,1,229125
419,8,4,10,64,0,0,2,62,64,1,201875
420,14,10,20,0,0,0,0,0,0,0,459958
421,4,1,9,11,10,0,0,1,10,0,81083
422,10,5,21,13,0,0,13,0,11,0,270917
423,6,2,6,64,0,0,0,64,64,1,142250
424,10,5,6,64,0,64,0,0,64,1,271209
425,10,3,22,34,0,34,0,0,34,1,280541
426,5,1,5,12,0,9,3,0,12,1,100708
427,9,5,15,63,0,0,63,0,63,1,232500
428,6,1,8,64,0,64,0,0,64,1,141584
429,5,1,5,64,25,17,0,22,64,1,100500
430,7,1,9,64,64,0,0,0,64,1,172375
431,6,0,9,18,0,0,0,18,18,1,156917
432,15,11,29,14,0,0,14,0,14,1,531208
433,9,0,16,43,0,42,0,1,42,0,233125
434,8,4,18,29,0,29,0,0,29,1,202666
435,13,11,24,64,0,0,0,64,64,1,423958
436,7,2,15,64,0,1,21,42,64,1,172625
437,11,8,19,44,24,0,0,20,44,1,323166
438,7,3,13,64,30,0,34,0,64,1,172209
439,5,0,9,21,13,8,0,0,21,1,124125
440,4,1,5,64,42,0,0,22,64,1,82292
441,6,1,13,1,0,0,0,1,1,1,156042
442,5,0,9,52,0,8,44,0,52,1,103792
443,11,9,12,36,0,14,0,22,36,1,329750
444,11,9,20,22,20,1,0,1,20,0,332958
445,5,2,11,64,16,0,22,26,64,1,100500
446,4,2,6,64,0,0,64,0,64,1,81167
447,3,1,4,64,0,16,30,18,64,1,69167
448,12,11,12,64,0,0,0,64,64,1,376000
449,6,2,10,14,0,0,0,14,14,1,141667
450,11,10,19,34,0,34,0,0,34,1,322459
451,6,3,9,64,7,0,39,18,64,1,141667
452,7,2,7,1,0,0,0,1,1,1,182959
453,6,2,6,64,0,0,0,64,64,1,141458
454,7,1,9,60,1,46,13,0,60,1,172458
455,4,0,7,64,18,0,0,46,64,1,88167
456,11,10,15,60,14,46,0,0,59,0,343833
457,9,6,11,64,0,0,2,62,64,1,240208
458,12,5,16,14,0,14,0,0,14,1,384250
459,5,1,10,64,0,0,13,51,64,1,100666
460,5,0,7,64,0,34,0,30,64,1,100209
461,6,3,6,64,0,0,33,31,64,1,141625
462,7,1,12,0,0,0,0,0,0,0,175709
463,3,1,3,0,0,0,0,0,0,0,67041
464,10,8,15,20,3,0,15,2,15,0,283333
465,5,1,7,64,0,18,44,2,64,1,103917
466,8,2,8,64,0,0,0,64,64,1,198458
467,7,5,15,41,0,0,41,0,41,1,175500
468,5,1,9,39,39,0,0,0,39,1,109292
469,7,4,9,47,34,3,7,3,47,1,172250
470,8,2,10,42,0,0,42,0,42,1,215500
471,4,0,11,0,0,0,0,0,0,0,100583
472,7,4,10,64,17,0,19,28,64,1,179416
473,3,0,4,1,0,1,0,0,1,1,73292
474,11,7,15,64,63,1,0,0,64,1,324750
475,7,3,7,64,0,0,0,64,64,1,176333
476,8,4,13,0,0,0,0,0,0,0,198750
477,10,3,13,50,0,0,12,38,50,1,274167
478,5,0,9,64,0,0,0,64,64,1,100833
479,6,0,14,64,21,0,43,0,64,1,141667
480,8,4,10,64,0,0,64,0,64,1,205875
481,7,1,14,44,4,0,40,0,44,1,172375
482,7,2,12,53,53,0,0,0,53,1,172291
483,5,3,8,32,5,0,21,6,32,1,100500
484,16,12,31,64,9,0,55,0,64,1,580500
485,3,0,2,64,64,0,0,0,64,1,67042
486,7,2,9,0,0,0,0,0,0,0,172000
487,7,1,10,45,0,0,0,45,45,1,175541
488,6,1,13,50,0,1,3,46,50,1,141417
489,3,0,5,64,8,0,54,2,64,1,66958
490,10,6,11,11,0,0,11,0,11,1,271334
491,9,3,9,64,0,64,0,0,64,1,229292
492,12,5,18,35,12,0,23,0,35,1,360417
493,9,5,14,64,0,0,64,0,64,1,229125
494,10,7,11,52,0,0,13,39,52,1,271334
495,6,1,10,40,0,0,6,34,40,1,148667
496,11,4,20,32,1,0,31,0,31,0,322417
497,5,1,5,4,4,0,0,0,4,1,100542
498,10,4,16,39,39,0,0,0,39,1,267625
499,5,0,7,63,0,63,0,0,63,1,100334
500,11,6,18,64,0,37,7,20,64,1,322500
501,10,8,16,64,0,0,64,0,64,1,267417
502,6,4,7,64,0,16,0,48,64,1,141333
503,4,0,6,38,0,0,38,0,38,1,81250
504,7,6,8,64,64,0,0,0,64,1,172167
505,6,0,9,64,0,64,0,0,64,1,141500
506,10,6,16,64,6,0,58,0,64,1,267667
507,14,6,18,21,0,0,21,0,21,1,483875
508,7,5,17,64,0,0,18,46,64,1,183250
509,6,2,9,54,48,0,0,6,54,1,145750
510,7,2,12,64,0,11,45,8,64,1,175291
511,9,3,15,64,0,0,47,17,64,1,233167
512,6,3,3,64,0,62,2,0,64,1,154500
513,8,4,8,64,0,0,38,26,64,1,220958
514,4,1,9,64,0,27,37,0,64,1,84709
515,12,9,13,64,46,0,0,18,64,1,375875
516,5,1,7,64,0,0,4,60,64,1,104250
517,5,0,11,64,0,0,0,64,64,1,100250
518,4,2,6,64,64,0,0,0,64,1,81167
519,4,0,7,64,2,0,62,0,64,1,81084
520,12,9,22,64,9,40,15,0,64,1,378333
521,10,7,18,64,0,0,0,64,64,1,267667
522,6,3,7,17,0,0,17,0,17,1,141500
523,5,0,6,64,37,0,0,27,64,1,100250
524,5,1,11,64,0,0,0,64,64,1,100500
525,7,2,10,50,23,10,17,0,50,1,178042
526,2,0,2,64,64,0,0,0,64,1,64167
527,5,1,11,40,0,0,5,35,40,1,100250
528,8,0,17,64,12,0,0,52,64,1,198333
529,8,7,13,6,0,0,0,6,6,1,198375
530,14,8,18,64,0,11,53,0,64,1,462959
531,7,3,15,64,0,0,35,29,64,1,172042
532,10,5,18,64,0,0,64,0,64,1,270833
533,11,7,18,20,20,0,0,0,20,1,341459
534,11,4,12,0,0,0,0,0,0,0,319833
535,10,11,14,64,0,0,0,64,64,1,268583
536,7,3,13,64,25,0,22,17,64,1,172334
537,4,3,7,64,0,0,64,0,64,1,86167
538,9,2,18,37,0,0,35,2,37,1,243250
539,7,3,7,64,0,26,38,0,64,1,177459
540,9,5,20,17,0,14,3,0,14,0,243917
541,9,4,9,64,0,0,0,64,64,1,229959
542,10,6,9,64,9,0,0,55,64,1,276750
543,14,11,18,44,1,0,43,0,44,1,456500
544,8,1,14,64,17,5,0,42,64,1,201834
545,7,1,13,64,6,0,58,0,64,1,172000
546,7,0,5,64,59,0,0,5,64,1,172250
547,7,4,11,64,0,0,64,0,64,1,175417
548,5,2,7,64,0,0,64,0,64,1,100375
549,6,1,7,64,0,56,0,8,64,1,144417
550,3,0,5,64,0,0,64,0,64,1,73500
551,2,0,3,64,0,0,0,64,64,1,63916
552,9,0,22,64,45,0,0,19,64,1,229167
553,4,3,9,64,0,18,0,46,64,1,81291
554,13,7,18,29,6,0,0,23,29,1,415833
