step,mass,hard,muscle,sensor,digestive,attack,speed,age,energy,plant,meat
100000,7,0,0,0,7,0,0.000,80,0.78,1.06,0.00
100000,62,41,6,0,15,6,0.097,78,3.87,9.42,5.10
100000,53,13,0,0,40,0,0.000,76,1.27,9.86,0.00
100000,14,3,0,0,11,0,0.000,76,1.29,2.74,0.00
100000,27,17,0,0,10,0,0.000,74,2.35,8.33,0.00
100000,20,0,0,0,20,0,0.000,74,3.89,8.53,0.00
100000,58,45,0,0,13,0,0.000,73,3.53,12.80,0.00
100000,60,40,1,0,19,1,0.017,72,4.85,14.25,0.00
100000,46,20,0,0,26,0,0.000,72,2.02,8.36,0.00
100000,52,34,0,0,18,0,0.000,69,1.92,8.75,0.00
100000,54,33,1,0,20,1,0.019,68,1.06,8.48,0.00
100000,49,34,0,0,15,0,0.000,67,3.45,9.81,0.00
100000,54,33,1,0,20,1,0.019,67,5.62,11.19,1.67
100000,13,8,0,0,5,0,0.000,67,2.36,5.47,0.00
100000,7,0,0,0,7,0,0.000,65,0.02,0.03,0.00
100000,64,32,16,0,16,16,0.250,64,6.41,8.55,15.82
100000,47,36,0,0,11,0,0.000,64,3.70,9.18,0.00
100000,50,32,0,0,18,0,0.000,62,4.46,13.75,0.00
100000,53,35,0,0,18,0,0.000,62,1.86,8.00,0.00
100000,13,3,0,0,10,0,0.000,61,1.29,2.00,0.00
100000,19,3,0,0,16,0,0.000,61,3.12,4.60,0.00
100000,21,4,0,0,17,0,0.000,56,0.32,1.78,0.00
100000,8,3,0,0,5,0,0.000,56,1.99,4.50,0.00
100000,24,18,0,0,6,0,0.000,55,1.67,3.91,0.00
100000,49,34,0,0,15,0,0.000,54,0.39,4.86,0.00
100000,48,32,0,0,16,0,0.000,53,3.53,7.76,0.00
100000,64,46,2,0,16,2,0.031,53,4.56,8.89,5.68
100000,64,32,16,0,16,16,0.250,52,3.79,6.64,3.74
100000,37,16,0,0,21,0,0.000,51,4.26,10.58,0.00
100000,18,3,0,0,15,0,0.000,50,1.14,4.01,0.00
100000,14,3,0,0,11,0,0.000,50,2.83,4.85,0.00
100000,19,3,0,0,16,0,0.000,50,3.47,6.36,0.00
100000,52,38,0,0,14,0,0.000,49,3.11,7.29,0.00
100000,64,36,10,0,18,9,0.156,49,3.28,8.26,0.00
100000,48,32,0,0,16,0,0.000,48,1.68,5.16,0.00
100000,14,2,0,0,12,0,0.000,48,2.53,4.57,0.00
100000,7,4,0,0,3,0,0.000,48,2.46,2.15,0.00
100000,64,32,18,0,14,16,0.281,47,4.00,4.44,4.55
100000,19,9,0,0,10,0,0.000,46,2.47,5.13,0.00
100000,19,3,0,0,16,0,0.000,46,3.71,4.32,0.00
100000,59,38,1,0,20,1,0.017,45,2.22,6.64,0.00
100000,36,8,1,0,27,0,0.028,45,3.63,7.79,0.00
100000,53,33,1,0,19,1,0.019,43,3.35,6.44,0.00
100000,26,9,0,0,17,0,0.000,43,4.05,5.09,0.00
100000,63,44,6,0,13,6,0.095,43,7.24,4.09,6.72
100000,54,33,1,0,20,1,0.019,41,2.97,5.83,0.00
100000,55,34,0,0,21,0,0.000,41,3.56,6.52,0.00
100000,14,3,0,0,11,0,0.000,41,2.01,1.98,0.00
100000,54,33,1,0,20,1,0.019,41,5.27,6.74,1.46
100000,19,3,0,0,16,0,0.000,39,0.85,1.12,0.00
100000,53,38,1,0,14,1,0.019,39,5.05,7.59,0.00
100000,19,3,0,0,16,0,0.000,38,2.41,4.55,0.00
100000,30,21,0,0,9,0,0.000,37,3.67,4.38,0.00
100000,64,46,2,0,16,2,0.031,37,4.21,4.19,2.73
