step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none
290000,253,3.815,0.148,12.50,16811,5660,46,10963,101,596,410686.1,22390.9,0.001,0.066,0.462,0.016,0.455,1335,53.92,18.66,34.39,18.20,2.25,6.49,0.00,0.00,17.28,4.72,1.97,5.72,0.038,0.104,70,0.206,0.810,0.182,0.000,0.008
300000,213,4.404,0.153,12.60,17019,5206,66,11687,100,658,410752.3,24845.8,0.000,0.067,0.456,0.011,0.466,1388,62.22,6.18,41.07,11.50,3.24,6.76,0.00,0.00,17.91,3.93,2.39,6.04,0.060,0.127,46,0.329,0.761,0.239,0.000,0.000
310000,215,4.526,0.195,10.59,15263,5377,44,9745,95,391,409551.5,24175.6,0.001,0.081,0.411,0.031,0.476,1708,60.06,7.38,35.53,10.42,7.32,9.62,0.00,0.00,17.21,2.82,7.17,9.54,0.118,0.156,44,0.316,0.637,0.353,0.000,0.009
320000,230,4.303,0.160,10.95,20537,6251,31,14104,136,695,410963.4,26830.5,0.000,0.086,0.467,0.055,0.392,1360,58.26,8.65,38.97,8.87,2.75,6.42,0.00,0.00,16.55,3.14,2.74,6.42,0.044,0.100,60,0.243,0.735,0.261,0.000,0.004
330000,285,3.557,0.123,11.01,20960,7660,26,13113,106,689,410648.6,24334.6,0.000,0.097,0.385,0.013,0.505,1341,45.28,11.45,28.49,9.84,2.95,5.47,0.00,0.00,13.84,3.99,2.72,4.91,0.069,0.117,83,0.361,0.761,0.228,0.000,0.011
340000,289,3.611,0.114,11.03,21436,8027,51,13241,113,1212,410664.2,23305.8,0.000,0.146,0.360,0.005,0.489,1242,46.36,9.23,30.47,9.03,1.09,4.27,0.00,0.00,14.79,3.82,0.83,3.26,0.026,0.099,54,0.578,0.924,0.059,0.000,0.017
350000,291,3.787,0.117,11.16,23664,7760,53,15665,184,716,409385.5,26824.4,0.002,0.132,0.406,0.017,0.443,1110,44.90,14.10,29.47,12.36,1.74,5.06,0.00,0.00,13.68,4.26,1.40,3.58,0.032,0.083,73,0.182,0.784,0.203,0.000,0.014
360000,317,3.390,0.119,10.86,23807,7531,42,15994,214,639,409527.5,30483.0,0.002,0.210,0.397,0.006,0.385,1108,43.17,11.32,27.74,10.94,1.32,3.58,0.04,0.68,14.07,5.53,1.05,3.28,0.033,0.084,112,0.155,0.886,0.101,0.000,0.013
370000,424,2.741,0.104,9.07,22468,7429,37,14660,235,667,409809.8,27785.2,0.000,0.193,0.336,0.010,0.461,1325,31.31,19.10,18.77,15.57,1.40,4.90,0.00,0.00,11.15,5.35,1.03,3.91,0.031,0.113,110,0.184,0.889,0.068,0.000,0.042
380000,298,3.569,0.128,10.66,21504,8284,56,13111,179,613,409578.2,22951.8,0.001,0.217,0.352,0.027,0.403,1453,45.45,14.00,30.11,11.63,1.59,4.69,0.00,0.00,13.76,5.96,1.53,4.66,0.029,0.085,62,0.255,0.879,0.101,0.000,0.020
390000,329,3.398,0.113,10.81,24948,9499,62,15030,326,553,410228.1,22485.5,0.002,0.231,0.405,0.038,0.324,1296,42.49,13.00,27.37,13.31,0.29,1.74,0.00,0.00,14.83,5.79,0.24,1.67,0.006,0.035,96,0.347,0.951,0.036,0.000,0.012
400000,331,3.192,0.106,11.47,20254,9478,32,10635,107,592,410373.6,19548.2,0.000,0.178,0.422,0.033,0.366,1375,40.97,6.21,25.39,5.75,0.74,2.69,0.00,0.00,14.83,4.35,0.69,2.53,0.018,0.066,91,0.181,0.924,0.069,0.000,0.006
410000,220,4.239,0.142,9.68,15571,8473,6,7172,31,278,409837.0,17282.6,0.001,0.089,0.279,0.006,0.625,1972,62.63,3.67,36.51,6.16,1.25,4.56,0.00,0.00,24.86,4.82,1.25,4.56,0.020,0.071,38,0.491,0.941,0.041,0.000,0.018
420000,218,4.245,0.155,8.77,12992,7817,9,5159,9,394,409634.8,13295.0,0.001,0.042,0.390,0.027,0.541,2704,62.37,5.82,40.17,7.23,2.88,4.33,0.00,0.00,19.32,3.38,2.87,4.32,0.047,0.070,42,0.326,0.940,0.055,0.000,0.005
430000,206,4.218,0.151,9.95,12097,7681,19,4326,83,318,409598.1,10176.9,0.000,0.020,0.467,0.062,0.450,3009,62.88,6.05,42.00,9.11,0.87,4.05,0.02,0.14,19.99,4.44,0.45,2.79,0.020,0.098,37,0.272,0.961,0.024,0.000,0.015
440000,213,4.159,0.167,11.52,12889,7417,21,5350,94,391,410044.6,12711.0,0.000,0.062,0.382,0.084,0.472,2154,59.07,10.00,35.84,9.23,2.66,5.27,0.00,0.00,20.57,5.36,2.57,4.92,0.043,0.085,73,0.164,0.812,0.188,0.000,0.000
