step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none
180000,251,3.973,0.139,11.75,15265,5507,173,9412,234,294,410135.2,17722.1,0.004,0.336,0.283,0.143,0.234,1745,54.70,3.87,38.52,5.73,1.59,5.30,0.00,0.00,14.59,2.72,1.52,5.09,0.025,0.083,33,0.745,0.912,0.080,0.000,0.008
190000,300,3.289,0.134,11.74,20020,5484,142,13978,367,129,409778.9,23383.1,0.015,0.257,0.367,0.140,0.221,1338,42.19,19.21,27.12,16.55,1.42,4.88,0.02,0.40,13.63,4.15,1.42,4.88,0.022,0.076,62,0.377,0.853,0.113,0.000,0.033
200000,243,3.853,0.153,11.81,18237,5394,138,12482,280,464,409640.2,21969.6,0.009,0.276,0.348,0.125,0.241,1377,55.23,5.65,38.72,5.47,1.24,4.51,0.02,0.38,15.25,3.36,1.23,4.50,0.020,0.071,37,0.444,0.901,0.082,0.000,0.016
210000,287,3.437,0.129,11.84,18605,5628,148,12406,379,70,409880.2,21601.4,0.006,0.288,0.325,0.137,0.243,1336,44.54,18.88,25.66,15.31,3.77,7.42,0.29,1.76,14.83,4.06,3.66,7.41,0.059,0.116,78,0.164,0.728,0.237,0.000,0.035
220000,242,4.197,0.152,11.52,18858,5284,114,13138,367,139,409387.7,23898.6,0.008,0.229,0.371,0.154,0.238,1246,57.43,5.98,38.90,5.91,2.83,6.41,0.08,0.78,15.62,3.28,2.79,6.41,0.044,0.100,53,0.215,0.777,0.215,0.000,0.008
230000,260,3.745,0.149,11.50,13120,5614,123,7217,148,145,410027.9,16258.3,0.006,0.237,0.241,0.196,0.321,1926,50.28,15.39,32.48,13.31,3.36,7.11,0.06,0.47,14.38,3.36,3.36,7.11,0.053,0.111,57,0.365,0.754,0.208,0.000,0.038
240000,257,3.908,0.154,11.91,10909,5920,221,4657,114,54,409789.1,9684.7,0.005,0.253,0.178,0.233,0.332,2263,50.47,12.87,35.00,11.79,1.09,4.05,0.04,0.41,14.35,3.60,1.09,4.05,0.017,0.063,58,0.315,0.903,0.070,0.000,0.027
250000,273,3.656,0.134,11.93,9667,5723,202,3661,65,29,410307.4,8316.5,0.004,0.266,0.173,0.229,0.328,2526,51.44,11.50,36.07,10.51,0.72,3.37,0.00,0.00,14.64,2.73,0.72,3.37,0.011,0.053,54,0.253,0.945,0.044,0.000,0.011
260000,286,3.499,0.133,11.28,14105,5671,159,8218,44,121,410384.4,14787.8,0.010,0.251,0.227,0.243,0.269,1980,46.72,18.68,32.08,14.62,1.42,4.69,0.00,0.00,13.22,4.06,1.42,4.69,0.023,0.073,50,0.238,0.853,0.126,0.000,0.021
270000,236,4.172,0.148,11.89,10958,5813,200,4934,61,105,410219.5,10160.7,0.006,0.260,0.207,0.235,0.293,2288,55.52,4.50,39.36,3.56,1.25,4.37,0.00,0.00,14.90,2.48,1.25,4.37,0.020,0.068,33,0.415,0.886,0.089,0.000,0.025
280000,241,4.078,0.145,11.88,10611,5743,150,4648,65,93,409674.2,11763.0,0.006,0.251,0.188,0.254,0.302,2359,56.28,3.03,39.49,3.69,1.28,4.68,0.01,0.13,15.50,2.30,1.28,4.68,0.021,0.074,42,0.369,0.934,0.062,0.000,0.004
290000,236,4.068,0.150,11.30,12125,6138,191,5672,129,94,409785.1,11486.0,0.006,0.243,0.187,0.247,0.317,2056,53.23,13.61,31.59,12.33,5.56,8.90,0.00,0.00,16.08,4.48,5.56,8.90,0.087,0.139,46,0.267,0.720,0.254,0.000,0.025
300000,278,3.762,0.142,11.06,17594,5586,154,11558,254,177,409424.2,20477.2,0.010,0.215,0.372,0.165,0.239,1421,46.49,19.37,28.24,15.74,3.38,7.04,0.00,0.00,14.86,4.18,3.25,7.03,0.064,0.137,58,0.147,0.730,0.237,0.000,0.032
310000,311,3.245,0.122,12.72,16881,5963,142,10490,253,198,409330.6,18971.1,0.006,0.211,0.424,0.161,0.198,1299,44.52,18.24,27.27,16.74,1.42,4.78,0.04,0.63,15.79,4.72,1.42,4.78,0.022,0.075,79,0.215,0.820,0.167,0.000,0.013
320000,302,3.275,0.141,12.00,15523,5885,138,9290,219,102,409511.0,18006.2,0.008,0.248,0.344,0.178,0.223,1484,42.77,19.24,26.42,16.97,1.31,4.82,0.00,0.00,15.04,5.24,1.25,4.59,0.021,0.075,73,0.169,0.844,0.136,0.000,0.020
330000,259,4.121,0.136,12.34,15678,5713,163,9681,164,315,409799.2,18543.7,0.012,0.247,0.335,0.181,0.225,1526,53.47,10.48,36.00,9.48,2.04,5.60,0.00,0.00,15.43,3.42,2.00,5.57,0.032,0.088,56,0.135,0.853,0.139,0.000,0.008
340000,248,4.089,0.139,11.60,14643,5792,158,8539,165,87,409581.2,16194.5,0.007,0.244,0.368,0.172,0.210,1616,51.90,17.32,30.96,13.60,5.82,8.91,0.00,0.00,15.12,4.81,5.77,8.93,0.098,0.139,44,0.282,0.661,0.335,0.000,0.004
350000,265,3.917,0.144,12.37,22047,5393,143,15932,562,209,409827.2,26850.5,0.009,0.177,0.457,0.146,0.211,1013,50.83,14.53,33.82,12.48,1.38,4.63,0.07,0.72,15.56,4.82,1.36,4.61,0.022,0.072,68,0.200,0.857,0.117,0.000,0.026
360000,258,3.982,0.141,12.29,19864,6358,113,13030,370,128,410315.3,22927.0,0.009,0.196,0.468,0.150,0.178,1172,55.52,8.93,36.78,9.11,3.21,6.82,0.03,0.32,15.49,3.12,3.21,6.82,0.051,0.106,53,0.155,0.725,0.260,0.000,0.016
370000,242,4.288,0.147,12.45,15920,6070,127,9550,189,89,410108.9,19504.5,0.010,0.234,0.395,0.160,0.202,1394,57.27,4.98,38.57,6.11,2.45,6.54,0.00,0.00,16.26,3.22,2.12,5.57,0.039,0.102,61,0.153,0.793,0.186,0.000,0.021
380000,282,3.591,0.133,12.24,13791,6087,131,7440,93,110,410095.7,14868.3,0.013,0.278,0.331,0.192,0.186,1817,47.77,16.63,30.58,14.81,2.04,6.28,0.00,0.00,15.15,5.27,1.72,5.27,0.032,0.098,83,0.145,0.851,0.124,0.000,0.025
390000,243,3.985,0.148,11.92,16471,5975,81,10317,137,161,410030.9,24046.6,0.010,0.252,0.362,0.193,0.183,1499,52.31,12.85,32.58,13.30,3.38,7.08,0.00,0.00,16.35,3.97,3.14,6.45,0.066,0.117,59,0.255,0.798,0.181,0.000,0.021
400000,243,4.126,0.139,12.63,11920,5705,110,6042,63,137,410500.6,14058.7,0.012,0.266,0.305,0.230,0.188,2011,56.44,4.98,39.51,5.88,1.12,4.56,0.00,0.06,15.81,3.32,1.03,4.15,0.018,0.071,72,0.099,0.930,0.066,0.000,0.004
410000,259,3.713,0.141,12.25,17056,7219,96,9362,363,241,409880.8,18192.5,0.016,0.268,0.275,0.203,0.238,1376,51.89,10.69,33.31,8.44,1.45,4.37,0.22,1.31,16.90,5.67,1.41,4.32,0.023,0.069,102,0.216,0.880,0.108,0.000,0.012
420000,240,4.217,0.200,12.45,22515,8051,29,13959,495,259,409523.4,26709.8,0.011,0.249,0.391,0.163,0.186,1043,55.35,9.84,29.15,6.66,7.00,7.55,0.72,2.30,18.48,6.70,5.83,6.30,0.115,0.125,115,0.083,0.642,0.321,0.000,0.038
430000,289,3.446,0.141,13.22,17923,6333,33,11357,151,285,410900.2,23357.2,0.016,0.217,0.352,0.116,0.299,1204,45.44,15.03,28.50,12.02,1.96,4.68,0.26,2.92,14.73,4.28,1.76,4.61,0.045,0.099,68,0.360,0.810,0.166,0.000,0.024
440000,447,2.631,0.127,12.19,17468,7156,101,9886,167,221,410911.6,16682.3,0.013,0.284,0.209,0.153,0.341,1397,26.19,23.79,12.93,16.85,2.17,5.41,0.67,2.36,10.42,5.89,2.09,5.20,0.035,0.086,145,0.121,0.794,0.143,0.000,0.063
450000,222,4.059,0.171,11.73,21032,8016,116,12804,321,239,410435.4,20222.5,0.011,0.293,0.223,0.191,0.282,1023,58.09,6.98,35.41,6.99,2.49,5.25,0.30,1.14,19.88,5.07,2.10,4.36,0.043,0.098,88,0.135,0.892,0.099,0.000,0.009
460000,278,3.539,0.134,11.63,16341,7733,38,8221,293,518,410485.6,16810.4,0.012,0.216,0.204,0.204,0.365,1571,51.35,9.03,30.09,6.24,1.77,1.74,0.00,0.00,19.49,5.25,1.72,1.61,0.033,0.030,90,0.335,0.910,0.068,0.000,0.022
470000,287,3.494,0.144,9.90,11181,7136,49,3921,66,207,410643.5,9771.2,0.018,0.209,0.373,0.140,0.260,2542,46.35,6.16,32.49,6.01,0.49,1.97,0.00,0.00,13.37,3.93,0.40,1.67,0.020,0.108,56,0.265,0.962,0.021,0.000,0.017
480000,278,3.538,0.135,10.14,13961,9502,77,4297,94,204,410485.2,9067.6,0.015,0.188,0.497,0.051,0.249,2153,50.17,4.89,33.72,4.56,0.84,3.62,0.02,0.25,15.59,4.48,0.79,3.43,0.013,0.057,49,0.392,0.939,0.047,0.000,0.014
490000,239,3.797,0.142,10.14,13594,8001,38,5522,72,227,410472.4,12293.6,0.018,0.214,0.466,0.070,0.233,2216,55.05,5.93,34.85,7.29,1.35,3.68,0.01,0.13,18.85,4.94,1.07,3.36,0.024,0.062,78,0.126,0.908,0.079,0.000,0.013
500000,464,2.493,0.081,10.12,12925,8668,68,3825,139,91,410329.7,7758.6,0.046,0.255,0.331,0.142,0.225,2398,29.05,5.65,12.92,4.37,1.02,1.46,0.19,0.90,14.93,3.54,0.69,1.02,0.030,0.043,102,0.269,0.830,0.159,0.000,0.011
510000,268,3.638,0.158,9.54,32600,9235,17,22883,661,744,410121.2,40224.9,0.027,0.253,0.101,0.480,0.139,965,47.13,14.21,28.56,11.64,2.36,5.13,0.49,1.34,15.72,5.88,1.86,4.19,0.052,0.111,91,0.231,0.799,0.179,0.000,0.022
520000,250,4.050,0.158,10.40,21463,9097,67,11973,344,315,409650.0,21960.1,0.054,0.294,0.081,0.394,0.176,1349,53.04,10.24,26.55,6.22,3.85,5.06,0.63,2.78,22.00,7.93,3.26,4.09,0.063,0.082,77,0.124,0.776,0.216,0.000,0.008
530000,344,3.099,0.141,8.85,18580,8040,22,10301,123,328,410078.8,22334.6,0.032,0.357,0.030,0.279,0.302,1755,37.57,18.10,19.77,14.60,1.85,5.31,0.42,1.53,15.54,6.18,1.29,3.96,0.039,0.112,103,0.166,0.826,0.110,0.000,0.064
540000,292,3.293,0.144,9.81,25443,11772,11,13562,150,202,409634.3,26163.4,0.018,0.164,0.010,0.210,0.598,1255,46.28,12.47,27.65,9.43,1.26,3.51,0.14,0.87,17.23,5.04,1.09,3.20,0.021,0.057,76,0.168,0.904,0.086,0.000,0.010
550000,289,3.335,0.138,9.83,13579,8037,15,5501,29,157,410068.8,13792.5,0.005,0.342,0.022,0.328,0.303,2482,46.38,11.10,28.30,8.53,1.37,3.36,0.20,0.78,16.52,4.39,1.20,3.01,0.024,0.064,103,0.159,0.837,0.138,0.000,0.024
560000,280,3.358,0.132,9.12,14561,8445,27,6025,73,110,409731.8,12723.8,0.011,0.331,0.005,0.332,0.320,2149,49.51,8.60,31.00,6.02,1.24,3.39,0.10,1.07,17.18,4.15,1.18,3.23,0.021,0.054,73,0.239,0.825,0.161,0.000,0.014
570000,426,2.619,0.153,8.68,22679,9357,18,12836,322,472,410160.0,25774.1,0.011,0.257,0.015,0.652,0.065,1775,30.85,24.96,14.31,17.45,2.57,5.55,0.97,3.02,13.00,6.90,2.03,4.90,0.055,0.124,117,0.092,0.735,0.155,0.002,0.108
580000,279,3.438,0.213,8.93,21565,11193,14,10085,420,256,409873.5,17393.2,0.062,0.227,0.033,0.654,0.024,2063,48.12,20.48,23.69,12.99,5.94,6.30,1.38,3.33,17.10,7.67,3.78,3.83,0.095,0.101,100,0.100,0.556,0.405,0.000,0.039
590000,242,3.877,0.153,7.19,21059,10230,12,10478,376,225,410482.1,19595.5,0.015,0.247,0.092,0.546,0.100,2056,56.53,7.34,34.21,6.74,0.93,2.82,0.39,1.43,21.00,5.19,0.89,2.66,0.014,0.044,66,0.322,0.909,0.062,0.000,0.029
600000,345,3.045,0.143,7.67,16926,10012,17,6605,189,227,411481.2,11352.6,0.002,0.465,0.028,0.340,0.165,2572,33.50,20.69,15.85,14.42,2.09,3.63,1.11,2.84,14.45,8.54,1.04,3.06,0.093,0.152,73,0.162,0.846,0.119,0.000,0.035
610000,231,4.135,0.168,9.53,23564,9919,26,13291,442,576,409599.6,24435.3,0.008,0.516,0.051,0.059,0.368,1556,57.40,7.55,33.32,6.27,2.65,4.97,0.29,2.72,21.15,3.51,2.39,4.38,0.048,0.112,47,0.398,0.740,0.251,0.000,0.009
620000,190,4.557,0.232,13.43,11860,6873,51,4908,69,327,410154.6,12970.1,0.005,0.297,0.251,0.055,0.391,2190,59.23,7.26,31.79,7.95,10.08,9.93,0.05,0.58,17.30,6.64,9.21,8.89,0.168,0.175,85,0.184,0.668,0.300,0.000,0.032
630000,275,3.934,0.150,10.15,13273,6110,56,6973,49,214,410637.2,15309.1,0.010,0.321,0.187,0.105,0.377,2165,49.86,21.62,30.88,16.29,3.20,7.58,0.36,1.67,15.42,6.13,2.83,6.83,0.054,0.124,62,0.120,0.771,0.211,0.000,0.018
640000,226,4.336,0.175,10.31,17427,6559,68,10724,125,216,410160.9,18982.5,0.010,0.328,0.220,0.089,0.353,1974,57.46,13.23,36.15,12.05,3.34,7.44,0.23,2.18,17.73,3.82,3.34,7.44,0.052,0.116,37,0.186,0.730,0.261,0.000,0.009
650000,222,4.352,0.161,9.96,14535,6305,57,8070,107,116,409693.5,15760.9,0.011,0.322,0.179,0.142,0.347,2107,57.19,12.47,34.91,12.71,3.50,7.76,0.29,1.44,18.50,3.66,3.26,7.29,0.056,0.122,40,0.149,0.775,0.212,0.000,0.014
660000,240,3.768,0.166,9.90,18262,6282,53,11750,159,248,409619.2,23507.1,0.020,0.297,0.175,0.162,0.346,1911,52.59,17.61,31.10,15.10,3.22,6.50,0.35,1.97,17.92,4.89,3.05,6.19,0.051,0.102,76,0.117,0.629,0.338,0.000,0.033
670000,222,4.484,0.172,9.15,22041,5717,23,16064,255,479,409816.3,33043.2,0.019,0.212,0.131,0.212,0.426,1400,61.60,5.89,43.02,5.45,0.38,1.67,0.77,1.85,17.44,3.05,0.38,1.67,0.006,0.026,53,0.266,0.932,0.063,0.000,0.005
680000,244,4.077,0.147,9.78,16900,6758,48,9915,157,157,410611.9,15995.1,0.031,0.255,0.180,0.162,0.371,1847,55.17,9.52,34.24,6.78,1.57,4.84,0.92,1.93,18.43,5.38,1.43,4.01,0.025,0.076,67,0.135,0.885,0.107,0.000,0.008
690000,270,3.620,0.150,10.25,16425,7494,96,8609,200,92,409739.6,13566.4,0.027,0.365,0.100,0.118,0.390,2127,50.69,15.32,28.05,10.41,2.04,3.42,0.86,2.04,19.75,7.69,1.99,3.26,0.032,0.054,107,0.104,0.711,0.278,0.000,0.011
700000,279,3.820,0.144,9.64,19074,7575,62,11242,186,130,410399.1,19193.8,0.036,0.352,0.178,0.155,0.278,1606,48.47,16.89,28.66,11.59,2.58,4.92,0.18,1.17,17.05,6.09,2.56,4.85,0.041,0.078,75,0.237,0.735,0.247,0.000,0.018
710000,264,3.795,0.128,9.69,17087,7144,75,9696,187,226,409739.9,17522.7,0.023,0.422,0.133,0.211,0.211,1908,51.22,11.09,31.75,9.08,1.21,3.50,0.24,1.93,18.02,3.57,1.17,3.31,0.021,0.058,58,0.383,0.830,0.163,0.000,0.008
720000,283,3.646,0.147,10.54,14888,7306,102,7359,102,452,409651.5,15071.5,0.022,0.377,0.150,0.244,0.207,1979,47.35,13.90,28.24,14.00,2.93,6.79,0.16,1.29,16.02,5.15,1.72,4.11,0.066,0.144,80,0.141,0.813,0.163,0.000,0.025
730000,268,3.567,0.177,10.21,17306,7643,53,9599,26,802,410127.5,22667.1,0.026,0.233,0.120,0.435,0.187,1564,48.67,16.99,29.28,15.20,2.09,5.51,0.32,2.55,16.98,3.81,1.51,4.05,0.046,0.111,89,0.239,0.825,0.138,0.004,0.034
740000,321,3.340,0.128,12.75,17205,6987,75,9858,232,477,410198.2,16617.5,0.020,0.363,0.189,0.259,0.169,1439,43.83,14.45,27.38,11.61,1.16,3.66,0.04,0.63,15.25,5.75,1.00,3.23,0.023,0.069,104,0.084,0.854,0.115,0.000,0.031
750000,237,4.059,0.164,12.52,19689,7172,61,12444,96,856,409465.2,23752.1,0.016,0.199,0.316,0.291,0.178,1041,55.64,8.25,35.35,7.85,2.27,5.65,0.23,1.76,17.79,4.37,2.27,5.65,0.038,0.095,62,0.135,0.878,0.114,0.000,0.008
760000,268,3.875,0.134,14.03,13585,6678,78,6740,58,462,409751.4,14373.6,0.014,0.172,0.341,0.335,0.138,1450,50.25,13.33,30.09,10.60,2.91,5.83,0.22,1.11,17.04,5.72,2.83,5.74,0.055,0.103,106,0.131,0.784,0.209,0.000,0.007
770000,272,3.621,0.147,12.97,20073,8271,38,11666,94,596,409685.5,22597.1,0.012,0.061,0.453,0.391,0.083,995,49.64,11.59,30.27,10.53,1.51,4.34,0.13,1.07,17.72,4.61,1.51,4.34,0.026,0.074,76,0.224,0.853,0.121,0.000,0.026
780000,252,4.034,0.153,14.16,20498,7869,26,12524,99,632,409949.2,26437.3,0.010,0.046,0.477,0.373,0.095,952,53.51,10.32,33.31,9.15,3.01,7.42,0.01,0.13,17.18,4.99,2.35,5.62,0.051,0.121,75,0.187,0.861,0.119,0.000,0.020
790000,259,3.557,0.141,15.21,21817,9224,27,12399,160,689,410605.5,22277.1,0.006,0.005,0.509,0.377,0.103,839,50.27,12.78,30.56,12.19,2.86,6.04,0.04,0.41,16.80,4.27,2.80,6.02,0.050,0.102,87,0.139,0.846,0.143,0.000,0.012
800000,263,4.018,0.137,13.20,18960,8652,39,10057,208,636,410176.7,20406.9,0.004,0.004,0.496,0.386,0.110,1012,51.40,15.78,30.00,14.62,2.44,6.38,0.09,0.43,18.87,6.47,2.10,5.43,0.039,0.100,79,0.376,0.776,0.183,0.000,0.042
810000,304,3.426,0.117,12.66,19773,7655,39,11755,283,687,409886.8,22331.2,0.004,0.003,0.506,0.383,0.104,1061,41.86,20.67,23.76,16.67,1.66,3.94,0.10,0.65,16.35,7.62,1.55,3.56,0.033,0.086,96,0.211,0.734,0.240,0.000,0.026
820000,255,3.992,0.135,13.25,21692,7937,40,13404,360,621,409594.8,24145.7,0.005,0.004,0.517,0.380,0.094,1024,52.53,10.09,32.48,9.49,3.11,6.64,0.05,0.38,16.89,4.92,2.96,6.27,0.050,0.104,73,0.341,0.780,0.208,0.000,0.012
830000,318,3.267,0.116,13.36,21397,8053,63,12832,386,562,409460.6,23012.6,0.006,0.004,0.524,0.382,0.085,950,42.31,18.82,26.58,15.37,0.75,3.25,0.04,0.43,14.95,6.84,0.68,3.05,0.014,0.062,87,0.318,0.899,0.075,0.000,0.025
840000,310,3.309,0.127,12.12,25686,8048,32,17304,310,584,409684.9,30064.9,0.007,0.006,0.533,0.353,0.101,872,40.16,20.27,23.05,15.31,2.61,7.08,0.03,0.57,14.47,6.56,2.20,5.73,0.041,0.111,70,0.161,0.774,0.194,0.000,0.032
850000,242,3.922,0.181,14.41,23683,8283,52,15057,359,765,408493.5,29500.4,0.011,0.004,0.504,0.377,0.104,806,59.57,5.46,32.73,11.17,8.52,9.62,0.00,0.06,18.31,6.56,8.02,9.08,0.134,0.150,52,0.401,0.657,0.331,0.000,0.012
860000,274,3.391,0.128,15.68,18902,7588,60,10988,234,730,410608.0,20731.0,0.004,0.005,0.523,0.366,0.102,1033,48.68,12.79,31.54,11.31,1.16,3.31,0.31,1.65,15.66,7.45,0.84,2.11,0.027,0.093,114,0.135,0.847,0.124,0.000,0.029
870000,278,3.574,0.127,16.36,17230,7791,52,9188,195,628,410536.4,18746.4,0.005,0.002,0.519,0.340,0.133,904,48.19,11.82,30.01,10.53,2.18,5.32,0.50,3.16,15.50,4.85,2.06,5.10,0.039,0.092,85,0.259,0.831,0.155,0.000,0.014
880000,251,3.821,0.136,16.35,17841,6868,122,10782,96,849,409996.0,20722.5,0.002,0.002,0.560,0.318,0.118,837,50.69,9.55,31.27,9.81,2.91,6.67,0.05,0.44,16.46,5.33,2.35,5.11,0.057,0.133,81,0.323,0.785,0.195,0.000,0.020
890000,277,3.596,0.134,16.63,15239,6344,108,8656,105,786,410024.2,21330.1,0.005,0.002,0.440,0.359,0.194,944,50.39,13.55,32.64,12.24,2.00,5.22,0.07,0.80,15.68,5.04,1.85,4.72,0.035,0.091,79,0.199,0.747,0.220,0.000,0.032
900000,278,3.595,0.126,16.87,12942,6838,161,5868,74,470,409659.0,13616.9,0.005,0.002,0.437,0.367,0.189,1109,51.38,10.82,33.71,10.57,1.66,4.78,0.23,1.80,15.78,5.62,1.53,4.34,0.028,0.079,78,0.176,0.856,0.140,0.000,0.004
910000,266,3.661,0.142,16.27,13175,6983,170,5933,101,624,409807.6,13346.8,0.005,0.002,0.406,0.371,0.215,1109,51.32,8.93,33.20,10.34,1.59,5.54,0.47,1.39,16.06,4.82,1.32,4.47,0.027,0.090,66,0.203,0.883,0.109,0.000,0.008
920000,258,3.745,0.143,16.21,15518,6348,130,8924,124,634,409714.7,20772.4,0.007,0.002,0.400,0.369,0.221,963,51.12,12.85,32.19,12.14,2.32,6.29,0.52,1.02,16.08,6.08,2.00,5.47,0.038,0.103,74,0.109,0.806,0.182,0.000,0.012
930000,257,3.751,0.142,15.97,16484,7155,165,9009,156,756,410213.7,18263.7,0.007,0.003,0.435,0.354,0.201,929,51.99,11.47,33.25,10.51,2.60,6.25,0.95,1.53,15.19,4.72,2.26,5.45,0.047,0.113,75,0.171,0.747,0.241,0.000,0.012
940000,260,3.902,0.135,15.45,15943,6707,153,8978,102,491,410043.2,18279.4,0.008,0.003,0.420,0.384,0.185,1003,49.99,14.41,31.57,11.92,2.84,6.44,0.70,1.04,14.87,4.67,2.60,5.76,0.048,0.105,62,0.265,0.712,0.269,0.000,0.019
950000,252,3.898,0.134,16.14,14490,6962,142,7283,111,647,410024.4,15716.7,0.006,0.003,0.426,0.386,0.179,1092,54.41,7.49,35.92,7.09,1.90,5.26,1.14,1.22,15.44,3.76,1.76,4.77,0.036,0.105,63,0.230,0.810,0.171,0.000,0.020
