step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2,fruit_cells,fruit_top,food_cells,food_top
53000,2384,0.4656,19024.9,433,1253,687,444,99,129,112,20872,33710,39139,0,0,0,1.000,1.000,1.000,1003,176,5,0.3243,0.1690,0.6517,0.0594
54000,1651,0.4979,13145.0,451,1149,341,161,80,109,79,21219,38198,44602,0,0,0,1.000,1.000,1.000,959,88,0,0.2371,0.2278,0.6958,0.0674
55000,1310,0.4962,10227.3,443,1041,200,69,56,95,48,20660,41012,48605,0,0,0,1.000,1.000,1.000,862,45,0,0.1716,0.2607,0.5812,0.0777
56000,1298,0.4545,9988.4,374,1022,252,24,34,110,17,19336,41075,49717,0,0,0,1.000,1.000,1.000,840,90,0,0.2098,0.1971,0.7244,0.0762
57000,1701,0.4339,13980.3,389,1084,423,194,66,142,94,16990,37249,46846,0,0,0,1.000,1.000,1.000,869,116,0,0.3224,0.1760,0.7150,0.0630
58000,2801,0.4623,21618.7,370,1281,914,606,97,151,146,14949,32468,42202,0,0,0,1.000,1.000,1.000,1007,226,6,0.3494,0.1548,0.6338,0.0579
59000,3742,0.4503,26223.2,340,1491,1312,939,101,149,145,13179,27858,36751,0,0,0,1.000,1.000,1.000,1140,293,8,0.3976,0.1272,0.5924,0.0498
60000,4397,0.4615,31148.6,346,1691,1544,1162,142,154,135,13202,24686,33117,0,0,0,1.000,1.000,1.000,1275,342,14,0.3813,0.1306,0.5557,0.0521
61000,4926,0.4649,35405.5,371,1778,1692,1456,163,136,175,12832,21929,29160,0,0,0,1.000,1.000,1.000,1361,353,13,0.3949,0.1336,0.5338,0.0500
62000,5141,0.4598,38333.3,378,1795,1831,1515,126,135,145,12448,20046,25864,0,0,0,1.000,1.000,1.000,1381,394,13,0.4072,0.1308,0.5269,0.0481
63000,5381,0.4594,39347.6,382,1867,1882,1632,140,120,135,13841,19338,24065,0,0,0,1.000,1.000,1.000,1410,393,12,0.3978,0.1292,0.5162,0.0481
64000,5364,0.4717,42075.6,406,1851,1848,1665,151,119,144,13274,18069,22564,0,0,0,1.000,1.000,1.000,1424,402,13,0.4071,0.1177,0.5220,0.0471
65000,5684,0.4720,42414.3,401,1961,1963,1760,157,136,163,13640,17516,21638,0,0,0,1.000,1.000,1.000,1449,392,8,0.3965,0.1282,0.5001,0.0492
66000,5652,0.4745,42770.2,411,1956,1934,1762,126,145,133,14104,17716,21359,0,0,0,1.000,1.000,1.000,1490,395,9,0.3967,0.1309,0.5016,0.0499
67000,5494,0.4887,42532.8,410,1893,1925,1676,135,148,123,14690,17719,21131,0,0,0,1.000,1.000,1.000,1433,427,9,0.4044,0.1368,0.5147,0.0473
68000,5447,0.4825,41509.7,408,1943,1837,1667,146,159,137,14904,18266,22829,0,0,0,1.000,1.000,1.000,1489,388,13,0.3934,0.1337,0.5145,0.0486
