step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn,travel,drift,hidden,eta,beta,wchange,turns,pace
100000,44.00,25,0,10,0,12,0,1.00,0,0.227,4043,0.19,152.01,23.57,2539,0,0,0,1.00,1.00,1.00,4,5,5,7.8,73.241,22,2.000,0.019,5,1.000,3,12.89,-4.00,0,0.0842,0.759,0.0000,2305,0.6030
100000,36.00,25,0,11,0,7,0,1.00,0,0.306,4035,1.83,141.46,54.53,2238,0,0,0,1.00,1.00,1.00,4,5,5,8.1,54.914,18,2.000,0.019,5,1.000,4,7.16,-6.50,0,0.0906,0.777,0.0000,2385,0.6667
100000,20.00,16,0,7,0,3,0,1.00,0,0.350,4023,0.00,82.63,49.28,2514,0,0,0,1.00,1.00,1.00,2,4,4,23.9,9.743,10,2.000,0.024,4,1.000,5,5.55,-4.50,0,0.0984,0.604,0.0000,2976,0.8944
100000,38.00,25,0,11,0,8,0,1.00,0,0.289,4018,0.98,156.80,84.60,2513,2,0,0,1.00,1.00,1.00,4,5,5,39.5,89.158,19,2.000,0.041,5,1.000,6,25.85,-4.25,0,0.0951,0.759,0.0000,2316,0.6489
100000,42.00,25,0,7,0,14,0,1.00,0,0.167,4006,4.10,179.53,23.33,2028,2,0,0,1.00,1.00,1.00,4,5,5,40.3,73.827,21,2.000,0.586,5,1.000,4,24.11,-18.25,0,0.0993,0.949,0.0000,2323,0.6172
100000,36.00,25,0,7,0,11,0,1.00,0,0.194,4002,2.06,140.65,85.36,1168,0,1,0,1.00,1.00,1.00,4,5,5,27.8,79.224,18,2.000,0.320,5,1.000,7,6.56,-4.25,0,0.0849,0.183,0.0000,2324,0.6667
100000,6.00,16,0,1,0,2,0,1.00,8,0.167,3989,1.31,159.11,59.69,1601,0,0,0,1.00,1.00,1.00,2,2,2,1.2,30.000,3,2.000,0.365,4,1.000,9,18.51,14.50,0,0.0897,0.856,0.0000,3006,1.0000
100000,22.00,16,0,6,0,5,0,1.00,0,0.273,3988,4.02,147.25,70.30,2286,1,0,0,1.00,1.00,1.00,3,4,4,29.9,82.419,11,2.000,0.509,4,1.000,5,16.04,8.25,0,0.0963,0.970,0.0000,2863,0.8528
100000,38.00,25,0,4,0,15,0,1.00,0,0.105,3986,0.99,171.96,38.46,2314,0,0,0,1.00,1.00,1.00,4,5,5,27.2,81.206,19,2.000,0.022,5,1.000,6,8.34,1.25,0,0.0991,0.608,0.0000,2313,0.6489
100000,40.00,25,0,10,0,10,0,1.00,0,0.250,3985,1.95,116.59,34.20,2539,0,0,0,1.00,1.00,1.00,4,5,5,11.2,30.930,20,2.000,0.020,5,1.000,5,6.66,-5.50,0,0.0829,0.775,0.0000,2297,0.6325
100000,50.00,25,0,9,0,16,0,1.00,0,0.180,3974,4.02,162.34,85.13,2128,1,0,0,1.00,1.00,1.00,4,5,5,32.8,118.339,25,2.000,0.248,5,1.000,0,8.27,8.25,0,0.0989,0.894,0.0000,2248,0.5657
100000,16.00,16,0,3,0,5,0,1.00,0,0.188,3963,0.00,104.79,27.73,1601,2,1,0,1.00,1.00,1.00,2,4,4,44.8,6.640,8,2.000,0.365,4,1.000,7,24.01,15.00,0,0.0897,0.856,0.0000,2870,1.0000
100000,40.00,25,0,6,0,14,0,1.00,0,0.150,3959,0.00,137.58,37.67,2028,1,1,0,1.00,1.00,1.00,3,5,5,28.8,20.250,20,2.000,0.586,5,1.000,5,30.80,1.75,0,0.0993,0.949,0.0000,2264,0.6325
