step,cause,age,size,mass,n,worn
10000,hunger,0,40,44,1,0
10000,hunger,0,40,48,7,0
10000,hunger,0,40,52,2,0
10000,hunger,0,40,56,1,0
10000,hunger,0,40,60,1,0
10000,hunger,0,40,64,2,0
10000,hunger,0,40,72,1,0
10000,hunger,0,44,20,1,0
10000,hunger,0,44,24,5,0
10000,hunger,0,44,40,2,0
10000,hunger,0,44,44,1,0
10000,hunger,0,44,48,2,0
10000,hunger,0,44,52,1,0
10000,hunger,0,44,56,4,0
10000,hunger,0,44,64,1,0
10000,hunger,0,44,72,1,0
10000,hunger,0,48,16,7,0
10000,hunger,0,48,20,17,0
10000,hunger,0,48,24,7,0
10000,hunger,0,48,36,4,0
10000,hunger,0,48,40,22,0
10000,hunger,0,48,44,37,0
10000,hunger,0,48,48,27,0
10000,hunger,0,48,52,38,0
10000,hunger,0,48,56,31,0
10000,hunger,0,48,60,9,0
10000,hunger,0,48,64,4,0
10000,hunger,0,48,68,5,0
10000,hunger,0,48,72,11,0
10000,hunger,0,48,76,4,0
10000,hunger,0,48,80,2,0
10000,hunger,0,48,84,5,0
10000,hunger,0,48,88,3,0
10000,hunger,0,52,20,2,0
10000,hunger,0,52,24,1,0
10000,hunger,0,52,28,2,0
10000,hunger,0,52,40,1,0
10000,hunger,0,52,44,2,0
10000,hunger,0,52,56,1,0
10000,hunger,0,52,64,2,0
10000,hunger,0,56,28,1,0
10000,hunger,0,56,64,1,0
10000,hunger,0,56,72,1,0
10000,hunger,0,60,36,1,0
10000,hunger,0,60,48,1,0
10000,hunger,0,60,60,1,0
10000,hunger,0,60,68,3,0
10000,hunger,0,60,72,2,0
10000,hunger,0,60,76,1,0
10000,hunger,0,60,84,2,0
10000,hunger,0,64,20,3,0
10000,hunger,0,64,24,4,0
10000,hunger,0,64,28,5,0
10000,hunger,0,64,32,1,0
10000,hunger,0,64,40,1,0
10000,hunger,0,64,44,1,0
10000,hunger,0,64,48,5,0
10000,hunger,0,64,52,6,0
10000,hunger,0,64,56,6,0
10000,hunger,0,64,60,11,0
10000,hunger,0,64,64,6,0
10000,hunger,0,64,68,6,0
10000,hunger,0,64,72,6,0
10000,hunger,0,64,76,5,0
10000,hunger,0,64,80,2,0
10000,hunger,0,64,84,1,0
10000,hunger,0,64,88,1,0
10000,hunger,0,64,92,3,0
10000,hunger,0,64,100,1,0
10000,hunger,0,64,104,1,0
10000,hunger,0,68,60,1,0
10000,hunger,0,68,84,1,0
10000,hunger,0,76,84,1,0
10000,hunger,0,80,60,1,0
10000,hunger,0,80,64,1,0
10000,hunger,0,80,68,2,0
10000,hunger,0,80,72,1,0
10000,hunger,0,80,76,1,0
10000,hunger,0,80,80,2,0
10000,hunger,0,80,84,1,0
10000,hunger,0,80,88,2,0
10000,hunger,0,80,92,1,0
10000,hunger,0,100,112,1,0
10000,hunger,0,100,120,1,0
10000,hunger,0,120,156,1,0
10000,hunger,0,120,184,1,0
10000,hunger,50,0,0,222,0
10000,hunger,50,0,4,32,0
10000,hunger,50,0,8,1,0
10000,hunger,50,4,0,53,0
10000,hunger,50,4,4,152,0
10000,hunger,50,4,8,51,0
10000,hunger,50,4,12,11,0
10000,hunger,50,4,16,2,0
10000,hunger,50,8,0,3,0
10000,hunger,50,8,4,53,0
10000,hunger,50,8,8,101,0
10000,hunger,50,8,12,59,0
10000,hunger,50,8,16,48,0
10000,hunger,50,8,20,4,0
10000,hunger,50,8,24,1,0
10000,hunger,50,8,28,1,0
10000,hunger,50,12,4,24,0
10000,hunger,50,12,8,24,0
10000,hunger,50,12,12,29,0
10000,hunger,50,12,16,53,0
10000,hunger,50,12,20,37,0
10000,hunger,50,12,24,23,0
10000,hunger,50,12,28,8,0
10000,hunger,50,16,4,5,0
10000,hunger,50,16,8,15,0
10000,hunger,50,16,12,30,0
10000,hunger,50,16,16,37,0
10000,hunger,50,16,20,41,0
10000,hunger,50,16,24,54,0
10000,hunger,50,16,28,77,0
10000,hunger,50,16,32,42,0
10000,hunger,50,16,36,5,0
10000,hunger,50,16,40,1,0
10000,hunger,50,20,8,7,0
10000,hunger,50,20,12,4,0
10000,hunger,50,20,16,18,1
10000,hunger,50,20,20,31,0
10000,hunger,50,20,24,35,0
10000,hunger,50,20,28,20,0
10000,hunger,50,20,32,33,0
10000,hunger,50,20,36,33,0
10000,hunger,50,20,40,31,0
10000,hunger,50,20,44,13,0
10000,hunger,50,20,48,1,0
10000,hunger,50,24,8,2,0
10000,hunger,50,24,12,15,0
10000,hunger,50,24,16,4,0
10000,hunger,50,24,20,19,0
10000,hunger,50,24,24,28,0
10000,hunger,50,24,28,57,0
10000,hunger,50,24,32,61,1
10000,hunger,50,24,36,220,1
10000,hunger,50,24,40,617,0
10000,hunger,50,24,44,180,0
10000,hunger,50,24,48,21,0
10000,hunger,50,24,52,1,0
10000,hunger,50,24,56,2,0
10000,hunger,50,28,12,2,1
10000,hunger,50,28,16,5,0
10000,hunger,50,28,20,3,0
10000,hunger,50,28,24,10,0
10000,hunger,50,28,28,21,0
10000,hunger,50,28,32,16,0
10000,hunger,50,28,36,15,0
10000,hunger,50,28,40,24,0
10000,hunger,50,28,44,7,0
10000,hunger,50,28,48,9,0
10000,hunger,50,28,52,9,0
10000,hunger,50,28,56,15,0
10000,hunger,50,28,68,1,0
10000,hunger,50,32,12,5,0
10000,hunger,50,32,16,5,0
10000,hunger,50,32,20,6,0
10000,hunger,50,32,24,3,0
10000,hunger,50,32,28,4,0
10000,hunger,50,32,32,37,0
10000,hunger,50,32,36,27,0
10000,hunger,50,32,40,38,0
10000,hunger,50,32,44,54,1
10000,hunger,50,32,48,18,0
10000,hunger,50,32,52,10,0
10000,hunger,50,32,56,13,0
10000,hunger,50,32,60,27,0
10000,hunger,50,32,64,16,0
10000,hunger,50,32,68,1,0
10000,hunger,50,32,80,1,0
