step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells
190000,8,448,10.49,0.00,0.03,0.05,10.41,0.00,1.00,0.000,0.062,275315.0,4213.4,3,1,2.45,1.00,1.00,0.4982,10.45,29000.0,14.4258,27.4161,4761
190000,1,6,19.00,0.00,0.00,0.00,19.00,0.00,1.00,0.000,0.074,12321.4,534.0,1,0,3.00,1.00,1.00,0.0621,0.00,135.1,28.2515,1.2991,90
190000,0,2,8.00,0.00,0.00,0.00,8.00,0.00,1.00,0.000,0.000,1938.1,415.9,1,2,2.00,1.00,1.00,0.0620,0.97,109030.3,0.0000,0.0000,11533
200000,8,504,11.68,0.00,0.04,0.01,11.63,0.00,1.00,0.000,0.077,279291.2,4652.3,3,2,2.58,1.00,1.00,0.5502,10.26,32309.0,12.2196,27.7798,4756
200000,1,31,15.87,0.00,0.00,0.39,15.48,0.00,1.00,0.000,0.322,16433.0,1264.0,2,0,2.97,1.00,1.00,0.1486,1.18,1153.4,16.6659,1.7150,95
200000,0,7,8.29,0.00,0.00,0.00,8.29,0.00,1.00,0.000,0.000,1360.7,268.8,3,7,2.14,1.00,1.00,0.0530,1.73,105153.0,0.0000,0.0000,11533
210000,8,530,11.44,0.00,0.08,0.02,11.34,0.00,1.00,0.000,0.080,292344.2,4817.5,4,4,2.64,1.00,1.00,0.5697,10.57,32152.0,10.3738,29.0794,4756
210000,1,26,15.23,0.08,0.08,0.00,15.08,0.00,1.03,0.000,0.262,22345.8,1549.9,2,0,3.54,1.04,1.04,0.1866,0.38,713.5,6.4301,2.3466,95
210000,0,3,21.00,0.00,0.00,0.00,21.00,0.00,1.00,0.000,0.000,1265.9,243.9,3,3,5.33,1.00,1.00,0.0504,2.76,105710.3,0.0000,0.0000,11533
220000,8,474,10.85,0.00,0.02,0.01,10.82,0.00,1.00,0.000,0.067,276086.0,3959.8,4,0,2.60,1.00,1.00,0.4760,6.18,32188.9,14.0737,27.4998,4802
220000,1,6,28.17,0.00,0.00,0.00,28.17,0.00,1.00,0.000,0.097,15133.6,1222.7,1,0,5.00,1.00,1.00,0.1487,1.55,572.6,28.2293,1.6575,98
220000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,1377.6,213.9,0,0,-0.00,-0.00,-0.00,0.0521,2.61,105440.8,0.0000,0.0000,11484
230000,8,515,11.16,0.01,0.05,0.04,11.06,0.00,1.00,0.000,0.076,269845.0,3883.5,4,0,2.60,1.00,1.00,0.4674,5.54,36270.0,13.9108,26.9076,4746
230000,1,19,9.89,0.00,0.00,0.00,9.89,0.00,1.00,0.000,0.117,11102.5,678.7,2,1,2.53,1.00,1.00,0.0818,1.19,485.3,22.8922,1.3047,98
230000,0,8,9.62,0.00,0.00,0.00,9.62,0.00,1.00,0.000,0.000,1585.6,215.6,2,6,3.12,1.00,1.00,0.0426,0.92,100507.8,0.0000,0.0000,11540
240000,8,448,10.17,0.02,0.03,0.03,10.10,0.00,1.01,0.000,0.059,264664.0,3868.0,4,0,2.60,1.01,1.01,0.4659,9.79,29586.6,15.9074,26.4102,4802
240000,1,20,11.80,0.00,0.00,0.00,11.80,0.00,1.00,0.000,0.141,17694.4,1180.4,1,0,3.00,1.00,1.00,0.1412,1.30,761.5,17.2403,1.8875,98
240000,0,3,14.67,0.00,0.00,0.00,14.67,0.00,1.00,0.000,0.000,2598.4,662.8,1,0,4.00,1.00,1.00,0.1062,3.07,107934.2,0.0000,0.0000,11484
250000,8,381,10.75,0.04,0.12,0.03,10.56,0.00,1.02,0.000,0.053,240696.8,3529.1,4,0,2.68,1.03,1.02,0.4246,9.31,33627.0,21.3183,24.0959,4802
