run,seed,side,zone,from_k,leader_share,bodies
control,11,upper east,tropics,96,0.1154562383612663,537
control,11,upper west,north,32,0.0,6145
control,11,upper west,north,48,0.0,7528
control,11,upper west,north,64,0.010381745430950579,9247
control,11,upper west,north,80,0.0,8974
control,11,upper west,north,96,0.000683526999316473,1463
control,11,upper west,south,32,0.0,4668
control,11,upper west,south,48,0.26287597857437167,7281
control,11,upper west,south,64,0.3802709697061958,6569
control,11,upper west,south,80,0.0005331200852992136,7503
control,11,upper west,south,96,0.8075757575757576,1320
control,11,upper west,tropics,32,0.0,2176
control,11,upper west,tropics,48,0.024746192893401017,3152
control,11,upper west,tropics,64,0.46013071895424834,2295
control,11,upper west,tropics,80,0.00044742729306487697,2235
control,11,upper west,tropics,96,0.7452322738386308,2045
fresh 0.05,9,lower,north,32,0.8740317006316292,8391
fresh 0.05,9,lower,north,48,0.9506767842493847,9752
fresh 0.05,9,lower,north,64,0.8941515321225698,12499
fresh 0.05,9,lower,north,80,0.9355513856812933,13856
fresh 0.05,9,lower,north,96,0.9231210556511761,1743
fresh 0.05,9,lower,south,32,0.6974850995784271,6879
fresh 0.05,9,lower,south,48,0.7063681592039801,10050
fresh 0.05,9,lower,south,64,0.8830605830714209,9227
fresh 0.05,9,lower,south,80,0.8361445783132531,9130
fresh 0.05,9,lower,south,96,0.73220004927322,4059
fresh 0.05,9,lower,tropics,32,0.9511741122565864,13968
fresh 0.05,9,lower,tropics,48,0.9639065817409767,18840
fresh 0.05,9,lower,tropics,64,0.9766582496766644,16237
fresh 0.05,9,lower,tropics,80,0.9702795271240747,18102
fresh 0.05,9,lower,tropics,96,0.9222926000308975,6473
fresh 0.05,9,upper east,north,32,0.0,2537
fresh 0.05,9,upper east,north,48,0.0,3675
fresh 0.05,9,upper east,north,64,0.0,4521
fresh 0.05,9,upper east,north,80,0.0,4618
fresh 0.05,9,upper east,north,96,0.0,474
fresh 0.05,9,upper east,south,32,0.22565320665083136,1684
fresh 0.05,9,upper east,south,48,0.08442286141202839,2677
fresh 0.05,9,upper east,south,64,0.6517183570829841,2386
fresh 0.05,9,upper east,south,80,0.3483462350457424,2842
fresh 0.05,9,upper east,south,96,0.0997229916897507,1083
fresh 0.05,9,upper east,tropics,32,0.004484304932735426,446
fresh 0.05,9,upper east,tropics,48,0.0021390374331550803,935
fresh 0.05,9,upper east,tropics,64,0.19745222929936307,471
fresh 0.05,9,upper east,tropics,80,0.03442622950819672,610
fresh 0.05,9,upper east,tropics,96,0.022653721682847898,309
