step,pop,mean_energy,mean_res,stay,n,s,e,w,diversity,drift,births,deaths,steps_per_sec
190000,511,4.940,0.052,0.001,0.847,0.000,0.083,0.068,0.5067,0.7018,6405,6410,158255
200000,512,4.928,0.051,0.001,0.846,0.000,0.078,0.075,0.4989,0.6844,5786,5785,157967
210000,504,5.120,0.055,0.001,0.843,0.000,0.084,0.073,0.5123,0.5291,4974,4982,154411
220000,503,5.276,0.055,0.001,0.828,0.000,0.086,0.085,0.5307,0.7809,3945,3946,155399
230000,520,5.261,0.055,0.001,0.800,0.000,0.101,0.098,0.5163,0.5584,3463,3446,149095
240000,519,5.160,0.060,0.001,0.761,0.000,0.121,0.117,0.5063,0.5807,3307,3308,138350
250000,514,5.431,0.062,0.002,0.727,0.000,0.136,0.135,0.5023,0.6136,3592,3597,131470
260000,514,5.262,0.063,0.003,0.681,0.000,0.156,0.161,0.5065,0.5338,2981,2981,122457
270000,520,5.274,0.065,0.004,0.600,0.000,0.193,0.204,0.4955,0.5450,3247,3241,107888
280000,518,5.222,0.065,0.004,0.552,0.000,0.215,0.229,0.5025,0.2658,3299,3301,100568
290000,514,5.236,0.067,0.004,0.530,0.000,0.228,0.239,0.5143,0.3354,3348,3352,96359
300000,505,5.189,0.070,0.003,0.511,0.000,0.240,0.247,0.5387,0.5065,3495,3504,93880
310000,510,5.203,0.067,0.003,0.513,0.000,0.230,0.255,0.5539,0.2629,3426,3421,93871
320000,515,5.147,0.071,0.002,0.509,0.000,0.236,0.253,0.5729,0.4500,3390,3385,94524
330000,507,5.346,0.069,0.002,0.505,0.000,0.237,0.256,0.5744,0.5463,3430,3438,93302
340000,502,5.240,0.070,0.003,0.494,0.000,0.239,0.263,0.5757,0.4319,3365,3370,91268
350000,516,5.091,0.071,0.004,0.481,0.000,0.248,0.267,0.6026,0.3724,3435,3421,90093
360000,520,4.944,0.071,0.004,0.479,0.000,0.247,0.269,0.5974,0.4225,3482,3478,90720
370000,506,5.328,0.070,0.004,0.475,0.000,0.245,0.275,0.6049,0.3622,3460,3474,91375
380000,503,5.145,0.072,0.004,0.475,0.000,0.253,0.268,0.6118,0.3469,3431,3434,91122
390000,516,4.884,0.067,0.003,0.477,0.000,0.253,0.267,0.6453,0.3836,3447,3434,89819
400000,517,5.029,0.065,0.003,0.471,0.000,0.264,0.262,0.6366,0.3889,3378,3377,90921
410000,505,5.123,0.071,0.002,0.475,0.000,0.257,0.266,0.6388,0.3609,3390,3402,89989
420000,509,5.041,0.068,0.003,0.460,0.000,0.272,0.266,0.6486,0.3314,3518,3514,88748
430000,517,5.085,0.069,0.002,0.450,0.000,0.271,0.277,0.6606,0.2449,3636,3628,89521
440000,502,4.955,0.068,0.002,0.455,0.000,0.278,0.265,0.6615,0.3659,3631,3646,89158
450000,510,5.162,0.067,0.002,0.453,0.000,0.277,0.268,0.6674,0.5424,3481,3473,89206
460000,515,4.923,0.067,0.002,0.452,0.000,0.276,0.270,0.6899,0.3041,3479,3474,89317
470000,509,5.049,0.075,0.001,0.442,0.000,0.290,0.266,0.6928,0.4761,3611,3617,89062
480000,519,4.998,0.070,0.001,0.434,0.000,0.289,0.276,0.7085,0.4279,3548,3538,89006
490000,505,5.045,0.072,0.002,0.424,0.000,0.300,0.274,0.7218,0.3452,3734,3748,89267
500000,509,5.073,0.075,0.003,0.423,0.000,0.302,0.272,0.7311,0.3848,3576,3572,89641
510000,511,4.963,0.070,0.002,0.424,0.000,0.301,0.273,0.7481,0.4671,3549,3547,89212
520000,515,5.151,0.070,0.002,0.426,0.000,0.306,0.266,0.7522,0.9919,3525,3521,89309
530000,518,5.179,0.070,0.001,0.416,0.000,0.313,0.270,0.7528,0.6093,3586,3583,89619
540000,511,4.958,0.072,0.001,0.424,0.000,0.292,0.282,0.7612,0.4565,3477,3484,89789
550000,517,4.895,0.071,0.001,0.421,0.000,0.304,0.274,0.7740,0.4348,3588,3582,89331
560000,516,5.000,0.071,0.001,0.415,0.000,0.318,0.266,0.7711,0.6049,3644,3645,89070
570000,514,5.015,0.069,0.002,0.423,0.000,0.322,0.253,0.7884,0.6048,3526,3528,91020
580000,512,5.088,0.075,0.002,0.424,0.000,0.314,0.260,0.7990,0.7668,3412,3414,90788
590000,510,4.967,0.072,0.001,0.426,0.000,0.311,0.262,0.8101,0.3617,3320,3322,90020
600000,513,5.003,0.071,0.000,0.430,0.000,0.309,0.261,0.8196,0.2481,3500,3497,89490
610000,509,4.948,0.071,0.001,0.432,0.000,0.310,0.257,0.8277,0.3927,3553,3557,89683
620000,514,4.980,0.072,0.001,0.444,0.000,0.300,0.255,0.8355,0.3953,3476,3471,89752
630000,505,5.113,0.075,0.000,0.434,0.000,0.297,0.268,0.8367,0.3190,3491,3500,89061
640000,530,4.848,0.072,0.000,0.434,0.000,0.298,0.268,0.8432,0.3738,3556,3531,89497
650000,510,5.092,0.072,0.001,0.422,0.000,0.301,0.276,0.8468,0.4975,3456,3476,90093
660000,514,5.193,0.069,0.001,0.425,0.000,0.302,0.272,0.8398,0.4227,3531,3527,89662
670000,499,5.343,0.070,0.001,0.425,0.000,0.295,0.279,0.8446,0.5779,3626,3641,89043
680000,504,5.139,0.076,0.001,0.426,0.000,0.297,0.276,0.8497,0.3432,3427,3422,89624
690000,515,4.987,0.070,0.001,0.432,0.000,0.292,0.275,0.8589,0.5088,3341,3330,83963
700000,500,5.070,0.071,0.001,0.436,0.000,0.284,0.278,0.8692,0.3404,3339,3354,87686
710000,520,5.047,0.069,0.001,0.425,0.000,0.293,0.280,0.8775,0.5574,3405,3385,89960
720000,511,5.147,0.073,0.001,0.431,0.000,0.298,0.270,0.8877,0.4968,3422,3431,90006
730000,512,5.094,0.075,0.001,0.431,0.000,0.280,0.288,0.8910,0.4120,3383,3382,89772
740000,502,5.406,0.073,0.001,0.437,0.000,0.284,0.279,0.9048,0.4204,3437,3447,90151
750000,527,4.858,0.069,0.001,0.443,0.000,0.276,0.279,0.9182,0.5576,3519,3494,90375
760000,506,5.072,0.074,0.001,0.433,0.000,0.287,0.279,0.9101,0.3576,3376,3397,89860
770000,519,4.888,0.067,0.001,0.437,0.000,0.285,0.277,0.9145,0.4424,3332,3319,89522
780000,510,4.914,0.072,0.001,0.439,0.000,0.285,0.275,0.9331,0.6121,3328,3337,90051
790000,511,4.970,0.074,0.001,0.436,0.000,0.296,0.267,0.9253,0.5764,3404,3403,90366
800000,499,5.270,0.070,0.001,0.428,0.000,0.295,0.276,0.9163,0.4401,3392,3404,89575
810000,506,5.259,0.070,0.001,0.425,0.000,0.296,0.278,0.9187,0.3415,3333,3326,90122
820000,511,5.260,0.071,0.001,0.415,0.000,0.311,0.274,0.9131,0.9814,3316,3311,89156
830000,509,5.124,0.069,0.000,0.432,0.000,0.298,0.270,0.9302,0.5029,3365,3367,90002
840000,506,4.865,0.074,0.001,0.419,0.000,0.311,0.269,0.9381,0.5700,3313,3316,90717
850000,513,5.065,0.071,0.000,0.430,0.000,0.305,0.264,0.9116,0.7444,3277,3270,85723
860000,515,5.149,0.072,0.000,0.427,0.000,0.308,0.265,0.9035,0.4869,3458,3456,90113
870000,514,5.076,0.071,0.001,0.418,0.000,0.315,0.267,0.8841,0.4316,3327,3328,90442
880000,511,5.066,0.070,0.001,0.415,0.000,0.312,0.272,0.8908,0.6465,3528,3531,90568
890000,517,4.952,0.072,0.001,0.425,0.000,0.304,0.270,0.9065,0.6119,3603,3597,89324
900000,515,5.162,0.070,0.001,0.421,0.000,0.310,0.268,0.9044,0.4924,3542,3544,90160
910000,507,4.972,0.073,0.001,0.412,0.000,0.303,0.284,0.9061,0.3554,3501,3509,89952
920000,514,5.203,0.067,0.000,0.414,0.000,0.311,0.275,0.8878,0.5784,3498,3491,90632
930000,523,5.034,0.071,0.000,0.417,0.001,0.311,0.271,0.9167,0.4584,3415,3406,89979
940000,507,5.147,0.071,0.000,0.409,0.008,0.314,0.269,0.9182,0.6006,3370,3386,91165
950000,510,5.092,0.068,0.001,0.395,0.022,0.329,0.253,0.8924,0.5768,3127,3124,91405
960000,521,4.964,0.066,0.000,0.377,0.031,0.327,0.265,0.9158,0.4762,3178,3167,89656
970000,517,4.887,0.070,0.000,0.373,0.039,0.320,0.266,0.9358,0.6692,3039,3043,89592
980000,510,5.136,0.067,0.000,0.360,0.042,0.315,0.282,0.9638,0.6070,2996,3003,90631
990000,503,4.916,0.068,0.000,0.363,0.047,0.317,0.273,0.9425,0.4157,3094,3101,89929
1000000,511,5.042,0.071,0.000,0.358,0.050,0.308,0.284,0.9747,0.5542,3029,3021,90275
