step,pop,mean_energy,mean_res,stay,n,s,e,w,diversity,drift,births,deaths,steps_per_sec
730000,517,5.196,0.063,0.000,0.253,0.254,0.221,0.271,0.6918,0.4135,2667,2668,86933
740000,502,5.329,0.063,0.000,0.258,0.253,0.213,0.276,0.7032,0.2807,2818,2833,85273
750000,513,5.181,0.065,0.000,0.267,0.250,0.214,0.269,0.7252,0.2880,2708,2697,84817
760000,502,5.101,0.067,0.000,0.274,0.254,0.219,0.253,0.7370,0.2911,2804,2815,85660
770000,505,5.476,0.068,0.000,0.272,0.258,0.212,0.258,0.7241,0.3049,2872,2869,81077
780000,513,5.014,0.064,0.000,0.257,0.251,0.230,0.262,0.6867,0.5791,3026,3018,86004
790000,519,5.054,0.064,0.000,0.252,0.255,0.221,0.271,0.7212,0.5648,2756,2750,85895
800000,514,5.036,0.063,0.000,0.258,0.251,0.220,0.271,0.7396,0.4323,3030,3035,86136
810000,506,5.166,0.065,0.000,0.261,0.248,0.215,0.276,0.7223,0.3324,2922,2930,85882
820000,510,4.962,0.065,0.000,0.261,0.260,0.217,0.262,0.6779,0.8476,3060,3056,85370
830000,516,5.101,0.067,0.001,0.262,0.255,0.217,0.265,0.7411,0.8679,2759,2753,86550
840000,526,4.900,0.065,0.001,0.261,0.252,0.226,0.260,0.6753,1.0629,3010,3000,85945
850000,516,5.197,0.068,0.002,0.250,0.254,0.237,0.257,0.7179,0.8795,3380,3390,85246
860000,523,5.089,0.066,0.002,0.249,0.250,0.236,0.263,0.6321,1.5425,3227,3220,86550
870000,512,5.277,0.066,0.002,0.250,0.255,0.235,0.257,0.6943,0.9661,3121,3132,86201
880000,508,5.152,0.066,0.003,0.242,0.242,0.243,0.269,0.6668,0.4304,3175,3179,85430
890000,507,4.986,0.070,0.003,0.246,0.246,0.234,0.270,0.6454,0.9644,2949,2950,85787
900000,500,5.284,0.063,0.003,0.249,0.244,0.243,0.261,0.6610,0.5552,2890,2897,85199
910000,506,5.090,0.065,0.001,0.243,0.251,0.239,0.266,0.6595,0.3571,2620,2614,86491
920000,516,4.922,0.066,0.001,0.252,0.249,0.240,0.258,0.6436,0.2040,2667,2657,87131
930000,510,5.217,0.064,0.002,0.249,0.246,0.247,0.256,0.6231,0.4327,2740,2746,88681
940000,509,5.239,0.065,0.001,0.248,0.245,0.252,0.253,0.6149,0.4216,2727,2728,87572
950000,502,5.344,0.065,0.001,0.239,0.245,0.251,0.263,0.6217,1.0718,3161,3168,88475
960000,516,5.245,0.062,0.001,0.238,0.248,0.255,0.257,0.5981,1.1835,3038,3024,86251
970000,507,5.075,0.065,0.001,0.256,0.240,0.248,0.255,0.6100,0.4534,3439,3448,87887
980000,522,4.881,0.064,0.001,0.253,0.241,0.248,0.257,0.6240,1.4530,3369,3354,88179
990000,507,5.033,0.066,0.001,0.255,0.241,0.239,0.263,0.6357,1.3533,2986,3001,88138
1000000,512,5.191,0.067,0.002,0.255,0.240,0.240,0.263,0.6388,0.7467,3167,3162,88499
