step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2
89000,2727,0.5083,58143.3,845,1090,907,730,78,88,102,17823,21224,28085,0,0,0,1.000,1.000,1.000,798,249,39
90000,2339,0.5041,47711.8,842,906,873,560,74,63,105,22690,24983,31331,0,0,0,1.000,1.000,1.000,680,254,42
91000,2057,0.5061,40900.5,808,950,703,404,87,64,83,24378,29995,35107,0,0,0,1.000,1.000,1.000,773,226,24
92000,1542,0.5746,28397.1,864,822,461,259,66,76,69,30212,35642,39585,0,0,0,1.000,1.000,1.000,704,146,20
93000,1110,0.6189,14857.1,845,685,247,178,48,45,65,35515,41169,44287,0,0,0,1.000,1.000,1.000,588,83,13
94000,610,0.6639,8570.4,930,462,94,54,18,47,42,37825,44122,46569,0,0,0,1.000,1.000,1.000,397,40,4
95000,410,0.5683,4854.6,776,349,48,13,7,34,13,39947,45396,47160,0,0,0,1.000,1.000,1.000,329,17,0
96000,484,0.5579,4587.7,509,399,55,30,5,42,30,40769,45765,47152,0,0,0,1.000,1.000,1.000,359,9,1
97000,573,0.5445,5907.8,511,474,49,50,6,40,33,39254,45259,46847,0,0,0,1.000,1.000,1.000,419,8,4
98000,827,0.4909,10149.9,532,582,183,62,19,77,54,36505,43513,46634,0,0,0,1.000,1.000,1.000,531,101,5
99000,1438,0.4437,16525.3,487,850,370,218,41,92,70,32278,40340,45321,0,0,0,1.000,1.000,1.000,740,116,22
100000,2082,0.4510,28124.5,554,1007,622,453,62,94,74,27897,34262,40953,0,0,0,1.000,1.000,1.000,800,242,55
