step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water
100000,32.81,48,0,0,0,30,0,1.00,20,0.000,1879,3.77,196.57,9.43,683,1,1,0,1.00,1.00,1.00,6,5,11,27.2,125.876,30,1.094,0.388,11,1.000
100000,8.00,25,0,0,0,4,0,1.00,12,0.000,1870,0.00,42.95,9.37,682,1,1,0,1.00,1.00,1.00,2,2,2,26.4,2.744,4,2.000,0.141,5,1.000
100000,5.29,10,0,0,0,6,0,1.00,26,0.000,1851,0.00,36.96,10.66,629,0,0,0,1.00,1.00,1.00,2,2,3,18.6,0.000,6,0.882,0.402,9,1.000
100000,50.00,25,0,15,0,10,0,1.00,0,0.300,1845,0.00,6.65,7.89,682,0,0,0,1.00,1.00,1.00,4,5,5,20.2,0.000,25,2.000,0.120,5,1.000
100000,34.00,25,1,11,0,4,0,1.00,0,0.324,1837,0.00,59.28,83.96,481,0,0,0,1.00,1.00,1.00,4,5,5,15.4,0.000,16,2.000,0.056,5,1.000
100000,18.00,16,0,8,0,1,0,1.00,2,0.444,1830,0.00,2.53,25.20,682,0,0,0,1.00,1.00,1.00,2,4,3,12.5,0.000,9,2.000,0.157,4,1.000
100000,23.97,30,11,0,0,1,0,6.78,14,0.000,1818,0.00,52.03,11.51,299,0,0,0,6.25,8.25,6.40,3,5,4,20.6,11.093,12,1.042,0.481,8,1.000
100000,26.00,16,0,9,0,4,0,1.00,0,0.346,1815,4.48,93.92,197.29,481,0,1,0,1.00,1.00,1.00,2,4,4,13.8,85.501,13,2.000,0.127,4,1.000
100000,8.02,14,0,0,0,8,0,1.00,32,0.000,1793,0.75,172.16,35.35,683,2,2,0,1.00,1.00,1.00,1,2,4,37.8,40.096,8,1.002,0.341,11,0.913
100000,26.00,16,1,7,0,4,0,1.00,0,0.269,1778,2.35,108.50,52.51,481,0,2,0,1.00,1.00,1.00,2,4,4,24.4,89.294,12,2.000,0.082,4,1.000
100000,10.00,25,0,1,0,4,0,1.00,8,0.100,1754,0.00,77.09,81.26,682,0,0,0,1.00,1.00,1.00,2,1,5,21.2,23.108,5,2.000,0.120,5,1.000
100000,40.00,36,0,11,0,9,0,1.00,4,0.275,1740,0.00,4.39,27.92,682,0,0,0,1.00,1.00,1.00,4,5,5,21.3,0.001,20,2.000,0.445,6,1.000
100000,9.21,8,0,0,0,8,0,1.00,22,0.000,1713,1.36,109.86,26.57,299,1,0,0,1.00,1.00,1.00,2,3,4,26.3,37.079,8,1.152,0.386,9,0.658
100000,16.00,16,0,3,0,5,0,1.00,4,0.188,1707,0.00,36.15,77.11,682,0,0,0,1.00,1.00,1.00,1,3,3,14.4,20.612,8,2.000,0.146,4,1.000
100000,16.00,16,4,0,0,0,0,6.00,8,0.000,1696,0.00,62.77,26.67,481,0,0,0,6.00,6.00,6.00,1,2,2,13.8,33.375,4,2.000,0.146,4,1.000
100000,4.00,16,0,0,0,2,0,1.00,10,0.000,1693,0.00,41.06,60.70,682,0,1,0,1.00,1.00,1.00,2,2,1,21.6,4.268,2,2.000,0.096,4,1.000
100000,8.00,64,0,2,0,2,0,1.00,20,0.250,1665,0.00,25.21,18.31,692,0,0,0,1.00,1.00,1.00,3,8,4,25.2,11.009,4,2.000,0.011,8,1.000
100000,30.00,16,0,11,0,4,0,1.00,0,0.367,1660,0.38,38.44,159.05,481,1,1,0,1.00,1.00,1.00,2,4,4,37.5,41.715,15,2.000,0.127,4,0.030
100000,48.87,41,6,0,0,34,0,2.28,0,0.000,1659,0.16,196.84,61.85,694,0,0,0,1.00,2.75,2.69,5,8,8,18.6,118.478,40,1.062,0.465,8,1.000
100000,40.00,25,0,10,0,10,0,1.00,0,0.250,1639,0.00,76.78,72.85,682,0,0,0,1.00,1.00,1.00,4,5,5,19.8,73.409,20,2.000,0.120,5,1.000
100000,34.00,41,6,0,0,20,0,2.71,8,0.000,1639,0.00,235.50,91.44,694,0,0,0,1.00,4.50,2.69,4,8,4,14.4,85.513,26,1.062,0.465,8,1.000
100000,5.28,10,0,0,0,6,0,1.00,26,0.000,1633,1.23,55.94,14.61,629,0,0,0,1.00,1.00,1.00,2,2,3,14.5,1.814,6,0.880,0.412,9,1.000
100000,24.00,16,0,6,0,6,0,1.00,0,0.250,1619,4.06,43.78,9.06,682,0,0,0,1.00,1.00,1.00,3,4,4,18.0,8.743,12,2.000,0.142,4,1.000
100000,114.00,64,26,1,0,4,1,9.25,4,0.009,1605,0.00,6.79,16.19,682,0,0,1,12.00,11.00,7.56,6,8,8,20.4,0.000,31,2.000,0.185,8,1.000
100000,3.66,12,0,0,0,3,0,1.00,28,0.000,1596,1.85,126.12,1.91,299,0,2,0,1.00,1.00,1.00,2,3,1,23.6,18.324,3,1.222,0.454,9,1.000
100000,34.00,25,0,10,0,7,0,1.00,0,0.294,1580,0.00,25.09,57.67,682,0,0,0,1.00,1.00,1.00,3,5,5,21.8,0.005,17,2.000,0.120,5,1.000
100000,22.00,25,0,5,0,6,0,1.00,4,0.227,1551,0.00,1.67,20.93,481,0,1,0,1.00,1.00,1.00,1,4,4,14.5,0.000,11,2.000,0.144,5,1.000
100000,68.00,25,11,6,0,6,0,4.35,0,0.088,1548,4.35,58.30,70.05,682,0,0,2,1.00,6.00,5.20,4,5,5,15.8,48.641,23,2.000,0.246,5,1.000
100000,28.00,16,4,4,0,2,0,2.21,2,0.143,1526,2.90,38.60,26.04,682,0,0,1,2.25,2.75,1.83,2,3,4,17.8,13.258,10,2.000,0.175,4,1.000
