step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,stay,n,s,e,w,steps_per_sec,speed_mean,speed_std,metabolism_mean,metabolism_std,sense_mean,sense_std,size_mean,size_std,lifespan_mean,lifespan_std,greed_mean,greed_std,boldness_mean,boldness_std,fertility_mean,fertility_std
780000,742,3.405,0.038,15.35,13358,7493,5862,0.001,0.000,0.801,0.049,0.149,42672,0.0152,0.0125,0.5549,0.1617,0.0433,0.0288,0.0410,0.0337,0.4058,0.0990,0.9001,0.0832,0.6699,0.1362,0.9303,0.0576
790000,746,3.226,0.040,15.68,13533,7420,6109,0.000,0.000,0.794,0.055,0.150,40651,0.0129,0.0090,0.5299,0.1975,0.0378,0.0326,0.0420,0.0346,0.4001,0.0938,0.8866,0.0923,0.7430,0.1812,0.9446,0.0377
800000,724,3.312,0.043,16.32,13028,6735,6315,0.000,0.001,0.796,0.059,0.145,40898,0.0135,0.0114,0.5147,0.2176,0.0360,0.0329,0.0481,0.0329,0.4122,0.1021,0.8569,0.0958,0.7373,0.2026,0.9502,0.0349
810000,743,3.265,0.043,16.67,12969,6684,6266,0.000,0.000,0.792,0.047,0.160,40049,0.0147,0.0126,0.5392,0.2056,0.0273,0.0249,0.0426,0.0330,0.3989,0.1067,0.8327,0.1213,0.7907,0.2093,0.9508,0.0323
820000,738,3.353,0.042,17.38,13482,7193,6294,0.001,0.001,0.773,0.047,0.179,37445,0.0135,0.0134,0.5436,0.1777,0.0237,0.0237,0.0430,0.0344,0.3858,0.1061,0.7497,0.1750,0.8983,0.0965,0.9516,0.0319
830000,750,3.226,0.041,17.50,13777,7496,6269,0.000,0.001,0.774,0.045,0.180,36539,0.0120,0.0121,0.6098,0.1975,0.0257,0.0255,0.0430,0.0317,0.3935,0.1017,0.7146,0.1923,0.9011,0.1046,0.9544,0.0385
840000,739,3.243,0.039,18.54,14071,8046,6036,0.000,0.001,0.783,0.048,0.167,35056,0.0127,0.0111,0.5792,0.2108,0.0275,0.0249,0.0387,0.0339,0.4041,0.1101,0.6857,0.1866,0.8917,0.1144,0.9556,0.0436
850000,747,3.137,0.042,19.28,13494,7538,5948,0.001,0.002,0.795,0.058,0.145,34236,0.0110,0.0098,0.5818,0.2077,0.0306,0.0221,0.0407,0.0236,0.4466,0.1188,0.7375,0.1955,0.8392,0.1522,0.9627,0.0286
860000,728,3.242,0.042,19.82,13385,7520,5884,0.001,0.001,0.796,0.072,0.130,33676,0.0149,0.0141,0.5988,0.1791,0.0326,0.0265,0.0470,0.0280,0.4231,0.1104,0.6407,0.2121,0.8853,0.1310,0.9655,0.0302
870000,765,3.087,0.040,20.04,13912,8061,5814,0.001,0.001,0.781,0.059,0.158,31229,0.0109,0.0096,0.6179,0.1661,0.0301,0.0325,0.0401,0.0249,0.4277,0.1165,0.6754,0.2052,0.8963,0.1268,0.9648,0.0283
880000,745,3.194,0.041,19.53,13839,8116,5743,0.001,0.001,0.790,0.064,0.145,32060,0.0122,0.0135,0.6261,0.2013,0.0291,0.0252,0.0457,0.0316,0.4085,0.1123,0.7623,0.1625,0.8718,0.1093,0.9461,0.0530
890000,748,3.282,0.040,19.45,13398,7506,5889,0.000,0.001,0.797,0.060,0.142,33389,0.0111,0.0110,0.6383,0.1965,0.0291,0.0245,0.0414,0.0264,0.4261,0.1043,0.7684,0.1698,0.8739,0.0962,0.9392,0.0488
900000,736,3.261,0.042,19.54,12938,7567,5383,0.001,0.000,0.792,0.071,0.136,34212,0.0121,0.0116,0.6426,0.1958,0.0293,0.0260,0.0441,0.0294,0.4633,0.1072,0.8106,0.1358,0.8667,0.0964,0.9392,0.0454
910000,770,3.108,0.040,19.45,12817,7274,5509,0.001,0.001,0.795,0.057,0.147,33711,0.0122,0.0124,0.6523,0.1890,0.0246,0.0230,0.0367,0.0275,0.4455,0.1123,0.8022,0.1427,0.8412,0.1180,0.9531,0.0428
920000,750,3.139,0.039,18.87,13403,7928,5495,0.001,0.000,0.798,0.052,0.148,33500,0.0106,0.0107,0.6004,0.1972,0.0250,0.0242,0.0428,0.0293,0.4163,0.1029,0.7731,0.1688,0.8727,0.1190,0.9560,0.0380
930000,758,3.230,0.039,18.61,14298,8490,5800,0.000,0.002,0.792,0.053,0.152,33628,0.0099,0.0092,0.6347,0.2202,0.0258,0.0246,0.0423,0.0270,0.4269,0.1059,0.8190,0.1558,0.8393,0.1467,0.9523,0.0361
940000,738,3.277,0.042,18.19,13313,7574,5759,0.000,0.003,0.793,0.059,0.144,35507,0.0107,0.0097,0.5585,0.2076,0.0237,0.0215,0.0469,0.0361,0.4249,0.1054,0.8503,0.1203,0.8859,0.1128,0.9517,0.0399
950000,750,3.276,0.041,19.18,13487,7342,6133,0.000,0.001,0.792,0.047,0.160,34654,0.0102,0.0095,0.6398,0.1986,0.0187,0.0189,0.0402,0.0335,0.4178,0.1034,0.8776,0.1096,0.8188,0.1782,0.9507,0.0357
960000,732,3.332,0.041,19.35,13637,7471,6184,0.000,0.001,0.804,0.034,0.161,33038,0.0110,0.0127,0.6712,0.2200,0.0225,0.0230,0.0409,0.0284,0.4131,0.1002,0.8763,0.1141,0.7319,0.1776,0.9485,0.0428
970000,764,3.207,0.039,18.67,13008,7112,5864,0.000,0.000,0.797,0.046,0.156,35206,0.0117,0.0108,0.6822,0.2375,0.0234,0.0242,0.0426,0.0324,0.4281,0.1042,0.8507,0.1372,0.7444,0.1636,0.9475,0.0392
980000,742,3.400,0.043,17.61,12874,6896,6000,0.000,0.000,0.785,0.060,0.154,36988,0.0100,0.0092,0.6146,0.2408,0.0320,0.0286,0.0482,0.0349,0.4134,0.0999,0.8975,0.0744,0.7649,0.1514,0.9336,0.0452
990000,727,3.399,0.042,18.06,13195,7179,6031,0.000,0.000,0.797,0.056,0.146,36815,0.0095,0.0099,0.6654,0.2528,0.0293,0.0222,0.0401,0.0314,0.4221,0.0957,0.8847,0.1356,0.7734,0.1341,0.9352,0.0448
1000000,740,3.372,0.039,18.27,13299,7392,5894,0.000,0.000,0.806,0.060,0.134,36274,0.0088,0.0095,0.5886,0.2480,0.0265,0.0231,0.0389,0.0335,0.4343,0.1033,0.8772,0.1406,0.8143,0.1202,0.9406,0.0464
