step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,stay,n,s,e,w,steps_per_sec,speed_mean,speed_std,metabolism_mean,metabolism_std,sense_mean,sense_std,size_mean,size_std,lifespan_mean,lifespan_std,greed_mean,greed_std,boldness_mean,boldness_std,fertility_mean,fertility_std
540000,657,3.767,0.055,17.07,7487,2086,5408,0.002,0.241,0.207,0.255,0.296,39668,0.0323,0.0207,0.5739,0.3608,0.0491,0.0276,0.0902,0.0371,0.5162,0.0833,0.4345,0.2043,0.7723,0.0794,0.9218,0.0418
550000,676,3.798,0.053,16.71,7460,2066,5375,0.002,0.244,0.198,0.261,0.295,39703,0.0316,0.0200,0.5311,0.3598,0.0543,0.0285,0.0834,0.0341,0.5107,0.0914,0.5017,0.1794,0.7877,0.0894,0.9119,0.0502
560000,666,3.807,0.053,17.03,7427,2102,5335,0.002,0.233,0.200,0.265,0.300,40185,0.0306,0.0210,0.5537,0.3646,0.0502,0.0263,0.0855,0.0356,0.5110,0.0863,0.5356,0.1489,0.8068,0.0907,0.8974,0.0498
570000,666,3.818,0.053,16.45,7391,2183,5208,0.002,0.223,0.202,0.289,0.285,40666,0.0339,0.0207,0.4846,0.3560,0.0571,0.0274,0.0886,0.0317,0.5193,0.0791,0.5765,0.1140,0.7963,0.0913,0.8993,0.0548
580000,654,3.857,0.056,16.32,7361,2081,5292,0.002,0.214,0.202,0.274,0.308,41223,0.0371,0.0218,0.5034,0.3513,0.0590,0.0238,0.0901,0.0319,0.5190,0.0786,0.5666,0.1206,0.8005,0.0860,0.9012,0.0506
590000,662,3.691,0.055,16.92,7346,2042,5296,0.002,0.211,0.201,0.274,0.312,40914,0.0355,0.0214,0.5244,0.3558,0.0562,0.0250,0.0865,0.0324,0.5185,0.0757,0.5665,0.1221,0.7855,0.0825,0.9055,0.0501
600000,653,3.842,0.055,16.92,7463,2111,5361,0.002,0.224,0.205,0.258,0.310,40094,0.0356,0.0196,0.5078,0.3667,0.0572,0.0245,0.0832,0.0330,0.5033,0.0783,0.5610,0.1444,0.7918,0.0866,0.9077,0.0421
610000,692,3.648,0.052,17.22,7698,2161,5498,0.002,0.222,0.197,0.265,0.315,34578,0.0330,0.0203,0.5316,0.3812,0.0506,0.0241,0.0760,0.0286,0.4898,0.0860,0.5432,0.1388,0.7928,0.0804,0.9087,0.0472
620000,670,3.865,0.052,17.28,7708,2029,5701,0.003,0.234,0.211,0.256,0.297,38846,0.0309,0.0189,0.5559,0.3806,0.0480,0.0229,0.0793,0.0314,0.4974,0.0803,0.5342,0.1307,0.7917,0.0854,0.9088,0.0391
630000,670,3.808,0.054,17.51,7606,2072,5534,0.002,0.235,0.204,0.259,0.300,38587,0.0301,0.0209,0.5197,0.3853,0.0462,0.0230,0.0764,0.0309,0.5051,0.0868,0.5752,0.1164,0.8036,0.0841,0.9007,0.0551
640000,667,3.748,0.055,17.77,7509,1967,5545,0.003,0.220,0.209,0.253,0.315,38952,0.0316,0.0195,0.5060,0.3795,0.0505,0.0280,0.0805,0.0336,0.5048,0.0831,0.5625,0.1326,0.7966,0.0904,0.9021,0.0498
650000,681,3.867,0.054,17.63,7603,2132,5457,0.003,0.217,0.213,0.254,0.313,38568,0.0316,0.0203,0.4764,0.3786,0.0502,0.0267,0.0764,0.0332,0.5019,0.0849,0.5714,0.1367,0.7910,0.0890,0.9053,0.0513
660000,658,3.764,0.057,17.71,7622,2080,5565,0.003,0.237,0.204,0.245,0.311,38061,0.0291,0.0272,0.5281,0.3839,0.0483,0.0288,0.0776,0.0336,0.5090,0.0844,0.5818,0.1297,0.8053,0.0971,0.9070,0.0550
670000,686,3.783,0.052,17.70,7515,2075,5412,0.003,0.236,0.208,0.256,0.297,38359,0.0292,0.0221,0.5351,0.3828,0.0452,0.0244,0.0752,0.0336,0.5220,0.0860,0.5610,0.1446,0.7973,0.0927,0.9140,0.0565
680000,680,3.658,0.052,17.73,7471,2079,5398,0.003,0.241,0.197,0.270,0.290,38456,0.0281,0.0204,0.5290,0.3856,0.0462,0.0251,0.0718,0.0296,0.5102,0.0897,0.5517,0.1658,0.7888,0.0958,0.9199,0.0443
690000,682,3.664,0.051,17.77,7606,2077,5527,0.002,0.241,0.196,0.263,0.298,38369,0.0267,0.0229,0.5616,0.3802,0.0470,0.0265,0.0751,0.0318,0.5086,0.0891,0.5499,0.1654,0.7941,0.0958,0.9194,0.0476
700000,676,3.728,0.054,17.66,7649,2152,5503,0.003,0.240,0.194,0.263,0.300,38001,0.0289,0.0250,0.5026,0.3735,0.0493,0.0300,0.0779,0.0377,0.5098,0.0877,0.5651,0.1678,0.7822,0.0911,0.9161,0.0516
710000,674,3.724,0.053,18.45,7623,2172,5453,0.002,0.240,0.192,0.261,0.304,37806,0.0281,0.0227,0.5367,0.3767,0.0436,0.0246,0.0799,0.0393,0.5107,0.0791,0.5357,0.1792,0.7783,0.0915,0.9115,0.0438
720000,661,3.817,0.052,18.11,7634,2164,5483,0.002,0.231,0.199,0.257,0.311,37745,0.0297,0.0215,0.4922,0.3717,0.0465,0.0284,0.0808,0.0354,0.5162,0.0856,0.5600,0.1607,0.7668,0.0978,0.9094,0.0497
730000,671,3.745,0.056,17.92,7654,2115,5529,0.002,0.227,0.206,0.261,0.303,37859,0.0322,0.0221,0.4764,0.3597,0.0515,0.0255,0.0799,0.0377,0.4965,0.0900,0.5341,0.1812,0.7483,0.1038,0.9113,0.0468
740000,653,3.755,0.058,17.61,7626,1957,5687,0.002,0.217,0.209,0.277,0.296,38395,0.0341,0.0250,0.4849,0.3561,0.0534,0.0286,0.0817,0.0429,0.4987,0.0979,0.5321,0.1766,0.7542,0.1026,0.9072,0.0529
750000,659,3.716,0.055,17.87,7690,1987,5697,0.002,0.210,0.210,0.261,0.317,38515,0.0334,0.0176,0.5098,0.3570,0.0573,0.0278,0.0804,0.0379,0.4878,0.0954,0.5276,0.1589,0.7437,0.0857,0.9165,0.0405
760000,668,3.758,0.053,18.78,7793,2049,5735,0.002,0.221,0.193,0.273,0.312,37116,0.0340,0.0205,0.5050,0.3572,0.0614,0.0356,0.0743,0.0306,0.4937,0.0836,0.5348,0.1441,0.7507,0.0779,0.9147,0.0417
770000,657,3.743,0.055,18.87,7737,2068,5680,0.003,0.225,0.189,0.279,0.304,36526,0.0324,0.0198,0.5384,0.3670,0.0592,0.0316,0.0706,0.0321,0.4880,0.0876,0.5251,0.1298,0.7579,0.0706,0.9167,0.0371
780000,675,3.786,0.053,18.16,7827,2013,5796,0.003,0.217,0.185,0.276,0.319,37029,0.0331,0.0209,0.5269,0.3459,0.0518,0.0273,0.0756,0.0335,0.4679,0.0988,0.5037,0.1438,0.7425,0.0830,0.9150,0.0449
790000,656,3.789,0.054,17.40,8060,1972,6107,0.002,0.225,0.188,0.258,0.327,37677,0.0327,0.0206,0.5266,0.3390,0.0527,0.0275,0.0727,0.0354,0.4684,0.1033,0.5144,0.1463,0.7323,0.0790,0.9144,0.0403
800000,678,3.755,0.053,17.47,7952,1939,5991,0.003,0.224,0.191,0.272,0.310,38265,0.0322,0.0205,0.4904,0.3290,0.0550,0.0242,0.0737,0.0312,0.4783,0.0895,0.5283,0.1360,0.7473,0.0847,0.9143,0.0455
810000,678,3.867,0.055,17.68,7916,1887,6029,0.003,0.216,0.195,0.269,0.316,38386,0.0339,0.0216,0.4915,0.3359,0.0541,0.0253,0.0763,0.0308,0.4683,0.0975,0.5337,0.1440,0.7539,0.0729,0.9138,0.0451
820000,682,3.873,0.050,17.43,7869,1899,5966,0.003,0.216,0.199,0.263,0.319,38186,0.0341,0.0220,0.5012,0.3288,0.0516,0.0238,0.0743,0.0296,0.4817,0.0990,0.5400,0.1249,0.7509,0.0840,0.9124,0.0422
830000,674,3.774,0.054,18.08,7821,1882,5947,0.003,0.218,0.197,0.279,0.303,37701,0.0333,0.0206,0.5228,0.3262,0.0533,0.0289,0.0689,0.0317,0.4696,0.0942,0.5440,0.1371,0.7558,0.0877,0.9145,0.0452
840000,693,3.681,0.053,18.68,8132,1715,6398,0.002,0.247,0.173,0.267,0.311,36011,0.0278,0.0222,0.5723,0.3178,0.0478,0.0314,0.0615,0.0390,0.4458,0.1163,0.5357,0.1374,0.7623,0.0872,0.9212,0.0481
850000,694,3.654,0.051,18.14,8267,1818,6448,0.002,0.242,0.177,0.266,0.313,35599,0.0316,0.0210,0.5438,0.3353,0.0446,0.0260,0.0649,0.0355,0.4655,0.1017,0.5445,0.1361,0.7593,0.0773,0.9286,0.0389
860000,684,3.782,0.051,17.44,8147,1763,6394,0.002,0.228,0.181,0.273,0.317,36764,0.0357,0.0260,0.5360,0.3307,0.0479,0.0270,0.0666,0.0375,0.4592,0.1071,0.5406,0.1308,0.7677,0.0806,0.9261,0.0419
870000,693,3.724,0.052,17.14,8142,1830,6303,0.002,0.211,0.184,0.292,0.311,37627,0.0353,0.0243,0.5360,0.3297,0.0513,0.0277,0.0624,0.0311,0.4531,0.1100,0.5438,0.1155,0.7663,0.0719,0.9293,0.0357
880000,683,3.687,0.053,17.25,8344,1912,6442,0.003,0.228,0.184,0.296,0.288,37654,0.0355,0.0235,0.5053,0.3180,0.0565,0.0324,0.0636,0.0343,0.4579,0.1022,0.5437,0.1307,0.7553,0.0748,0.9330,0.0383
890000,683,3.680,0.054,17.16,8270,1862,6408,0.003,0.236,0.177,0.273,0.311,37376,0.0340,0.0234,0.5361,0.3158,0.0548,0.0287,0.0619,0.0357,0.4511,0.1053,0.5648,0.1385,0.7422,0.0788,0.9391,0.0321
900000,696,3.615,0.052,16.99,8430,1945,6472,0.002,0.232,0.169,0.293,0.304,37444,0.0360,0.0235,0.5093,0.3261,0.0544,0.0290,0.0583,0.0326,0.4578,0.1052,0.5595,0.1282,0.7606,0.0850,0.9350,0.0342
910000,691,3.732,0.054,16.47,8299,1875,6429,0.002,0.224,0.169,0.295,0.310,37946,0.0344,0.0220,0.5491,0.3135,0.0499,0.0236,0.0592,0.0312,0.4438,0.1027,0.5432,0.1246,0.7528,0.0717,0.9368,0.0301
920000,691,3.694,0.052,16.26,8614,1951,6663,0.002,0.236,0.160,0.302,0.300,37789,0.0339,0.0205,0.5162,0.3128,0.0548,0.0248,0.0552,0.0301,0.4410,0.1140,0.5469,0.1119,0.7284,0.0884,0.9373,0.0315
930000,699,3.703,0.051,16.51,8425,1757,6660,0.001,0.232,0.168,0.307,0.291,38042,0.0331,0.0201,0.5026,0.3023,0.0545,0.0287,0.0523,0.0294,0.4436,0.1026,0.5391,0.1200,0.7184,0.0887,0.9348,0.0337
940000,688,3.651,0.051,16.45,8532,1791,6752,0.001,0.231,0.173,0.304,0.291,37650,0.0333,0.0214,0.5149,0.2938,0.0592,0.0356,0.0514,0.0342,0.4357,0.1006,0.5371,0.1196,0.7127,0.0902,0.9372,0.0305
950000,688,3.733,0.053,16.82,8374,1773,6601,0.001,0.245,0.170,0.290,0.294,37429,0.0295,0.0181,0.5013,0.3004,0.0560,0.0294,0.0455,0.0305,0.4511,0.1008,0.5743,0.1254,0.7058,0.0918,0.9416,0.0313
960000,710,3.712,0.051,16.21,8463,1811,6630,0.001,0.245,0.172,0.301,0.281,37512,0.0287,0.0196,0.5502,0.2934,0.0531,0.0277,0.0427,0.0312,0.4426,0.1053,0.5681,0.1284,0.7024,0.0876,0.9474,0.0272
970000,703,3.579,0.054,16.77,8427,1899,6535,0.001,0.251,0.165,0.307,0.274,37232,0.0249,0.0190,0.5322,0.3190,0.0581,0.0333,0.0420,0.0304,0.4556,0.0951,0.5747,0.1436,0.6946,0.0927,0.9514,0.0237
980000,703,3.638,0.051,16.75,8303,1915,6388,0.002,0.257,0.163,0.311,0.268,37164,0.0253,0.0166,0.5168,0.3191,0.0628,0.0385,0.0443,0.0295,0.4643,0.0950,0.5671,0.1391,0.6769,0.0999,0.9507,0.0271
990000,711,3.557,0.050,16.33,8389,1946,6435,0.002,0.255,0.153,0.303,0.288,37827,0.0242,0.0188,0.5032,0.3056,0.0578,0.0319,0.0446,0.0309,0.4685,0.0955,0.5727,0.1224,0.6710,0.1006,0.9509,0.0240
1000000,718,3.663,0.051,16.57,8399,1899,6493,0.002,0.251,0.161,0.300,0.285,37583,0.0261,0.0185,0.5249,0.3084,0.0608,0.0333,0.0439,0.0279,0.4470,0.0938,0.5229,0.1232,0.6792,0.1050,0.9476,0.0294
