step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side
100000,9,9,0,0,0,9,0,1.00,12,0.000,2114,2.13,202.70,0.00,171,8,8,0,1.00,1.00,1.00,3,2,8
100000,18,18,0,6,0,12,0,1.00,6,0.333,2114,2.42,337.94,0.00,89,8,8,0,1.00,1.00,1.00,4,5,8
100000,8,8,0,0,0,8,0,1.00,16,0.000,2103,2.44,200.41,0.00,89,8,8,0,1.00,1.00,1.00,3,2,8
100000,6,6,0,0,0,6,0,1.00,20,0.000,2098,2.08,215.74,0.00,148,8,8,0,1.00,1.00,1.00,2,2,4
100000,3,3,0,0,0,3,0,1.00,24,0.000,2094,2.29,94.26,0.00,89,8,8,0,1.00,1.00,1.00,1,2,2
100000,12,12,0,0,0,12,0,1.00,14,0.000,2090,2.18,186.44,0.00,89,8,8,0,1.00,1.00,1.00,2,6,3
100000,11,11,0,0,0,11,0,1.00,14,0.000,2089,2.26,148.49,0.00,139,8,8,0,1.00,1.00,1.00,5,3,8
100000,13,13,0,0,0,13,0,1.00,12,0.000,2088,2.07,245.08,0.00,148,8,8,0,1.00,1.00,1.00,3,2,8
100000,7,7,0,0,0,7,0,1.00,18,0.000,2064,1.25,215.65,0.00,148,8,8,0,1.00,1.00,1.00,2,3,4
100000,9,9,0,0,0,9,0,1.00,14,0.000,2064,2.37,277.23,0.00,89,8,8,0,1.00,1.00,1.00,4,3,8
100000,9,9,0,0,0,9,0,1.00,12,0.000,2057,1.53,162.84,0.00,148,8,8,0,1.00,1.00,1.00,4,2,8
100000,9,9,0,0,0,9,0,1.00,16,0.000,2056,2.86,211.56,0.00,110,8,8,0,1.00,1.00,1.00,2,2,6
100000,8,8,0,0,0,8,0,1.00,16,0.000,2045,1.94,161.89,0.00,139,8,8,0,1.00,1.00,1.00,3,3,8
100000,13,13,0,0,0,13,0,1.00,12,0.000,2044,2.58,217.42,0.00,148,8,8,0,1.00,1.00,1.00,3,2,8
100000,9,9,0,0,0,9,0,1.00,14,0.000,2034,1.83,161.66,0.00,89,8,8,0,1.00,1.00,1.00,3,3,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2034,2.24,136.59,0.00,164,8,8,0,1.00,1.00,1.00,3,8,1
100000,7,7,0,0,0,7,0,1.00,18,0.000,2032,1.67,177.51,0.00,148,8,8,0,1.00,1.00,1.00,3,3,4
100000,9,9,0,0,0,9,0,1.00,16,0.000,2027,1.85,236.93,0.00,89,8,8,0,1.00,1.00,1.00,4,4,8
100000,9,9,0,0,0,9,0,1.00,14,0.000,2021,2.70,205.29,0.00,89,8,8,0,1.00,1.00,1.00,3,3,8
100000,7,7,0,0,0,7,0,1.00,18,0.000,2020,0.93,152.36,0.00,148,8,8,0,1.00,1.00,1.00,2,3,4
100000,9,9,0,0,0,9,0,1.00,14,0.000,2011,2.02,212.81,0.00,89,8,8,0,1.00,1.00,1.00,2,3,8
100000,11,11,0,0,0,11,0,1.00,14,0.000,2010,1.54,343.67,0.00,89,8,8,0,1.00,1.00,1.00,5,3,8
100000,9,9,0,0,0,9,0,1.00,12,0.000,2009,1.50,306.34,0.00,148,8,8,0,1.00,1.00,1.00,3,2,8
100000,12,12,0,0,0,12,0,1.00,12,0.000,2008,2.21,275.10,0.00,148,8,8,0,1.00,1.00,1.00,5,2,8
100000,12,12,3,0,0,9,0,1.95,12,0.000,2008,2.17,185.05,0.00,171,8,8,0,1.00,2.00,3.00,4,3,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,1997,1.55,124.95,0.00,89,8,8,0,1.00,1.00,1.00,2,2,3
100000,17,17,0,0,0,17,0,1.00,8,0.000,1981,2.90,187.69,0.00,139,8,8,0,1.00,1.00,1.00,4,4,8
100000,11,11,0,0,0,11,0,1.00,14,0.000,1959,1.80,283.00,0.00,89,8,8,0,1.00,1.00,1.00,3,3,8
100000,15,15,0,0,0,15,0,1.00,10,0.000,1955,3.17,244.45,0.00,148,8,8,0,1.00,1.00,1.00,2,3,8
100000,11,11,0,0,0,11,0,1.00,14,0.000,1950,2.51,315.07,0.00,139,8,8,0,1.00,1.00,1.00,3,3,8
100000,9,9,0,0,0,9,0,1.00,12,0.000,1948,1.67,208.43,0.00,148,8,8,0,1.00,1.00,1.00,3,2,8
100000,13,13,0,0,0,13,0,1.00,12,0.000,1946,2.21,225.90,0.00,148,8,8,0,1.00,1.00,1.00,3,2,8
100000,9,9,0,0,0,9,0,1.00,16,0.000,1945,2.43,265.22,0.00,110,8,8,0,1.00,1.00,1.00,5,2,6
100000,9,9,0,0,0,9,0,1.00,12,0.000,1926,2.26,165.87,0.00,148,8,8,0,1.00,1.00,1.00,3,2,8
100000,12,12,0,0,0,12,0,1.00,12,0.000,1916,2.48,338.99,0.00,148,8,8,0,1.00,1.00,1.00,3,2,8
100000,9,9,0,0,0,9,0,1.00,14,0.000,1915,1.47,227.45,0.00,89,8,8,0,1.00,1.00,1.00,3,3,8
100000,11,11,0,0,0,11,0,1.00,14,0.000,1902,2.69,196.19,0.00,110,8,8,0,1.00,1.00,1.00,3,2,7
100000,9,9,0,0,0,9,0,1.00,14,0.000,1889,2.79,184.18,0.00,89,8,8,0,1.00,1.00,1.00,3,3,8
100000,8,8,0,0,0,8,0,1.00,16,0.000,1888,2.17,128.85,0.00,89,8,8,0,1.00,1.00,1.00,5,2,8
100000,6,6,0,0,0,6,0,1.00,18,0.000,1887,2.53,170.53,0.00,164,8,8,0,1.00,1.00,1.00,3,8,1
100000,9,9,0,0,0,9,0,1.00,16,0.000,1884,1.97,189.53,0.00,110,8,8,0,1.00,1.00,1.00,3,2,6
100000,5,5,0,0,0,5,0,1.00,22,0.000,1882,1.81,119.79,0.00,139,8,8,0,1.00,1.00,1.00,2,3,2
100000,5,5,0,0,0,5,0,1.00,22,0.000,1880,2.42,161.88,0.00,148,8,8,0,1.00,1.00,1.00,2,2,3
100000,12,12,0,0,0,12,0,1.00,12,0.000,1876,2.80,243.57,0.00,89,8,8,0,1.00,1.00,1.00,4,4,8
100000,15,15,0,0,0,15,0,1.00,10,0.000,1873,3.49,207.04,0.00,148,8,8,0,1.00,1.00,1.00,2,3,8
100000,6,6,0,0,0,6,0,1.00,18,0.000,1869,1.56,176.11,0.00,148,8,8,0,1.00,1.00,1.00,3,2,8
100000,7,7,0,0,0,7,0,1.00,18,0.000,1866,1.58,146.49,0.00,89,8,8,0,1.00,1.00,1.00,4,3,8
100000,7,7,0,0,0,7,0,1.00,18,0.000,1859,1.98,198.03,0.00,148,8,8,0,1.00,1.00,1.00,2,3,4
100000,7,7,0,0,0,7,0,1.00,18,0.000,1851,2.56,131.00,0.00,148,8,8,0,1.00,1.00,1.00,2,3,4
100000,15,15,0,0,0,15,0,1.00,12,0.000,1846,3.03,161.02,0.00,89,8,8,0,1.00,1.00,1.00,2,6,4
100000,31,31,0,0,0,31,0,1.00,6,0.000,1845,4.48,295.38,0.00,89,8,8,0,1.00,1.00,1.00,6,5,8
100000,11,11,0,0,0,11,0,1.00,14,0.000,1844,1.97,127.73,0.00,89,8,8,0,1.00,1.00,1.00,3,3,8
100000,9,9,0,0,0,9,0,1.00,12,0.000,1839,0.69,132.85,0.00,148,8,8,0,1.00,1.00,1.00,2,2,8
100000,20,20,0,0,0,20,0,1.00,10,0.000,1836,2.73,300.30,0.00,89,8,8,0,1.00,1.00,1.00,5,3,8
100000,9,9,0,0,0,9,0,1.00,12,0.000,1835,1.84,253.63,0.00,148,8,8,0,1.00,1.00,1.00,2,2,8
100000,8,8,0,0,0,8,0,1.00,16,0.000,1824,1.42,110.50,0.00,139,8,8,0,1.00,1.00,1.00,3,3,8
100000,23,23,0,0,0,23,0,1.00,6,0.000,1820,3.50,185.27,0.00,171,8,8,0,1.00,1.00,1.00,3,5,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,1801,1.27,128.79,0.00,148,8,8,0,1.00,1.00,1.00,1,2,3
100000,9,9,0,0,0,9,0,1.00,12,0.000,1798,2.47,158.38,0.00,171,8,8,0,1.00,1.00,1.00,2,2,8
