step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent
300000,2341,1.575,0.072,10.51,171507,141777,3155,0,26599,13,1525443.5,1.3,0.020,0.268,0.034,0.677,196,6.81,4.66,0.11,0.72,0.05,0.83,0.04,0.38,6.61,4.45,0.00,0.00,0.005,0.052,348,0.106,0.902,0.000,0.000,0.098,499511,476967,8,0.429,0.021,0.019,635281,0.044,0.533,0.005,159.40,167183,0,0.098,0.000,0.000,9671181,1.05,18.46,0.000,0.000,0.000,3,6,10,48,15948,0.061,3.80,0.0099,0.009,4,0.936,0.000,0.937,0.658,3.15,3.77,5.78,0.00,0.000,1.05,1.05,1.06,0.936,0.00017
310000,2362,1.565,0.081,10.86,171983,146303,3069,0,22590,20,1523491.9,1.6,0.026,0.234,0.039,0.702,206,6.98,4.82,0.09,0.67,0.04,0.45,0.05,0.78,6.80,4.73,0.00,0.00,0.005,0.052,369,0.108,0.903,0.000,0.000,0.097,470387,456605,9,0.543,0.003,0.017,540349,0.051,0.548,0.006,159.21,142924,0,0.082,0.000,0.000,8434465,1.05,18.41,0.000,0.000,0.000,2,6,11,51,16490,0.063,3.99,0.0095,0.017,0,0.919,0.000,0.907,0.637,3.31,4.25,5.65,0.00,0.000,1.04,1.04,1.06,0.919,0.00018
320000,2276,1.547,0.096,11.12,173361,146450,3230,1,23766,25,1514581.2,5.7,0.028,0.224,0.038,0.710,187,6.82,4.37,0.09,0.62,0.02,0.28,0.03,0.30,6.69,4.33,0.00,0.10,0.002,0.041,374,0.091,0.912,0.000,0.000,0.088,467016,455663,7,0.601,0.029,0.016,460633,0.047,0.608,0.006,158.46,149593,2530,0.228,0.000,0.000,8089770,1.05,18.56,0.000,0.000,0.000,2,6,11,43,15516,0.059,4.74,0.0100,0.036,2,0.918,0.000,0.892,0.632,3.39,4.56,5.78,0.00,0.000,1.05,1.04,1.05,0.918,0.00019
330000,2499,1.524,0.086,11.06,174657,147627,2911,0,23896,24,1482917.4,4.9,0.030,0.181,0.032,0.758,189,6.17,4.18,0.09,0.62,0.01,0.24,0.02,0.26,6.05,4.13,0.00,0.00,0.003,0.042,331,0.096,0.924,0.000,0.000,0.076,474915,465847,6,0.736,0.012,0.010,434780,0.042,0.597,0.007,158.23,158910,0,0.204,0.000,0.000,6658879,1.05,19.03,0.000,0.000,0.000,2,6,10,49,15424,0.059,4.97,0.0098,0.062,4,0.901,0.000,0.881,0.635,3.27,4.50,5.86,0.00,0.000,1.04,1.04,1.07,0.901,0.00016
340000,2513,1.522,0.082,11.96,177294,150424,3468,0,23388,20,1463876.2,1.8,0.020,0.198,0.079,0.703,180,6.20,4.21,0.06,0.39,0.03,0.47,0.06,0.41,6.05,4.12,0.00,0.00,0.003,0.045,337,0.098,0.920,0.000,0.000,0.080,453107,446394,5,0.761,0.204,0.025,410556,0.036,0.571,0.006,157.52,163943,0,0.091,0.000,0.000,7692002,1.04,19.21,0.000,0.000,0.000,2,6,11,35,15574,0.059,5.68,0.0096,0.093,1,0.915,0.000,0.869,0.611,3.28,4.60,5.36,0.00,0.001,1.04,1.03,1.04,0.915,0.00017
350000,2450,1.468,0.081,12.26,176819,150095,3231,0,23556,3,1474742.8,0.3,0.021,0.179,0.055,0.745,171,6.59,4.43,0.02,0.28,0.05,0.70,0.04,0.35,6.47,4.24,0.00,0.00,0.008,0.068,311,0.101,0.909,0.000,0.000,0.091,458596,450257,2,0.821,0.000,0.020,412149,0.042,0.567,0.006,158.11,171431,0,0.112,0.000,0.000,6698639,1.02,18.48,0.000,0.000,0.000,2,7,10,64,16139,0.062,5.09,0.0093,0.014,5,0.907,0.000,0.855,0.617,3.60,5.35,6.23,0.00,0.000,1.02,1.01,1.02,0.907,0.00015
360000,2491,1.509,0.077,12.10,185791,156631,3311,0,25808,2,1521281.1,0.2,0.032,0.171,0.035,0.761,171,6.12,4.00,0.04,0.36,0.02,0.19,0.05,0.33,6.02,4.01,0.00,0.00,0.005,0.048,308,0.085,0.914,0.000,0.000,0.086,478326,470790,3,0.812,0.030,0.030,1210655,0.037,0.544,0.005,158.53,169769,0,0.090,0.000,0.000,7095458,1.02,18.98,0.000,0.000,0.000,2,6,9,60,15246,0.058,4.67,0.0101,0.000,4,0.911,0.000,0.856,0.613,3.42,5.17,6.33,0.00,0.000,1.02,1.02,1.03,0.911,0.00014
370000,2540,1.494,0.074,12.25,184340,152371,3272,0,28648,7,1526166.6,1.3,0.016,0.165,0.043,0.776,169,6.23,3.70,0.05,0.51,0.02,0.37,0.08,0.62,6.08,3.59,0.00,0.00,0.003,0.045,319,0.093,0.923,0.000,0.000,0.077,497007,491988,4,0.889,0.006,0.034,669369,0.034,0.548,0.005,158.86,176363,0,0.184,0.000,0.000,7187668,1.02,18.85,0.000,0.000,0.000,2,6,9,46,15817,0.060,4.34,0.0099,0.002,2,0.918,0.000,0.867,0.631,3.66,5.51,6.71,0.00,0.000,1.03,1.02,1.02,0.918,0.00012
380000,2569,1.499,0.075,12.33,191493,160021,3376,0,28067,2,1504145.4,0.2,0.010,0.179,0.046,0.765,170,6.06,4.16,0.04,0.50,0.01,0.21,0.03,0.44,5.97,4.10,0.00,0.00,0.003,0.051,309,0.091,0.927,0.000,0.000,0.073,473875,467123,3,0.927,0.010,0.014,510259,0.039,0.555,0.006,159.34,177848,0,0.100,0.000,0.000,7553510,1.03,19.38,0.000,0.000,0.000,2,6,9,58,15572,0.059,3.86,0.0098,0.011,0,0.912,0.000,0.841,0.598,3.60,5.21,6.58,0.00,0.000,1.02,1.02,1.03,0.912,0.00014
390000,2631,1.484,0.084,12.46,180760,148684,3305,0,28709,12,1454746.5,1.6,0.002,0.194,0.068,0.736,175,5.77,4.09,0.03,0.37,0.02,0.30,0.03,0.26,5.69,4.06,0.00,0.06,0.005,0.064,299,0.065,0.925,0.000,0.000,0.075,467823,460678,3,0.957,0.006,0.019,485419,0.041,0.612,0.007,157.07,166894,0,0.129,0.000,0.000,8399895,1.02,19.83,0.000,0.000,0.000,2,5,9,64,15184,0.058,6.13,0.0097,0.130,3,0.909,0.000,0.826,0.616,3.58,5.64,6.47,0.00,0.000,1.01,1.01,1.02,0.910,0.00016
