step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea
19000,7971,4186,18202,26092,19462,7857,33,16919,1192,23,173454,1767944,18292.950,5101.960,0.3364,1455.151,0.092,0.642,0.156,0.111,0.455,0.350,1254,0.1210,0.6882,0.191,16.2,35.9,60.9,35.28,1.54,13.79,1.57,18.38,6.73,1.046,0.377,0.134,0.129,13.527,0.511,0.0030,236,1002,3953,7735,998,19,0.454,5282,557,799,6615,543,1101,6327,7.89,40.88,2090,5.8384,67074,2787,143158,179.3,-0.0,903664,16.676,2631002.543,1.06e-15,0.00011,24.64,9286,14.413,1.154,13.009,0.249,14.413,2651,3152,2168,0.4969,0.948,1.002,1.194,1.065,0.976,1.126,8932.887,4332.264,5845.169,8763.754,5139.177,989.377,1576.591,1080.842,0.495,0.461,0.401,0.307,0.277,0.350,2021
20000,7559,3813,16605,23896,17644,7255,36,15844,1156,17,156745,1626297,16803.136,4699.560,0.3484,1286.019,0.092,0.647,0.146,0.115,0.444,0.358,1365,0.1231,0.6963,0.186,16.7,36.0,56.8,34.79,1.38,13.95,1.49,17.96,6.68,1.054,0.382,0.124,0.114,13.517,0.496,0.0029,236,1044,3755,6597,819,20,0.234,5106,415,751,6393,575,905,6079,8.46,42.07,2361,5.5700,67084,2602,135482,185.6,0.0,912207,15.578,2631002.543,0.00e0,0.00031,20.54,8597,13.213,1.148,11.834,0.231,13.231,2324,3110,2125,0.4985,0.949,1.001,1.212,1.090,0.974,1.133,8393.221,4171.145,5042.309,8236.006,4810.840,1001.377,1450.879,961.286,0.461,0.462,0.395,0.356,0.259,0.323,1948
21000,7126,3942,16576,23742,17429,7117,49,15867,1126,16,160876,1642917,16735.694,4824.999,0.3503,1302.508,0.089,0.640,0.146,0.125,0.452,0.351,960,0.1288,0.6939,0.185,15.6,36.0,58.4,34.41,1.39,14.03,1.35,17.64,6.70,1.061,0.383,0.125,0.119,13.856,0.520,0.0029,236,964,3496,6761,758,19,0.165,4839,32,717,6377,447,991,5688,7.60,39.85,1970,5.2591,66972,2905,129562,168.4,-0.0,919778,15.424,2631002.543,2.99e-14,0.00000,8.53,8664,12.599,1.148,11.242,0.210,12.600,2100,2941,2085,0.4707,0.958,1.011,1.224,1.108,0.973,1.139,8061.092,4070.146,5372.162,7910.286,4755.754,1094.086,1396.509,1031.895,0.473,0.470,0.398,0.298,0.281,0.349,1925
22000,7513,3874,16322,23045,16688,6690,33,14924,994,17,152420,1646298,16550.333,4573.038,0.3536,1204.694,0.085,0.652,0.146,0.117,0.459,0.345,982,0.1200,0.6961,0.190,16.7,36.0,57.7,34.12,1.37,13.69,1.40,17.66,6.62,1.069,0.375,0.120,0.113,13.564,0.494,0.0029,230,1013,3369,6266,841,20,0.135,4984,22,993,6498,409,1327,5777,7.60,42.31,2176,5.6571,67035,2767,124140,170.5,-0.0,925566,14.726,2631002.543,1.42e-15,0.00010,31.86,8571,11.548,1.135,10.186,0.228,11.549,2632,2858,2023,0.4510,0.950,1.018,1.241,1.115,0.970,1.148,8233.696,3935.181,5079.653,8087.161,4588.213,962.054,1399.458,1006.831,0.486,0.481,0.398,0.317,0.263,0.314,2029
23000,7542,4196,17309,23687,17095,6345,33,16229,1033,18,163912,1719414,17596.794,4753.263,0.3421,1249.094,0.082,0.654,0.146,0.118,0.445,0.353,1036,0.1330,0.6932,0.193,17.5,36.0,58.7,34.55,1.36,13.82,1.40,17.97,6.62,1.074,0.375,0.116,0.111,13.844,0.521,0.0029,232,976,3624,6912,899,22,0.236,5034,52,864,6626,487,1120,5935,7.91,41.77,2038,5.6156,67127,2462,117912,160.4,-0.0,932522,15.969,2631002.543,7.43e-15,0.00033,11.13,8570,12.370,1.143,11.001,0.226,12.370,2495,2902,2145,0.4582,0.956,1.018,1.244,1.121,0.972,1.159,8647.195,4200.654,5469.232,8481.341,4895.315,1045.906,1459.852,998.411,0.499,0.451,0.374,0.272,0.254,0.296,1752
24000,7626,3961,16053,22565,16657,6481,31,14935,1014,20,150622,1560934,16410.830,4554.713,0.3493,1266.079,0.086,0.647,0.147,0.120,0.440,0.358,1117,0.1207,0.6878,0.187,18.5,36.0,57.9,34.97,1.48,13.92,1.34,18.23,6.58,1.070,0.373,0.122,0.109,13.298,0.525,0.0029,240,1073,3748,6034,871,25,0.460,5010,117,1046,6463,514,1038,6074,7.72,43.72,2160,5.8053,67218,2762,112056,146.0,-0.0,939307,15.094,2631002.543,2.18e-14,0.00023,20.30,8211,11.565,1.129,10.217,0.219,11.565,2410,3077,2139,0.4751,0.958,1.008,1.241,1.111,0.978,1.156,7955.929,3817.338,5341.305,7823.218,4512.386,1010.017,1300.790,977.826,0.480,0.455,0.371,0.313,0.258,0.318,1856
25000,7127,3721,16611,23027,17103,6382,34,16006,1082,22,162480,1573505,16700.428,4666.757,0.3339,1276.209,0.089,0.649,0.148,0.114,0.433,0.363,1156,0.1333,0.6828,0.182,19.0,36.1,59.6,34.91,1.50,13.93,1.28,18.19,6.59,1.077,0.372,0.122,0.110,13.119,0.519,0.0030,245,993,3593,6986,846,24,0.472,4811,234,934,5959,498,993,5636,8.46,43.54,1871,5.6412,67392,2552,106600,145.6,-0.0,945931,15.729,2631002.543,6.55e-15,0.00000,32.07,8567,12.001,1.139,10.644,0.217,12.001,2470,2826,1831,0.4620,0.968,1.018,1.245,1.140,0.977,1.147,8168.402,3625.599,5682.395,8024.026,4270.216,1089.175,1442.305,859.068,0.490,0.441,0.346,0.302,0.254,0.294,1828
26000,7299,4041,15830,22034,16050,6186,18,14693,941,24,156023,1614265,16642.626,4343.160,0.3253,1171.209,0.083,0.662,0.149,0.106,0.448,0.354,950,0.1252,0.6842,0.179,17.7,36.0,59.3,34.35,1.75,13.84,1.25,17.50,6.55,1.066,0.374,0.132,0.114,13.433,0.515,0.0028,244,1008,3513,6352,827,24,0.246,4973,167,984,6148,483,831,5985,7.85,42.56,1796,4.6438,67344,2732,102347,150.6,0.0,951661,14.911,2631002.543,2.19e-14,0.00019,11.77,8240,11.707,1.135,10.359,0.213,11.707,1998,3169,2132,0.5032,0.972,1.000,1.240,1.115,0.979,1.147,8786.416,4044.003,4481.602,8638.072,4694.162,887.007,1388.761,896.182,0.464,0.490,0.359,0.293,0.271,0.292,1812
27000,7320,4026,15806,23504,17425,7674,24,14659,1109,17,164852,1690127,16715.499,4739.810,0.3315,1324.317,0.078,0.665,0.153,0.104,0.461,0.346,1018,0.1234,0.6873,0.175,17.5,36.1,60.5,34.62,1.96,13.81,1.30,17.54,6.55,1.073,0.369,0.145,0.119,13.881,0.512,0.0028,239,1038,3367,6669,779,28,0.250,5040,41,807,6472,378,952,5990,7.49,41.86,1646,4.3562,67334,2670,98652,167.6,-0.0,956517,14.861,2631002.543,2.48e-14,0.00183,35.39,8777,12.202,1.152,10.835,0.215,12.202,1933,3193,2194,0.4986,0.965,1.001,1.257,1.132,0.977,1.159,8924.321,4162.263,4268.443,8784.980,4986.393,875.035,1541.804,998.654,0.452,0.501,0.403,0.294,0.313,0.399,1759
28000,7492,4066,15604,22880,16988,7256,20,14311,1102,19,170685,1728236,16400.497,4957.418,0.3395,1335.303,0.072,0.673,0.154,0.102,0.464,0.343,1372,0.1216,0.6882,0.170,17.0,36.0,57.3,33.48,1.92,13.36,1.20,17.01,6.43,1.083,0.359,0.144,0.120,13.686,0.510,0.0027,241,1055,3525,7429,893,31,0.274,5118,35,937,6520,324,879,6289,7.25,40.94,1842,4.3811,67335,2898,95607,161.1,-0.0,960415,14.789,2631002.543,1.49e-14,0.00034,20.43,8708,11.801,1.125,10.438,0.238,11.801,1870,3211,2411,0.4818,0.974,1.009,1.282,1.149,0.978,1.170,8852.677,4242.095,3891.450,8731.897,5112.452,925.934,1493.562,1202.620,0.460,0.505,0.402,0.312,0.289,0.382,1731
29000,8102,4264,16451,23911,17910,7439,21,14732,1090,19,175846,1830571,17511.834,5053.360,0.3385,1332.763,0.073,0.677,0.148,0.101,0.470,0.342,1309,0.1146,0.6850,0.172,17.7,36.4,60.6,34.69,1.81,14.12,1.33,17.42,6.51,1.086,0.372,0.136,0.117,13.560,0.492,0.0027,249,1038,3601,6963,899,30,0.250,5409,39,1166,6897,419,1096,6587,7.43,41.46,2140,5.0517,67286,2871,92407,197.7,-0.0,964256,15.291,2631002.543,9.73e-15,0.00151,15.85,9076,12.154,1.144,10.744,0.265,12.154,2250,3346,2506,0.4657,0.973,1.016,1.275,1.152,0.978,1.170,9342.216,4413.471,4382.800,9213.528,5248.268,1054.921,1436.988,1228.688,0.487,0.512,0.389,0.307,0.280,0.384,1841
30000,7837,4146,16767,24198,17961,7403,28,15742,1275,15,191130,1811321,17370.860,5320.459,0.3289,1391.677,0.077,0.679,0.143,0.101,0.453,0.352,1279,0.1254,0.6827,0.179,17.6,36.0,59.2,34.00,1.73,13.72,1.27,17.28,6.44,1.098,0.365,0.130,0.111,13.488,0.484,0.0028,243,1046,3613,7176,848,35,0.219,5259,211,1035,6591,432,1112,6293,7.65,42.46,2057,5.6702,67376,2840,88847,167.6,-0.0,968707,15.958,2631002.543,6.02e-15,0.00012,32.73,9196,12.292,1.139,10.897,0.255,12.308,2472,3165,2200,0.4631,0.975,1.022,1.327,1.176,0.979,1.183,8486.719,4157.602,5542.614,8367.723,4852.201,1540.186,1242.911,1145.685,0.487,0.486,0.365,0.354,0.238,0.360,1851
31000,7379,4069,15929,22626,16570,6680,17,15316,1052,19,170128,1728540,16636.680,4863.141,0.3382,1267.120,0.080,0.677,0.141,0.103,0.448,0.357,1185,0.1296,0.6833,0.179,18.1,36.0,56.6,33.54,1.64,13.61,1.34,16.95,6.40,1.114,0.364,0.127,0.111,13.421,0.529,0.0028,246,1077,3495,6144,799,38,0.212,5027,332,753,6294,697,918,5764,8.05,42.77,2351,5.8283,67299,2615,85593,161.0,-0.0,972548,15.623,2631002.543,2.42e-14,0.00000,7.71,8822,12.596,1.149,11.181,0.266,12.597,2417,2743,2219,0.4307,0.979,1.036,1.379,1.200,0.981,1.185,8088.106,4105.119,5112.076,7974.636,4817.088,1286.454,1249.166,1060.400,0.472,0.482,0.370,0.304,0.267,0.344,1707
32000,7673,4022,16887,24765,18460,7848,30,15453,1124,16,182889,1710628,16556.689,5250.959,0.3352,1419.836,0.085,0.675,0.137,0.103,0.445,0.360,1243,0.1241,0.6892,0.181,16.8,35.6,56.3,32.55,1.40,13.28,1.36,16.51,6.32,1.127,0.364,0.116,0.102,12.458,0.527,0.0029,247,1044,3642,6836,851,34,0.217,5165,726,763,6184,531,1207,5935,8.10,42.61,2064,6.2225,67231,2494,83256,171.1,-0.0,975855,15.077,2631002.543,2.14e-14,0.00035,26.07,9729,12.410,1.141,10.983,0.286,12.410,2892,2770,2011,0.4255,0.974,1.037,1.440,1.229,0.980,1.183,7522.098,3748.207,6190.974,7412.966,4372.585,1708.881,1148.605,973.637,0.496,0.459,0.358,0.407,0.219,0.303,1670
33000,6282,3456,13900,19035,13533,5124,11,14267,1000,24,155168,1441670,14356.636,4321.486,0.3390,1034.013,0.091,0.676,0.129,0.104,0.420,0.376,1165,0.1412,0.6864,0.179,18.7,36.0,56.8,33.10,1.42,13.50,1.37,16.81,6.34,1.137,0.359,0.113,0.097,13.431,0.491,0.0030,260,1074,3404,5690,806,34,0.192,4269,34,758,5490,433,974,4875,8.85,46.82,2130,5.1425,67230,2551,81258,116.4,-0.0,978993,13.828,2631002.543,1.36e-14,0.00024,17.88,7646,10.931,1.140,9.589,0.202,10.931,2288,2368,1626,0.4238,0.981,1.045,1.459,1.252,0.985,1.194,6984.191,3324.010,4664.568,6891.397,3834.685,1269.517,1152.980,864.976,0.454,0.460,0.316,0.325,0.220,0.282,1728
