step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion
110000,2,127,10.39,0.08,0.14,0.08,10.09,0.00,1.06,0.000,0.254,62112.2,4483.2,4,7,2.67,1.06,1.06,0.4450,3.51
110000,0,8,10.50,0.00,0.00,0.00,10.50,0.00,1.00,0.000,0.000,1235.5,385.8,2,6,3.25,1.00,1.00,0.0269,1019.47
120000,8,637,9.71,0.12,0.01,0.00,9.58,0.00,1.04,0.000,0.084,332663.5,7938.1,3,3,2.31,1.03,1.04,0.7837,60.93
120000,2,142,9.31,0.05,0.00,0.13,9.13,0.00,1.01,0.000,0.259,64929.7,4386.1,2,3,1.94,1.02,1.02,0.4369,6.18
120000,0,3,9.33,0.00,0.00,0.00,9.33,0.00,1.00,0.000,0.000,724.5,200.6,1,3,2.00,1.00,1.00,0.0136,790.94
130000,8,641,9.41,0.03,0.00,0.01,9.38,0.00,1.01,0.000,0.084,323268.8,7720.7,4,9,2.32,1.01,1.01,0.7621,17.62
130000,2,131,9.27,0.00,0.00,0.00,9.27,0.00,1.00,0.000,0.241,65778.5,4557.8,2,2,2.09,1.00,1.00,0.4547,5.89
130000,0,5,8.20,0.00,0.00,0.00,8.20,0.00,1.00,0.000,0.000,591.0,132.3,2,4,2.80,1.00,1.00,0.0160,753.07
140000,8,623,9.46,0.11,0.00,0.01,9.33,0.00,1.04,0.000,0.079,327619.1,7855.5,3,12,2.35,1.05,1.05,0.7834,10.47
140000,2,137,10.01,0.07,0.00,0.04,9.89,0.00,1.03,0.000,0.302,69637.4,4577.4,1,12,1.91,1.03,1.03,0.4558,8.87
140000,0,2,7.50,0.00,0.00,0.00,7.50,0.00,1.00,0.000,0.000,684.1,164.7,1,2,2.00,1.00,1.00,0.0190,742.84
150000,8,606,9.61,0.03,0.00,0.01,9.57,0.00,1.01,0.000,0.078,330288.3,7956.8,4,12,2.33,1.01,1.01,0.7947,12.52
150000,2,129,9.55,0.12,0.00,0.00,9.43,0.00,1.04,0.000,0.262,71373.3,4990.5,1,10,2.04,1.04,1.04,0.4970,8.21
150000,0,3,8.33,0.00,0.00,0.00,8.33,0.00,1.00,0.000,0.000,703.0,146.6,2,3,2.00,1.00,1.00,0.0180,746.68
160000,8,622,9.23,0.04,0.00,0.04,9.15,0.00,1.01,0.000,0.078,324693.9,7645.9,4,4,2.26,1.01,1.01,0.7628,14.50
160000,2,128,10.31,0.27,0.03,0.00,10.01,0.00,1.07,0.000,0.257,68706.2,5042.5,2,4,2.01,1.09,1.13,0.5017,3.04
160000,0,2,7.00,0.00,0.00,0.00,7.00,0.00,1.00,0.000,0.000,701.3,146.3,0,2,2.50,1.00,1.00,0.0188,749.16
170000,8,658,9.39,0.08,0.00,0.02,9.29,0.00,1.03,0.000,0.081,335315.0,7757.8,5,0,2.34,1.03,1.03,0.7744,9.68
170000,2,129,9.67,0.00,0.00,0.05,9.62,0.00,1.00,0.000,0.231,71127.0,5123.8,2,0,2.14,1.00,1.00,0.5082,5.77
170000,0,7,8.71,0.00,0.00,0.00,8.71,0.00,1.00,0.000,0.000,736.5,235.4,2,7,2.71,1.00,1.00,0.0280,743.20
180000,8,635,9.57,0.11,0.00,0.01,9.46,0.00,1.03,0.000,0.082,332944.9,7702.7,4,5,2.34,1.03,1.04,0.7696,12.56
180000,2,136,9.54,0.00,0.00,0.01,9.53,0.00,1.00,0.000,0.254,70644.2,4806.9,2,7,2.25,1.00,1.00,0.4781,2.08
180000,0,2,7.50,0.00,0.00,0.00,7.50,0.00,1.00,0.000,0.000,670.3,169.3,1,2,1.50,1.00,1.00,0.0205,749.61
190000,8,624,9.48,0.09,0.00,0.02,9.37,0.00,1.03,0.000,0.084,334930.2,7592.1,3,8,2.32,1.02,1.03,0.7577,8.93
190000,2,125,9.35,0.08,0.00,0.00,9.27,0.00,1.01,0.000,0.233,68556.1,3904.1,3,4,2.18,1.00,1.02,0.3876,2.93
190000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,743.0,168.2,0,0,-0.00,-0.00,-0.00,0.0214,755.77
200000,8,624,9.79,0.09,0.00,0.01,9.69,0.00,1.02,0.000,0.087,323280.4,7577.1,3,14,2.32,1.01,1.03,0.7555,10.99
200000,2,110,10.92,0.18,0.00,0.02,10.72,0.00,1.04,0.000,0.273,68524.9,5258.5,2,10,2.21,1.05,1.06,0.5257,1.88
200000,0,1,5.00,0.00,0.00,0.00,5.00,0.00,1.00,0.000,0.000,530.4,102.2,1,1,3.00,1.00,1.00,0.0095,728.58
210000,8,628,9.67,0.02,0.00,0.01,9.64,0.00,1.01,0.000,0.082,327247.8,7597.9,3,11,2.32,1.01,1.01,0.7531,12.53
210000,2,98,10.55,0.00,0.00,0.00,10.55,0.00,1.00,0.000,0.304,57766.2,5238.9,1,5,2.24,1.00,1.00,0.5237,7.46
210000,0,2,8.00,0.00,0.00,0.00,8.00,0.00,1.00,0.000,0.000,687.0,275.0,2,2,2.50,1.00,1.00,0.0113,490.95
220000,8,628,9.45,0.07,0.00,0.03,9.36,0.00,1.02,0.000,0.090,328673.0,7590.1,4,0,2.34,1.01,1.02,0.7546,13.75
220000,2,112,10.85,0.31,0.00,0.06,10.47,0.00,1.09,0.000,0.264,64868.6,5468.6,1,0,2.35,1.10,1.11,0.5451,6.06
220000,0,7,8.86,0.00,0.00,0.14,8.71,0.00,1.00,0.000,0.000,560.6,135.4,2,7,2.29,1.00,1.00,0.0159,453.84
230000,8,602,9.63,0.08,0.00,0.01,9.55,0.00,1.03,0.000,0.089,321278.8,7640.0,3,6,2.35,1.02,1.03,0.7549,8.66
230000,2,119,11.12,0.00,0.00,0.13,10.99,0.00,1.00,0.000,0.275,68586.5,5496.4,2,11,2.33,1.00,1.00,0.5462,2.06
230000,0,2,10.50,0.00,0.00,0.00,10.50,0.00,1.00,0.000,0.000,614.9,239.7,1,2,2.50,1.00,1.00,0.0265,363.93
240000,8,605,9.49,0.05,0.00,0.00,9.44,0.00,1.02,0.000,0.091,313367.8,7339.2,3,0,2.33,1.02,1.02,0.7342,15.89
240000,2,133,11.18,0.17,0.00,0.02,10.98,0.00,1.05,0.000,0.273,70202.7,5373.8,1,0,2.14,1.03,1.06,0.5344,19.58
240000,0,7,11.00,0.00,0.00,0.43,10.57,0.00,1.00,0.000,0.000,618.9,240.7,2,7,3.00,1.00,1.00,0.0301,374.00
250000,8,620,9.75,0.05,0.02,0.01,9.67,0.00,1.01,0.000,0.090,311691.8,7430.1,2,0,2.38,1.01,1.02,0.7265,15.89
250000,2,135,8.87,0.16,0.00,0.04,8.67,0.00,1.05,0.000,0.219,71079.3,4548.3,1,0,2.05,1.06,1.06,0.4494,5.46
250000,0,4,9.50,0.00,0.00,0.00,9.50,0.00,1.00,0.000,0.000,666.4,290.7,1,4,2.00,1.00,1.00,0.0325,205.08
260000,8,608,9.81,0.03,0.00,0.01,9.77,0.00,1.01,0.000,0.094,326768.6,7392.0,2,0,2.39,1.01,1.02,0.7356,11.91
260000,2,134,9.01,0.00,0.01,0.01,8.99,0.00,1.00,0.000,0.224,71330.4,4367.9,1,0,2.01,1.00,1.00,0.4321,6.17
260000,0,9,10.44,0.00,0.00,0.00,10.44,0.00,1.00,0.000,0.001,795.9,294.7,1,8,2.67,1.00,1.00,0.0318,150.87
270000,8,554,9.60,0.06,0.00,0.01,9.54,0.00,1.03,0.000,0.093,302470.1,7008.2,2,0,2.41,1.03,1.03,0.6997,5.61
270000,2,134,9.22,0.03,0.00,0.00,9.19,0.00,1.01,0.000,0.227,70301.1,3746.8,1,0,2.19,1.01,1.01,0.3698,2.81
270000,0,2,8.50,0.00,0.00,0.00,8.50,0.00,1.00,0.000,0.000,726.0,227.4,1,2,2.50,1.00,1.00,0.0281,156.71
280000,8,558,9.73,0.03,0.00,0.00,9.70,0.00,1.01,0.000,0.094,293977.2,6647.8,2,0,2.42,1.01,1.01,0.6643,7.26
280000,2,129,10.66,0.22,0.09,0.00,10.36,0.00,1.06,0.000,0.254,71846.0,4353.1,2,0,2.19,1.01,1.12,0.4314,6.47
280000,0,7,9.43,0.00,0.00,0.00,9.43,0.00,1.00,0.000,0.000,617.6,227.0,3,7,2.00,1.00,1.00,0.0276,158.06
290000,8,615,9.44,0.13,0.02,0.05,9.25,0.00,1.04,0.000,0.088,321498.0,7165.0,2,0,2.46,1.02,1.05,0.7161,9.42
290000,2,126,10.60,0.02,0.00,0.00,10.58,0.00,1.00,0.000,0.243,69868.0,4865.9,1,0,2.31,1.00,1.00,0.4819,4.88
290000,0,3,11.67,0.00,0.00,0.00,11.67,0.00,1.00,0.000,0.000,735.0,232.8,1,3,2.67,1.00,1.00,0.0290,166.49
300000,8,561,10.88,0.01,0.00,0.02,10.85,0.00,1.01,0.000,0.107,303013.8,6992.0,3,3,2.28,1.00,1.01,0.6982,8.72
300000,2,136,9.79,0.04,0.00,0.09,9.67,0.00,1.02,0.000,0.256,68478.7,4686.0,4,3,2.21,1.02,1.03,0.4638,4.22
300000,0,3,10.00,0.00,0.00,0.00,10.00,0.00,1.00,0.000,0.000,696.9,239.1,2,3,2.33,1.00,1.00,0.0298,170.28
310000,8,587,11.05,0.01,0.01,0.04,10.99,0.00,1.01,0.000,0.102,310205.6,7299.2,3,0,2.28,1.01,1.01,0.7286,10.74
310000,2,129,9.78,0.05,0.00,0.00,9.72,0.00,1.02,0.000,0.234,68873.7,4528.6,2,0,2.12,1.03,1.03,0.4496,7.18
310000,0,4,9.75,0.50,0.00,0.00,9.25,0.00,1.14,0.000,0.000,551.4,161.3,3,4,2.75,1.14,1.14,0.0213,172.47
320000,8,619,10.69,0.12,0.01,0.06,10.50,0.00,1.03,0.000,0.087,340616.7,7689.7,2,0,2.36,1.03,1.03,0.7662,14.88
320000,2,139,9.95,0.01,0.00,0.00,9.94,0.00,1.00,0.000,0.256,70533.3,4720.2,2,0,1.96,1.00,1.00,0.4665,5.33
320000,0,6,8.33,0.00,0.00,0.00,8.33,0.00,1.00,0.000,0.000,784.0,274.4,4,6,1.83,1.00,1.00,0.0321,136.74
330000,8,630,10.51,0.02,0.00,0.03,10.46,0.00,1.01,0.000,0.086,341278.6,7782.2,2,0,2.34,1.00,1.01,0.7763,16.48
330000,2,127,10.24,0.18,0.00,0.07,9.98,0.00,1.06,0.000,0.237,70793.2,5093.8,2,0,2.31,1.06,1.06,0.5049,6.58
330000,0,4,11.00,0.25,0.00,0.00,10.75,0.00,1.08,0.000,0.000,822.4,274.3,2,4,2.25,1.00,1.10,0.0328,126.46
340000,8,636,9.68,0.03,0.00,0.04,9.61,0.00,1.01,0.000,0.080,341590.6,7881.4,2,0,2.29,1.01,1.01,0.7872,13.22
340000,2,126,10.32,0.21,0.00,0.00,10.10,0.00,1.05,0.000,0.241,71474.0,4900.1,2,0,2.11,1.02,1.07,0.4845,5.95
340000,0,9,8.89,0.78,0.00,0.00,8.11,0.00,1.34,0.000,0.000,907.1,260.5,3,8,2.22,1.40,1.40,0.0334,140.79
350000,8,634,10.72,0.08,0.00,0.08,10.56,0.00,1.03,0.000,0.088,340045.7,7855.4,2,0,2.35,1.03,1.03,0.7844,12.84
350000,2,134,10.13,0.07,0.07,0.00,9.99,0.00,1.02,0.000,0.247,71921.3,5048.0,0,0,2.04,1.02,1.03,0.4996,6.14
350000,0,8,8.38,0.00,0.00,0.00,8.38,0.00,1.00,0.000,0.001,866.4,261.3,1,8,2.25,1.00,1.00,0.0334,153.98
360000,8,626,10.61,0.04,0.01,0.04,10.52,0.00,1.01,0.000,0.089,339366.4,7864.2,2,5,2.28,1.00,1.01,0.7856,13.51
360000,2,129,10.64,0.01,0.01,0.01,10.61,0.00,1.00,0.000,0.276,69902.4,4861.3,3,11,2.13,1.00,1.00,0.4825,3.75
360000,0,3,7.33,0.00,0.00,0.00,7.33,0.00,1.00,0.000,0.000,798.8,231.5,2,3,2.33,1.00,1.00,0.0280,163.96
370000,8,650,10.18,0.05,0.00,0.04,10.08,0.00,1.02,0.000,0.089,341692.8,8018.7,2,5,2.26,1.01,1.02,0.8006,13.92
370000,2,137,9.61,0.09,0.00,0.00,9.52,0.00,1.03,0.000,0.250,68812.7,4531.1,2,3,2.20,1.02,1.04,0.4496,2.90
370000,0,1,10.00,0.00,0.00,0.00,10.00,0.00,1.00,0.000,0.000,733.8,204.4,1,1,4.00,1.00,1.00,0.0257,172.18
380000,8,635,10.07,0.04,0.00,0.01,10.02,0.00,1.01,0.000,0.087,340688.5,8084.3,2,0,2.40,1.00,1.01,0.8057,6.79
380000,2,133,9.54,0.00,0.00,0.02,9.52,0.00,1.00,0.000,0.232,69875.2,3871.7,2,0,2.20,1.00,1.00,0.3837,2.87
380000,0,6,9.17,0.00,0.00,0.00,9.17,0.00,1.00,0.000,0.000,875.6,230.9,2,5,1.67,1.00,1.00,0.0288,176.48
390000,8,623,10.69,0.06,0.00,0.07,10.56,0.00,1.02,0.000,0.101,338454.4,8023.7,3,0,2.35,1.01,1.03,0.8026,10.96
390000,2,132,8.39,0.30,0.00,0.00,8.10,0.00,1.10,0.000,0.203,70110.5,4115.8,2,0,2.08,1.11,1.11,0.4075,3.80
390000,0,8,7.12,1.50,0.00,0.00,5.62,0.00,1.88,0.000,0.000,767.6,234.3,4,8,2.50,2.00,2.00,0.0297,197.11
400000,8,639,9.98,0.13,0.00,0.04,9.80,0.00,1.04,0.000,0.083,337512.8,7997.2,2,0,2.38,1.03,1.05,0.7985,13.64
400000,2,120,9.23,0.00,0.00,0.02,9.22,0.00,1.00,0.000,0.205,69914.3,3956.8,2,0,2.28,1.00,1.00,0.3905,1.54
400000,0,8,8.75,0.00,0.00,0.00,8.75,0.00,1.00,0.000,0.000,850.1,220.7,3,7,2.38,1.00,1.00,0.0280,193.87
410000,8,613,10.42,0.12,0.00,0.06,10.24,0.00,1.03,0.000,0.085,339720.2,8129.9,2,0,2.32,1.01,1.04,0.8114,7.82
410000,2,122,10.76,0.07,0.14,0.07,10.49,0.00,1.02,0.000,0.241,69880.0,4339.9,2,0,2.21,1.02,1.03,0.4297,2.79
410000,0,8,8.62,0.00,0.00,0.00,8.62,0.00,1.00,0.000,0.000,905.7,252.5,3,8,1.88,1.00,1.00,0.0311,199.29
420000,8,624,10.27,0.07,0.00,0.01,10.19,0.00,1.02,0.000,0.087,341130.5,7949.4,4,0,2.30,1.01,1.02,0.7940,9.29
420000,2,127,9.08,0.09,0.00,0.00,8.99,0.00,1.04,0.000,0.213,69324.5,4480.3,2,0,2.14,1.04,1.04,0.4440,5.42
420000,0,2,7.00,0.00,0.00,0.00,7.00,0.00,1.00,0.000,0.000,849.1,253.3,2,2,1.50,1.00,1.00,0.0289,184.88
430000,8,640,10.06,0.03,0.00,0.04,9.99,0.00,1.01,0.000,0.087,340531.0,8170.5,3,0,2.31,1.01,1.01,0.8163,14.02
