step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion
210000,718,1.361,0.094,7.20,29987,27337,6,0,2634,2,361040.2,36987.7,0.004,0.243,0.434,0.319,870,9.00,3.82,0.03,0.71,0.00,0.00,0.00,0.00,8.97,3.73,0.00,0.00,0.000,0.000,73,0.306,0.149,0.843,0.000,0.008,19845,18665,3,0.765,0.000,0.000,9784,0.180,0.482,0.002,36.11,7624,0,18493.852,0.000,0.017,414493,1.01,18.27,0.000,0.000,0.000,6,8,10,45,6462,0.025,2.08,0.0056,0.017,6,0.226,0.000,0.242,0.046,2.32,3.11,3.78,0.00,0.000,1.00,1.02,1.01,0.226,0.00168,125.25,3.6837,860.10
220000,706,1.418,0.088,7.08,30399,27904,1,0,2506,0,364326.6,37450.0,0.003,0.250,0.419,0.328,871,9.34,4.46,0.08,1.53,0.00,0.00,0.00,0.00,9.26,4.12,0.00,0.00,0.000,0.000,71,0.341,0.157,0.830,0.001,0.011,20361,19190,1,1.000,0.000,0.000,12862,0.187,0.443,0.002,36.43,7534,0,37450.020,0.000,0.016,426060,1.02,18.29,0.000,0.000,0.000,6,9,10,52,6595,0.025,2.30,0.0056,0.000,14,0.223,0.000,0.239,0.042,2.29,3.26,3.64,0.00,0.000,1.01,1.02,1.03,0.223,0.00175,124.71,3.7378,771.56
230000,694,1.411,0.087,7.17,30016,27456,15,0,2557,0,357922.5,39518.4,0.002,0.236,0.404,0.358,891,9.04,4.91,0.05,1.01,0.02,0.46,0.09,2.43,8.88,4.20,0.00,0.00,0.000,0.008,73,0.336,0.153,0.841,0.000,0.006,21179,20105,2,0.807,0.000,0.001,11509,0.181,0.397,0.002,35.81,7813,0,39518.410,0.000,0.012,374023,1.02,18.49,0.001,0.000,0.000,5,8,10,64,6273,0.024,3.72,0.0058,0.014,9,0.211,0.000,0.244,0.052,2.26,3.20,3.56,0.00,0.000,1.02,1.02,1.02,0.211,0.00169,123.91,3.9522,757.27
240000,687,1.331,0.093,7.39,28563,26226,6,0,2338,0,348188.2,37393.4,0.003,0.230,0.405,0.362,902,9.02,3.77,0.03,0.52,0.00,0.08,0.02,0.38,8.97,3.70,0.00,0.00,0.000,0.005,93,0.278,0.166,0.827,0.001,0.006,20255,18791,3,0.786,0.013,0.003,16289,0.179,0.427,0.002,34.83,7977,0,37393.379,0.000,0.012,322026,1.01,18.36,0.000,0.000,0.000,5,8,11,40,6197,0.024,5.16,0.0056,0.000,8,0.189,0.000,0.252,0.057,2.25,3.27,3.56,0.00,0.000,1.01,1.01,1.01,0.190,0.00161,123.45,3.7488,833.46
250000,691,1.421,0.085,7.41,26650,24428,13,0,2205,1,338732.0,33200.9,0.012,0.225,0.397,0.366,923,9.18,3.72,0.01,0.15,0.11,0.99,0.00,0.00,9.06,3.53,0.00,0.00,0.006,0.052,100,0.258,0.156,0.834,0.003,0.007,18403,16309,3,0.744,0.045,0.000,14419,0.165,0.320,0.001,33.86,8094,0,33200.883,0.000,0.017,244651,1.01,18.13,0.000,0.000,0.000,5,8,13,41,6344,0.024,31.94,0.0054,0.000,9,0.154,0.000,0.255,0.051,2.28,3.38,3.59,0.00,0.000,1.01,1.01,1.01,0.154,0.00154,97.64,3.3143,761.95
260000,688,1.399,0.081,7.73,29180,26912,6,0,2265,7,365719.5,36296.5,0.007,0.226,0.400,0.367,862,9.23,3.86,0.06,1.45,0.00,0.00,0.00,0.08,9.17,3.55,0.00,0.00,0.000,0.000,82,0.400,0.151,0.833,0.006,0.010,20105,17703,4,0.722,0.042,0.001,8841,0.170,0.232,0.000,36.57,9046,0,5185.215,0.000,0.017,231541,1.01,18.09,0.000,0.000,0.000,6,10,10,50,6351,0.024,2.01,0.0058,0.000,11,0.139,0.000,0.251,0.042,2.18,3.36,3.59,0.00,0.000,1.00,1.02,1.02,0.139,0.00178,124.87,3.6338,786.87
270000,645,1.369,0.085,8.07,28056,25934,4,0,2161,45,344508.7,36699.7,0.003,0.238,0.365,0.394,924,9.51,4.31,0.02,0.27,0.00,0.07,0.00,0.00,9.48,4.23,0.00,0.00,0.000,0.002,82,0.465,0.157,0.831,0.005,0.008,20974,18344,4,0.600,0.200,0.000,8493,0.156,0.257,0.001,34.41,8274,0,815.550,0.000,0.023,281304,1.01,17.76,0.000,0.000,0.000,6,10,11,48,6134,0.023,3.01,0.0056,0.000,12,0.170,0.000,0.263,0.058,2.22,3.53,3.65,0.00,0.000,1.00,1.01,1.02,0.170,0.00187,126.03,3.6748,823.36
280000,649,1.365,0.096,7.86,27497,25310,6,0,2177,12,336374.3,35530.7,0.006,0.243,0.379,0.372,940,9.47,3.34,0.05,0.69,0.00,0.12,0.00,0.07,9.41,3.15,0.00,0.00,0.001,0.024,87,0.468,0.174,0.810,0.005,0.011,20865,18657,4,0.764,0.032,0.005,5481,0.183,0.363,0.002,33.60,8553,0,2960.895,0.000,0.017,313836,1.02,17.84,0.000,0.000,0.000,6,10,11,41,6146,0.023,4.06,0.0055,0.000,8,0.189,0.000,0.274,0.057,2.18,3.50,3.61,0.00,0.000,1.01,1.02,1.02,0.189,0.00181,125.79,3.5579,856.58
290000,693,1.419,0.088,7.61,28995,26589,9,0,2353,0,364145.8,37630.2,0.006,0.235,0.385,0.373,871,9.59,4.18,0.02,0.31,0.04,0.65,0.00,0.00,9.53,3.95,0.00,0.00,0.001,0.021,92,0.234,0.149,0.838,0.000,0.013,20658,18427,4,0.772,0.000,0.000,10198,0.146,0.273,0.001,36.37,8975,0,37630.164,0.000,0.019,265712,1.01,18.08,0.000,0.000,0.000,6,10,11,48,6649,0.025,4.08,0.0055,0.000,15,0.154,0.000,0.244,0.049,2.28,3.41,3.57,0.01,0.001,1.00,1.01,1.01,0.154,0.00182,122.99,3.7605,815.07
300000,636,1.462,0.097,8.06,27232,25017,5,0,2267,13,340575.8,35718.0,0.008,0.241,0.379,0.371,935,10.22,5.22,0.22,2.10,0.01,0.20,0.00,0.00,9.99,4.46,0.00,0.00,0.002,0.040,92,0.332,0.157,0.835,0.002,0.006,20470,18518,3,0.682,0.145,0.000,8548,0.181,0.347,0.002,34.00,7910,0,2747.537,0.000,0.016,307327,1.06,17.58,0.000,0.000,0.000,5,10,14,46,6498,0.025,3.36,0.0054,0.009,9,0.186,0.000,0.257,0.058,2.26,3.49,3.75,0.00,0.000,1.02,1.08,1.06,0.186,0.00186,126.09,3.5817,898.33
