step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells
150000,8,282,9.43,0.00,0.07,0.00,9.36,0.00,1.00,0.000,0.035,167790.3,3638.6,2,7,2.84,1.00,1.00,0.4267,2.94,41220.2,37.7569,16.7210,4763
150000,1,28,14.43,0.07,0.86,0.00,13.50,0.00,1.03,0.000,0.277,20851.9,2118.7,2,8,3.54,1.01,1.03,0.2481,2.06,1280.6,1.4078,2.1869,88
150000,0,3,14.00,0.00,0.00,0.00,14.00,0.00,1.00,0.000,0.000,1038.9,277.7,1,2,4.00,1.00,1.00,0.0411,1.19,94465.2,0.0000,0.0000,11533
160000,8,273,9.10,0.05,0.00,0.01,9.04,0.00,1.01,0.000,0.033,147734.4,3103.8,2,3,2.76,1.02,1.02,0.3556,6.14,33082.0,40.2489,14.8899,4735
160000,1,19,9.37,0.00,0.00,0.00,9.37,0.00,1.00,0.000,0.111,17319.5,1882.6,1,4,3.00,1.00,1.00,0.2270,0.44,1467.4,9.9653,1.8653,95
160000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,480.2,189.8,0,0,-0.00,-0.00,-0.00,0.0333,0.78,99953.3,0.0000,0.0000,11554
170000,8,233,9.14,0.06,0.00,0.00,9.08,0.00,1.01,0.000,0.028,116641.7,2236.7,2,0,2.75,1.00,1.02,0.2618,5.95,28412.9,50.2723,11.6762,4802
170000,1,19,8.42,0.00,0.00,0.00,8.42,0.00,1.00,0.000,0.101,12580.9,832.9,1,0,2.37,1.00,1.00,0.0955,0.20,1236.4,40.7816,1.3210,98
170000,0,2,7.50,0.00,0.00,0.00,7.50,0.00,1.00,0.000,0.000,1659.4,507.2,1,2,2.50,1.00,1.00,0.0781,0.66,105418.0,0.0000,0.0000,11484
180000,8,282,9.04,0.19,0.07,0.00,8.78,0.00,1.06,0.000,0.033,135774.4,2499.3,1,0,2.79,1.05,1.08,0.2876,5.68,37467.0,44.0076,13.5772,4759
180000,1,14,9.79,0.29,0.00,0.00,9.50,0.00,1.05,0.000,0.101,12896.7,891.2,1,0,3.43,1.00,1.08,0.1040,0.77,577.5,40.4819,1.3505,92
180000,0,1,34.00,4.00,0.00,0.00,30.00,0.00,1.68,0.000,0.000,528.2,85.0,1,1,5.00,1.00,2.12,0.0141,0.64,96105.9,0.0000,0.0000,11533
190000,8,195,10.04,0.00,0.05,0.00,9.99,0.00,1.00,0.000,0.027,134861.0,2535.3,1,5,2.79,1.00,1.00,0.2932,3.19,19040.0,44.2335,13.4589,4571
190000,1,43,9.53,0.00,0.14,0.00,9.40,0.00,1.00,0.000,0.269,15117.5,1424.2,1,9,2.44,1.00,1.00,0.1666,1.99,410.9,26.4371,1.5888,94
190000,0,2,18.50,0.00,8.00,0.00,10.50,0.00,1.00,0.000,0.000,1132.1,181.4,1,2,3.00,1.00,1.00,0.0316,0.74,114903.4,0.0000,0.0000,11719
200000,8,173,9.23,0.00,0.04,0.00,9.18,0.00,1.00,0.000,0.022,91763.8,1482.7,1,1,2.75,1.00,1.00,0.1805,3.54,23198.4,57.1162,9.2424,4572
200000,1,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,14494.3,712.2,0,0,-0.00,-0.00,-0.00,0.0796,0.00,0.0,31.7911,1.4653,87
200000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,277.9,14.0,0,0,-0.00,-0.00,-0.00,0.0046,0.14,110748.7,0.0000,0.0000,11725
210000,8,360,9.10,0.00,0.04,0.04,9.02,0.00,1.00,0.000,0.043,139520.0,3350.5,1,0,2.70,1.00,1.00,0.4059,5.97,36048.4,43.5347,13.6265,4721
210000,1,9,8.00,0.00,0.00,0.00,8.00,0.00,1.00,0.000,0.051,900.5,12.3,1,3,2.11,1.00,1.00,0.0014,0.11,9.8,79.9967,0.0914,81
210000,0,1,8.00,0.00,0.00,0.00,8.00,0.00,1.00,0.000,0.000,1547.5,292.5,1,1,3.00,1.00,1.00,0.0410,0.77,101716.1,0.0000,0.0000,11582
220000,8,330,8.25,0.05,0.12,0.00,8.08,0.00,1.01,0.000,0.041,150626.5,2521.1,1,0,2.58,1.01,1.02,0.2879,2.36,29080.5,41.2919,15.0082,4135
220000,1,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,5779.8,213.4,0,0,-0.00,-0.00,-0.00,0.0236,0.00,0.0,61.1898,0.5854,97
220000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,431.1,11.8,0,0,-0.00,-0.00,-0.00,0.0043,0.08,109081.2,0.0000,0.0000,12152
230000,8,306,8.14,0.00,0.08,0.01,8.04,0.00,1.00,0.000,0.037,152032.2,2705.7,2,2,2.49,1.00,1.00,0.3059,2.87,24029.7,40.9008,15.1501,4162
230000,1,21,7.71,0.00,0.00,0.00,7.71,0.00,1.00,0.000,0.116,4582.9,289.4,1,12,2.76,1.00,1.00,0.0357,0.14,422.4,62.1319,0.5307,89
230000,0,1,6.00,0.00,0.00,0.00,6.00,0.00,1.00,0.000,0.000,432.2,15.5,1,1,3.00,1.00,1.00,0.0043,0.70,113330.3,0.0000,0.0000,12133
240000,8,163,8.14,0.00,0.00,0.01,8.13,0.00,1.00,0.000,0.021,120306.6,2220.6,1,0,2.55,1.00,1.00,0.2522,3.14,17936.7,49.5553,12.0243,3961
240000,1,22,12.18,0.00,0.36,0.00,11.82,0.00,1.00,0.000,0.158,12293.3,757.5,1,0,3.41,1.00,1.00,0.0863,1.81,948.1,40.8957,1.2748,98
240000,0,2,10.00,0.00,0.00,0.00,10.00,0.00,1.00,0.000,0.000,436.4,57.6,1,2,2.00,1.00,1.00,0.0120,0.91,119015.4,0.0000,0.0000,12325
250000,8,79,8.32,0.00,0.04,0.00,8.28,0.00,1.00,0.000,0.010,39980.7,621.1,1,0,2.52,1.00,1.00,0.0791,2.77,8558.8,73.7158,4.1515,4187
250000,1,43,10.05,0.56,0.00,0.00,9.49,0.00,1.28,0.000,0.272,16521.4,1031.1,1,0,2.81,1.26,1.26,0.1183,0.47,1897.5,14.3918,1.7767,98
250000,0,8,9.00,0.00,0.00,0.00,9.00,0.00,1.00,0.000,0.000,1440.1,324.0,1,8,2.88,1.00,1.00,0.0487,2.27,126423.3,0.0000,0.0000,12099
