step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells
230000,2,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,9.6,0.6,0,0,-0.00,-0.00,-0.00,0.0004,0.00,0.0,54.6080,0.0012,5461
240000,0,741,7.16,0.00,0.00,0.31,6.85,0.00,1.00,0.000,0.060,359209.2,6475.9,1,58,3.20,1.00,1.00,0.7309,10.03,117745.6,0.0000,34.9612,5462
240000,1,448,7.03,0.02,0.00,0.08,6.92,0.00,1.01,0.000,0.036,220138.3,4022.1,1,56,3.19,1.01,1.01,0.4609,4.41,19427.3,20.7614,21.6077,5461
240000,2,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,27.1,1.6,0,0,-0.00,-0.00,-0.00,0.0006,0.23,0.0,54.6048,0.0028,5461
250000,0,731,6.74,0.04,0.04,0.05,6.61,0.00,1.01,0.000,0.056,361939.5,6619.0,1,54,3.10,1.01,1.01,0.7469,8.24,117717.3,0.0000,35.1698,5462
250000,1,453,7.12,0.06,0.00,0.11,6.94,0.00,1.02,0.000,0.037,220682.6,4180.6,1,66,3.17,1.01,1.02,0.4795,4.18,19432.0,20.7251,21.6803,5461
250000,2,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,37.7,2.5,0,0,-0.00,-0.00,-0.00,0.0006,0.02,0.0,54.6035,0.0036,5461
260000,0,704,6.82,0.03,0.00,0.00,6.79,0.00,1.01,0.000,0.055,361361.1,6368.7,1,56,3.12,1.00,1.01,0.7178,6.06,117770.8,0.0000,35.1473,5462
260000,1,456,7.09,0.00,0.06,0.01,7.02,0.00,1.00,0.000,0.037,222223.6,4336.1,1,78,3.16,1.00,1.00,0.4994,10.04,19503.2,20.6389,21.8163,5461
260000,2,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,337.1,1.7,0,0,-0.00,-0.00,-0.00,0.0006,0.00,0.0,54.5585,0.0323,5461
270000,0,693,7.02,0.03,0.08,0.04,6.87,0.00,1.01,0.000,0.056,361301.6,6447.5,1,56,3.15,1.00,1.01,0.7262,6.89,117630.2,0.0000,35.1672,5462
270000,1,445,7.13,0.08,0.00,0.07,6.99,0.00,1.02,0.000,0.036,220975.8,4080.7,1,66,3.20,1.01,1.03,0.4667,3.08,19424.4,20.7390,21.6888,5461
270000,2,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,17.0,1.3,0,0,-0.00,-0.00,-0.00,0.0006,0.28,0.0,54.6070,0.0017,5461
