step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density
100000,3.99,11,1,0,0,1,0,2.00,26,0.000,535,0.01,12.81,29.87,599,1,1,0,1.00,3.00,2.00,1,2,1,29.5,7.593,2,1.332
100000,5.40,9,0,0,0,5,0,1.00,22,0.000,535,2.35,20.36,22.80,118,0,0,0,1.00,1.00,1.00,4,3,2,17.8,19.266,5,1.081
100000,1.38,10,0,0,0,1,0,1.00,28,0.000,533,0.15,38.26,26.91,599,1,0,0,1.00,1.00,1.00,1,1,1,26.7,5.408,1,1.377
100000,3.45,7,0,0,0,3,0,1.00,24,0.000,531,1.78,37.08,6.37,118,0,0,0,1.00,1.00,1.00,2,4,1,24.9,13.910,3,1.149
100000,2.66,10,0,0,0,2,0,1.00,26,0.000,529,1.92,27.24,16.78,599,0,0,0,1.00,1.00,1.00,1,2,1,17.4,13.236,2,1.328
100000,9.91,19,1,0,0,3,0,1.60,22,0.000,528,1.72,14.83,22.21,566,1,1,0,1.67,1.00,2.00,4,8,8,29.9,14.767,4,1.983
100000,4.36,22,0,0,0,4,0,1.00,22,0.000,526,0.72,4.80,34.64,118,1,1,0,1.00,1.00,1.00,2,4,5,26.7,11.566,4,1.091
100000,5.40,9,0,0,0,5,0,1.00,22,0.000,524,1.99,32.62,18.74,118,0,0,0,1.00,1.00,1.00,1,2,3,17.9,21.018,5,1.081
100000,3.87,9,0,0,0,2,0,1.00,26,0.000,523,1.45,13.93,13.21,610,0,0,0,1.00,1.00,1.00,2,5,1,20.7,13.419,2,1.936
100000,12.23,11,2,3,0,2,2,1.75,16,0.245,522,1.66,14.46,32.10,599,0,0,2,3.00,1.00,1.67,2,6,2,23.8,23.854,7,1.359
100000,2.11,15,0,0,0,2,0,1.00,26,0.000,520,1.08,14.86,39.26,118,0,0,0,1.00,1.00,1.00,2,2,1,18.3,9.291,2,1.053
100000,7.99,11,1,1,0,3,0,1.40,22,0.125,519,1.63,17.73,16.96,599,0,0,0,1.00,2.00,1.33,2,4,2,22.4,19.642,5,1.332
100000,2.11,4,0,0,0,2,0,1.00,26,0.000,517,1.18,14.60,13.18,118,1,1,0,1.00,1.00,1.00,1,2,1,33.0,15.769,2,1.053
100000,2.16,7,0,0,0,2,0,1.00,26,0.000,516,0.88,16.06,22.57,118,0,0,0,1.00,1.00,1.00,2,5,1,11.4,8.331,2,1.081
100000,5.95,8,1,1,0,0,1,2.00,26,0.168,513,0.77,11.41,13.76,566,0,1,1,3.00,1.00,2.00,2,5,1,24.5,9.448,2,1.983
100000,2.28,13,0,0,0,2,0,1.00,26,0.000,512,1.42,13.94,21.83,118,1,1,0,1.00,1.00,1.00,2,4,1,30.9,10.647,2,1.139
100000,3.46,14,0,0,0,3,0,1.00,24,0.000,511,1.43,23.27,19.83,118,0,0,0,1.00,1.00,1.00,2,1,6,7.4,15.221,3,1.154
100000,2.24,4,0,0,0,2,0,1.00,26,0.000,509,0.99,19.76,11.33,118,1,1,0,1.00,1.00,1.00,1,1,2,30.5,12.681,2,1.120
100000,3.46,14,0,0,0,3,0,1.00,24,0.000,506,1.22,29.40,22.64,118,0,0,0,1.00,1.00,1.00,2,1,6,5.3,13.149,3,1.154
100000,4.40,22,0,0,0,4,0,1.00,22,0.000,504,0.66,27.24,32.41,118,2,2,0,1.00,1.00,1.00,2,3,5,47.1,8.507,4,1.100
100000,1.08,12,0,0,0,1,0,1.00,28,0.000,500,0.11,10.27,20.00,118,1,1,0,1.00,1.00,1.00,1,1,1,32.8,6.362,1,1.081
100000,20.99,25,4,2,0,5,1,3.00,16,0.095,498,3.38,39.16,19.72,599,1,1,2,3.25,2.25,3.25,3,7,5,30.7,22.689,11,1.400
100000,4.36,16,0,0,0,4,0,1.00,24,0.000,496,0.87,22.00,26.61,118,2,2,0,1.00,1.00,1.00,1,2,2,38.4,8.666,4,1.091
100000,9.66,15,0,0,0,9,0,1.00,18,0.000,495,2.00,8.63,25.04,118,2,1,0,1.00,1.00,1.00,4,5,2,48.3,23.763,9,1.073
100000,1.13,8,0,0,0,1,0,1.00,28,0.000,494,0.03,8.37,18.92,118,0,0,0,1.00,1.00,1.00,1,1,1,5.9,6.006,1,1.129
100000,2.05,12,0,0,0,2,0,1.00,26,0.000,494,0.99,34.70,30.09,118,1,1,0,1.00,1.00,1.00,2,1,6,30.5,7.468,2,1.026
100000,2.03,8,0,0,0,2,0,1.00,26,0.000,494,1.21,15.06,25.28,118,0,0,0,1.00,1.00,1.00,1,2,1,25.2,9.905,2,1.016
100000,7.85,6,0,1,0,3,0,1.00,22,0.127,492,1.40,16.29,21.35,566,0,0,0,1.00,1.00,1.00,2,4,2,16.7,16.975,4,1.963
100000,2.41,9,0,0,0,2,0,1.00,26,0.000,492,2.13,14.05,7.10,599,0,0,0,1.00,1.00,1.00,1,2,1,15.9,16.428,2,1.204
100000,8.16,11,2,1,0,1,1,2.00,22,0.123,488,0.05,9.40,33.37,599,1,1,1,3.00,1.00,2.00,3,6,2,28.7,14.515,4,1.359
100000,2.16,10,0,0,0,2,0,1.00,26,0.000,486,0.59,7.24,30.83,118,1,1,0,1.00,1.00,1.00,2,1,2,29.4,10.263,2,1.081
100000,3.26,16,0,0,0,3,0,1.00,24,0.000,483,1.04,17.87,14.42,118,0,1,0,1.00,1.00,1.00,1,1,3,25.2,12.981,3,1.087
100000,2.71,22,0,0,0,2,0,1.00,26,0.000,482,1.28,15.10,7.44,599,1,1,0,1.00,1.00,1.00,1,4,1,31.6,15.492,2,1.356
100000,6.54,11,0,0,0,6,0,1.00,20,0.000,480,0.49,17.18,14.20,118,2,2,0,1.00,1.00,1.00,2,3,4,52.4,17.448,6,1.090
100000,2.30,4,0,0,0,2,0,1.00,26,0.000,480,1.11,20.35,8.67,118,0,0,0,1.00,1.00,1.00,1,3,1,8.3,12.128,2,1.152
100000,4.32,11,0,0,0,4,0,1.00,22,0.000,478,1.55,12.84,18.20,118,1,0,0,1.00,1.00,1.00,2,2,3,30.7,15.758,4,1.081
100000,3.26,5,0,0,0,3,0,1.00,24,0.000,478,1.08,27.62,13.22,118,1,1,0,1.00,1.00,1.00,1,3,1,30.1,12.703,3,1.088
100000,1.96,34,0,0,0,1,0,1.00,28,0.000,477,0.16,12.60,24.57,566,1,0,0,1.00,1.00,1.00,1,1,1,28.3,3.496,1,1.964
100000,3.24,11,0,0,0,3,0,1.00,24,0.000,473,0.31,9.84,20.25,118,2,2,0,1.00,1.00,1.00,2,2,3,41.2,13.217,3,1.081
100000,3.24,7,0,0,0,3,0,1.00,24,0.000,472,1.17,29.90,13.02,118,0,0,0,1.00,1.00,1.00,2,6,2,11.1,12.633,3,1.081
100000,3.99,12,0,1,0,2,0,1.00,24,0.250,470,1.31,11.09,46.59,599,1,2,0,1.00,1.00,1.00,2,4,1,31.1,12.356,3,1.332
100000,7.90,13,1,0,0,2,0,1.75,24,0.000,469,0.67,8.07,18.97,566,0,0,0,2.00,1.00,2.00,1,2,2,20.4,11.802,3,1.974
100000,2.16,10,0,0,0,2,0,1.00,26,0.000,468,1.05,10.09,13.86,118,0,0,0,1.00,1.00,1.00,2,1,2,10.6,8.772,2,1.081
100000,2.16,12,0,0,0,2,0,1.00,26,0.000,468,0.28,16.52,14.33,118,1,2,0,1.00,1.00,1.00,2,5,1,36.4,8.312,2,1.081
100000,13.89,11,0,1,0,6,0,1.00,16,0.072,468,2.21,15.47,16.52,566,1,2,0,1.00,1.00,1.00,4,7,7,33.6,18.520,7,1.985
100000,6.15,19,0,0,0,6,0,1.00,18,0.000,465,2.59,12.99,22.99,118,1,1,0,1.00,1.00,1.00,3,1,8,28.8,15.695,6,1.026
100000,7.94,10,0,0,0,4,0,1.00,20,0.000,464,0.21,8.54,16.68,566,0,0,0,1.00,1.00,1.00,3,7,2,23.5,13.678,4,1.984
100000,2.03,8,0,0,0,2,0,1.00,26,0.000,461,1.45,18.42,16.40,118,0,0,0,1.00,1.00,1.00,1,2,1,11.0,10.334,2,1.016
100000,6.48,11,0,0,0,6,0,1.00,20,0.000,458,1.13,12.76,15.50,118,1,1,0,1.00,1.00,1.00,2,5,2,34.6,18.406,6,1.081
100000,3.20,15,0,0,0,3,0,1.00,22,0.000,458,1.85,10.63,22.28,118,1,1,0,1.00,1.00,1.00,2,5,5,32.5,10.715,3,1.068
100000,1.05,4,0,0,0,1,0,1.00,28,0.000,457,0.89,12.86,9.85,118,1,1,0,1.00,1.00,1.00,1,1,1,34.9,6.765,1,1.053
100000,3.24,9,0,0,0,3,0,1.00,24,0.000,453,1.80,7.61,22.05,118,1,1,0,1.00,1.00,1.00,1,4,1,34.8,10.669,3,1.081
100000,7.74,6,0,0,0,4,0,1.00,22,0.000,452,2.53,26.30,14.91,566,0,1,0,1.00,1.00,1.00,2,8,1,18.8,16.243,4,1.936
100000,4.32,9,0,0,0,4,0,1.00,22,0.000,448,2.35,40.34,27.28,118,1,1,0,1.00,1.00,1.00,3,3,2,28.5,11.640,4,1.081
100000,2.16,9,0,0,0,2,0,1.00,26,0.000,447,1.57,14.04,11.95,118,0,0,0,1.00,1.00,1.00,1,2,1,16.8,9.364,2,1.081
100000,7.99,11,1,2,0,2,1,1.43,18,0.250,444,1.09,11.10,34.15,599,1,1,1,2.00,1.00,1.40,2,6,2,30.6,14.415,5,1.332
100000,5.56,20,0,0,0,5,0,1.00,18,0.000,443,1.88,9.51,31.99,118,1,1,0,1.00,1.00,1.00,3,5,7,29.1,12.560,5,1.111
100000,3.24,8,0,0,0,3,0,1.00,24,0.000,442,2.02,25.68,18.46,118,1,1,0,1.00,1.00,1.00,3,7,1,32.4,10.688,3,1.081
100000,3.27,6,0,0,0,3,0,1.00,24,0.000,441,2.13,15.82,15.67,118,1,1,0,1.00,1.00,1.00,2,1,3,28.3,10.828,3,1.090
100000,6.53,7,0,0,0,6,0,1.00,20,0.000,440,1.96,25.57,27.63,118,1,1,0,1.00,1.00,1.00,3,3,3,29.5,19.232,6,1.088
100000,2.16,11,0,0,0,2,0,1.00,26,0.000,437,1.24,22.00,26.38,118,1,1,0,1.00,1.00,1.00,2,5,1,30.0,7.491,2,1.081
100000,3.31,22,0,0,0,3,0,1.00,24,0.000,434,1.38,11.60,30.30,118,2,2,0,1.00,1.00,1.00,2,1,3,40.7,6.592,3,1.103
100000,15.89,10,0,0,0,8,0,1.00,14,0.000,433,2.31,29.12,34.87,566,0,0,0,1.00,1.00,1.00,3,8,2,18.1,18.543,8,1.986
100000,3.05,7,0,0,0,3,0,1.00,24,0.000,432,2.14,12.93,13.71,118,1,1,0,1.00,1.00,1.00,1,1,3,30.5,13.828,3,1.016
100000,9.69,11,1,2,0,4,1,1.29,18,0.206,432,2.65,19.39,15.59,599,1,1,1,2.00,1.00,1.20,3,7,2,32.5,16.863,7,1.211
