run,kind,lead,bodies,share,mass,pace,grass,seed,browse,algae,litter,kills
control 11,plant / tooth / roams / land,grass,48,0.00044283,57.005,0.52,0.86345,0,0.10858,0.0066425,0.021327,0.23832
control 11,plant / tooth / roams / surface,algae,39,0.0003598,32.52,0.693,2.6229e-18,0,0.00043838,0.99956,0,0.17588
control 11,plant / tooth / roams / shore,grass,14,0.00012916,43.88,0.598,0.63858,0,0.19104,0.12549,0.044889,0.19042
control 11,flesh / tooth / stays / shore,litter,9,8.3031e-05,54.22,0.542,0.41433,0,0.0057645,0,0.57991,0.71468
control 11,mixed / tooth / stays / bottom,litter,6,5.5354e-05,32.05,0.7025,0,0,0,0,1,0.44214
control 11,flesh / tooth / stays / land,grass,5,4.6128e-05,41.03,0.618,0.96807,0,0.031928,0,0,0.65752
control 11,mixed / tooth / roams / bottom,litter,5,4.6128e-05,34.88,0.667,0.031991,0,0.046245,0,0.92176,0.34374
control 11,plant / tooth / stays / surface,algae,5,4.6128e-05,51.18,0.55,0.043668,0,0.00025631,0.95608,0,0.25111
control 11,mixed / tooth / roams / surface,algae,3,2.7677e-05,31,0.714,0.045857,0,0.16882,0.78532,0,0.62469
control 11,mixed / no tooth / stays / surface,algae,2,1.8451e-05,47.12,0.594,0,0,0,1,0,0.64711
control 11,flesh / tooth / roams / surface,algae,1,9.2257e-06,29,0.741,0.29864,0,0.21071,0.49064,0,0.76295
S 9,mixed / tooth / roams / shore,browse,12107,0.17439,24.56,0.792,0.30385,0.15992,0.36725,0.026019,0.14296,0.39679
S 9,mixed / no tooth / roams / shore,grass,11705,0.1686,32,0.698,0.51818,0.0022161,0.00054241,0.00068873,0.47837,0.42255
S 9,mixed / no tooth / stays / shore,grass,8474,0.12206,44.27,0.595,0.53274,0.018635,0.0030893,4.3261e-05,0.44549,0.19118
S 9,plant / no tooth / roams / surface,algae,6910,0.09953,20.88,0.871,0.022563,9.9736e-05,3.1089e-06,0.97733,0,0.12891
S 9,plant / no tooth / stays / shore,grass,4262,0.061389,49.74,0.564,0.69743,0.018056,0.0036009,0.052861,0.22805,0.076825
S 9,mixed / tooth / stays / land,grass,3871,0.055757,61.74,0.505,0.56559,0.34601,0.064299,0.0097255,0.014373,0.33644
S 9,mixed / tooth / roams / land,grass,2487,0.035822,55.78,0.532,0.54604,0.30577,0.11458,0.0046882,0.028926,0.41855
S 9,mixed / tooth / stays / shore,grass,2165,0.031184,45.89,0.586,0.46645,0.30114,0.10251,0.015986,0.11391,0.32235
S 9,mixed / no tooth / stays / bottom,litter,2057,0.029629,32,0.703,0.051747,0.00043227,1.2272e-05,0,0.94781,0.16092
S 9,mixed / no tooth / stays / land,grass,1916,0.027598,66.775,0.487,0.91555,0.037434,0.0023346,0.0073234,0.03736,0.2026
S 9,plant / no tooth / roams / shore,algae,1865,0.026863,32,0.697,0.40377,0.0027524,0.0014371,0.51218,0.079863,0.14404
S 9,plant / tooth / stays / land,grass,1759,0.025336,75.38,0.457,0.62342,0.31084,0.045319,0.0038799,0.016545,0.16568
S 9,plant / no tooth / stays / land,grass,1672,0.024083,82.52,0.437,0.93522,0.044741,0.0053433,0.0088698,0.005829,0.082973
S 9,plant / no tooth / roams / bottom,litter,1632,0.023507,20.08,0.879,0.03209,0,0,0,0.96791,0.14696
S 9,plant / no tooth / stays / bottom,litter,1606,0.023133,18.45,0.915,0.041631,0.0011318,0,0,0.95724,0.092835
S 9,flesh / no tooth / roams / shore,grass,1421,0.020468,32,0.702,0.58104,0.0031684,0.001431,0,0.41436,0.69499
