step,lat,wood_class,cells,grown,grass,wood,temp,bodies,felt,over,under,fill,rain,seed,sprouted
6000,-20,0,2069,311.3240,315.11,39.66,50.83,55,33.14,13.709,4.115,0.3097,338.281,229.71,49.1161
6000,-20,1,2286,383.4330,256.96,955.62,27.66,120,32.39,13.405,4.390,0.4580,488.833,127.17,46.2306
6000,-20,2,3864,974.6599,516.22,10622.16,31.32,686,31.71,13.092,4.650,0.7805,773.835,202.52,117.1106
6000,-10,0,1837,522.1557,938.30,24.96,54.90,11,36.65,16.103,3.443,0.2622,422.592,691.51,80.1748
6000,-10,1,2025,727.5981,920.40,871.22,31.84,7,36.83,16.258,3.412,0.3604,621.590,412.90,82.6057
6000,-10,2,4362,1080.7280,671.58,14734.22,28.51,682,34.08,14.776,4.264,0.7483,998.654,267.03,146.8468
6000,0,0,1830,624.7106,1248.84,23.34,61.34,8,38.50,17.302,3.051,0.2093,417.705,1027.45,118.3218
6000,0,1,1820,1083.8560,1927.44,931.78,35.54,2,38.65,17.383,3.008,0.3410,700.913,997.82,210.2327
6000,0,2,4717,1586.9960,1568.90,13798.70,29.09,537,35.02,15.468,4.142,0.6520,961.070,735.89,255.2541
6000,10,0,3244,989.4494,1836.05,59.26,61.76,9,37.39,16.510,3.251,0.1801,322.345,1773.09,197.5153
6000,10,1,2812,1605.7114,2777.89,1419.52,37.82,45,36.98,16.315,3.397,0.3314,582.457,1546.11,319.7407
6000,10,2,3389,1268.4984,1139.48,8228.69,8.25,452,31.72,13.683,5.159,0.6255,747.304,582.25,200.6114
6000,20,0,4573,1189.0946,1748.51,63.52,43.02,125,32.24,13.404,4.576,0.1770,206.123,1706.33,231.7137
6000,20,1,2920,1796.5022,1361.33,1374.69,23.70,430,31.70,13.149,4.763,0.4249,472.438,1417.75,382.2617
6000,20,2,952,466.4878,219.01,1556.12,-1.79,246,29.07,11.959,5.758,0.5654,523.341,255.97,95.4766
6000,30,0,6730,1589.0848,1697.66,85.37,20.91,394,26.23,9.735,6.064,0.2008,138.859,2158.13,322.6896
6000,30,1,2312,1231.0485,549.00,960.71,29.79,337,29.26,11.013,4.792,0.4981,370.613,1025.10,336.4267
