gx,gy,land,dry,temp,predicted,region
26,6,64,0.45,14.21,0.06117,1
27,6,64,0.5122,14.99,0.04852,1
28,6,64,0.5511,15.13,0.04594,1
29,6,64,0.6071,15.76,0.03871,1
30,6,64,0.6907,17.68,0.03248,1
31,6,25,0.6967,19.78,0.0,0
35,6,12,0.4687,18.6,0.0,0
36,6,56,0.6023,18.76,0.03871,0
37,6,22,0.7398,18.61,0.0,0
38,6,32,0.4716,19.06,0.06117,2
39,6,4,0.6317,18.74,0.0,0
40,6,6,0.4433,18.51,0.0,0
41,6,26,0.6006,18.07,0.0,0
42,6,40,0.71,17.93,0.02505,0
43,6,32,0.7355,17.91,0.02505,0
44,6,38,0.7383,17.97,0.02505,0
45,6,61,0.6572,18.55,0.03248,5
46,6,64,0.7069,18.08,0.02505,0
47,6,64,0.6339,17.56,0.03871,5
48,6,64,0.5395,17.31,0.04852,5
49,6,64,0.5972,17.77,0.04594,5
50,6,64,0.6573,17.98,0.03248,5
51,6,64,0.6883,18.27,0.03248,5
52,6,64,0.6999,18.45,0.03248,5
53,6,22,0.6507,20.1,0.0,0
15,7,6,0.414,22.85,0.0,0
16,7,60,0.549,22.3,0.05425,1
17,7,64,0.627,20.66,0.04431,1
18,7,64,0.5618,19.59,0.04594,1
19,7,64,0.4207,19.29,0.06117,1
20,7,64,0.4339,19.06,0.06117,1
21,7,64,0.5128,19.03,0.04852,1
22,7,64,0.5018,18.95,0.04852,1
23,7,64,0.471,18.79,0.06117,1
24,7,64,0.4683,17.92,0.06117,1
25,7,64,0.503,17.39,0.04852,1
26,7,64,0.517,17.29,0.04852,1
27,7,64,0.5574,17.96,0.04594,1
28,7,64,0.6273,19.16,0.03871,1
29,7,64,0.6913,20.33,0.03598,1
30,7,64,0.735,21.21,0.03142,1
31,7,64,0.7495,22.19,0.03142,1
32,7,59,0.6935,22.85,0.03598,1
33,7,44,0.6861,23.49,0.03598,1
34,7,35,0.6213,23.96,0.04431,1
35,7,17,0.4866,24.81,0.0,0
36,7,58,0.5414,22.87,0.05425,0
37,7,11,0.6047,23.89,0.0,0
44,7,20,0.4288,22.97,0.0,0
45,7,64,0.5784,22.21,0.0508,5
46,7,64,0.6983,22.01,0.03598,5
47,7,64,0.7139,21.78,0.03142,5
48,7,64,0.678,21.43,0.03598,5
49,7,64,0.6449,21.87,0.04431,5
50,7,64,0.6132,22.12,0.04431,5
51,7,64,0.6356,22.13,0.04431,5
52,7,64,0.6773,21.94,0.03598,5
53,7,58,0.6867,22.53,0.03598,5
54,7,30,0.5924,23.89,0.0,0
55,7,1,0.4512,26.08,0.0,0
16,8,55,0.4888,26.29,0.06185,1
17,8,64,0.5634,24.4,0.0508,1
18,8,64,0.53,23.22,0.05425,1
19,8,64,0.4326,22.82,0.06721,1
20,8,64,0.4491,22.76,0.06721,1
21,8,64,0.5211,22.39,0.05425,1
22,8,64,0.5688,22.51,0.0508,1
23,8,64,0.5399,22.16,0.05425,1
24,8,64,0.5237,21.64,0.05425,1
25,8,64,0.5635,21.44,0.0508,1
26,8,64,0.6057,21.42,0.04431,1
27,8,64,0.6339,21.66,0.04431,1
28,8,64,0.6837,22.81,0.03598,1
29,8,64,0.7327,24.09,0.03142,1
30,8,64,0.7585,24.6,0.02636,0
31,8,64,0.7832,25.02,0.02265,0
32,8,64,0.8027,25.36,0.01192,0
33,8,64,0.8198,25.75,0.01192,0
34,8,64,0.8293,26.14,0.01192,0
35,8,62,0.7824,26.4,0.02265,0
36,8,55,0.7568,26.28,0.02265,0
45,8,25,0.5152,25.54,0.0,0
46,8,44,0.6006,25.92,0.04183,5
47,8,64,0.6615,25.65,0.03484,5
48,8,64,0.6818,25.22,0.03484,5
49,8,64,0.6846,25.51,0.03484,5
50,8,64,0.6457,25.66,0.04183,5
51,8,64,0.5999,25.26,0.04949,5
52,8,64,0.6225,24.89,0.04431,5
53,8,64,0.6856,25.23,0.03484,5
54,8,64,0.7152,25.7,0.02826,0
55,8,36,0.6653,26.57,0.03484,0
15,9,9,0.4445,31.04,0.0,0
16,9,64,0.512,29.22,0.05523,1
17,9,64,0.5726,28.08,0.04949,1
18,9,64,0.5874,27.55,0.04949,1
19,9,64,0.5526,27.31,0.04949,1
20,9,64,0.5144,26.8,0.05523,1
21,9,64,0.5511,26.32,0.04949,1
22,9,64,0.6087,26.23,0.04183,1
23,9,64,0.6129,25.85,0.04183,1
24,9,64,0.6017,25.55,0.04183,1
